wavelength,Back_AcaBaif,Belly_AcaBaif,Breast_AcaBaif,Crissum_AcaBaif,Crown_AcaBaif,DorTail_AcaBaif,Rump_AcaBaif,Throat_AcaBaif,WingTip_AcaBaif
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,108.533333333,167.2,122.4,93.6,167.2,96.8,100.8,231.2,92.0
179.16,67.5552222222,55.9996666667,47.333,29.9996666667,87.3329999999,-2.00033333332,47.6663333333,97.3329999999,74.6663333333
179.54,72.0003333334,71.467,64.5336666667,64.0003333334,75.2003333333,52.2670000001,67.4670000001,92.8003333334,90.6670000001
179.93,300.0,500.0,492.0,628.0,348.0,764.0,424.0,-28.0,100.0
180.31,52.5192444444,69.8947333333,48.5895999999,54.3158666667,80.421,28.0419333333,52.7578333333,97.0948000001,69.6420666667
180.69,54.3171555555,71.6893333333,49.5532666666,58.0972,86.3691333334,29.9807333333,55.5729,101.980466667,71.3787333333
181.07,52.4444,67.027,48.2162,57.4415333333,81.5135333333,27.0269333333,54.8468,94.8468000001,71.4234666668
181.45,51.4143111111,65.271,48.2243999999,56.5982666667,77.8317333333,29.0092666666,53.4953333333,94.6543333335,68.8599333333
181.83,48.0538222222,62.0607333333,42.9899333333,53.9798,73.4545333333,24.2425333333,53.6162333333,96.2423333334,65.5353333333
182.21,51.2468444444,67.5185333333,47.0739333334,63.5184666667,77.6666666666,33.2222,58.3702666667,95.0740666667,66.6296000001
182.59,60.1869111111,66.7664,48.5981333333,71.7008666667,85.9066000001,36.0373333333,64.3739666666,102.429933333,74.3924
182.97,64.5237999999,63.5000666667,49.2858000001,72.7143333333,85.4286000001,38.5000666667,67.0357666667,101.357066667,72.0713999999
183.35,62.9964888888,57.2043333334,41.5484666667,71.1396666667,88.3441333333,30.4516,68.215,106.666666667,73.2042666666
183.73,54.4711111111,48.1066666667,28.9066666666,67.4133333333,85.5466666667,12.48,60.5333333333,108.053333333,66.4533333335
184.11,50.3656444444,39.3548,16.9031999999,55.2258,90.8386,-5.03239999999,59.7418999999,110.322466667,60.5162000001
184.49,70.8097333334,51.1427333335,36.9999333334,67.2859333334,114.714266667,0.857200000014,79.5712666667,134.714266667,93.4285333333
184.87,76.48,42.56,32.48,56.96,113.92,-14.88,82.72,134.08,103.36
185.25,87.1766000001,22.2351999999,20.8235999999,53.0588000001,137.058933333,-54.7057333334,76.0,162.000133333,110.235266667
185.63,107.397844444,33.9355333333,33.4194666667,77.8063999999,179.4838,-37.8064666666,113.935533333,192.9032,140.0
186.01,162.024622222,59.1112666667,71.8519333334,123.111066667,252.889066667,-22.6666666667,156.148266667,234.518533333,187.407333333
186.39,263.137222222,87.2940666667,140.9412,163.529466666,389.411733333,-55.2940666667,258.117666667,386.588333333,293.882533333
186.77,395.333333333,150.8,258.0,221.2,582.0,-93.2,394.4,600.4,422.8
187.15,268.221888889,75.333,190.666333333,137.333,413.333,-107.333666667,281.666333333,428.666333333,300.666333333
187.53,183.4,58.2,153.0,87.8,236.6,-67.0,179.8,259.8,175.4
187.91,180.242355555,64.3636000001,165.818266666,103.2728,234.181666667,-44.3636666667,209.999866667,239.999933333,175.272733333
188.29,216.533333333,94.0,235.6,142.8,269.2,-31.6,251.4,274.8,222.0
188.67,1154.66633333,266.666333333,1215.99966667,661.333,1367.99966667,-565.333666666,1322.66633333,1386.66633333,943.999666667
189.05,-375.833333333,-71.5,-435.5,-208.5,-443.5,269.5,-431.5,-442.5,-232.5
189.43,-618.0,-196.666666667,-600.666666667,-307.333333333,-700.666666666,278.0,-726.0,-635.333333333,-398.0
189.81,-149.403444444,-2.73680000006,-138.736866667,-78.9472666669,-157.684266667,178.315866667,-165.894766667,-132.421,-65.8946000001
190.19,-131.212244444,-20.9091333333,-131.818133333,-85.6364,-138.7272,164.909133333,-145.8182,-124.181866667,-42.7274
190.57,-133.970933333,-26.2608666667,-126.434733333,-96.5216666667,-145.913066667,160.869533333,-156.695666667,-103.1304,-34.6086666667
190.95,-86.3923555556,-0.588266666666,-68.5881333335,-62.7058,-84.5882,136.117666667,-103.1766,-58.7058666667,-8.5882666666
191.33,-57.3038666667,3.91099999997,-44.8001333333,-41.6000666667,-50.4889333334,109.510933333,-80.7110666666,-38.2222666667,6.04433333334
191.71,-26.1379333333,20.8964666667,-17.7242666667,-18.8276666667,-26.4136666667,100.0688,-50.6206333333,-14.8276,19.1034666666
192.09,-40.2013333334,11.1699333333,-37.283,-33.2075333333,-40.1508666667,96.3018666667,-68.6793333333,-27.6225333333,7.99993333334
192.47,-22.3441111111,18.2580666667,-18.9031333333,-22.129,-21.6127999999,91.0323333334,-48.5161,-8.06440000001,21.0968666667
192.85,-17.2973555555,22.1622666667,-11.6757333333,-16.9729333333,-13.5135333333,79.3514000001,-39.4595,-2.59466666667,25.1891333334
193.23,-28.8829333333,16.2703333333,-16.8108666666,-29.7838,-20.2702666667,68.919,-54.9729,-11.7296666667,17.6757333333
193.61,-30.3290222222,10.9872666667,-23.1393333333,-39.5443333333,-17.4684,57.6709333333,-60.3037666666,-17.8734,10.8860666667
193.99,-42.6314444444,-5.44033333335,-42.1336666667,-48.9603333333,-25.6003333334,41.493,-79.6269999999,-28.267,-2.02700000001
194.37,-25.0114666667,6.06899999999,-30.2529333333,-28.3218,-9.74713333332,39.4484,-64.5057666666,-10.6667333333,4.96553333332
194.75,-11.8914444445,20.9768666667,-15.5814666667,-16.4184666667,5.53486666668,51.0234,-52.3256666667,-0.0465333333406,14.3721333333
195.13,-5.03113333333,24.2474,-6.35059999999,-6.0208,8.16493333332,50.8039333333,-40.6597333333,5.19586666669,22.1854666667
195.51,-8.08111111111,18.0521333333,-4.20873333334,-8.7304,4.00006666666,43.7912666667,-35.5479,1.49566666667,14.2957333333
195.89,-13.3333777778,16.6838666667,-5.74360000001,-7.248,4.71793333333,36.5128,-37.1282333333,-0.888800000006,13.8119333333
196.27,-8.55926666667,22.2582,-1.74186666665,-1.29039999999,10.0000666667,38.9677333333,-28.9354333333,4.06453333332,18.9031333333
196.65,-21.4888888889,13.8666666667,-9.86666666666,-8.53333333334,0.733333333326,30.7333333333,-39.9666666667,-4.53333333333,10.8666666667
197.03,-19.2239555556,8.8852,-10.5901333333,-7.44259999998,2.39359999999,31.4426,-38.8852,-4.36060000001,10.2622666667
197.40,-12.3654222222,10.9032,-9.99999999999,-3.29033333334,9.29033333334,30.9032666667,-32.5161,-0.128999999994,15.0322666667
197.78,-8.94484444444,9.13386666666,-9.88973333333,3.21266666667,11.1495333333,32.8818666667,-30.4566333333,2.07886666666,17.3228666667
198.16,-4.23359999999,9.78106666665,-4.584,7.85386666666,13.7518666667,34.8904,-24.2627333333,3.0074,18.6568
198.54,2.83704444444,17.5338666667,6.34580000001,13.9849333333,23.97,43.8796666667,-14.7068333333,11.1578666667,26.4962
198.92,-3.15835555555,12.1418,1.13479999999,7.48946666666,17.8155333333,34.6101333333,-18.0141,6.46813333334,19.9715333333
199.30,2.09524444444,14.4662666667,1.83466666669,9.89473333334,22.7067333333,32.5112,-20.2406666667,9.95486666665,21.4435333333
199.68,1.3794,13.1033333333,-4.96553333335,10.9656666667,20.2758666667,30.2070666667,-24.3792333333,11.2414,21.3103333333
200.06,-7.66653333332,-0.6552,-17.6206,-4.79306666666,6.72413333336,20.5862,-34.7241666667,3.89653333334,9.2758
200.44,-17.1068666666,-11.3962,-25.6603333333,-13.5849333333,1.99992911121e-11,14.868,-46.5283666667,-2.566,2.03780000001
200.82,-18.8367111111,-12.1961333333,-27.1764666667,-15.6469333333,3.25479999998,11.8822,-48.0784,-3.88233333334,-0.588266666674
201.19,-27.0521777778,-15.5181333333,-39.9999333333,-26.6023333333,-0.96393333334,5.59013333333,-67.6626666666,-6.265,-4.14466666668
201.57,-22.6824666667,-7.85700000001,-32.4285333333,-20.5238666667,2.90479999998,11.6666,-58.4285666667,-4.14273333332,-0.99993333334
201.95,-11.8388666667,5.71433333334,-19.6043333333,-8.96713333334,14.5054,21.0988666667,-41.5823,6.85706666666,8.96713333335
202.33,3.90726666667,19.7912666667,-0.173866666654,7.06086666666,24.2436,28.487,-17.6000666667,22.2955333333,24.2434666667
202.71,-0.169355555559,15.619,-1.58726666666,6.47619999999,19.2379333333,24.6349333333,-16.9523333333,17.9048,23.2380666667
203.09,8.98731111111,22.626,8.03053333333,16.0305333333,27.3892666667,33.2518666667,-7.78623333335,25.7403333333,33.8015333333
203.47,2.12913333333,20.5270666667,3.84486666667,12.0308666667,22.3256,28.2170666667,-9.98463333333,20.2791333333,28.7132
203.85,7.64559999999,28.0839333333,13.5944,15.6643333333,29.035,28.4754666667,-2.46156666667,25.6783333333,32.6154
204.22,18.2819333333,38.4698666667,23.0066666667,27.2482666667,37.8256,35.0871333333,7.0336,32.2416,42.7113333333
