wavelength,Back_AniLacf,Belly_AniLacf,Breast_AniLacf,Crissum_AniLacf,Crown_AniLacf,DorTail_AniLacf,Patch10_AniLacf,Patch11_AniLacf,Patch12_AniLacf,Patch13_AniLacf,Rump_AniLacf,Throat_AniLacf,WingTip_AniLacf
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,-264.848466667,-228.409208333,-284.242266667,-263.030333333,-246.666733333,-242.424133333,-251.515133333,-261.818133333,-276.3636,-271.212233333,-244.848533333,-276.969666667,-241.2122
179.16,-284.848533333,-258.712125,-307.2726,-262.424266667,-250.303066667,-260.606133333,-274.5456,-273.333333333,-298.1818,-275.454566667,-247.272666667,-292.727333333,-264.8484
179.54,-330.909066667,-292.424208334,-298.787933333,-306.0606,-306.666533333,-298.181733333,-304.2424,-285.454533333,-349.090933333,-319.393966667,-274.545466667,-294.545533333,-315.757533334
179.93,-396.666666667,-393.333333333,-382.666666667,-389.333333333,-370.0,-388.666666667,-403.333333333,-385.333333333,-420.666666667,-432.333333333,-365.333333333,-410.666666667,-391.333333333
180.31,-335.466666667,-310.583333333,-335.466666667,-324.6,-309.333333333,-309.6,-325.4,-324.533333334,-345.866666667,-338.933333333,-298.533333334,-344.8,-325.2
180.69,-357.6506,-329.762083333,-355.873066667,-343.746133333,-328.380866667,-330.031733334,-345.6508,-345.269866667,-366.412666667,-358.412666667,-319.4286,-366.0318,-344.380933334
181.07,-379.141933333,-349.628666667,-373.1354,-361.386133333,-350.693066667,-351.419133333,-364.5544,-366.600733333,-386.534666667,-375.016533333,-340.396,-386.666733333,-363.762533333
181.45,-403.158,-374.5615,-393.192866667,-383.298266667,-375.508666667,-373.403533333,-386.877133333,-389.614066667,-408.8422,-400.736766667,-363.0176,-409.9648,-386.8772
181.83,-383.401266666,-360.629291667,-379.183666667,-367.1428,-359.5918,-356.802933333,-371.8366,-376.326533333,-387.279,-383.401333333,-349.115666667,-395.306066667,-369.387933333
182.21,-407.765533333,-381.913875,-404.981733333,-391.575133333,-382.490733333,-377.142866667,-392.747333333,-400.146466667,-410.622533333,-403.260166667,-372.820533333,-419.3408,-390.696
182.59,-444.417666667,-413.55425,-432.2088,-422.168666667,-413.413733333,-406.0242,-422.329266666,-432.53,-445.783066667,-433.052166667,-402.4096,-452.3694,-420.5622
182.97,-520.365133333,-477.682708333,-500.365333333,-488.219266666,-484.018333333,-467.488666667,-483.013733334,-500.182666667,-517.077466667,-502.9223,-466.484066667,-524.109466667,-488.767066667
183.35,-679.883,-633.406625,-661.8714,-642.923933333,-636.257266667,-614.268866667,-634.970733333,-657.894666667,-679.4152,-663.625666667,-608.304266667,-687.134466667,-642.690133333
183.73,-775.2,-728.5,-755.333333333,-740.0,-731.066666667,-707.733333333,-725.733333333,-755.2,-780.933333333,-758.066666667,-693.066666667,-777.333333333,-736.4
