wavelength,Back_AniSomf,Belly_AniSomf,Breast_AniSomf,Crissum_AniSomf,Crown_AniSomf,DorTail_AniSomf,Patch10_AniSomf,Patch11_AniSomf,Patch12_AniSomf,Rump_AniSomf,Throat_AniSomf,WingTip_AniSomf
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,488.888888889,705.555555556,-483.333333333,755.555555556,255.555555555,500.0,388.88888889,486.831275721,299.999999999,300.0,699.999999999,333.333333334
179.16,-33.3333333333,162.5,391.666666667,70.8333333333,36.111111111,233.333333333,191.666666667,246.09053498,211.111111111,119.444444445,24.9999999997,375.0
179.54,66.6666666667,111.111111111,-333.333333333,272.222,17.5925833333,-59.259111111,-33.3332222222,35.9395308643,-90.7407777777,-11.111111111,7.40744444423,-31.4814444443
179.93,104.444444445,128.611111111,-59.1666666667,139.444444444,71.6666666665,101.666666667,127.222222222,136.316872428,16.111111111,53.8888888888,118.888888889,81.6666666668
180.31,131.137555556,184.087333333,-29.762,188.536111111,93.9264166667,154.603222222,168.659555555,184.11908642,102.433888889,80.3970000001,160.749555555,116.314055556
180.69,131.227222222,173.491111111,-23.4311666667,178.416666667,93.243861111,146.639111111,161.211777778,180.562740741,100.320333333,79.214888889,154.748444444,109.3395
181.07,140.327111111,181.322222222,-11.016,177.581777778,99.357888889,154.147666667,177.256555556,195.794176955,109.627111111,81.4916666667,161.354666667,112.884388889
181.45,156.830111111,210.29,6.19483333335,192.240611111,110.694444444,181.311333333,217.557222222,231.434921811,138.999222222,83.6233333333,182.148666667,124.501722222
181.83,196.550666667,271.023888889,13.5758333333,243.253944445,139.696361111,232.763555556,295.003888889,293.728946502,197.792,104.675333333,242.129666667,145.629777778
182.21,200.263444444,282.367222222,18.6595,252.777777778,144.647388889,241.029888889,323.946111111,297.512563786,223.100277778,103.776666667,251.163888889,150.993666667
182.59,254.620444445,363.802888889,35.5301666667,330.280555556,179.146,306.923888889,436.826222221,382.78574897,302.695277778,140.470222222,302.970222222,199.7525
182.97,401.071111111,557.417333333,51.3061666667,514.484555556,281.471444444,461.231333332,701.341333334,601.146724279,490.810833332,233.693666667,443.003000001,330.210166667
183.35,661.793444444,919.688111111,126.1695,830.848111111,477.412222221,749.609999999,1142.10522222,990.798448561,841.179222223,400.389999999,686.744444443,569.395777778
183.73,3283.23755555,4969.54011111,509.195333333,4340.13411111,2243.00766667,3968.19933332,6229.69344443,5145.66835804,4512.06899999,2083.71644445,3313.88888888,2988.69727777
184.11,26.8268888889,19.1191111111,6.45633333335,15.6155555556,13.5135555556,12.4124444444,18.3183333333,18.3183333333,12.1621666667,7.20722222223,24.7247777778,10.2101666667
184.49,-274.074,-562.3365,38.346,-348.677277778,-128.703666667,-431.286777777,-673.32211111,-592.758218106,-540.956555556,-179.922,-274.700777779,-326.712666666
184.87,-76.3185555556,-237.404,30.3188333333,-131.566888889,-30.5745833332,-182.591,-298.860888888,-249.844938272,-245.142111111,-53.5457777778,-94.4572222222,-123.5215
185.25,-131.818111111,-407.744055556,40.9091666667,-237.738555556,-86.4758888889,-307.182999999,-474.887777778,-406.817329218,-419.037722223,-107.744222222,-146.941888889,-238.299722222
185.63,2045.24955555,4352.65711111,-147.1015,2927.05311111,1487.037,3481.40088888,4716.4251111,4464.16177366,4437.80188888,1900.40266667,2021.49755556,3044.44433334
186.01,241.913222222,440.261222222,2.947,312.498111111,184.021444444,388.690111112,455.349555554,478.898115226,446.651944444,217.387888889,226.416555556,304.694555556
186.39,152.780666667,283.909055556,3.64416666665,184.124,119.815888889,253.682666667,247.679777777,303.204592593,273.317888889,129.000333333,142.713555556,161.138055555
186.77,81.1936666667,165.604388889,-11.1376666667,97.7553333333,69.9975833334,159.96,117.670222222,160.416444445,143.486055555,61.8092222223,88.1482222223,64.452
187.15,52.0264444444,98.2271111111,-0.82416666665,58.564,47.2164444443,106.259888889,65.8651111111,93.8703991769,82.3815555557,36.8958888889,59.1682222222,27.896111111
187.53,42.917,75.4343888889,2.23,48.7566666667,40.9973055554,85.2427777779,56.4238888889,73.020930041,66.8348888888,31.7240000002,52.6732222223,16.7871666667
187.91,40.4915555556,67.9053888889,8.79583333335,47.5953333333,41.8993333336,72.5438888888,50.5895555558,63.6769300413,57.7190555556,27.0623333335,53.6973333335,15.7445555557
188.29,39.3778888889,67.0138888889,17.0761666666,51.7241111111,46.5916944443,66.0413333335,49.2407777778,57.6021563787,53.7958888889,28.9231111111,55.6775555554,19.0854444444
188.67,38.6691111111,60.8814444444,19.5463333333,50.2557777778,47.2819722223,58.8166666667,46.7252222224,50.0952839507,50.3242222222,26.7852222222,56.3924444445,19.2403888889
189.05,35.3985555556,55.657,16.2223333334,45.7225555556,43.0982777779,51.9706666668,39.2487777777,41.5622469136,40.5756111111,21.5434444444,51.4201111111,12.9604444444
189.43,32.4788888889,50.9295,14.7843333333,40.9915555555,39.0906666668,47.1319999999,35.4835555554,35.1120082304,32.1354444444,18.2694444445,46.0775555555,6.45727777767
189.81,27.5985555555,45.5482222223,15.7048333334,35.6738888889,35.2796388888,40.6437777779,27.8701111112,30.0588395062,30.7051666667,14.3051111111,38.709111111,0.741611111233
190.19,24.0035555556,40.5796666667,14.868,31.8128333334,29.2882222222,33.9802222222,22.8302222224,26.28054321,30.3255,9.31033333333,30.2715555557,-0.408555555667
190.57,27.1822222222,40.4883333333,17.3468333333,34.8245,30.0128333333,37.2121111111,25.3185555554,30.3544773661,36.2023333333,10.8252222222,31.7877777777,2.41338888877
190.95,26.7854444445,38.380888889,14.6961666667,33.1121111112,28.3245555556,35.604,24.953111111,29.6289711933,36.3444444444,12.7731111111,26.2536666665,1.15788888877
191.33,24.5942222222,34.5199444443,5.62133333335,31.1962777777,23.4958055557,30.6252222222,22.1821111111,27.1897283949,34.2841111111,9.7118888889,21.6636666667,-7.58183333333
191.71,17.7652222222,25.0819444443,-6.62383333335,24.6855555556,16.7926388889,24.640888889,12.4158888888,16.5631111112,24.408,1.13655555543,12.3155555558,-18.1106666667
192.09,14.4201111111,18.7000555557,-12.7056666666,19.777388889,11.3526111111,21.2295555555,9.24544444433,13.0855020577,20.3794444444,-0.9402222221,7.46699999977,-25.6323333333
192.47,7.52,6.20027777767,-26.5996666667,11.7342777779,2.30138888877,14.098888889,-1.43644444443,-0.947209876777,6.71905555543,-10.3629999999,-9.23544444456,-40.9897222221
192.85,2.201111111,-3.94933333333,-38.2235,8.21972222223,-2.80358333357,2.640111111,-10.7958888891,-9.85383950622,-1.4259999999,-14.8788888888,-25.2112222222,-51.1483333332
193.23,6.45066666657,-0.7095,-30.8836666667,10.9171111112,3.07233333343,3.785,-5.09933333343,-4.39927572,7.81966666667,-7.10388888877,-21.6465555556,-39.7983333333
193.61,8.634,3.73316666667,-27.8138333333,13.7250555556,4.4233888889,4.98344444433,-2.1531111111,0.401395061667,16.4046111111,-5.7061111111,-15.3606666667,-35.9232222222
193.99,6.04333333347,1.36294444433,-34.0215,10.1128333333,-0.1436388891,3.80866666667,-3.341888889,-4.78190946489,12.5769444444,-11.678,-18.4706666667,-43.8701111112
194.37,7.47355555577,4.7125,-33.8063333335,9.67405555543,5.73119444433,6.6572222221,-2.20933333333,-4.43276543233,11.6801666668,-7.28966666677,-17.7743333332,-40.6024444443
194.75,1.06822222223,3.1765,-40.6835,4.37327777767,1.778138889,0.607777777767,-6.50055555567,-9.07751440333,7.51433333323,-9.27822222233,-21.7426666668,-49.0075555557
195.13,5.0471111109,12.3162222223,-28.491,9.46122222223,8.92197222243,6.3383333331,2.44455555533,-2.04279423867,15.2487222221,-2.5113333331,-8.2673333331,-38.0301111112
195.51,-0.708444444433,9.00966666667,-28.1581666665,3.91444444433,13.1623611112,3.98722222243,-5.59944444457,-7.611617284,9.047,-5.167111111,-9.4802222221,-34.6138333334
195.89,3.07622222223,15.046111111,-18.8261666665,8.15555555557,15.2387777779,7.01177777777,-2.233888889,-4.77832921822,11.0456666668,-2.12055555543,-4.18244444443,-32.4934444446
196.27,2.84133333333,16.5353333333,-20.2066666665,6.14594444467,13.4262777777,5.28366666657,-5.92277777789,-6.74945679022,8.8848888889,-4.51855555567,-4.608888889,-34.3530555556
196.65,7.4592222221,23.5188333333,-7.6785,10.5576111111,18.1040833332,9.9829999999,3.18322222243,4.7939341561,20.4129444444,0.7261111112,8.32266666667,-22.4812222223
197.03,4.06966666677,23.2175555557,-4.091,5.917222222,17.0740277779,13.8447777777,-0.390999999777,3.18086831267,21.8801666668,-1.52488888877,9.96077777777,-25.0472222223
197.40,-9.13022222223,18.1902777777,-10.4148333335,-4.9205,10.4807222221,8.44266666677,-15.1666666668,-8.30845267489,10.4905555556,-17.5347777779,-0.1491111111,-44.2777222221
197.78,-38.8018888889,-5.31744444433,-37.8046666665,-39.7795555557,-4.76397222223,-11.704777778,-54.9066666668,-43.9893004114,-23.8417777779,-45.2346666667,-33.3387777779,-81.1470000001
198.16,-56.4917777777,-16.3887777777,-50.6941666665,-59.6708333333,-16.3785000001,-27.9525555557,-73.8065555557,-67.2502386831,-41.4711666667,-57.4794444444,-49.3825555554,-104.439333333
198.54,-74.7733333332,-28.6211666667,-56.399,-75.1985,-34.9560277778,-42.4035555553,-89.7957777778,-89.6859382714,-60.6150555556,-72.5482222223,-60.908,-133.9285
198.92,-79.0271111111,-31.466111111,-70.4571666665,-75.6882777777,-38.0278333332,-44.7224444447,-94.0054444444,-93.141469136,-67.5785,-78.4477777779,-62.3500000001,-144.709611111
199.30,-114.183222222,-61.6923333333,-121.54,-100.640833333,-72.5858055554,-79.9004444443,-135.513666667,-133.990168724,-105.804722222,-114.573,-100.411333333,-198.299722222
199.68,-174.781888889,-97.7779444443,-182.4075,-147.020666667,-133.843583334,-128.716111111,-186.897111111,-195.844617284,-155.827222222,-183.333333333,-149.177,-304.893
200.06,-220.454333333,-77.3232777777,-166.060833334,-130.252722222,-218.686888889,-123.585777778,-140.050555556,-162.81154321,-88.4596666667,-215.606111111,-96.4646666667,-374.040555556
200.44,-689.814666668,-1297.91688889,-1475.00016667,-1617.82405555,427.199111111,-868.055555557,-2567.59266667,-1855.89856379,-2519.44444444,-789.35188889,-1868.05566667,-301.851777778
200.82,-462.317333332,-443.676888889,-564.364,-573.811999999,-213.806611111,-399.817222223,-777.302666666,-688.067156378,-697.770388889,-490.826111111,-608.18711111,-549.195888889
201.19,-392.985333333,-320.033722222,-466.161833333,-444.640833333,-206.495444443,-294.107666666,-585.185111111,-562.78825926,-521.604944444,-415.207555555,-464.534222222,-489.506000001
201.57,-544.592111112,-410.456166667,-618.771,-550.719777777,-313.981194443,-389.165777777,-703.137888889,-707.435530865,-624.972111111,-562.255333333,-571.059333333,-677.0395
201.95,-394.275444445,-307.101444444,-458.442,-396.859888889,-212.409444444,-274.251111111,-517.101444443,-520.055403292,-469.178722223,-415.072555556,-426.787444445,-474.782666666
202.33,-633.903222222,-482.146055556,-755.947333333,-609.425388889,-350.736,-445.204222223,-804.961888889,-810.114148148,-720.085444443,-669.729333334,-675.664777779,-742.058388888
202.71,-767.518888888,-567.424166667,-930.492333333,-733.775166666,-418.907777778,-520.328333334,-949.147666667,-959.441794239,-861.347944443,-811.55311111,-817.392666666,-870.028388889
203.09,-467.654222222,-376.851722222,-572.2225,-492.530722222,-238.395027777,-295.926111112,-609.999777777,-626.698736627,-589.012388888,-522.716111112,-540.493999999,-487.098722222
203.47,-361.538555556,-368.637111111,-474.2165,-433.808055556,-147.768222222,-227.160555555,-557.692444444,-561.981658436,-570.869,-422.364555556,-517.758777778,-324.644
203.85,-926.38888889,-2611.66666667,-2431.66666666,-2416.25,794.305555554,-460.277777778,-3730.83333333,-3404.81481482,-5213.33333333,-1778.05555556,-4088.61111112,540.277777778
204.22,-138.047111111,-17.9654444443,-84.7401666665,-77.2967777777,-132.022361111,-107.960666667,-33.694,-75.7539670783,72.7153333332,-126.238555555,-11.3755555556,-243.121666667
204.60,-99.3543333332,74.3019444443,23.504,41.7095,-137.535472222,-58.6513333333,91.3769999998,59.781950617,262.9915,-73.5042222223,132.174777778,-240.1805
204.98,-90.222222222,45.5277777777,18.7916666665,25.3333333333,-134.083333333,-35.5555555557,34.638888889,13.6841563783,202.277777778,-77.8055555553,91.1944444446,-184.597222222
205.36,-72.7867777779,37.0335555557,55.7321666665,6.98222222233,-111.80925,-39.3928888888,36.8423333333,9.18513580233,147.691,-72.5749999998,75.7105555557,-173.663944444
205.74,-47.3999999999,17.7085,42.8481666665,2.42194444433,-61.7292499999,-18.4619999999,15.277888889,1.25453497933,73.8737777779,-51.0246666667,34.5613333333,-106.046777778
206.12,-38.6613333333,71.1506666667,97.3195,50.8726666667,-78.4582777779,6.55266666677,91.7763333332,69.8894814813,170.360722222,-36.8413333336,100.91,-147.249166667
206.50,-38.0050000002,117.108722222,131.565833333,112.843833333,-76.6203055556,10.690222222,165.151555556,148.845921811,257.323277778,-13.7344444446,149.326666667,-161.082944444
206.87,-173.639111111,-278.654888889,-269.905666666,-308.607,-9.13544444433,-149.767666667,-396.971111111,-410.048625515,-397.083444444,-225.116333333,-359.439111111,-133.753277778
207.25,-196.612666667,-254.844055556,-248.035333334,-277.811777778,-31.854111111,-183.288111111,-362.963,-360.718242798,-299.5595,-231.696,-316.429555556,-209.0955
207.63,-387.986444444,-397.152222222,-407.843,-443.510611111,-128.361194444,-343.386222222,-555.088666666,-553.315185187,-432.773166667,-451.46288889,-505.602111111,-454.178277778
208.01,-4320.6971111,-3773.31155556,-3844.93466667,-4134.09577778,-1846.70488889,-3704.13944446,-5310.67533333,-5248.06336624,-3912.745,-4898.91066668,-4878.54033334,-5353.59472223
208.39,710.414666668,611.554166667,605.318,652.67488889,353.007499999,610.272333332,837.306111112,798.527823046,596.462444444,801.345222221,747.293555557,914.957388889
208.77,321.018555555,264.768777778,270.138833333,289.675888889,183.333361111,266.990888889,359.352,318.446514403,246.342611111,350.138888889,315.370333333,424.976777778
209.14,245.263555556,201.691555556,204.914333333,223.308333333,139.316138889,202.332666667,260.381222222,223.556386831,183.938555555,256.623888889,235.203,329.816777778
209.52,189.106777778,158.714722222,167.4655,166.206722222,109.652722222,151.900333333,194.625666667,161.966386831,137.127722222,188.199,176.519111111,255.083388889
209.90,150.848,130.843222222,135.488,136.215833333,90.7673888889,119.831888889,159.177666667,144.36181893,114.314277778,156.186555556,146.599888889,209.876611111
210.28,158.209333333,134.120222222,130.3115,134.257777778,102.570333333,124.605777778,158.024666666,138.714259259,116.054777778,160.229222222,144.425,211.739277778
210.66,203.841222222,188.984222222,181.142666667,183.698444445,129.857111111,150.095222222,214.888888889,198.852423868,171.238,201.238111111,197.523888889,264.047666667
211.03,252.222222222,253.470222222,251.409833333,237.488555556,161.895888889,181.175888889,279.608,274.627839506,241.442277778,249.193333333,265.129444445,332.435444444
211.41,290.849777778,303.322666667,287.255,273.420388889,194.798361111,212.527222222,320.697,312.757028807,283.333388889,287.472666667,304.793111111,393.790833333
211.79,505.251666666,547.878777778,550.894166667,505.882277777,325.194888889,371.00111111,579.864777778,587.995522634,542.621277777,512.326666667,571.769,657.688444446
212.17,977.24288889,1069.27988889,1131.04933333,1037.59255556,650.113111112,717.983666668,1140.98766667,1189.05351029,1110.49394444,998.271666668,1171.15222222,1224.62961111
212.55,2469.10777778,2523.65322222,2955.5555,2643.43433333,1687.83666667,1734.42766667,2864.98322222,3062.26145679,2873.73733333,2471.12788889,2985.94277778,2943.68688889
212.92,-2450.61722222,-2357.98066667,-2995.89933333,-2685.75833333,-1652.65655556,-1718.51855556,-2880.291,-3119.01809053,-2929.89422222,-2465.29977778,-2958.46555556,-2905.15866667
213.30,-1233.53177778,-1146.72622222,-1514.58333333,-1359.92055556,-799.553555556,-858.333333332,-1487.49988889,-1589.97656378,-1489.48405556,-1245.83333333,-1449.60311111,-1453.96827778
213.68,-568.81611111,-542.454611111,-717.1025,-647.538055554,-346.750166668,-400.174333334,-721.103888888,-761.868650206,-738.126277777,-577.937666668,-710.922333333,-670.740666666
214.06,-350.206333333,-375.581833333,-501.193666667,-435.912222222,-197.078555556,-254.789222222,-505.128222222,-513.272427984,-514.971888888,-376.304,-520.129444444,-412.909055554
214.44,-214.336222222,-269.747944444,-382.55,-315.276222222,-102.888972222,-165.674333333,-385.885888889,-373.592358024,-392.022611111,-253.949555555,-405.457444444,-251.201222222
214.81,-192.469,-471.573888889,-780.8335,-568.024777778,14.3054999998,-282.160444444,-900.864222223,-794.7417572,-878.950666667,-377.407333333,-906.481555557,-92.7161111113
215.19,-270.052777778,-181.164055556,-165.238166666,-200.687888889,-199.735694444,-167.195888889,-140.952333333,-197.354436214,-159.047611111,-230.053111111,-136.825333333,-362.539722222
215.57,192.492444446,-1730.48044444,-3551.3515,-2250.60044445,1062.08713889,-1058.859,-3443.54344444,-2822.92286008,-3125.22522222,-1082.88288889,-3322.82277778,582.582555555
215.95,-149.158111111,-849.99988889,-1377.77783333,-940.235722221,180.808027778,-525.252555556,-1401.34688889,-1211.23580658,-1216.83505556,-521.212222222,-1448.48488889,-101.851888889
216.32,-321.957777778,-500.462833333,-649.404833333,-557.275,-104.166611111,-350.661333333,-686.375777778,-626.807917695,-607.341222222,-400.793777778,-672.486666667,-360.119055556
216.70,-210.291777778,-553.302666667,-825.960166666,-589.503388889,-23.4255555558,-358.269111111,-765.847555557,-672.19289712,-711.904666667,-326.216222222,-784.844,-226.4465
217.08,-434.273888889,-136.7725,164.021166665,-116.402222222,-308.553722222,-192.063555555,-25.9262222233,-112.681004115,-19.2534444447,-250.970111111,101.704888889,-584.303277778
217.46,-201.358111111,-502.962777778,-679.444666667,-514.197666667,-7.314861111,-245.925777778,-613.333222222,-574.074049383,-554.074222222,-311.234555556,-679.506111111,-160.740888889
217.83,-213.240666667,-394.571111111,-477.166166666,-399.483611111,-59.192611111,-228.969,-460.742222222,-458.818119342,-439.173388889,-262.45,-495.298333334,-206.251166667
218.21,-315.506666667,-443.528722222,-448.717833333,-445.024333333,-128.403361111,-279.975555555,-490.231666667,-500.171839506,-474.221555555,-317.094,-502.777777778,-346.382833333
