wavelength,Back_AniSomm,Belly_AniSomm,Breast_AniSomm,Crissum_AniSomm,Crown_AniSomm,DorTail_AniSomm,Patch10_AniSomm,Patch11_AniSomm,Patch12_AniSomm,Rump_AniSomm,Throat_AniSomm,WingTip_AniSomm
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,46.6666666666,530.0,316.666666667,113.333333333,6.6666666666,26.6666666666,193.333333333,-40.0,39.9999999999,166.666666667,179.999999999,73.3333333334
179.16,99.9999999999,690.0,480.0,386.666666667,276.0,293.333333333,366.666666667,233.333333333,260.0,446.666666667,293.333333333,213.333333333
179.54,237.777733333,-8.88886666666,171.111133333,113.333333333,140.88884,175.5556,157.7778,133.333333334,151.111133333,137.777733333,177.777666667,164.444333333
179.93,153.333333333,-123.333333333,-1.6666666666,20.0000000001,35.9999999999,93.3333333332,66.6666666665,43.3333333333,3.33333333332,43.3333333334,83.3333333334,46.6666666667
180.31,60.7407333333,-429.2592,-215.555533333,-235.5556,-58.9628799999,-47.4074,-128.888933333,49.6296000001,-127.407466667,-108.888866667,-142.2222,-137.037
180.69,250.000000001,-2186.66666667,-1116.66666667,-1113.33333333,-352.0,-350.000000001,-640.0,283.333333333,-673.333333333,-609.999999999,-736.666666667,-753.333333333
181.07,-48.3333333331,1173.33333333,699.999999999,696.666666667,294.000000001,331.666666666,405.0,-58.3333333332,513.333333335,426.666666667,500.0,563.333333333
181.45,253.333333332,-4233.33333333,-2436.66666667,-2593.33333333,-963.999999999,-1266.66666667,-1086.66666667,693.333333333,-2033.33333333,-1333.33333333,-1966.66666667,-2260.0
181.83,-806.666666665,-5006.66666667,-3506.66666667,-3473.33333333,-1937.33333333,-2393.33333333,-2053.33333333,20.0,-3226.66666667,-2326.66666667,-3220.0,-3340.0
182.21,-636.666666667,-2688.33333333,-2055.0,-1803.33333333,-1098.66666667,-1486.66666667,-1256.66666667,-33.3333333328,-1813.33333333,-1393.33333333,-1873.33333333,-1953.33333333
182.59,237.037066667,707.777766667,560.740733333,499.259266667,323.7036,439.999866667,378.518466667,77.0371333333,465.1852,435.5556,501.481533333,542.222133334
182.97,142.029066667,322.028866667,275.507166667,248.9856,175.826053333,222.8986,193.043533333,78.2608666667,224.3478,241.449266667,242.608666667,271.3044
183.35,107.142933333,260.3572,223.809566667,194.999933333,145.904826667,168.095266667,143.5714,62.3808666667,171.6668,203.095333333,189.999933334,223.8096
183.73,92.9293333333,226.464766667,196.363633333,167.2728,133.697066667,145.252533333,122.8282,63.2324666667,149.899,185.050466667,169.899,198.181866667
184.11,135.416666667,397.5,345.625,289.583333333,214.166666667,237.083333333,187.083333333,88.75,250.833333333,329.583333333,298.75,350.0
184.49,124.285733333,414.523766667,364.761866667,305.7142,201.523786667,236.190333334,159.5238,72.3809333333,258.095266667,358.5714,305.238133333,355.238066667
184.87,255.0,735.416666667,677.916666667,575.833333333,378.333333333,430.0,295.833333333,177.5,491.666666666,651.666666667,565.833333334,639.166666667
185.25,1360.0,5119.99999999,4340.0,3786.66666667,2357.33333333,2620.0,1773.33333334,780.0,2980.0,4340.0,3693.33333333,4140.0
185.63,197.777733334,1547.7778,1183.33333333,1037.7776,559.111133334,528.888866666,262.222266667,-173.333266667,595.555600001,1248.88893333,917.777733333,1091.11106667
186.01,-140.952333333,459.047766667,299.047600001,280.9524,63.9999866667,64.7617999994,-508.5714,-821.904733334,-363.809466667,342.8572,131.428533333,224.761733334
186.39,-202.666666667,272.000000001,84.3333333346,180.666666667,5.6,7.9999999992,-798.666666667,-1153.33333333,-708.666666667,188.000000001,5.3333333334,18.0
186.77,-196.111133332,214.166633333,33.611133334,158.333533334,35.1110799994,29.4445333334,-983.333333333,-1366.66673333,-904.444533333,145.555599999,-6.6666666674,-36.6665999994
187.15,-255.0,179.166666667,-49.722233334,123.333400002,45.3334533326,-10.5555999986,-1317.7778,-1824.99986667,-1258.88893333,89.4444666674,-58.8887333346,-107.777799999
187.53,-388.148133334,237.777866668,-111.851833334,182.962933334,57.1852,-19.25926667,-2150.37026667,-3025.18526667,-2085.92593333,104.444533332,-102.222200002,-192.592600002
187.91,2183.33333334,-851.66666666,994.999999994,-700.0,-71.333333326,210.0,11790.0,16480.0,11490.0,-249.999999994,956.66666668,1483.33333333
188.29,-329.2308,169.230633333,-170.256433332,154.871933334,75.282,31.281933332,-2034.8718,-2878.46146667,-1986.15386667,89.230800002,-127.179533334,-241.025666668
188.67,-579.166666666,281.249999998,-377.916666668,265.0,160.0,45.000000002,-3786.66666667,-5343.33333333,-3700.83333334,132.5,-278.333333334,-497.5
189.05,-1380.00000001,395.833333326,-976.666666668,510.000000014,279.333333326,-23.333333334,-8601.66666666,-12168.3333333,-8570.00000001,149.999999986,-734.999999994,-1251.66666668
189.43,-287.843133332,134.902033334,-187.843266666,182.3528,138.195973332,50.980466666,-2192.54906667,-3118.82346667,-2174.902,96.078533334,-116.4706,-276.078333334
189.81,-68.9393999986,97.5000666674,-31.7425333334,119.394,106.242439999,72.575733332,-878.333333334,-1257.42413333,-874.848466667,84.6970666666,4.697,-74.2423333326
190.19,-11.9999333334,109.444533333,0.0556,118.111266667,115.066613333,85.333266666,-632.444466667,-920.111066667,-630.0,100.444466666,41.5555333326,-28.4444
190.57,9.128200002,110.358966667,13.282033334,123.076999999,123.979573333,92.2051333338,-570.256399999,-831.384599999,-565.538466667,107.384600001,54.8717333332,-8.5128
190.95,-3.452399998,107.559566667,0.5953666666,124.880933333,128.333266666,92.5000666654,-678.809533333,-985.357066666,-675.357066668,106.428733333,44.4047333326,-23.2143333332
191.33,-24.133333334,91.7999999994,-19.3333333326,112.8,115.493333335,89.6000000014,-785.999999999,-1136.66666667,-779.200000001,92.5333333306,26.7999999994,-61.3333333326
191.71,-24.3589333334,86.3461999994,-24.6155333334,103.076866667,113.256306667,90.8974666646,-760.256399999,-1097.17946667,-753.333400001,88.717866666,21.5385333334,-74.230733334
192.09,-20.1091999992,73.2786333332,-23.934433334,88.4152666666,98.8415200006,77.1584666668,-647.213066665,-934.644733333,-638.360800001,77.1584666666,18.4700666666,-62.623133332
192.47,-18.4616000008,66.256233334,-23.7436666666,85.9487333334,91.15892,68.5127999986,-614.051266666,-882.358866667,-607.487133333,70.9744,9.4359333328,-60.8204666672
192.85,-14.3433999994,63.8383999994,-18.7372999994,84.0403999994,86.040466666,71.7173333334,-603.838266666,-867.272733333,-601.616200001,69.1919333352,10.4040666674,-59.797933334
193.23,-5.7385333314,59.7889,-14.9789666666,72.2362666666,72.354466666,64.3880666668,-500.253266667,-717.6372,-500.084333333,61.9409333334,9.620333334,-47.8480666666
193.61,-9.0908,57.1429666672,-23.5497666674,71.9482666666,64.3117199992,59.0475333334,-521.471866666,-742.7706,-525.108199999,55.5844666674,-0.1731999994,-60.8658666666
193.99,-24.4791333332,50.2604,-41.1457666674,77.7082666666,62.2707733332,57.604133334,-636.875200001,-909.896066667,-648.437599999,54.0623999994,-20.0001333322,-84.7916000008
194.37,-43.9344000014,30.601,-49.1803666674,74.6447999994,50.0983999994,44.699333332,-674.644800001,-956.393466666,-694.317,38.6883333328,-39.8907333326,-101.311533335
194.75,-25.432066666,33.0041666666,-24.9793999998,68.0658666668,44.2304666668,45.1851999992,-503.127666667,-711.851800001,-513.004066667,36.8724666674,-23.3744666666,-69.8766
195.13,-5.9259333334,43.7374333334,-3.9394333334,71.1111333334,53.4276,51.8517333334,-395.6902,-565.925866667,-401.952866667,48.0133333334,-2.4914666666,-43.1650666664
195.51,7.9055333334,49.9703666666,7.7287333334,81.0618666668,59.8112799998,56.0471333332,-334.454266667,-479.822933333,-339.469066666,55.1621333334,9.3804000002,-20.0589333332
195.89,5.2426666666,48.9645,4.8543333332,89.4499333334,58.8866933334,57.9287333332,-376.828466667,-531.779933333,-374.304266666,54.1100666666,5.1133333334,-24.4013333334
196.27,9.2,47.0333333334,6.1333333332,92.8,60.52,60.9333333334,-392.4,-551.6,-389.333333333,52.2,3.9999999998,-26.4666666666
196.65,14.6924666666,51.4886000002,12.4271666666,88.932,64.9968666666,66.6018666666,-376.957733333,-531.650533333,-373.915866667,51.0680000002,11.3269333334,-22.6538000002
197.03,15.8063999998,45.4032666666,11.8816666668,74.3008666666,59.7848800002,57.5268666666,-309.462333333,-440.053666667,-305.699066667,45.5376000002,14.7848666668,-14.8924
197.40,18.5433333334,50.0559,14.5939333332,77.479,67.1932,63.0252,-320.448066667,-457.479,-314.061666667,50.8684,19.3276666666,-12.2127999998
197.78,23.0952666666,54.4345666666,18.5713333332,80.1783333334,75.0237466666,72.9166666668,-338.868933333,-483.392866667,-328.392799999,58.6905333332,22.8572,-4.8809333334
198.16,20.6059333334,52.9999666668,16.1817999998,76.7272666666,74.2060666668,72.0606,-348.060533333,-494.302999999,-333.030266667,55.3938,21.5152,-5.8786666668
198.54,14.3491333332,49.8094666668,8.0952333334,71.8729333334,71.7840133332,70.730066667,-371.365,-526.9206,-354.158733333,52.1269333334,16.0634666666,-10.6666666668
198.92,11.7362666666,48.3334666666,3.8193333334,72.1526666666,75.6389333334,72.7776666666,-406.1112,-582.4306,-396.5972,52.6388666666,15.6944666666,-17.9861333336
199.30,3.0303333332,38.5605666666,-9.6968666666,67.7273333334,69.5454266666,65.6817333334,-453.787866667,-650.303133333,-447.045466666,42.1212666666,4.9241333332,-33.3331999998
199.68,3.0452,43.0864666674,-7.2426,68.5598000002,76.559666666,75.3908666668,-495.802400001,-705.761333333,-485.432,46.584333334,5.4320666666,-41.7284666666
200.06,10.2621333334,44.9437666668,1.0861999998,65.9927333332,80.1047733332,74.3820000006,-440.823933333,-636.928866667,-438.5768,51.1609333334,12.0598666666,-32.7340666668
200.44,6.6666,45.6439666666,2.2350333334,67.4242,78.7727066666,75.3030000008,-443.787800001,-644.015133334,-447.499933333,51.363666666,15.6818666664,-37.197
200.82,2.4325333332,44.639466666,-5.7658333334,80.2702666666,82.9009199994,79.1892000006,-536.216200001,-773.873866666,-539.099200001,56.8469333326,8.8288666672,-54.3243333334
201.19,7.860733334,57.5122999998,1.9901333328,102.288466666,95.3632,98.4079333318,-585.373133334,-843.980133333,-589.054799999,70.447733334,14.626866666,-51.9402666674
201.57,3.7443333334,46.5297000006,-0.3652333334,92.237466666,83.963506668,89.4976666658,-540.365200001,-777.168999999,-541.004466667,60.913333332,8.0366000006,-53.242
201.95,15.7034666668,53.6667666668,13.9629999998,89.8518,85.7925599998,84.9629333334,-426.296266666,-619.037133333,-426.444533333,60.9629333334,20.0000666668,-32.6666666666
202.33,19.4443333342,63.3333666666,14.1269666666,99.0476666666,96.7618266666,94.7618000008,-452.936399999,-657.539799999,-454.365066667,69.6031333334,23.492,-35.7142666666
202.71,39.6624000002,83.8396333332,30.8439333332,122.7004,116.523239999,115.780733333,-465.822666667,-685.654000001,-469.789000001,87.2573999992,40.675133334,-24.7258666666
203.09,41.3725333332,92.7940666668,26.0785333334,138.333533333,129.215746667,127.058800001,-549.411866667,-805.784333333,-549.5098,92.7452000006,36.3723999998,-32.058866666
203.47,45.6249333328,105.208266666,32.7603999994,149.479066667,139.1042,139.375066666,-584.687666667,-849.271066667,-578.854266666,99.9998666666,41.9791999994,-32.6041999994
203.85,44.803933334,104.852933333,29.0198,141.274666667,131.09824,128.1372,-547.156866666,-800.490266667,-539.117733334,92.549066666,41.862666666,-27.0588666674
204.22,44.3289333334,99.567133334,29.307433334,127.7056,119.826773335,117.315933333,-476.623333333,-698.787866666,-468.311666666,83.8960666672,45.0216666674,-17.6623333336
204.60,52.5093333332,100.8989,34.4569666666,122.246933333,118.33704,112.059866666,-398.876533333,-588.539266666,-388.838933334,86.8164000002,47.9401333334,-3.4456
