wavelength,Back_BanArcf,Belly_BanArcf,Breast_BanArcf,Crissum_BanArcf,Crown_BanArcf,DorTail_BanArcf,Patch10_BanArcf,Rump_BanArcf,Throat_BanArcf,WingTip_BanArcf
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,-23.568962963,-38.3838888889,-20.707,-24.7475555556,-39.899,-32.8283333333,-16.6665555555,-26.5993333333,-31.8182222222,-26.0605333333
179.16,-2.16055555557,-25.0,-4.62977777777,1.85188888891,-7.40744444443,-26.8518888889,-7.40733333333,-21.6048148148,-5.55544444446,-17.7778222222
179.54,-116.931111111,-131.746,-111.111111111,-125.396888889,-122.222222222,-153.174666667,-112.698444444,-152.380925926,-125.396777778,-140.635022222
179.93,-123.045296297,-120.987777778,-117.284111111,-97.530888889,-97.5309999999,-120.987666667,-103.703777778,-150.617148148,-125.926,-164.938355556
180.31,-96.9051851851,-117.047222222,-115.525111111,-109.589111111,-126.636222222,-131.430777778,-82.0394444445,-124.200851852,-129.071444444,-132.085266666
180.69,-102.260666667,-126.551222222,-118.614777778,-113.131111111,-136.796444444,-133.549777778,-87.1573333332,-129.822111111,-134.054777778,-140.8082
181.07,-134.050037037,-163.978555556,-151.075333333,-145.161111111,-171.147,-163.530388889,-108.781333333,-164.755259259,-173.297444444,-182.544955556
181.45,-148.524814815,-178.530888889,-167.796444444,-168.738222222,-192.467111111,-177.495444444,-120.150666667,-183.364666667,-194.915333333,-199.924733333
181.83,-167.450259259,-203.846111111,-191.880333333,-195.940111111,-224.145111111,-202.884722222,-144.230777778,-214.814777778,-229.487222222,-228.376066667
182.21,-158.730037037,-202.721222222,-188.208666667,-196.371888889,-233.786777778,-205.328944444,-139.002222222,-210.355185185,-233.560111111,-218.322066667
182.59,-131.172777778,-175.925777778,-150.231444444,-174.074111111,-208.333333333,-177.546333333,-112.500111111,-185.725333333,-212.037111111,-186.944577778
182.97,-70.9970740741,-103.931555556,-85.4700000001,-102.051333333,-131.111111111,-107.607,-60.5127777778,-112.934518519,-138.974444444,-116.547044444
183.35,-26.2446296296,-49.7012222222,-32.4971111111,-47.1922222222,-67.8615555556,-52.0310555557,-20.9078888889,-59.1395555556,-75.0298888889,-60.0715333333
183.73,-6.45085185184,-26.7593333333,-10.6481111111,-19.2592222222,-37.8703333334,-26.2962777778,-5.55555555557,-34.3826296296,-42.3147777778,-30.5001333333
184.11,4.43455555557,-13.1517777778,2.7211111111,-4.91311111112,-23.0537777778,-11.3377222222,6.87822222223,-19.5767777778,-24.263,-14.1193777778
184.49,6.25418518519,-7.98399999999,8.05033333334,-0.199555555568,-15.1032222222,-7.98427777777,10.4456666667,-13.4177037037,-16.6335555555,-8.31664444443
184.87,9.23759259257,-1.50333333332,9.41177777777,1.83011111111,-9.60777777777,-6.24199999999,13.6598888889,-9.04137037037,-12.8757777778,-2.70602222223
185.25,15.2542592593,7.97244444444,14.7522222222,6.15188888889,-2.51088888889,-2.35416666667,18.5185555555,-3.0340740741,-3.82911111111,3.11360000002
185.63,21.0132222222,15.9471111111,21.1861111111,11.0535555555,4.7208888889,4.31788888889,24.0068888889,4.0108888889,5.06611111111,9.99426666667
186.01,24.1639259259,20.4962222222,24.1101111111,15.3721111111,10.8414444444,8.57622222223,28.5867777778,10.0684444444,10.5717777778,14.2828
186.39,24.8305185185,22.5873333334,23.9436666667,16.5885555556,14.4495555556,10.1721111111,28.2733333333,9.6332962963,12.1022222222,15.2842888889
186.77,17.1024074074,14.3246666667,15.1417777778,8.71455555557,5.33777777777,1.49788888889,19.7166666667,0.0180370370367,3.64922222221,8.42051111111
187.15,13.2106296296,9.86355555553,10.814,4.75333333333,0.534777777777,-2.4955,18.1223333333,-3.82274074073,-0.11888888888,3.33935555557
187.53,8.92896296298,9.36933333333,7.08711111113,1.98211111111,-1.50144444443,-3.00327777778,16.5165555556,-5.30522222221,-1.80188888888,1.69348888888
187.91,2.88529629629,6.62966666663,3.06922222223,-4.41988888888,-6.0158888889,-6.01594444446,13.8122222222,-8.08270370371,-6.01599999999,-2.77471111113
188.29,-2.81396296299,4.11255555557,-1.8037777778,-13.4921111111,-13.5642222222,-15.3680555555,8.65799999999,-13.6603333333,-11.8326666667,-8.44164444444
188.67,-6.2841851852,1.2752222222,-7.65033333333,-20.765,-21.4937777778,-23.7249444445,4.73577777778,-20.4311851852,-19.1255555556,-16.3206444444
189.05,-6.21362962961,2.6631111111,-4.04055555553,-22.865,-21.5795555555,-23.1865555556,6.06055555557,-20.2938888889,-20.1102222222,-12.2497111111
189.43,-6.19403703703,-0.383222222223,-5.17233333333,-20.6897777778,-21.456,-22.9886666667,7.47133333333,-21.2962222222,-25.0,-8.71655555557
189.81,-19.2901481481,-14.2361111111,-18.1711111111,-31.8286666667,-35.9953333333,-37.3263333333,-3.47222222223,-36.7671111111,-44.5598888889,-19.8380444444
190.19,-22.8195555556,-20.3106666667,-18.1601111111,-34.4085555556,-37.3953333333,-37.455,-2.2698888889,-38.430962963,-45.7586666667,-19.1876666667
190.57,-20.1742222222,-21.9607777778,-15.4248888889,-32.2875555556,-39.4772222222,-38.1698333333,3.13733333333,-33.6384444444,-46.0132222222,-18.2745333333
190.95,-6.7902962963,-11.396,1.13966666668,-24.3591111111,-22.5071111111,-27.2791111111,17.3788888889,-17.4738888889,-34.0456666666,-7.57826666667
191.33,0.194962962967,-5.99422222223,5.70177777779,-21.6375555556,-11.1112222222,-24.4885,17.69,-13.2067037037,-27.6314444445,4.9122222222
191.71,12.2461481481,-1.07533333333,15.233,-11.111,-3.40511111111,-22.8496111111,31.362,-5.25703703703,-22.5805555556,13.9786444444
192.09,22.7096296297,-0.292333333333,23.392,-8.1871111111,-2.63166666667,-30.1172222222,54.6784444445,-14.6197037037,-29.5321111111,26.081911111
192.47,27.3250370371,8.642,32.5926666666,10.8643333333,11.3580000001,-8.0246111111,49.3825555554,-6.41977777777,-6.66688888888,29.2841111111
192.85,18.5185925926,13.6453333333,32.1636666667,17.7387777778,14.2301111111,1.75444444443,33.528,-3.119,-1.55944444442,31.6957777778
193.23,24.8776666667,10.9013333333,35.4296666665,35.0105555556,22.8512222222,8.80494444443,33.9622222222,-5.3110740741,5.24122222223,31.8238000001
193.61,5.71655555567,4.1062222222,27.7778888888,23.913,9.90333333337,-6.03883333333,14.4927777778,-30.4347037037,8.9371111111,20.3864888888
193.99,14.8148148147,17.3611111111,42.3611111111,39.9305555556,13.5416666666,-8.68055555557,22.2222222222,-42.7083333335,25.3472222222,30.8333333333
194.37,-1.851814815,61.1111111113,122.222333334,114.814666667,-124.073888889,-145.370444444,-7.40744444467,-425.308666667,25.926,27.0369111113
194.75,146.296296297,71.111111111,47.7777777777,111.111111111,223.333333333,200.0,136.666666666,411.481481482,103.333333333,120.444444445
195.13,107.010740741,63.0953333333,69.0476666667,85.3175555557,133.730111111,128.373055556,97.2220000001,205.291074074,90.0794444447,100.079466667
195.51,139.407407408,81.7777777778,69.7777777777,108.444444444,180.888888889,166.0,115.111111111,256.296296296,111.111111111,125.333333333
195.89,197.642925926,128.787777778,104.545444445,155.050555556,226.767555556,205.808,174.747444444,330.976370371,159.596,164.141533333
196.27,343.915333333,228.571444444,194.444555556,303.174555555,365.079333333,345.634833333,335.714333333,552.910111111,291.27,306.031688889
196.65,221.185185185,144.888888889,139.555555556,192.888888889,227.555555555,205.111111111,207.555555556,324.740740741,204.888888889,182.577777778
197.03,135.714444445,112.103222222,110.317555556,128.968333333,142.658777778,135.317666667,129.166777778,185.780407407,136.507888889,128.293733333
197.40,120.665555556,100.966111111,96.6184444447,118.518444444,127.375222222,118.840666667,114.653666667,155.716555556,119.967888889,117.648955556
197.78,96.9775185184,88.5058888889,75.7342222223,97.0625555554,102.554333333,93.486777778,93.1035555555,120.008518519,105.619555556,95.887488889
198.16,100.63037037,96.6903333334,77.6596666668,99.8815555557,99.5270000001,92.080388889,93.4987777778,114.539037037,105.910222222,93.759
198.54,108.600740741,106.049333333,81.3580000001,107.777888889,105.185222222,98.2097777777,103.333333333,116.913592593,113.703777778,96.1480888889
198.92,106.023185185,103.928222222,70.8192222222,96.9697777777,98.3163333336,87.542,97.3063333333,103.853407408,106.621666667,83.1651777778
199.30,105.060296296,103.410333333,62.266,96.0394444445,91.8592222221,75.1373333332,92.8494444443,95.8195185185,95.4896666664,72.6952666668
199.68,94.6534814813,90.8603333333,55.7346666667,82.8853333333,78.2257777779,65.6810555556,84.4983333333,79.3308148148,81.1827777778,64.5697777778
200.06,85.5967407407,80.464888889,52.0696666667,77.1967777778,75.4538888889,62.8538888889,79.6657777778,72.5974444445,73.9288888889,59.8402222222
200.44,79.8942592592,74.6754444444,42.7851111111,68.0375555556,70.0577777778,56.8542222222,74.7474444444,65.5603333333,67.6767777778,50.6783777778
200.82,79.0557037038,74.1784444444,36.6196666667,68.0751111111,66.3537777778,53.9122222222,75.039,65.0755925926,62.5977777778,45.3991111111
201.19,73.9486296295,66.0075555556,19.2092222222,60.5461111111,56.9681111111,42.1373333333,72.1281111111,56.5285555556,48.305,31.2996
201.57,75.5890740741,64.2425555556,15.4545555556,59.4948888889,55.7575555555,40.9595,76.5657777777,55.6564444445,43.3333333333,26.2423777778
201.95,78.5184814814,62.6263333334,18.3837777778,60.0,58.0807777778,45.6061666667,82.3233333334,61.8518148148,43.6362222222,28.5049111111
202.33,77.5308888889,61.0582222222,12.3808888889,59.0475555556,57.1428888889,47.0898888889,86.6666666665,60.1764814815,41.1638888889,26.1798666667
202.71,83.6816666668,60.506,12.1011111111,59.9561111111,53.9055555555,45.5446111111,91.0889999998,59.0391481481,41.1442222222,28.3389111111
203.09,80.1851851852,52.0,11.8888888889,59.4444444445,48.1111111111,46.4444444444,90.6666666667,59.4444444445,36.0,31.2888888889
203.47,76.8192222221,43.6601111111,1.96077777778,51.7646666667,42.4836666667,45.7513888889,98.17,56.9063333334,27.9737777778,27.9477777778
203.85,78.9522962963,46.0704444445,6.91066666668,54.0648888889,45.9347777778,43.8346111111,105.149,64.4535555557,30.2168888889,34.4173555556
204.22,101.374037037,62.9033333333,11.6488888889,66.3082222222,55.018,54.8385000001,135.304666666,81.3621481482,40.6808888889,43.9066444445
204.60,97.6222592593,65.432,34.2934444444,75.0342222222,62.0026666667,63.374388889,122.770888889,86.4655925925,51.0288888889,53.9916666667
204.98,92.0148148147,67.4822222222,44.3423333333,73.2925555556,65.5454444444,65.2906111111,110.295666667,81.2436296296,58.2061111111,61.3455555555
205.36,93.1454444444,73.7146666667,54.8092222222,77.3631111111,72.388,70.3565555556,105.887222222,83.0568888889,67.33,66.6667555555
205.74,88.2964074073,71.7036666667,55.8518888889,77.1852222222,71.0368888889,69.5185555555,98.740777778,81.3087777779,68.2222222222,65.4962444444
206.12,87.7753333335,70.4738888889,54.3902222222,77.1563333333,74.825,68.2595,98.1352222224,78.3475925926,67.5212222222,63.6984888889
206.50,95.8789629627,72.9264444444,62.1281111111,81.0642222221,80.7511111111,71.2050555555,102.973444444,83.9854444443,73.5524444444,68.5915333333
206.87,97.8682962964,76.2591111111,65.9472222222,83.6131111111,86.6506666667,78.1373888889,107.753888889,88.1693333335,76.5787777778,72.8218666667
207.25,109.259296296,89.329888889,74.5148888889,91.1816666666,97.4427777778,88.8447222222,123.104111111,100.000111111,85.5378888888,82.6632666667
207.63,107.458111111,92.3135555557,80.5175555556,91.1720000001,99.163,89.4596666666,120.015111111,99.1882222222,89.1932222222,86.1187777778
208.01,116.344592592,99.839,84.6215555555,98.6313333336,107.165777778,95.9744444444,129.468555555,103.542592593,94.7665555556,91.8357333333
208.39,109.429592593,91.3743333333,78.6551111111,90.7893333332,96.3449999999,89.8024999999,120.614,95.0293703704,86.0381111111,84.2396666667
208.77,109.443333334,93.1567777778,79.323,88.1531111111,93.9662222221,90.3604444444,119.941222222,91.0226666667,84.1794444444,83.6938444444
209.14,111.693185185,93.6507777778,83.0158888889,90.2382222223,96.5079999999,92.3016111111,121.587444444,91.931148148,82.142888889,83.6190888889
209.52,112.797222222,93.2836666667,80.597,92.6203333334,98.0097777778,94.1541666667,123.217111111,91.8740000001,81.6749999999,84.3781333333
209.90,127.288888889,104.533333333,90.1333333332,100.977777778,109.066666667,103.2,136.0,101.62962963,91.6444444444,93.2622222222
210.28,141.169259259,121.304,105.234111111,114.325222222,119.191888889,114.600444444,151.515,114.875888889,104.499666667,108.521466667
210.66,133.870148148,116.344666667,101.610444444,107.085333333,113.365555556,111.996944445,142.834333333,111.111074074,98.9532222222,109.0016
211.03,135.265740741,117.471888889,105.072555555,106.682888889,113.445888889,109.581333333,142.914666667,113.553444444,94.525,107.681155556
211.41,137.06562963,118.376,107.436,110.170777778,116.239333334,112.136666667,147.777777778,114.102666667,95.1281111111,108.324822222
211.79,151.327148148,129.166777778,117.037,120.277888889,129.074,126.759388889,165.833333333,128.024592592,106.389,116.4258
212.17,148.629814815,126.287111111,116.350555555,120.957555555,129.719777778,130.216722222,165.311666667,130.262037037,110.117555555,115.266644444
212.55,152.605148148,133.615777778,121.468777778,130.225777778,141.619444444,135.922722222,171.845555556,137.790296297,115.065888889,120.414177778
212.92,174.440962963,147.084777778,132.893333333,145.104555556,161.386222222,152.805277778,196.479666667,155.335444444,128.052777778,135.291666667
213.30,182.407407408,152.083333333,132.754666667,143.171222222,166.551,156.365888889,208.102,161.805592593,133.796444445,137.662022222
213.68,193.621333334,162.839555556,138.765444444,141.605,174.938333334,158.395111111,216.173,170.987777778,141.481555556,141.827333333
214.06,199.603148148,167.989222222,144.312222222,143.386333333,180.555666667,159.854388889,222.883555556,178.659666667,139.550222222,148.201044444
214.44,186.377222222,154.917,136.526,133.461111111,170.114777778,155.619277778,212.133,169.178259259,129.374333333,138.237711111
214.81,213.764481481,182.255444444,157.711333333,148.590333333,196.351666667,179.187333333,250.746111111,201.437222222,145.439444444,154.991577778
215.19,213.748777778,186.195222222,156.060555556,150.336666666,194.444444444,182.154722222,251.010111111,200.785592593,155.892222222,160.707155556
215.57,192.402703704,173.931777778,148.717888889,138.889,179.914555556,166.666777778,221.367666667,182.906185185,147.720666667,155.071044444
215.95,199.165481481,176.525555556,153.990555556,145.54,185.602444444,158.294166667,223.161111111,185.341740741,146.635222222,159.342777778
216.32,205.337666667,181.699444444,166.993555555,143.790888889,185.294111111,152.941333333,223.529333333,190.522925926,144.771111111,162.026333334
216.70,218.822074074,193.078444445,178.506555555,151.184111111,193.624888889,157.194666667,242.623,202.610851852,153.916333333,167.796111111
217.08,265.851851852,249.111111111,224.666666667,191.555555556,244.0,191.111111111,297.777777778,255.925925926,194.666666667,213.822222222
217.46,361.06362963,350.427444444,309.686666667,282.905888889,337.321888889,273.219333333,397.720777778,343.779666667,286.609777778,299.316222222
217.83,471.358074074,458.889,424.444444444,393.333333333,433.703555555,375.926,525.555444444,451.481518519,372.592666667,402.0
218.21,649.919555555,626.086777778,589.855,549.758555556,582.125777778,535.507333333,724.154666665,613.687481482,531.401,550.917822222
218.59,586.419740741,551.851888889,524.691333333,491.358,522.633888889,474.897,629.218333333,546.776444444,490.123444444,486.008266667
218.97,905.144074074,824.074333333,796.296222222,769.136000001,815.431999999,719.136,959.876555555,813.580407407,766.666555556,731.358177778
219.34,-8038.88888889,-6966.66666667,-6688.88888889,-6550.0,-7038.88888889,-6188.88888889,-8416.66666667,-7085.18518519,-6594.44444444,-6315.55555556
