wavelength,Back_ButAurm,Belly_ButAurm,Breast_ButAurm,Crissum_ButAurm,Crown_ButAurm,DorTail_ButAurm,Patch10_ButAurm,Patch11_ButAurm,Patch12_ButAurm,Rump_ButAurm,Throat_ButAurm,WingTip_ButAurm
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,26.6666666666,0.0,30.0,40.0,20.0,23.3333333334,3.33333333334,20.0,26.6666666666,6.66666666666,40.0,46.6666666666
179.16,16.6666666667,0.0,33.3333333334,36.6666666666,20.0,26.6666666666,23.3333333334,26.6666666666,20.0,36.6666666666,63.3333333334,46.6666666666
179.54,-8.88886666666,-11.1110666667,-15.5556,-22.2222,-2.22226666666,-8.88886666666,-13.3333333333,-20.0,-13.3333333333,-33.3333333334,-37.7778,-22.2222
179.93,11.1111333333,17.7778,22.2222,44.4444666666,6.66666666666,15.5555333333,31.1110666666,24.4444666666,28.8888666666,35.5555333334,46.6666666666,48.8888666666
180.31,105.014666667,38.1134,68.1232,57.2042666667,41.9648000001,48.2600666667,24.8779333333,75.8066,64.9756000001,60.391,50.1074666667,70.7038666668
180.69,104.4048,39.8810666667,70.2778666667,61.7460666667,42.3808666667,52.9762666667,25.8334,79.2460000001,67.3015333333,61.2698000001,58.6904666667,80.9525333335
181.07,98.4894000001,45.5829333333,69.9917333333,66.0015333333,48.6043333334,60.2216666667,37.9638666667,81.8391333333,74.6962,71.3136000001,72.4466,87.9148
181.45,91.1249999999,47.5972666667,66.1805333334,65.7222000001,53.6249999999,60.5138666667,43.8333333333,79.2084000001,75.8889333333,73.6943999999,77.7222666667,87.2777999999
181.83,93.9838666666,48.6451333333,74.1559333333,61.6559999999,57.0752666667,69.8978,47.4784,80.9893333333,76.5000666667,73.6774666666,70.0592,85.5806666666
182.21,89.7114666666,48.5714,72.7272666667,58.6869333334,53.9971333334,74.0115333333,45.1516,77.7345333333,74.2857333333,71.9047333334,68.1096666666,84.6175333333
182.59,90.1573333333,44.8724666667,68.5629333333,51.1479333333,50.3528666666,75.8587999999,46.3732666667,74.4387999999,68.2228,71.6666666667,56.7772666666,80.9906666667
182.97,93.3546,35.1303333333,68.3649333333,36.0113333333,40.8738000001,89.2671333334,41.5574,77.2516666666,71.4236666667,74.5455333334,48.4003999999,85.8491999999
183.35,74.5453999999,23.6969333333,57.1636666667,26.6424666667,32.0424666667,71.7635999999,29.4,61.3029999999,51.7636666667,60.8788,41.5091333332,72.1212000001
183.73,60.5556,10.7778666667,48.5556,7.50000000001,17.6666666666,58.7777999999,16.2222,47.4445333334,30.9999333334,46.0555333334,25.9444666667,57.5556666667
184.11,68.7223333334,18.2637333333,62.2684666667,9.82793333333,32.6454,69.5494666667,21.4660666667,56.7976666666,41.8345333334,54.1114000001,31.3348666667,69.5413333334
184.49,65.5285333334,32.7301333333,69.5934666667,29.7823333333,49.7508666667,67.2751333333,34.0310666667,58.0486666667,46.1579999999,58.3268666667,45.5076000001,74.9594666668
184.87,61.2366666667,32.6728666667,68.6348,31.2100666667,50.4255333333,65.0753999999,36.5646666667,59.0026666666,49.2952000001,56.5204000001,42.2473333333,66.9282
185.25,53.4391333333,27.0899333333,60.7407333333,26.5186,42.0952666667,57.7566666667,28.9736,49.2909333333,43.1112,49.9683333334,36.91,56.9945999999
185.63,57.2222000001,33.4259333333,63.9814666667,27.8241333333,45.6944,62.5462000001,32.6852,50.4166666667,44.4907333333,52.1759999999,37.3148,56.0183333333
186.01,53.8549333333,36.0772,62.4262666667,30.9524666667,47.9364666667,60.7710000001,34.331,44.2630666667,47.619,51.2472666667,41.5194000001,53.6281333333
186.39,51.6593333333,42.4889333333,61.6296666667,33.6740666667,51.4814666667,59.0370666667,37.5704,44.0444,48.8,53.6592666667,46.0296000001,58.3111333333
