wavelength,Back_ButWetm,Belly_ButWetm,Breast_ButWetm,Crissum_ButWetm,Crown_ButWetm,DorTail_ButWetm,Patch10_ButWetm,Patch11_ButWetm,Patch12_ButWetm,Rump_ButWetm,Throat_ButWetm,WingTip_ButWetm
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,300.0,316.666666667,300.0,50.0,250.0,116.666666667,183.333333333,300.0,300.0,250.0,350.0,100.0
179.16,50.0,50.0,137.5,50.0,79.1666666667,75.0,25.0,116.666666667,158.333333333,100.0,104.166666667,33.3333333333
179.54,-20.8333333333,16.6666666667,-8.33333333333,8.33333333333,-50.0,-20.8333333333,-108.333333333,12.5,125.0,75.0,8.33333333333,-16.6666666667
179.93,54.1666666667,66.6666666667,58.3333333333,104.166666667,100.0,12.5,4.16666666667,108.333333333,133.333333333,-50.0,162.5,25.0
180.31,-1.389,31.25,47.9166666667,4.16633333333,52.0833333333,54.861,-86.8056666667,91.6666666667,86.111,56.25,92.3613333333,-40.278
180.69,-3.77366666667,37.107,43.396,-4.40233333333,45.283,61.0063333333,-77.9876666667,92.453,79.2453333333,47.17,83.019,-28.931
181.07,-16.1293333333,31.7206666667,33.871,-11.2903333333,34.4086666667,60.215,-61.828,81.7203333333,66.129,29.032,69.8923333333,-23.6556666667
181.45,-23.656,34.946,26.8816666667,-14.5163333333,33.3333333333,56.4516666667,-52.688,69.8926666667,54.8386666667,33.871,68.2796666667,-28.4943333333
181.83,-31.1593333333,27.5363333333,39.1303333333,-30.435,50.7246666667,79.7103333333,-53.623,89.1303333333,55.0723333333,56.522,94.2033333333,-35.5073333333
182.21,-20.155,37.2093333333,43.4106666667,-35.659,62.7906666667,105.426,-31.008,100.0,47.287,100.0,88.3723333333,-27.132
182.59,-28.7036666667,69.4443333333,58.3336666667,-44.4443333333,64.8146666667,137.037,-27.778,115.741,24.074,113.889,91.6663333333,-20.3703333333
182.97,-60.0,81.3333333333,44.0,-126.666666667,72.0,145.333333333,-50.6666666667,132.0,-30.6666666667,116.0,73.3333333333,-16.0
183.35,-83.3333333333,90.278,59.7223333333,-112.5,66.6663333333,151.389,-48.611,113.888666667,-61.1113333333,87.5,43.0556666667,-8.33333333333
183.73,-75.0,106.944333333,66.6666666667,-111.111,61.111,140.277666667,-18.0553333333,87.4996666667,-68.0553333333,79.167,16.667,8.333
184.11,-169.047666667,171.428666667,83.3333333333,-221.428333333,92.857,192.857,-2.38066666667,76.1906666667,-135.714333333,135.714,59.524,35.7143333333
184.49,-66.6666666667,184.210666667,107.017333333,-147.368333333,85.965,161.403666667,87.7193333333,80.7016666667,-73.6843333333,89.474,114.035,91.2276666667
184.87,2.469,148.148333333,128.395333333,-58.0246666667,127.160333333,138.271666667,98.7653333333,96.296,-0.000333333333342,144.444,129.629333333,87.6546666667
185.25,31.25,193.75,200.0,-104.166666667,197.916666667,189.583333333,104.166666667,114.583333333,-62.5,256.25,191.666666667,143.75
185.63,102.564,271.794666667,307.692333333,-133.333333333,246.154,335.897333333,151.282,199.999666667,-48.718,300.0,248.718,276.923
186.01,66.6666666667,132.323333333,143.434,-24.2426666667,90.909,159.596,70.707,86.8686666667,-22.2223333333,84.848,112.121333333,137.374
186.39,44.0863333333,131.182666667,148.387,-65.5916666667,48.3866666667,151.613,47.3116666667,58.0646666667,-41.9356666667,41.935,101.075,131.183
186.77,54.4716666667,91.057,117.886333333,-40.6506666667,43.9023333333,125.203333333,71.5446666667,52.8456666667,-15.447,53.659,78.0486666667,117.073333333
187.15,65.6866666667,109.804,135.294333333,-27.451,55.8823333333,188.235,80.3923333333,72.549,-0.980333333333,73.529,99.0196666667,146.078333333
187.53,79.8243333333,96.4913333333,142.982333333,-24.5613333333,68.421,178.947333333,95.614,71.9296666667,24.5613333333,115.789,101.754666667,145.614
187.91,79.845,68.2166666667,123.255666667,-13.1783333333,73.6433333333,178.294666667,97.6743333333,72.8683333333,31.0076666667,104.651,86.8216666667,129.457333333
188.29,75.0,60.0,110.0,5.55533333333,48.889,138.333666667,73.3333333333,60.5556666667,36.1113333333,85.0,61.6666666667,111.666666667
188.67,62.5733333333,42.105,102.924,-2.33933333333,40.936,139.181,69.0056666667,54.386,32.7486666667,75.439,39.1813333333,114.62
189.05,67.284,64.8146666667,111.111,-8.02466666667,33.3336666667,151.234666667,73.4566666667,51.852,16.6666666667,37.037,40.7406666667,122.839666667
189.43,81.356,81.921,122.598666667,11.2993333333,50.2823333333,159.322333333,102.825,77.4013333333,35.5933333333,62.712,50.8476666667,126.553666667
189.81,76.7196666667,71.958,111.64,10.053,47.09,143.915333333,100.529333333,87.831,27.5133333333,57.143,51.852,117.989333333
190.19,78.862,92.683,160.163,-12.195,65.0403333333,195.122,144.715666667,133.333,21.1383333333,60.976,50.4063333333,146.341333333
190.57,70.213,73.759,150.354666667,0.0,60.993,169.503333333,118.439666667,119.858333333,17.7303333333,61.702,39.007,129.787
190.95,97.7273333333,95.4546666667,171.212,17.4243333333,83.3333333333,199.242666667,140.151666667,146.212,50.7576666667,88.636,63.6363333333,143.181666667
191.33,97.619,86.3096666667,176.785666667,23.8093333333,80.3573333333,177.381333333,145.833666667,136.905,55.357,73.214,62.5,135.119
191.71,105.82,88.36,168.783,22.2223333333,83.069,187.830666667,138.624666667,139.682333333,54.4976666667,55.556,76.7196666667,132.275333333
