wavelength,Back_CalCocf,Belly_CalCocf,Breast_CalCocf,Crissum_CalCocf,Crown_CalCocf,DorTail_CalCocf,Rump_CalCocf,Throat_CalCocf,WingTip_CalCocf
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,-75.0000000001,-20.8333333333,-45.8333333333,-20.8333333333,-74.9999999999,-66.6666666667,-58.3333333334,-29.1666666667,4.16666666658
179.16,16.6666666667,2.08333333333,-10.4166666667,79.1666666666,10.4166666667,31.25,35.4166666667,-8.33333333332,8.33333333335
179.54,30.0,-10.0,28.3333333334,50.0,23.3333333334,1.66666666665,21.6666666667,3.33333333333,35.0
179.93,150.0,-41.6666666667,162.5,87.4999999999,100.0,16.6666666667,95.8333333333,41.6666666668,70.8333333334
180.31,56.5789166667,13.5965833333,35.307,65.5700833333,41.8859166667,26.7543333334,34.64925,21.05275,38.8158333333
180.69,56.43925,17.9924166667,39.2045833333,64.01525,42.2348333332,24.0530833333,38.6364166667,23.8635833334,39.2045833333
181.07,58.6538333333,24.359,44.0705,63.6218333333,46.15375,25.6411666667,41.8270833333,27.56425,40.8655
181.45,58.507,23.26375,44.0971666667,60.243,43.7499166667,20.4860833333,37.6735833333,27.4305,38.0208333333
181.83,59.2014166667,27.60425,43.2291666667,57.9861666667,44.6181666666,18.9235833333,38.0208333333,30.5556666666,38.3680833333
182.21,56.2894166667,33.3333333333,40.4089166667,57.2328333333,42.45275,20.75475,37.8930833333,36.1635833333,40.0944166667
182.59,47.6851666667,32.09875,38.8889166667,50.0,37.5,16.3580833333,35.1850833334,35.03075,37.5
182.97,50.6666666667,33.6666666667,43.8333333333,55.5,38.8333333333,14.3333333334,42.1666666667,39.5,39.1666666667
183.35,52.8846666666,38.9424166667,45.0320833334,55.1280833333,41.1859166667,16.6665833333,48.5575833333,46.3140833333,43.5895833333
183.73,45.4400833333,37.8931666666,38.9935833333,45.7545833333,33.1760833333,11.00625,43.239,40.5660833333,35.22025
184.11,43.3334166667,39.9999166667,41.6665833333,45.4165833333,31.1110833333,17.2223333333,44.86125,43.8889166667,33.47225
184.49,36.8644166667,37.2881666667,40.113,38.1355,31.0734166667,12.7118333333,41.6665833333,37.9943333333,25.7061666666
184.87,33.4769166667,36.92525,39.22425,35.3448333333,30.7471666667,15.6608333334,41.81025,36.0633333334,24.569
185.25,31.3829166667,36.8793333333,40.6028333333,33.3333333333,33.156,14.539,43.43975,35.81575,19.5034166667
185.63,38.141,41.66675,47.7565833333,39.2628333333,44.0705833334,25.0,50.80125,41.3461666667,30.4488333333
186.01,31.0458333333,35.9476666667,45.2615,36.7645833333,39.379,21.8955,47.7124166667,33.33325,21.8955
186.39,29.3859166667,35.6725,43.27475,34.5030833333,39.1814166667,24.8536666667,49.2688333333,27.4855,20.1753333333
186.77,34.091,37.879,46.81825,38.6365833333,43.0303333333,28.3333333333,54.8485,28.485,19.3938333333
187.15,38.793,42.2414166667,51.0056666667,40.2298333333,47.9885,32.0401666667,56.0343333333,31.60925,20.6896666667
187.53,34.1195833333,36.63525,46.2263333333,32.0755,44.4969166667,26.8869166667,51.4150833333,24.3708333333,8.96225000002
187.91,35.461,34.3970833333,46.4538333333,32.9786666666,47.51775,26.5955833333,56.5604166667,23.0496666667,7.26949999999
188.29,29.1665833334,27.174,37.1374166667,25.1811666667,42.2101666667,15.5796666667,46.92025,13.7680833333,2.53624999998
188.67,35.3395,33.1789166667,40.4321666667,33.6419166667,44.2901666667,26.2345833333,45.0618333333,24.6914166667,13.7345
189.05,43.39075,40.661,43.1035,39.9424166667,51.00575,33.9081666667,47.1263333333,31.4654166667,18.6781666667
189.43,46.6666666667,43.2143333333,42.857,40.7143333333,50.35725,37.4998333333,48.6905833333,35.9524166667,24.881
189.81,43.5714166667,41.4286666667,38.6905,37.97625,44.7618333333,33.5715,46.4285833333,33.0953333333,17.381
190.19,49.6211666667,45.2020833334,39.3938333333,38.5101666667,48.99,39.1414166667,49.3686666667,37.6261666666,19.8231666667
190.57,43.0555833334,37.5000833333,28.8579166667,32.2531666667,44.29025,30.5555,39.5060833333,29.16675,5.86416666668
190.95,42.0976666666,37.6435833334,23.27575,31.7529166667,44.5403333333,31.1780833333,39.6551666667,30.7471666667,10.3448333333
191.33,42.7778333333,40.8333333333,21.5278333333,34.5831666667,47.63875,36.1111666666,44.8611666667,34.4445833333,15.1389166667
191.71,46.9575833333,48.4126666667,28.0424166667,39.418,52.3809166667,41.2698333334,50.3968333333,40.3438333333,21.5609166666
192.09,47.94875,51.5384166667,31.4103333333,40.3845833333,53.2050833333,42.94875,51.02575,42.8205,21.9231666667
192.47,55.6498333333,59.4634166667,38.7006666667,44.0679166666,60.59325,51.6950833333,59.1806666667,52.2599166667,23.1638333333
192.85,57.59275,63.5184166666,34.9999166667,40.18525,59.2593333333,55.926,68.1480833333,52.4074166667,16.6666666667
193.23,48.8889166667,63.0555,23.3333333333,31.1111666667,47.5,52.5000833332,70.8332499999,51.1111666668,-6.389
193.61,33.8541666667,73.4375000001,-5.20833333343,12.5,33.3333333333,46.3541666667,81.2499999999,48.4375,-54.6875
193.99,13.0952499999,71.4285833334,-24.9999999999,-12.5000000001,28.5715833333,43.45225,71.4286666667,35.7142499998,-67.2619166667
194.37,-0.000166666675,84.7220833334,-35.4165000001,-19.4443333333,33.3334166666,24.3055000001,87.5000000002,40.9722500001,-77.0834166667
194.75,88.8888333332,238.889,-8.33325000008,4.16666666675,138.88875,102.777916667,255.555416667,159.72225,-83.3334166668
195.13,16.6666666685,-975.000000001,391.666666667,499.999999999,-191.666666667,-83.3333333335,-875.000000001,-424.999999999,1050.0
195.51,64.1026666665,-6.4101666667,78.8461666667,115.3845,58.3334166666,60.8973333334,4.48708333332,37.8205833334,150.0
195.89,65.5796666666,28.6231666667,73.5507500001,88.7681666667,63.76825,63.0434999999,30.79725,51.4492499999,113.768083333
196.27,61.2904999999,31.7204166667,65.8601666667,76.8816666667,59.94625,58.8709166666,35.2150833333,49.73125,96.2366666666
196.65,68.9394166667,38.13125,76.7676666667,79.5454166666,65.4040833333,66.1615,41.6666666667,65.9090833332,96.7170833334
197.03,62.0371666667,31.9443333333,70.3704999999,68.7500000001,51.85175,63.1943333334,35.8796666666,59.7220833333,89.81475
197.40,61.1111666668,29.5455,78.2829166667,77.0203333333,52.7776666667,66.6666666666,35.1011666667,66.41425,97.2222499999
197.78,67.8161666668,31.32175,91.9539999999,87.64375,58.3333333333,69.8275000001,36.49425,75.2874166667,112.068916667
198.16,55.6910833334,34.1463333333,74.7969166667,73.374,54.87825,63.0081666666,34.5529166667,62.8048333334,89.0244166667
198.54,42.683,21.54475,62.1951666667,62.1951666667,47.1545,47.7644166667,27.0325833333,52.439,79.6748333333
198.92,60.0490833333,30.8824166667,76.2255000002,83.5783333334,68.6274166667,59.3137500001,43.38225,67.4020833334,103.676583333
199.30,59.2104166667,34.8683333333,76.0964166667,86.6228333334,71.9299166667,59.4298333333,43.4211666667,69.0789166666,99.1227500001
199.68,55.8080833333,26.7675833333,85.3535833334,84.0909166667,76.2625833334,57.0705833333,39.1415,68.4343333332,102.020083333
200.06,63.2184166667,24.7126666667,94.5400833333,96.5518333333,88.2183333333,58.6206666666,46.8390833333,78.1609166666,111.207
200.44,70.4300833333,33.6020833333,100.268666667,104.83875,97.3119166665,61.2903333332,55.9139166667,84.4085833333,107.79575
200.82,71.7171666667,35.3535,94.192,101.26275,99.4950833332,61.3636666668,59.0909166667,85.6060833334,105.808083333
201.19,80.85575,47.74775,93.24325,110.135166667,112.612666667,73.4232500001,70.0450000001,91.6665833334,99.5495000001
201.57,76.5871666667,51.7855833333,89.28575,101.1905,105.35725,73.21425,67.6585833333,86.9046666667,89.6825833333
201.95,65.5,50.5,80.1666666667,87.1666666667,92.8333333333,67.3333333333,61.8333333333,75.8333333333,78.3333333332
202.33,61.8333333333,46.5,72.1666666666,79.8333333333,89.5000000001,65.1666666667,59.5,71.6666666667,74.1666666667
202.71,79.5596666667,64.3081666666,85.3775,94.8113333334,104.717083333,81.6037499999,74.5283333334,87.26425,87.7358333334
203.09,75.4311666667,61.3505833333,82.0402500001,87.7874166665,98.99425,79.0230000001,71.1206666667,83.6208333333,79.4540833333
203.47,75.744,61.756,82.5894166667,85.1190833333,97.1725833332,79.9106666667,73.512,81.2500000001,78.5713333333
203.85,74.3826666667,58.7964166667,78.0864166666,82.7160000001,91.0495833334,75.7715833334,70.52475,75.9258333333,73.7655
204.22,67.9825833333,56.5788333333,72.8070833333,77.6315000001,86.4035833333,75.4385,63.4503333334,69.1521666667,67.8361666667
204.60,67.6280833333,58.8141666667,74.9999166667,77.5640833332,88.1409999999,80.6089999999,63.4615833333,69.7115,69.0704166667
204.98,62.73575,57.0754166667,71.8554166667,74.8427500001,83.8051666666,75.47175,60.69175,63.8363333333,63.67925
205.36,60.54425,55.7823333333,72.1088333334,71.2584166666,81.4625833332,73.29925,59.8639166667,63.4354166667,63.2653333333
205.74,59.0579166667,55.4349166667,65.0361666667,70.8335,79.34775,72.645,59.4201666666,60.3259166667,58.5145
206.12,55.0724166666,49.8188333333,56.1595,65.3985,78.2608333333,66.1233333334,53.0796666666,55.0725,51.2681666667
206.50,53.4090833333,49.0530833334,61.3636666667,66.2879166667,78.9773333333,63.447,52.27275,54.1665833333,45.265
206.87,34.35375,33.16325,47.1088333333,47.4490833334,59.5236666666,44.8979166667,37.415,33.8436666667,25.6801666667
207.25,31.04575,32.5163333333,46.40525,43.13725,56.0456666667,43.7909166667,32.67975,30.3921666667,21.56875
207.63,28.2678333333,33.66,44.7711666667,43.62725,58.9868333334,42.4835,33.4966666667,30.5555,18.95425
208.01,28.5311666667,35.8755833333,44.06775,42.6555,58.8982500001,43.6440833333,34.322,34.18075,20.0565
208.39,32.7869166667,37.1585,44.8086666667,40.71025,56.1475833334,41.6665833333,38.66125,36.7485833333,18.5791666666
208.77,30.2085,31.5105,39.4531666667,36.4583333333,49.6094166667,35.2866666667,35.8073333333,32.6823333333,13.9324166667
209.14,28.4720833333,26.25,36.1110833333,30.5555,47.3611666667,35.0000833333,34.8609166666,28.75,8.19458333333
209.52,24.70225,21.8749166667,34.0774166666,26.3391666666,44.1964166667,34.2260833333,30.50575,22.9166666667,1.93441666667
209.90,28.0701666667,22.95325,38.1578333333,26.6081666667,45.9065,35.81875,29.5321666666,26.0234166666,4.38599999999
210.28,36.5151666667,31.96975,45.9090833333,33.4849166667,51.96975,41.212,38.9393333333,36.6665833333,7.72725000002
210.66,34.9674166667,31.04575,45.4248333333,33.987,50.4903333333,41.3399166667,38.562,35.94775,2.77775
211.03,43.5184166667,39.4445,54.815,40.1850833333,60.0000833333,49.8148333333,46.2963333333,48.5184166667,4.25925
211.41,39.2275833333,31.504,50.8130833333,37.8049166667,54.6749166666,45.7316666667,42.88625,46.1381666667,-6.09749999997
211.79,35.5158333333,25.5953333333,47.6190833333,31.94425,46.0318333334,43.0556666667,36.7063333333,45.2380833333,-14.08725
212.17,47.0084999999,33.3333333333,55.1281666667,42.9488333334,58.76075,57.906,50.6410833333,56.1965833333,-8.54691666667
212.55,33.0882500001,21.0783333333,43.8725,34.3138333334,54.1666666667,53.4313333333,40.68625,48.0393333333,-24.7548333333
212.92,31.3888333334,17.22225,36.3888333334,32.4999166667,52.77775,60.0000833333,41.3888333333,48.6111666667,-41.389
213.30,23.8506666666,18.9655833333,33.6204166667,34.4828333333,51.72425,55.1725,34.7701666667,51.43675,-45.4021666666
213.68,16.3193333333,15.97225,31.25,39.2360833333,54.1666666668,55.90275,42.36125,53.4721666667,-61.1110000001
214.06,-12.2548333334,-1.96075000001,20.58825,31.8628333333,39.7059166667,56.3726666668,37.7451666666,42.1568333334,-120.098
214.44,-116.666666667,-92.5926666665,-44.4443333333,-12.9628333333,-5.55558333342,30.5555,-23.1481666668,-16.6666666667,-291.66675
214.81,-260.416666667,-216.666666667,-127.083333333,-60.4166666667,-50.0000000002,68.7499999999,-64.5833333333,-58.3333333332,-614.583333333
215.19,525.0,397.22225,391.666666667,219.444416667,227.77775,77.7776666667,247.22225,294.444416667,991.666666667
215.57,820.833333335,566.666666666,679.166666666,379.166666668,304.166666666,150.0,345.833333333,520.833333333,1554.16666666
215.95,231.944583333,155.555583333,225.000166667,101.388916667,59.7221666667,18.0555833332,118.0555,133.333333333,473.611166667
216.32,248.61125,163.888833333,237.5,120.83325,77.7779166666,59.7222500001,168.05575,154.166666667,494.444416667
216.70,280.5555,136.111083333,266.66675,47.2222500001,-16.6666666665,-44.4444166668,200.0,99.9999999999,811.111083333
217.08,-105.5555,69.4445000001,-36.1111666666,133.333333333,238.88875,152.77775,-86.1111666667,38.8890833335,-597.222166667
217.46,59.9999999999,183.333333333,150.0,230.0,251.666666667,203.333333333,74.9999999999,126.666666666,-243.333333333
217.83,52.0833333334,155.208333333,122.916666667,135.416666666,176.041666667,116.666666667,59.3750000002,107.291666667,-130.208333333
218.21,69.6970833333,143.18175,115.1515,111.363583333,163.636333334,107.57575,75.7575000002,110.606,-62.1211666667
218.59,73.2144166667,129.761833333,114.881,97.6189166665,141.071416667,116.666666667,80.9524166667,105.357166666,-29.7618333332
218.97,76.3889166668,152.083416667,122.916583333,105.5555,175.000083333,136.8055,84.7223333333,123.611166667,-40.2776666667
219.34,74.3589166666,132.05125,116.666833333,98.7180833333,158.974166667,137.1795,89.7436666667,132.05125,-24.9998333333
219.72,116.666583333,190.740833334,165.740833333,135.18525,215.74075,198.148166666,115.74075,201.851666666,-14.8148333332
220.10,90.7409166666,175.926,164.81475,120.37025,194.444333333,192.5925,129.6295,183.333333333,-21.29625
220.47,88.8890000003,383.333166667,347.222333334,188.888916667,408.33325,430.5555,277.777583333,411.111083333,-236.111166667
220.85,-70.8333333334,450.0,354.166666667,70.8333333333,441.666666667,529.166666666,391.666666668,425.0,-529.166666667
221.23,-258.333333333,304.166666667,204.166666667,-112.500000001,279.166666667,425.0,266.666666667,329.166666667,-704.166666667
221.61,1183.33333333,33.3333333325,391.666666667,1108.33333333,133.333333333,-383.333333333,250.000000001,-41.6666666675,2083.33333333
221.98,-247.916666667,29.1666666665,-70.8333333335,-200.0,45.8333333335,181.25,-37.5000000001,52.0833333334,-468.75
222.36,-285.416666667,12.5,-131.25,-204.166666667,33.3333333334,135.416666667,-79.1666666667,25.0000000003,-491.666666666
222.74,-215.0,33.3333333333,-128.333333333,-123.333333333,36.6666666667,93.3333333333,-35.0000000002,38.3333333333,-400.0
223.11,-184.722166667,8.3334166665,-108.333333334,-101.388916667,4.16675,56.9444166667,-23.6112499998,20.8333333335,-331.944416667
223.49,-166.666666667,-20.8333333333,-97.9166666665,-93.7500000001,-21.875,-14.5833333334,-68.7500000001,-10.4166666665,-259.375
223.87,-256.944583333,-66.6665833332,-158.333333333,-158.333416667,-49.9999999999,-69.4444999998,-119.444416667,-59.72225,-383.33325
224.24,-468.75,-225.0,-372.916666667,-314.583333333,-164.583333333,-250.0,-322.916666667,-235.416666667,-689.583333333
224.62,-175.92575,-47.2223333334,-147.222166667,-87.9629999999,-44.4443333333,-73.1480833333,-118.518583333,-66.6666666668,-259.259333333
225.00,-258.333416667,-75.0000000001,-211.111166667,-106.9445,-77.77775,-141.666583333,-199.999916667,-104.16675,-380.555416667
225.38,416.666666667,147.916666667,354.166666667,195.833333333,131.25,241.666666666,293.75,170.833333333,581.25
225.75,203.125,79.1666666668,190.625,69.7916666666,46.8749999999,138.541666667,103.125,67.7083333333,297.916666667
226.13,105.701833333,61.8421666667,107.89475,56.5789166668,53.9473333333,84.2105833332,58.7720000002,47.8070833334,148.245583333
226.51,88.1580833334,50.4386666666,83.7720000002,40.7895,28.07025,69.7368333333,32.0174166667,27.1929166667,122.368583333
