wavelength,Back_CamPalm,Belly_CamPalm,Breast_CamPalm,Crissum_CamPalm,Crown_CamPalm,DorTail_CamPalm,Rump_CamPalm,Throat_CamPalm,WingTip_CamPalm
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,27.2591777778,16.0,30.2220666667,53.7778,22.2222666667,35.5554666667,9.94444166668,26.2223333333,27.9999333334
179.16,59.0277777778,56.6666666667,58.3333333333,57.5000000001,42.5,69.5833333333,44.375,49.7916666667,62.5
179.54,-23.5897111111,-27.4357666667,-5.12826666665,2.56413333334,-22.564,7.17960000001,-2.30772499999,-7.43593333332,-1.02573333334
179.93,-78.0952222224,-65.7142666667,-80.0000000001,-44.7619333333,-113.333266667,-71.4285333334,-67.9761333334,-98.0953666667,-79.0476666666
180.31,-83.2950666667,-60.6322333333,-41.7241333333,-19.1952666667,-80.6896666666,-27.9309333333,-66.8246500001,-68.3333666667,-40.0000666667
180.69,-64.2900666667,-43.9352666667,-28.0556,-1.29626666666,-62.1296666667,-15.2778666666,-45.2893166667,-50.7871333333,-24.537
181.07,-64.6948222222,-43.1925666667,-27.3239333333,-1.50226666666,-64.5071333333,-16.1502,-35.9977666667,-50.4693333333,-22.0657333333
181.45,-143.429844444,-107.826133333,-74.3477333333,-38.8405333333,-140.4348,-70.8696,-89.1846666666,-121.014466667,-67.6812
181.83,-351.812866667,-256.8422,-190.877133333,-100.7018,-354.385866667,-185.614066667,-239.561325,-300.526233333,-183.8596
182.21,-590.0,-431.944566667,-313.889066667,-184.4444,-545.0,-318.3334,-417.29165,-456.944266667,-281.666733333
182.59,-314.646444444,-226.3636,-140.909133333,-89.0909333333,-298.484866667,-160.303066667,-199.8864,-218.6364,-146.363533333
182.97,-469.481666667,-377.5556,-254.666733333,-163.111066667,-470.2222,-281.3332,-320.222175,-359.3334,-238.6666
183.35,-558.888844444,-456.111033333,-307.777733333,-203.333333333,-581.666466667,-303.888933333,-383.333291667,-409.444533333,-297.222266667
183.73,-909.722222223,-711.25,-500.0,-382.5,-903.333333332,-487.5,-631.979166666,-637.916666666,-477.5
184.11,3382.22222222,2770.0,1883.33333333,1473.33333333,3463.33333333,1766.66666667,2597.91666667,2153.33333333,1783.33333333
184.49,1590.0,1276.66666667,885.000000001,643.333333333,1591.66666667,735.0,1235.20833333,1060.83333333,836.666666667
184.87,356.060622222,304.394066667,233.9394,223.333266667,356.363666667,202.727266667,316.439358333,266.9698,217.878733333
185.25,194.782555555,169.2755,133.043466667,136.811533333,194.637666667,105.072533333,184.402166667,153.115866667,128.4058
185.63,243.365044444,209.618966667,158.2858,159.809533333,231.047666667,105.3332,224.309541667,178.190533333,155.619
186.01,327.265044444,286.923133333,203.076866667,217.948866667,306.410133333,145.1282,305.128191667,247.307866667,195.128133334
186.39,249.969977778,218.018066667,151.171066667,167.3874,233.873866667,112.972933333,224.391883333,189.999966667,152.972866667
186.77,276.845822222,252.5807,165.806466667,199.139933333,258.924733333,116.774133333,260.967733333,233.010666667,170.752666666
187.15,212.631688889,185.350866667,110.7018,141.0526,188.2456,74.3860000001,192.412283333,172.894566667,118.9474
187.53,174.784577778,155.646366667,97.2790000001,122.585066667,161.088333333,74.2855999999,163.384316667,148.3673,105.5782
187.91,153.916222222,142.896166667,96.7211999999,113.7706,141.967266667,77.1584,150.450908333,133.770533333,99.7813999999
188.29,158.006533333,139.656966667,106.6666,114.1174,140.392066667,86.6666,146.630016667,136.176433333,98.0392666667
188.67,121.504622222,107.7082,82.8472,88.9583333334,107.083333333,72.2916000001,113.289966667,102.361033333,82.0139333333
189.05,104.595155555,95.5650333333,74.8023333333,77.4576666666,92.2600000001,64.4633333333,96.8785166667,88.0225666667,72.8248666666
189.43,107.605333333,96.2930666667,79.4251999999,80.2874666666,92.8735999999,71.2069333334,96.4511583334,88.6206333333,74.0230666667
189.81,102.112133333,95.7025000001,82.4242,79.0635333333,91.3498666667,72.2313333333,93.1265583333,87.0801,73.1129333333
190.19,100.338266667,96.6666666668,87.0047333333,82.8502666667,91.7874,76.7149333333,91.9927083333,89.0096666667,78.5507333333
190.57,88.1329777777,88.6395333333,81.8140666667,74.4217333333,84.9888000001,68.7528666667,83.4353416667,80.9068,70.1588
190.95,76.9741555555,78.8511666667,74.0112666667,65.5742666666,75.4049333334,62.5612,72.0339416667,70.6779666667,62.0716666666
191.33,76.2923111111,76.8984666667,75.2584666667,64.8842666667,74.2602,61.8894666667,71.0740833333,71.3724333333,61.4260666667
191.71,74.2541111111,75.1382333333,73.7384666667,63.2412666666,70.5709333333,60.0736,66.560625,69.0608,58.4162
192.09,69.5663111111,73.0481333333,70.4098666667,60.5704,67.5224,58.5738666667,62.6782416667,65.6864666667,55.9002
192.47,71.0987333333,77.9259,71.8888666667,65.0372,70.037,62.1482,65.1991083333,69.9629666667,59.5184
192.85,66.6152,79.6916666667,74.027,65.8960666667,70.3277333333,60.1156666667,62.5579333333,67.7458,55.2601333333
193.23,63.2565333333,77.652,70.1886,65.283,67.4213333333,56.9812,58.3805583333,65.3038,50.9014666667
193.61,63.2018,79.4736666667,71.1402666667,67.2368666667,69.3859999999,60.3507333333,60.71805,66.4911333333,50.4824
193.99,57.4324444445,72.5225666667,65.4955333333,65.5405333333,64.1442,56.8468,57.0044833333,63.6261333333,44.7296
194.37,51.4946666667,68.6571,59.6643333333,60.9113333334,57.4100666666,49.5443333333,51.1930833333,54.3166333333,34.4364
194.75,52.7904444444,72.4426666667,62.7992,66.1068666667,57.3028666667,52.8753333334,51.3485166667,57.2009666667,34.453
195.13,49.7845777778,69.9483333333,60.2584,61.6536666667,52.5582,49.9226,52.0219083334,54.0827666667,30.0258666667
195.51,48.317,68.3334,60.5882666667,62.2549333333,54.4607333334,52.1568,53.0515,50.1962666667,31.7646
195.89,41.9789333334,61.7761333333,51.7274666667,57.4209333333,47.0560666667,46.5693333333,49.8357916667,46.1069666667,25.1094666667
196.27,32.5652,53.2107333333,45.7842666667,49.6078,37.1079333333,39.9508666667,41.4889083333,40.8578333333,17.9900666667
196.65,26.746,46.357,43.4284666667,45.8095333333,35.0477333333,36.5713333333,38.4761916667,35.357,15.5236666667
197.03,24.9876222222,41.4567666667,37.4813333333,42.3208666667,29.0864,34.7159333333,32.4011916666,33.5553666667,11.8024666667
197.40,21.9543111111,34.9172333333,34.9881333333,35.0828,24.2080666667,31.8204666667,27.6301083333,31.4657333333,8.27433333333
197.78,19.9267777778,30.5262666667,32.7632,30.965,20.7018,28.5086666667,25.1645,26.6228333333,7.89466666668
198.16,27.6570666666,36.3999666667,37.4096,35.9236666667,27.4666,33.2951333333,31.914225,27.0476333333,17.4857333333
198.54,26.1547777778,31.6853666667,34.9062666667,31.9848666667,23.3708,31.5356,28.5439166667,26.2920666667,15.8051333334
198.92,23.8237333334,26.7597333333,31.6201333333,28.7894666667,19.2924,31.7691333333,25.8659416667,22.6629,14.3388666667
199.30,23.8918666666,28.2488,33.6724666667,33.032,20.8662666667,34.8398666667,25.5602916667,23.1073666667,15.7815333333
199.68,20.6751111111,26.3351666667,30.1289333333,32.1547333333,18.9318666667,32.4862,21.4549666667,22.5230666667,13.9595333333
200.06,27.4279111111,32.5229666667,38.9686666667,38.9686666667,25.7458666667,39.1896,26.8001833333,28.3242666667,22.0627333333
200.44,33.5073111111,33.9157666667,45.5422,44.699,30.4820666667,42.9317333333,31.6214333333,31.1244666667,25.2609333334
200.82,34.2817333333,35.5415333333,48.8746666667,46.6243333333,30.106,47.0064666667,34.8673166667,31.2526666667,25.7324
201.19,27.7036888889,29.7333333333,46.3999333333,42.9333333334,25.5556,45.1555333334,32.77215,24.7554333333,19.6888666667
201.57,29.4142888889,32.6351333333,47.2072666666,47.1172666667,28.7388,51.3514,37.3988,25.8333333333,25.4504666667
201.95,25.606,32.0201333333,49.091,49.0404,28.1817333334,56.4648666667,37.001275,29.6969666667,24.9999333333
202.33,16.3841777778,24.8305666667,46.2146666667,45.0282666667,18.0226,54.4633333333,27.9451,26.9493333333,16.5536
202.71,14.8353333333,27.6851333333,50.247,50.7407333333,18.1481333333,56.7901333334,28.8966583333,26.5742333333,18.7037333333
203.09,-0.0441111111246,15.2144666667,39.6698666667,42.9703333333,11.2210666667,43.7624,18.5313166667,13.6634,6.66673333335
203.47,-3.60224444444,15.0526333333,38.5964666667,44.4210666667,9.47373333333,44.5614,15.2719166667,17.7544333333,7.15786666667
203.85,-18.9973111111,0.48766666666,33.0894,34.3090000001,-6.91066666667,37.3983999999,5.71141666667,3.33316666667,-4.79673333335
204.22,-37.9972444444,-17.2429333333,16.2140666667,15.5554666667,-22.1398666667,19.5885333333,-13.7036916667,-17.2426333334,-22.3867333334
204.60,-39.6580666667,-15.8975666667,9.15746666666,13.2600666667,-21.6116666667,16.1904,-18.8277916667,-20.9891666667,-23.4431333333
204.98,-77.6923777778,-49.3161333333,-28.0341333333,-18.3762,-58.6324,-16.4957333333,-59.081275,-55.342,-59.829
205.36,-79.7468,-51.3502,-28.9452,-22.1098,-63.3753333334,-20.9282,-63.6919583333,-55.9913999999,-55.443
205.74,-129.074022222,-89.5555999999,-52.9999333333,-52.4444000001,-100.666666667,-51.5556000001,-105.1667,-99.5556333334,-98.2222666667
206.12,-87.3699555556,-58.1012999999,-36.4557333333,-32.3207333333,-73.0802000001,-41.1813333334,-73.4705083333,-72.4050333333,-68.1012000001
206.50,-79.3915333333,-53.2143,-31.8254,-26.8254666667,-59.2064,-35.7937333334,-59.3452333333,-68.7699999999,-56.1904
206.87,-65.7477777778,-45.0961333333,-26.7306666667,-21.9872,-44.2306666666,-29.9358666666,-48.50955,-53.6538,-43.3333333333
207.25,-59.9555555555,-38.3,-21.4666666667,-15.0,-39.8,-23.4666666667,-40.3083333333,-46.1,-35.6666666667
207.63,-63.9954222222,-47.9461333333,-24.9829333333,-20.6062,-43.8384,-29.5623333333,-44.4444166667,-56.3297333333,-41.4814
208.01,-60.1587111111,-42.7892,-25.9182666667,-14.7617333333,-40.1361333333,-27.2788666666,-41.6240666667,-53.4013,-35.1701333333
208.39,-87.1002666667,-64.8780666666,-45.2031333333,-28.4553333333,-63.9023333333,-37.9675333333,-60.9146,-75.8943666667,-56.9919333333
208.77,-135.972266666,-112.969066666,-88.7501333333,-65.0002666666,-110.729266667,-75.1042666667,-101.653633333,-113.802333333,-95.8336
209.14,-115.199933333,-95.6888333334,-71.9110666666,-48.9776,-90.5775999999,-67.6444666666,-85.7667916667,-98.5779999999,-78.9333333333
209.52,-115.781,-95.0725666667,-73.2367999999,-39.9032666667,-88.9853999999,-69.6619333334,-85.2777999999,-94.4926666667,-81.0627999999
209.90,-126.538,-104.492866667,-86.3767999999,-46.9564666667,-98.9373333333,-78.3576000001,-90.446725,-101.787466667,-83.6714000001
210.28,-154.305733334,-127.291533333,-102.0834,-61.3540666667,-118.229266667,-93.021,-107.877641667,-123.385466667,-98.3334666666
210.66,-240.579755555,-196.159433333,-160.869666667,-104.3478,-191.7392,-151.014466667,-175.670241667,-188.768266667,-164.637666667
