wavelength,Back_CamParm,Belly_CamParm,Breast_CamParm,Crissum_CamParm,Crown_CamParm,DorTail_CamParm,Rump_CamParm,Throat_CamParm,WingTip_CamParm
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,-55.8333333335,-240.833333333,-78.3333333333,-22.5000000001,-107.333333333,28.3333333333,-28.425925926,-136.666666667,-40.0
179.16,-7.7777333334,160.0001,48.8888666668,80.0000333334,87.1111466666,184.4444,45.8765896295,84.4444666666,71.1111333332
179.54,93.1250000001,128.541666667,107.083333333,96.4583333334,120.333333333,117.916666667,107.384259259,130.0,107.083333333
179.93,20.5554999999,123.888666667,103.333333333,64.4442666665,167.5556,128.888733333,63.5802940741,82.2222666666,93.3334666668
180.31,149.629633333,459.4444,229.999933333,190.185266667,412.96292,307.777866667,231.214065185,271.481266667,238.148133334
180.69,214.5098,556.274433333,278.0392,239.607866667,510.66656,380.784466667,277.424764444,335.294066667,298.4312
181.07,161.1537,366.538433333,193.076933333,194.358933333,365.179573333,296.153933333,216.065484444,244.6154,229.487
181.45,132.8206,267.7777,146.8376,154.102533333,275.28204,213.333333333,170.96876963,193.846133333,176.581066667
181.83,164.202833333,375.362433333,168.115866667,192.6088,404.11592,289.2752,223.990378518,253.623066667,233.043466667
182.21,194.3056,393.055433333,180.000066667,215.0,404.222346667,309.4446,246.783925185,271.944533333,245.0002
182.59,200.909066667,411.5152,198.484733333,230.454666667,427.393933333,329.696933333,267.225626667,296.9698,251.515066667
182.97,120.326866667,211.503333333,121.0458,137.908433333,213.464106667,169.934666667,148.949776296,161.960733333,146.143866667
183.35,107.371866667,202.563966667,108.9744,125.128033333,204.384653333,158.974466667,143.095455556,150.897333333,142.4358
183.73,108.780533333,228.455233333,115.4472,137.154466667,230.341426667,171.707266667,154.437207407,170.731666667,148.943133333
184.11,95.9421666667,194.058066667,101.014533333,117.463666667,205.043453333,154.492733333,129.101365185,158.5506,137.246466667
184.49,115.238233333,198.9113,110.8844,125.646166667,210.5578,153.197266667,133.171702222,169.523933333,147.891
184.87,90.7649666667,155.191233333,83.1693999999,101.311333333,164.26228,108.7432,109.547165926,134.317,118.3606
185.25,86.6666333333,149.179433333,83.2820666667,91.8974999999,151.958973333,98.8719333335,99.8734948147,124.718133333,111.487266667
185.63,94.8938000001,175.1064,87.3758666666,92.7659333334,173.44676,100.141866667,102.413092592,130.780066667,122.836933333
186.01,99.6377,187.826033333,96.2319333333,101.5942,170.95652,98.4057999999,105.246378519,134.3478,131.3044
186.39,90.6504333333,178.130133333,77.8861999999,85.9349333334,154.081213334,72.6827333333,91.0750037038,126.0164,124.715466667
186.77,73.7653999999,134.135966667,60.7407333333,68.8889333333,111.90124,55.4320666667,62.0658385185,97.5308666667,97.1605333333
187.15,77.4404666667,134.881033333,62.8571333333,75.1189333333,117.52384,59.8809333333,62.0237688889,104.0476,99.1666
187.53,77.2381999999,118.999933333,58.7619333334,72.8571333333,98.5144399999,59.0474666667,55.1809103704,98.7619333333,88.7620000001
187.91,72.4889000001,115.022166667,56.1777333333,70.4443999999,98.0799466667,56.8889333333,56.8484925926,93.6890000001,93.8668
188.29,77.6056333333,129.061,57.1830666666,75.7746666667,104.075,58.3097333333,65.8728325926,102.9108,95.3990000001
188.67,78.5965000001,119.166533333,56.0525333334,71.8422,100.421,62.456,69.4161074073,100.0878,92.5438
189.05,75.1388999999,125.3242,60.3702666667,70.5555666667,98.6296933333,73.9814666667,69.0679059259,108.888733333,92.5928
189.43,90.1360666667,165.306066667,68.7073999999,84.2177666667,129.251626667,92.9249333333,87.1473755557,145.5782,114.557866667
189.81,76.5971,163.611133333,59.3056000001,79.8611333335,126.666626667,97.4998666668,79.6650244445,139.0278,104.1666
190.19,70.7999999999,153.266666667,58.2666666667,72.1333333332,124.373333333,93.3333333333,74.0103703704,135.2,89.9999999998
190.57,76.5518666667,146.092033333,72.7585999999,79.1953333333,132.321853333,99.5402000002,83.8722844444,130.229866667,94.2529333333
190.95,95.8666666667,176.266666667,91.2000000001,99.2666666667,161.173333333,129.2,111.099259259,164.533333333,125.333333333
191.33,108.5964,206.140333334,87.3684000001,106.929833333,186.035053333,153.157933333,121.713417778,183.157733333,137.8946
191.71,142.318966667,281.159433333,107.246333333,138.405633333,276.057986667,223.768066667,175.162652593,215.942133333,178.550666667
192.09,120.694366667,238.749966667,77.5001333333,113.4722,242.555546667,187.222133333,136.361197037,174.444333333,137.5
192.47,137.3913,236.521733333,70.7247333333,121.0144,239.42028,196.811666667,137.848513333,168.6956,147.826133333
192.85,277.5,586.666666667,109.166666667,285.0,615.833333333,450.833333334,295.212962962,382.5,309.166666667
193.23,-288.571466667,-553.8093,-72.3810000001,-257.619133333,-660.38088,-391.428466667,-227.005305186,-244.761933333,-266.6666
193.61,-105.833333333,-300.0,103.333333333,-106.666666667,-423.333333333,-205.000000001,-15.6388888888,15.8333333333,-85.0
193.99,-1040.0,-1461.66666667,-113.333333334,-781.666666666,-2106.0,-1103.33333333,-557.962962963,-506.666666666,-893.333333335
194.37,172.666633333,211.7778,42.2223333334,151.777766667,306.311186667,192.000066667,102.898774074,84.8888666666,164.4444
194.75,-33.0300999999,-81.5151333333,190.909133333,14.5454999999,-154.303053333,-24.8484666667,104.929294815,95.7575333332,5.45439999994
195.13,-42.1429,-60.2380666666,164.761933333,53.3333333332,-117.333293334,0.95240000012,108.322760741,105.238066667,46.1903999999
195.51,27.2464000001,23.9130000001,133.913,104.203,-28.3477600001,40.5796666669,104.811525185,113.333466667,82.0289333333
195.89,3.18846666652,16.0869333333,95.6522666667,85.2175,-26.72476,46.9564666667,96.3090711111,89.2753999999,71.8840666666
196.27,-9.20636666673,12.8570666666,74.9206666667,70.9522666667,-27.4285733334,24.127,88.5362237037,95.2379999999,83.1746666669
196.65,-14.9122666667,5.78943333332,34.0350666667,73.3333333334,-44.7718666667,4.91226666667,96.6588607407,99.2982666666,88.4211333336
197.03,21.5055,49.2473333333,46.2365999999,77.6344666668,12.5592266667,32.4732666666,100.848265185,91.1828666667,85.5915333332
197.40,47.0370333334,65.5558,57.0370666667,82.1296999999,26.8519333333,38.3332666666,95.4506281482,85.5556666667,85.7407999999
197.78,52.3810000001,132.857033333,82.8572000001,147.857166667,33.2381199998,71.9047333334,207.756579259,164.7618,173.809533333
198.16,300.0,809.999999999,333.333333334,948.333333333,122.666666667,436.666666667,1312.77777778,1060.0,1076.66666667
198.54,88.1944666667,146.111033333,93.0554666668,144.166766667,75.9444533334,86.6666000001,168.033908889,159.1668,169.4446
198.92,121.1112,226.2222,106.222266667,178.0,56.5332800001,79.9998666667,225.881378519,215.555466667,243.111066667
199.30,353.75,505.833333333,231.666666667,337.5,140.0,230.833333333,413.509259259,501.666666667,486.666666666
199.68,468.571466667,659.999933333,332.380866667,375.238033333,303.238093333,376.190533333,555.142961481,639.047666667,633.333333334
200.06,256.296333333,314.6297,204.814733333,202.407366667,179.333306667,194.8148,276.341542963,301.4814,312.5926
200.44,146.0952,169.142933333,122.095266667,116.095166667,111.733373333,118.0954,146.382944444,167.047466667,167.8096
200.82,154.375,191.354166667,129.166666667,106.666666667,121.541666667,131.666666667,143.275462963,173.333333333,175.416666667
201.19,170.6411,210.641,148.718,108.0769,146.307813333,139.999933333,159.031317037,214.102533333,204.1026
201.57,326.363633333,450.606033333,282.424266667,174.5455,314.545453333,254.545466666,330.377202963,441.212066667,436.3636
201.95,300.000033333,373.0952,242.857133333,192.618966667,276.761906667,200.9524,247.904785185,388.571333333,364.285733333
202.33,366.111166667,466.666566667,332.2222,242.2221,379.0,258.333266667,320.450734074,523.333333333,479.999933333
202.71,-385.714266667,-522.857133333,-332.381,-193.809533333,-446.28576,-307.619266667,-343.629601482,-688.5714,-583.809533333
203.09,-430.952266667,-505.714233333,-332.380866667,-214.7619,-499.619053333,-413.333466667,-425.280484445,-792.380933333,-609.523666668
