wavelength,Back_CamPaum,Belly_CamPaum,Breast_CamPaum,Crissum_CamPaum,Crown_CamPaum,DorTail_CamPaum,Rump_CamPaum,Throat_CamPaum,WingTip_CamPaum
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,-334.444444444,-260.0,-193.333333333,-180.0,-253.333333333,-346.666666667,-20.0,-6.66666666672,-26.6666666667
179.16,38.5927111111,28.8889333333,34.2222666667,42.6666,53.3333999999,53.3334,50.6665333333,68.4444,30.0000333333
179.54,25.2525333333,12.7270666667,15.7576,34.5456,-8.4848,19.0909666667,13.3333333333,52.7273333333,51.5151666667
179.93,26.7361111111,14.5833333333,20.8333333333,52.5,39.1666666666,46.8749999999,35.8333333333,62.9166666667,29.5833333333
180.31,21.9136222222,19.5554666667,36.2963333333,35.3333333333,21.9259333333,36.3705666667,32.4446,55.7037333334,23.8518666667
180.69,19.8924777778,17.2043333333,36.1289333333,32.6166,15.4837333333,30.7168333333,32.3298,51.6129333333,18.3514
181.07,25.8623333333,25.0158,37.5874,39.9363333334,26.4126666667,37.2698333333,37.3334,55.0476666667,23.2063333333
181.45,16.6894222222,15.5101333333,33.3332666667,33.4694666667,13.0612666667,25.5783,28.5033333333,42.7892,16.7006
181.83,22.1587666667,23.1110666667,42.5398,39.4286,22.7936,33.3968,36.5714666667,46.9840666667,18.9207666667
182.21,24.9141444444,29.897,44.6048666667,39.3128666667,21.9244,32.5086,42.9552666667,42.8865333333,22.7148333333
182.59,16.6546777778,20.0716,32.1148,32.6164,16.1289333333,26.8100333333,36.1289333333,33.6916,16.2365333333
182.97,26.8072444444,31.8774,45.9001333333,47.5861333333,25.3640666667,32.2222,49.1953333333,45.9003999999,27.9695333333
183.35,35.6200888889,41.1594,53.0435333333,61.8357999999,31.2077999999,39.0336333333,62.7054,55.4588666667,36.0387333333
183.73,39.5018777778,48.1611333334,61.3791333333,70.9195333333,39.5402,50.1149,80.6895333333,61.9539333333,47.9883666667
184.11,52.7866222224,62.7514,66.9841999999,74.4974666667,51.2168666667,57.4073666667,87.4074666666,67.9363333333,57.5660666667
184.49,60.5678555555,72.7408,86.0740666667,90.2222666666,54.3704000001,63.3333000001,103.4076,62.5182666667,63.7037333333
184.87,68.9292333333,79.6364000001,93.697,97.3332666668,73.697,79.394,100.3636,74.7878000001,78.1819
185.25,65.9120333333,68.0503333333,88.0503999999,88.6790666669,61.0062666667,67.2957333334,86.9184000001,61.8867999999,73.2706
185.63,92.6767000001,99.5454666666,125.454533333,119.697,91.8180666667,90.2272666667,113.484933333,87.5758666667,94.5454666666
186.01,118.452422222,120.714133333,159.523666667,160.952333333,124.523733333,112.023833333,141.6666,109.0476,131.4284
186.39,120.821244444,116.231866667,202.3188,180.5798,145.7972,127.2465,142.898533333,130.7246,150.000066667
186.77,117.287511111,106.862733333,185.6864,140.980466667,138.4314,117.254866667,132.5488,132.745066667,137.352833333
187.15,122.896777778,113.095266667,195.0,154.047533333,169.761866667,143.095366667,147.8572,128.571466667,153.928466667
187.53,123.274811111,94.7368666667,229.1228,163.508733333,200.351,152.807166667,134.7368,122.807066667,158.947366667
187.91,81.7459999999,64.3810000001,138.095266667,100.190466667,117.3334,98.6667333333,80.1906666667,78.8571333333,93.2382
188.29,50.2777777778,8.33333333334,151.666666667,95.6666666665,137.666666667,106.666666667,55.3333333333,66.3333333334,61.5
188.67,70.2924555555,-2.8069999998,159.298133333,97.1930666667,164.5614,135.789333333,52.9823999999,101.403466667,75.7895000001
