wavelength,Back_CamPsif,Belly_CamPsif,Breast_CamPsif,Crissum_CamPsif,Crown_CamPsif,DorTail_CamPsif,Rump_CamPsif,Throat_CamPsif,WingTip_CamPsif
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,-1086.66666667,-1133.33333333,-1470.0,-1376.66666667,-1306.66666667,-823.333333334,-1330.0,-1266.66666667,-1463.33333333
179.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
179.54,445.0,406.666666667,350.833333333,419.833333333,405.0,289.166666667,362.5,383.333333333,425.0
179.93,-6.36366666666,-18.1818666667,-32.1212333333,-17.87882,2.42426666668,-20.9090666667,-20.0000333333,-5.45440000001,-22.4242
180.31,425.5,409.333333333,494.833333333,479.033333333,423.666666667,279.333333333,422.5,420.0,430.5
180.69,442.857166667,442.222266667,520.4763,500.063586667,445.396733334,290.634933333,450.1588,455.872933333,443.492266667
181.07,539.166666667,530.833333333,620.833333333,603.833333333,555.0,353.75,529.166666667,539.166666667,505.625
181.45,622.8571,628.0952,725.9522,709.23812,649.0476,434.9999,600.4763,635.237999999,583.333433333
181.83,328.333266667,337.2222,402.5,389.30568,352.222133333,247.9167,337.2223,356.1112,310.833233333
182.21,217.982466667,229.122733333,274.4737,258.052686667,249.473666667,170.9651,215.964866667,245.7894,199.122766667
182.59,222.1905,236.762,298.666533333,273.600026667,262.476066667,176.000033333,237.714066667,264.000066667,217.238
182.97,259.999966667,283.232333333,338.484933333,317.676733333,309.494933333,208.585933333,266.363666666,296.1616,253.737233333
183.35,911.481466666,1008.88886667,1184.07413333,1147.85178667,1144.4444,767.777666667,928.148199999,1066.66673333,979.259400001
183.73,1065.0,1195.0,1331.25,1340.25,1385.83333333,938.749999999,1115.83333333,1269.16666667,1220.41666667
184.11,935.1852,1039.2594,1200.37053333,1168.2963,1211.85173333,828.8889,950.740700001,1113.33326667,1083.70366667
184.49,-3893.33333334,-4326.66666667,-5253.33333333,-4873.66666667,-5360.0,-3771.66666667,-4065.0,-4773.33333333,-4523.33333333
184.87,2872.2223,3024.4444,3732.2223,3447.99996,3764.44446667,2755.55556667,2866.66663334,3242.22226667,3302.22216667
185.25,-8686.66666665,-9186.66666667,-11320.0,-10292.6666667,-11100.0,-8256.66666667,-8590.00000001,-9786.66666668,-10220.0
185.63,-788.666666668,-813.333333333,-1066.33333333,-901.799999999,-1008.0,-722.0,-758.666666667,-875.999999999,-945.666666667
186.01,-196.862666667,-206.862733333,-286.7646,-224.4313,-267.451066667,-177.549133333,-183.529333334,-225.098066666,-248.5294
