wavelength,Back_CamPsim,Belly_CamPsim,Breast_CamPsim,Crissum_CamPsim,Crown_CamPsim,DorTail_CamPsim,Rump_CamPsim,Throat_CamPsim,WingTip_CamPsim
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,-1496.66666667,-1183.33333333,-1306.66666667,-1554.16666667,-1300.0,-1673.33333333,-1360.0,-1453.33333334,-1756.66666667
179.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
179.54,420.555555556,430.833333333,425.0,427.083333333,443.333333333,390.0,371.666666667,453.333333333,500.0
179.93,-16.8687333333,14.2423333333,-9.69693333332,-51.13625,-13.3334,-21.8181999999,-20.6060666667,-25.4546666667,-29.6969666667
180.31,478.944444445,372.166666667,454.833333333,525.208333333,465.666666666,517.666666667,514.0,538.333333333,566.166666667
180.69,485.6613,394.7619,480.3175,542.261958333,470.158666667,534.2856,541.904733333,550.158733333,604.2855
181.07,584.166666666,471.458333333,589.375,646.614583333,575.0,626.666666667,679.583333333,664.583333333,706.458333333
181.45,683.33328889,512.380966667,676.9047,754.166791667,673.333266667,740.476133333,793.333333334,780.000133333,830.476133333
181.83,364.861177778,269.8611,359.4443,406.944416666,364.4444,423.333333333,447.2222,441.111066667,451.111
182.21,251.6376,189.8245,238.684233333,265.131583333,240.5264,298.245533333,296.140333333,295.4386,306.403633333
182.59,260.983955556,206.2856,244.2859,257.023958333,233.523733333,323.6192,315.619,306.857133333,325.714133333
182.97,289.528655556,253.2324,266.565666667,288.762541667,261.616266667,377.373733333,366.8688,337.1718,365.7577
183.35,1032.71603333,890.740633334,958.518366668,995.370291667,936.296400001,1321.4814,1334.81466667,1221.48153333,1340.37046667
183.73,1231.25,1078.33333333,1094.16666667,1179.16666666,1143.33333333,1568.33333333,1517.5,1427.5,1523.33333333
184.11,1069.87641111,942.592800001,962.5926,986.111208333,1006.66666667,1357.77773333,1331.852,1225.18506667,1329.62966667
184.49,-4592.77777778,-4066.66666667,-4041.66666667,-4437.5,-4223.33333333,-6216.66666667,-5686.66666667,-5146.66666667,-5791.66666667
184.87,3404.44434445,2938.88873333,2821.11133333,3184.72216667,3131.11113333,4504.44446667,4102.22226667,3751.111,4045.5556
185.25,-10258.8888889,-8940.0,-8363.33333333,-9470.83333332,-9220.0,-13993.3333334,-12353.3333333,-11533.3333333,-12390.0
185.63,-952.666666666,-844.666666667,-730.333333333,-850.416666666,-777.333333334,-1311.33333333,-1128.66666667,-1060.66666667,-1132.66666667
186.01,-258.202588889,-213.235466667,-190.392133333,-226.715625,-187.254733334,-348.431466667,-301.176533333,-267.843133333,-298.921666667
186.39,-256.840277778,-220.520833333,-201.145833333,-252.213541667,-202.916666667,-358.125,-320.208333333,-276.25,-297.708333333
186.77,-187.037022222,-154.359,-147.521333333,-204.273458334,-154.53,-262.905866667,-250.256333333,-223.076933333,-233.504333333
187.15,-188.017966667,-142.432233333,-148.5587,-201.126,-163.603733333,-267.927733333,-247.207333333,-227.387466667,-242.883033333
187.53,-853.210033332,-694.8148,-663.3334,-985.648125,-762.962933333,-1208.88873333,-1129.62953333,-1028.88893333,-1081.85196667
187.91,1417.59271111,1127.22233333,1109.44446667,1663.19454167,1254.44446667,1854.4446,1846.6666,1637.77793333,1773.8888
188.29,400.158766667,329.206366667,293.809533333,510.912583333,358.095266667,526.3492,515.555666667,467.936466667,496.031766667
188.67,222.032588889,181.7073,164.634166667,268.902333333,195.6098,277.073133333,269.430866667,250.406666667,268.13
189.05,203.762588889,163.181733333,145.3788,246.590958333,172.8788,240.1514,237.4242,223.939466667,242.500033333
189.43,160.4613,131.446566667,117.0441,202.908875,144.654,189.3082,187.4214,179.245333333,195.1573
189.81,165.619777778,135.705333333,122.115466667,203.525625,157.6922,195.128133333,192.564066667,185.5128,203.333266667
190.19,141.726422222,123.1795,100.564033333,175.961666667,138.358866667,165.641,166.769266667,160.5128,180.2051
190.57,138.286288889,109.209066667,77.6835666667,161.723,128.135533333,159.5478,161.695,153.220333333,183.841866667
190.95,137.431688889,109.1256,73.1145999999,154.166625,126.666666667,153.552,154.9726,141.092866666,173.606566667
191.33,130.112633333,102.705233333,69.0338333333,151.992708333,114.589466667,140.0966,144.3478,131.497666667,151.787566667
191.71,191.882744444,139.629566667,73.0554999999,221.875041667,157.407333333,201.8518,214.2592,183.333333333,222.8702
192.09,187.847222222,132.604166667,59.9999999999,211.71875,157.291666667,200.625,217.916666667,186.458333333,237.708333333
192.47,168.496688889,127.6471,57.3530333334,182.475625,138.823533333,176.470533333,215.882333333,175.490133334,233.4313
192.85,241.2346,174.259366667,15.5557333333,285.416541667,189.2592,231.111133333,344.814733333,236.666733333,372.592533333
193.23,277.555555556,187.0,-79.0,436.25,247.333333333,319.333333333,527.333333333,308.666666667,555.333333333
193.61,167.193066667,99.1226666667,-59.6491,243.421041667,98.9474,188.421,285.263266667,154.386,307.0174
193.99,131.568522222,78.6274000001,-101.3726,258.088333334,51.3725333334,159.607666667,280.392133333,126.274466667,310.588133333
194.37,95.2263666667,71.4814666667,-36.9135333334,172.68525,58.5185333335,118.5186,202.468933334,92.5926666665,196.790033333
194.75,109.5786,115.862066667,12.2987999999,186.3505,79.7701333332,114.9426,218.3906,108.5058,210.9195
195.13,90.2364444445,95.4609333334,33.9716999999,144.148916667,71.9149999999,93.9007333334,152.198666667,91.0638666667,154.610066667
195.51,79.1938777778,87.6471999999,28.1699999999,119.280791667,56.9934,80.9150666668,133.986933333,71.3727333332,143.529433333
195.89,57.6023555555,68.3333666667,28.5965333333,90.296,46.7543333333,61.2282666667,93.5964666666,52.8071333334,106.184166667
196.27,62.8948777778,76.0528000001,33.9035666667,96.2170833333,50.7894666667,63.5086666667,100.2632,53.2455333333,105.6141
196.65,81.4312222223,100.621433333,45.3672333333,124.576208333,71.9774000001,80.3388666667,128.4746,66.7796000001,142.203366667
197.03,66.1046,79.7255333334,45.2157333333,91.2745833334,60.0784666667,66.1176,98.1961333333,57.4118000001,107.960866667
197.40,64.0972444444,73.7499000001,45.5207,79.6875000001,53.5417333333,54.5138,88.75,50.3472,94.8611666667
197.78,64.4222222223,76.8,49.3666666667,82.1250000001,58.8666666667,46.8,88.0,49.8,93.3999999999
198.16,58.5132111111,69.4964333334,47.554,71.4330416667,57.8417333333,43.1654,77.3142666666,46.4267333333,77.3381333333
198.54,52.5252777778,61.0353,38.8636,64.615,52.0708,32.3735333333,66.4646666666,38.4848,71.9444666667
198.92,55.2842111111,62.6772333333,37.7952,67.8805416667,54.6457333333,33.7008,69.8688,40.2098,74.3833
199.30,43.4523555556,49.2559333333,25.5358,58.0359583333,43.3333333333,18.3928666667,59.2262666667,25.9522666667,62.7677333333
199.68,39.5083666667,46.3717333333,22.3892666667,56.4159583333,42.7138666667,17.3452,55.9290666667,27.2565333333,59.9114
200.06,42.2107777778,50.8844,20.7483666667,58.886125,44.8981333333,9.72786666666,60.1361333333,27.8231333333,65.0000666667
200.44,23.3938111111,32.7898666667,-1.26806666666,40.2174583333,23.8405333334,-12.1014666667,38.9129333333,8.40586666668,44.5288
200.82,22.127,27.9682666667,-1.80970000002,30.912625,22.0953333333,-7.68259999998,30.9206666667,10.0317333333,33.238
201.19,11.4486777778,22.152,-25.1899333333,23.9977916667,11.3924,-25.7382666667,20.2532,-5.65406666666,25.2317666667
201.57,2.00973333335,29.1175,-41.6176666667,21.0784166667,12.1568,-31.3724,14.5096666666,-12.5489333333,23.5292333333
201.95,-2.111,26.8333333333,-55.7777,13.472125,12.8887333333,-33.7777333333,12.0,-15.6666666667,22.3889666667
202.33,-0.68687777778,24.7274,-63.1515000001,13.8637083333,4.12120000001,-40.9695333333,0.2424,-19.7576666667,26.4242
202.71,17.9166666667,55.8930333333,-34.7024,38.91375,22.2619333333,-17.6189333333,25.7144,1.90486666669,45.8927666667
203.09,18.2538333333,49.7620333333,-16.7617666667,38.9879166667,25.9047333333,-8.4762,26.9524,8.381,45.3809
203.47,36.0317333333,77.1904,-4.28563333334,47.023875,44.7618666667,8.28566666667,47.1429333333,20.6666666667,61.0001
203.85,40.6060222222,96.3637999999,-4.5455,54.6969583334,51.5152666667,1.93933333335,53.2120666667,16.9696666667,73.5151333333
204.22,37.1048777778,79.4835666667,-1.36163333332,43.8380416666,44.8826666667,9.20186666665,45.1643333333,19.1549333333,56.6668333333
204.60,40.6439666667,76.25,12.4999666667,49.8104583333,48.7120666667,20.1515333333,46.9696666666,26.4392666667,62.4621333333
204.98,33.6965888889,68.3334333333,18.718,46.99525,43.0768666667,19.0384666667,44.5514,24.6795333333,59.9040666667
205.36,36.3888555556,68.7929666666,31.3506333333,51.1494583333,49.54,22.184,49.7126666667,31.6666666666,58.0458333333
205.74,33.4008777778,62.2898666667,28.1448,44.4202916667,44.4638,15.5942666667,45.2754666667,23.5361333333,53.913
206.12,28.8633777778,56.3614333333,29.8983,39.980875,40.4579333333,11.8066,39.8982666666,21.9848,48.4223666667
206.50,22.8546888889,48.9230333333,25.6153666666,33.5897916667,36.6153333333,6.15400000001,35.7435333334,19.5384666667,39.7948666667
206.87,11.0220777778,33.7468666667,15.1095,19.556,25.7420666667,-3.01706666667,21.8004666667,7.98046666668,27.3966333333
207.25,12.6757777778,34.8072333333,14.4444333333,16.2981666666,22.9478666667,-3.76433333332,19.5012,7.66433333334,23.7642333333
207.63,9.46927777777,28.1317666667,13.9489666667,13.2431666667,19.6178666667,-7.94066666667,14.8196,7.43106666665,18.6626
208.01,5.88954444443,21.4519333333,8.09820000001,7.25966666667,14.3557333333,-14.2741333333,9.61146666668,1.71786666667,12.6379
208.39,6.02381111111,22.1175,10.3983,7.62583333334,15.4717333333,-13.1654666667,9.30813333333,1.97059999999,12.7674666667
208.77,-0.21596666666,18.3101666667,5.85650000001,-0.83916666665,7.63879999999,-20.8334,3.61106666667,-6.20373333332,2.96283333333
209.14,-7.28,10.3733333333,-5.41333333333,-10.6666666667,-2.56000000001,-39.3066666667,-7.30666666667,-17.3866666667,-11.7066666667
209.52,-4.75681111109,11.5886333333,-7.86456666667,-13.4765,-4.79153333334,-36.823,-7.44793333333,-17.1355333333,-10.4687333333
