wavelength,Back_CatAnam,Belly_CatAnam,Breast_CatAnam,Crissum_CatAnam,Crown_CatAnam,DorTail_CatAnam,Patch10_CatAnam,Patch11_CatAnam,Rump_CatAnam,Throat_CatAnam,WingTip_CatAnam
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,68.1845238095,63.3333333335,31.6666666667,96.6666666667,-18.3333333333,-50.0,27.4999999999,88.3333333333,84.0000000001,-25.0,3.33333333333
179.16,-78.4921916666,-46.6666666667,-111.111,-24.4444666667,-135.555533333,-61.1111999999,-107.777866667,-11.1111333333,4.0,-98.8888333333,-155.5556
179.54,113.958333333,-4.99999999992,158.333333333,28.3333333334,99.1666666666,89.9999999998,115.0,156.666666667,58.3333333335,123.333333333,128.333333333
179.93,1.09137142856,-32.2224000001,71.1111333334,-22.2221999999,26.6666333333,20.0,-46.6666000001,-27.7778666667,-29.1111066667,11.1110666667,-17.7777333333
180.31,-27.7468321429,-2.46933333326,-97.2838,51.8519333334,-82.2222333333,-42.8395333334,18.8888666667,36.7899333333,6.86418666666,-18.6420999999,-27.4074666667
180.69,-0.71421785714,14.6340666667,-53.8211333334,54.7967333334,-43.8211333333,-13.7398666667,36.6666333334,51.7072666666,17.5285733333,9.5934,-2.43906666667
181.07,1.0737047619,9.01959999993,-46.1438666666,43.7908000001,-32.0915666667,-9.28123333334,37.1895666667,41.5685999999,10.5360533333,16.8627666667,3.00666666667
181.45,1.60000000001,9.20000000006,-49.6000000001,39.8666666667,-32.2,-14.6666666667,50.8666666667,42.5333333334,6.31999999998,22.8,14.0
181.83,8.21821190477,7.11113333334,-37.2221333333,33.0001333333,-22.0555333333,-15.6666333333,50.1109666666,51.5556000001,9.64444,25.5,22.2222666667
182.21,5.66451190477,0.59713333334,-36.0198666666,32.5371333333,-24.4775333333,-19.5521666667,39.6517333333,46.3680666666,3.50242666668,18.7560666667,13.1344
182.59,7.25028095239,-2.68526666668,-34.0740666667,32.963,-25.1390333333,-17.6851,35.4167333333,45.5554666667,0.981493333326,8.51843333332,9.9074
182.97,11.4897214286,0.85719999998,-31.3333333333,36.9524,-23.2381666667,-14.9523,40.7618666667,50.8572666667,9.52382666668,9.3809,14.0951333333
183.35,29.6670678571,16.7087999999,-11.3079333333,43.8817333333,0.126600000006,2.8692,52.4894666667,62.6162,26.78476,20.2533,28.3544666667
183.73,32.9854511905,19.4075333333,2.37033333332,47.3333333333,10.3703333334,10.1481333333,55.8519,64.5926,31.2296133334,24.4815333333,33.7036
184.11,39.6969,27.7273333333,12.1212,54.7728,17.6894,12.9544666667,63.1061333333,70.2274,35.9697333334,32.8408,40.9090666667
184.49,43.1019119048,37.3484,14.5454666667,62.2727333333,20.5303333333,13.9014666667,59.8485333333,69.6968666667,38.5454933333,32.4240333333,45.2272666667
184.87,41.7120678572,35.7936666666,15.3174666667,62.0635333333,22.0238333333,12.2617666667,52.1824666667,69.3650666667,38.1904533333,28.9286666667,46.6666
185.25,47.5031380952,42.6496,23.8463333333,69.7434666667,28.6752,17.0084333333,55.5128666666,80.8546666667,47.0256,30.5983333333,56.9229333333
185.63,50.031302381,45.6140666666,33.9474,77.2808,33.6403333333,17.8947333333,53.6403333333,86.4912000001,52.2982133333,32.4558333333,62.9822666667
186.01,61.0254130952,53.7634666666,49.6773333333,91.6128666667,41.2904,24.6237,61.6667666666,106.021733334,62.0646533334,41.8279666667,74.8385999999
186.39,72.8399404763,71.2726000001,73.0910666667,106.545466667,63.1515666667,40.1819,73.8183333333,129.333266667,79.0061333335,56.7273,103.878933333
186.77,70.5790476191,76.8362,76.9491999999,102.259866667,70.3391,40.3954,72.7683333333,121.807866667,83.1412933334,62.4858666667,107.457533333
187.15,58.3817035714,60.3864,66.2801333333,83.5748000001,61.0629,32.6569,58.1642333333,110.144866667,66.5893066665,54.1062666667,95.3624666667
187.53,56.4996904762,58.5897333333,77.6922666667,97.9486666666,69.1667,26.5384333333,56.2820333333,135.641066667,68.5384800001,58.5897000001,115.769266667
187.91,52.4548166667,61.746,82.8572000001,108.4126,78.6507666667,17.6190999999,54.3651333334,159.841333333,68.0000266666,62.3809666666,141.428466667
188.29,55.9853309525,75.1725333333,107.126266667,136.5518,95.5171666667,19.8849666667,64.2529666667,216.3218,85.7471066667,70.2298999999,208.965533333
188.67,62.2531142857,58.7654666667,117.283866667,129.8764,95.0616999999,23.5802666667,75.0619000001,235.555533333,87.1111866666,75.4322333333,241.7284
189.05,91.0773809525,71.3333333334,157.0,166.666666667,112.5,29.3333333334,117.833333333,302.333333333,116.533333333,96.8333333334,341.333333333
189.43,118.19442619,71.1110666667,225.5556,238.333266667,152.222333333,3.0556666666,161.944366667,447.7778,128.666613333,140.277766667,515.5554
189.81,137.280366667,66.6667999999,197.435933333,223.589733333,174.358933333,62.3077333334,174.1026,424.615466667,129.743666667,160.256366667,489.743666667
190.19,75.4949369047,22.8069999999,94.7368666667,141.403466667,99.1228666669,33.6842333332,107.543866667,257.193,70.7368266665,82.9823,337.193066667
190.57,44.5158535714,-8.88886666666,35.1112,55.1112,38.4443666666,3.88879999994,60.7778333333,140.666666667,23.5110933333,34.4446333333,196.4444
190.95,82.3936023809,-18.2454666666,65.2630666668,52.6316000001,53.3333666667,7.01756666666,102.105266667,228.421066667,23.57904,47.8948333333,325.964866667
191.33,83.1641416667,-21.7544,74.7368000001,27.3684,55.6140333334,12.8070333333,101.754433333,206.666533333,22.6667066665,39.6492000001,333.333333333
191.71,93.9761904763,-10.0,59.3333333333,23.3333333333,45.0000000001,9.0,98.0,183.0,31.5333333333,43.8333333334,327.0
192.09,219.404761905,-201.333333333,54.6666666665,-126.666666667,10.6666666668,-39.9999999998,250.0,486.666666667,43.7333333335,80.6666666666,1116.0
192.47,97.440525,-81.4287333334,30.0000666666,-21.9048,31.9047333334,-2.61913333334,91.1905000001,183.809533333,40.6667333334,59.2856333332,394.761733333
192.85,181.408702381,-175.555533334,54.4444666667,-81.1112666668,141.6666,-62.2223000002,229.999966667,349.999866667,73.7777999999,149.999866667,829.999999999
193.23,185.476104762,-140.0,76.6666666667,-44.4445333334,257.2222,-66.6665666667,228.888833333,336.666733333,128.222293333,164.444533333,833.3332
193.61,-36.1607142858,385.000000001,55.0000000001,280.0,-211.666666666,170.0,-105.833333334,-313.333333334,-46.3333333331,-118.333333333,-1195.0
193.99,-108.333333334,1480.0,-106.666666667,1186.66666667,-893.333333333,766.666666668,-16.666666666,-860.000000002,-154.666666667,-366.666666668,-4746.66666667
194.37,73.5497857144,-62.4241333334,87.8788000001,-49.6968666668,163.3333,19.3938333333,72.7273666667,130.303066667,68.7273066666,81.5152333333,484.848533334
194.75,38.795554762,97.6471333332,-6.66680000008,83.9216666667,-44.3135999999,51.1763666667,33.7254999999,-0.39206666654,12.5489600001,3.7256,-234.1178
