wavelength,Back_CatDiam,Belly_CatDiam,Breast_CatDiam,Crissum_CatDiam,Crown_CatDiam,DorTail_CatDiam,Patch10_CatDiam,Rump_CatDiam,Throat_CatDiam,WingTip_CatDiam
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,21.9046666666,20.9524,7.61920000002,30.4763333333,25.7142666666,9.52373333332,26.6666,2.8572,22.8571333333,35.238
179.16,306.666666667,300.0,326.666666667,280.0,286.666666667,273.333333333,263.333333333,353.333333333,300.0,340.0
179.54,-66.6666666666,-190.0,-33.3333333333,-91.6666666667,-60.0000000001,-86.6666666666,-60.0000000001,-100.0,-120.0,-53.3333333333
179.93,-15.5556666667,-62.2222000001,-46.6667333333,-55.5556333334,-22.2221333333,-60.0001333333,-46.6668,-73.3334666666,-48.8889333333,-24.4443999999
180.31,-32.9630666667,-68.1480000001,-64.074,-83.8889333333,-8.88886666666,-77.7778666667,-31.8516666666,-82.9629333333,-46.6666,-37.7778666667
180.69,-55.5555333333,-103.111133333,-103.111266667,-118.666733333,-26.2220666667,-113.333333333,-52.4444666667,-120.444466667,-76.0,-56.8888666667
181.07,-161.666666667,-250.833333333,-237.5,-278.333333333,-96.6666666667,-247.5,-147.5,-244.166666667,-195.0,-160.0
181.45,-12.2223333333,-47.0369999999,-43.7036,-67.4074666667,17.4074666667,-49.6297333333,-3.33339999993,-38.1482,-21.4816,-4.81473333334
181.83,-15.0,-36.2499999999,-58.75,-75.625,28.75,-56.6666666667,-2.9166666666,-43.3333333333,-20.4166666667,-4.99999999994
182.21,-32.7777333333,-56.6666666668,-82.7777333332,-93.6111666666,40.0000666666,-81.1111333334,-3.33319999999,-52.7778,-26.1110666667,-15.5554666667
182.59,1.11106666666,-13.7036666667,-35.1852666666,-34.2592666666,50.3703333333,-18.1481333333,24.0741333334,-3.70359999999,14.8148,12.2223333334
182.97,18.2609333333,10.4348666667,-11.5942,-2.1739,59.7102,2.89853333332,42.6087333333,11.0145333333,33.0434666667,27.8260666667
183.35,33.1313333334,19.7979333333,6.26246666666,16.9696,56.5655333333,11.3132666667,46.0604666666,22.4242666666,36.3636666667,34.1414666667
183.73,26.4368,10.115,-1.14933333332,10.5747,49.655,-0.689666666646,43.6782,20.6895999999,28.0459333333,26.6666
184.11,12.0512,-7.4358,-26.6666666667,-7.56413333334,33.8462,-11.5383333333,30.7693333333,7.17940000002,6.92299999999,11.5384666666
184.49,11.9046666667,-7.38086666667,-30.4761333334,-5.23816666666,26.6667333333,-11.1904666667,22.8570666667,6.90473333332,9.5238,9.76186666668
184.87,21.2698666667,10.6348666667,-1.26986666667,9.12706666666,33.6509333333,7.93646666666,30.0,21.5873333333,20.1587333334,17.7777333333
185.25,29.8666666667,19.4666666667,6.93333333333,17.4,36.0,14.9333333333,37.2,27.3333333333,26.6666666667,25.0666666667
185.63,27.3610666667,10.1388666667,-1.94453333333,10.9026,29.7222,6.80546666667,29.4444666667,19.4445333333,19.9999333333,17.6388666667
186.01,32.8104666666,9.01960000001,-1.17646666667,12.5490666667,28.2352,8.88893333333,28.3661333333,24.5751333333,23.5294,16.7320666667
186.39,32.4692,8.76526666666,-3.82706666667,7.53083333332,25.3086,7.90126666668,25.4320666666,23.5802666667,19.2592666667,15.3084666667
186.77,32.1333333333,8.79999999999,-5.33333333332,1.93333333333,27.3333333334,6.39999999999,26.0,24.8,18.2666666667,15.7333333333
187.15,24.7826666667,-0.579666666668,-15.2173333333,-9.56516666666,19.4204,-1.44919999999,18.116,20.7245333333,8.8404,4.34773333334
187.53,18.8034,-5.98299999999,-22.3930666667,-14.7863,15.8976,-4.1026,15.7264,21.0257333333,4.27353333334,2.73520000002
187.91,21.7054666667,1.24033333332,-16.434,-10.0775333333,20.31,1.55039999999,15.5037333333,22.7906,6.35659999999,9.45740000001
188.29,23.8094666667,3.65066666667,-14.6033333333,-10.8730333333,21.7459333333,2.53973333334,18.7301333333,30.9523333333,10.1587333334,12.2221333333
188.67,22.0741333333,2.37046666667,-10.3705333333,-9.77776666667,18.8149333333,1.92586666667,19.9998666667,29.7777333333,6.81479999999,12.8888666667
189.05,7.69220000001,-14.5300666667,-34.3589333333,-29.4016333333,2.22213333333,-17.094,1.5384,17.0941333333,-10.4272666667,-1.88040000001
189.43,-4.00006666666,-25.1427333333,-46.6666666667,-43.619,-2.85719999998,-28.3809333333,-10.6667333333,9.33326666668,-19.9999333333,-13.7142666667
189.81,-3.33333333333,-20.8333333334,-48.3333333333,-45.625,1.39997791138e-11,-28.75,-10.625,14.375,-21.875,-14.5833333333
190.19,-5.85866666667,-14.3434,-38.5858666667,-42.4244,0.60606666666,-25.4546,-6.0606,13.7374,-22.4243333333,-12.3231333333
190.57,-2.91666666667,-7.70833333333,-34.7916666667,-39.8958333333,2.70833333334,-22.0833333333,-0.62500000002,15.625,-16.25,-8.12499999999
190.95,-16.0494,-24.6913333333,-57.2839333334,-53.9506,-14.5679333333,-44.1975333333,-19.2594,0.74073333332,-35.5555333333,-26.6665333333
191.33,-3.77773333333,-6.44453333331,-37.5556,-30.5556,0.44446666666,-30.0,-7.7778,11.7776666667,-18.0000666667,-6.66659999999
191.71,13.1666666667,15.5,-10.6666666667,-8.91666666666,17.1666666667,-5.5,10.1666666667,26.8333333333,5.66666666666,10.1666666667
192.09,21.6666666667,24.3333333333,2.83333333333,-0.91666666666,27.8333333333,3.83333333333,20.3333333333,37.0,18.8333333333,20.6666666667
192.47,16.3810666667,17.9048,-4.00006666669,-10.2857,23.8094666667,-1.9048,12.762,28.9522,14.2856,14.4762
192.85,25.2173333333,29.2754,-12.7535333333,-15.2174333333,39.1304,-2.6086,23.7681333333,45.2173999999,22.6085333333,18.8405333333
193.23,61.1764666666,71.7645333334,6.27433333326,9.80389999994,77.2549333335,28.2352666667,65.8823333334,90.1962000001,58.0391333334,44.7058
193.61,95.9999333335,116.4444,44.4443333334,37.5555333333,112.4446,59.1110666667,104.444533333,130.2222,94.6666000001,73.3332666666
193.99,109.2308,143.5898,74.8718666666,55.1281999999,141.538333333,83.5895999999,143.076866667,162.564133333,125.641,106.1538
194.37,97.4074,127.037066667,77.4074666666,57.0370999999,135.5556,84.4445999999,125.926,146.666666667,120.740733333,109.629666667
194.75,104.210533333,133.3332,88.772,67.1928333334,147.368466667,92.6316666667,126.315733333,161.052533333,128.421066667,113.684133333
195.13,105.866666667,124.8,91.2000000001,75.8666666667,133.866666667,97.0666666667,116.8,151.466666667,118.4,109.333333333
195.51,113.888866667,130.0,100.833333333,79.4445,138.055466667,102.777666667,124.1666,168.611333333,121.666666666,114.444466667
195.89,145.882333333,159.6078,124.3138,98.0392333333,172.941133333,127.451,153.333333333,217.647,142.745133333,143.529333333
196.27,176.923,183.076933333,123.076866667,115.1283,200.000066667,147.179466667,175.384666667,264.615466667,162.051333333,150.256266667
196.65,156.666666667,163.75,117.916666667,118.125,172.916666667,127.083333334,148.333333333,230.416666667,145.833333333,144.583333333
197.03,118.2456,128.771866667,103.157933333,88.4210666666,137.8946,102.4562,107.0174,183.8596,110.877133334,112.6316
197.40,108.888866667,122.666666667,105.7778,74.2223333333,144.4444,95.1112000001,106.2222,198.6666,108.444533333,114.2222
197.78,105.641066667,122.051266667,109.743533333,71.7949999999,143.076933333,102.564133333,105.641066667,213.333333333,107.6922,113.333466667
198.16,105.0,136.666666666,112.5,58.7500000001,160.0,91.6666666667,78.3333333334,290.833333333,109.166666667,108.333333333
198.54,-69.9999999998,-140.0,-76.6666666666,-54.1666666668,-138.333333333,-58.3333333332,-28.3333333335,-436.666666667,-51.6666666667,-63.3333333333
198.92,6.66665940026e-05,-46.6666666667,-20.0000666667,-30.9523999999,-23.8094666667,-16.1904000001,11.4286000001,-211.4286,-2.85713333332,1.90493333341
199.30,15.5555333335,-67.7776666667,-42.2221333333,-23.3334,-24.4445333334,-39.9999333334,22.2222666667,-213.333266667,-7.77766666668,6.6666
199.68,34.1666666667,-38.3333333335,-15.8333333334,5.83333333333,-5.0000000002,-39.1666666667,37.4999999999,-133.333333333,-3.33333333331,21.6666666667
200.06,26.6666666667,-31.3333333331,-23.3333333333,-3.33333333334,-10.6666666667,-44.6666666667,31.9999999999,-108.0,-7.33333333334,27.3333333333
200.44,62.2221999999,-8.14813333353,-34.0740666667,7.77779999992,7.40733333332,-32.5925333333,74.8147999999,-85.1852000001,21.4816,43.7036
200.82,71.4285333335,-40.9523333333,-76.1905333333,-1.90483333346,-12.3808666665,-64.7619333332,54.2857333333,-117.1428,15.2380666667,66.6666000001
201.19,89.9999999998,-283.333333334,-350.0,-256.666666667,-139.999999999,-366.666666666,63.3333333326,-533.333333333,-53.3333333333,89.9999999998
201.57,87.9999999999,170.0,174.666666667,166.0,118.666666667,165.333333333,58.0000000002,196.666666667,112.0,75.9999999999
201.95,103.030266667,156.969733333,156.363533333,150.302966667,120.606066667,140.606066667,41.2120666667,173.333333333,102.4242,76.9696666667
202.33,78.2222666667,115.555533333,110.666733333,106.666533333,84.8889333333,105.333333333,40.4444666665,115.111,67.5555333333,58.2221333333
202.71,66.2962666666,107.4074,96.6666666667,98.1482000001,74.0740000001,89.9998666668,42.2222,94.4443999999,62.5924666666,47.0369333334
203.09,84.8888,141.7778,127.555666667,119.111066667,96.0000666667,111.999933333,51.5556000001,114.222266667,80.4444666667,59.9999999999
203.47,72.4444000001,137.3334,110.666533333,110.666666667,85.7778,89.7777333333,31.1111333333,108.888933333,66.2222,53.7777999999
