wavelength,Back_CatInom,Belly_CatInom,Breast_CatInom,Crissum_CatInom,Crown_CatInom,DorTail_CatInom,Patch10_CatInom,Rump_CatInom,Throat_CatInom,WingTip_CatInom
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,70.6666666666,51.3333333333,63.3333333333,26.0,68.6666666667,73.9999999999,37.3333333333,78.6666666667,99.3333333335,50.0
179.16,28.3333333333,80.0000000001,95.0000000001,6.00003602358e-11,78.3333333336,98.3333333333,31.6666666666,90.0000000002,66.6666666666,51.6666666667
179.54,288.888933333,228.8888,157.777733333,162.2222,253.333333333,204.444466667,106.666666667,224.4446,108.888866667,133.333333333
179.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
180.31,160.000133333,153.793133333,159.0804,67.3563333333,147.1264,171.2642,108.965533333,202.069066667,137.7012,121.149533333
180.69,157.011533333,148.505866667,154.4828,53.1034666666,132.8736,167.356333333,97.0115333332,201.609133333,130.3448,125.057533333
181.07,230.980466667,230.1962,224.3136,54.9020000002,176.862866667,240.392066667,168.6274,310.196266667,170.980333333,172.548933333
181.45,-753.333333333,-746.666666668,-733.333333333,-46.6666666668,-465.0,-808.333333333,-453.333333334,-1083.33333333,-483.333333333,-528.333333334
181.83,-80.3174666666,-85.3967333333,-101.2698,44.4444000001,-15.5556,-100.9524,-47.6189999998,-167.3016,-49.2064,-60.6348666665
182.21,-34.8147999999,-46.9136666667,-64.6914,50.3704666667,17.5309333333,-59.0122666665,-18.2715333333,-106.4198,-18.7652666667,-21.9752666666
182.59,-14.2343333333,-30.9908666666,-34.0541999999,43.6034666667,35.3152666667,-30.8108000001,-3.24320000013,-61.6215999999,6.48646666666,-1.62166666668
182.97,-16.7408,-27.111,-33.9260000001,36.7407333333,28.7408,-27.1111333333,-11.2593333333,-61.7777333333,0.88886666666,-5.33326666666
183.35,10.303,-0.969733333334,-13.8182666666,53.0909333333,44.3636666667,-3.39386666666,8.60606666666,-35.0303333334,17.9394666667,14.909
183.73,52.8357333333,39.0049333333,27.0648,79.9005333334,78.4079333333,32.1394,45.8706666667,11.0447333333,55.9204,51.8407999999
184.11,44.4046000001,22.9762,2.73799999999,65.2380666666,72.8571333334,13.0952,26.6666666667,-8.57146666668,45.8334,34.5237333333
184.49,46.5384000001,20.7692666667,-6.28220000002,52.1795333333,74.3590666667,11.0257333333,21.9231333333,-17.3077333333,43.9743999999,37.0512666666
184.87,49.8039333334,32.9411333333,6.27453333335,51.6667333333,71.0784666666,22.2549333334,26.8628666667,2.25486666666,46.4704666666,48.4313333334
185.25,50.8677333333,30.8676,2.92220000001,48.0366666667,66.1187333334,19.7260666667,33.0594,6.484,49.6803999999,41.3698666667
185.63,44.3781999999,21.5919333333,-5.87073333333,35.8211333333,58.7064666667,9.25360000001,23.8806666667,-5.47266666667,43.6815333334,37.1143333333
186.01,36.6666,2.63893333335,-32.2221333333,20.9723333334,47.3610666666,-9.16660000001,9.72219999999,-34.9999333333,37.3611333334,32.3610666667
186.39,5.33333333332,-32.5,-67.8333333333,-7.83333333328,19.0,-45.1666666667,-16.0,-76.6666666666,15.9999999999,4.00000000002
186.77,13.5135333333,-20.5405333333,-61.6216666667,3.96393333328,18.018,-43.6035333333,-6.48660000002,-87.9279999999,18.9188666666,6.84686666667
187.15,15.4385333334,-21.4035333333,-60.3508000001,-7.36846666662,7.01753333322,-47.5437333333,-5.26306666666,-83.3332666666,13.3333999999,5.43873333332
187.53,-10.5555333335,-57.2222666665,-123.888866667,-54.7220666666,-10.2777333332,-103.333333333,-48.6110666665,-160.000133333,-11.6667333333,-39.7220666668
187.91,-231.666733333,-305.0,-480.555600001,-306.666733333,-217.2222,-377.777666667,-312.7778,-498.333466667,-239.444466667,-252.2222
