wavelength,Back_CerOlif,Belly_CerOlif,Breast_CerOlif,Crissum_CerOlif,Crown_CerOlif,DorTail_CerOlif,Rump_CerOlif,Throat_CerOlif,WingTip_CerOlif
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,61.1112222223,29.6295555556,77.7776666666,68.5185555556,25.926,40.7405555558,35.1851111111,69.4443888889,35.1851111111
179.16,-100.0,-355.555555556,-66.6666666668,-22.2222222223,-233.333333333,2.33304338811e-10,0.0,-177.777777778,-300.0
179.54,111.111111111,133.333333333,77.7777777779,233.333333333,188.888888889,33.333333333,188.888888889,33.3333333333,666.666666667
179.93,180.555555556,177.777777778,230.555555555,247.222222222,338.888888889,247.222222222,266.666666667,259.722222222,263.888888889
180.31,-35.9999999999,-76.888888889,12.0,10.2222222222,-113.777777778,10.6666666667,-68.888888889,-38.4444444446,-88.4444444445
180.69,-6.89644444447,-61.6858888889,31.8007777778,23.3716666667,-80.4597777779,24.5211111111,-40.2297777778,-9.5786111111,-68.5824444446
181.07,-38.8888888888,-95.2992222223,2.99144444447,5.55566666668,-102.564222222,35.4701111111,-60.6837777777,-16.2392777779,-98.2904444446
181.45,-12.3123333333,-71.7717777777,15.0152222222,12.3122222222,-60.06,33.0331111111,-29.7295555556,8.25816666667,-47.4473333335
181.83,-5.69800000001,-63.248,22.5072222222,27.3504444445,-52.7064444445,45.2993333333,-20.7977777778,18.0912222222,-27.3503333332
182.21,27.7778888889,-11.3247777778,65.171,61.7522222222,2.13666666669,80.7692222222,22.0086666667,56.0897222222,13.8888888888
182.59,42.9377777778,-6.968,68.7382222222,65.3484444444,12.6176666667,76.6476666667,28.2486666667,64.7832777778,16.1958888889
182.97,60.606,19.336,73.4486666667,71.8615555556,33.9105555555,79.6537777778,37.3735555556,70.2742222222,27.2724444444
183.35,58.9023333333,21.9545555555,69.2102222222,59.9731111111,36.1444444444,78.3132222222,37.2156666666,65.7296111111,25.5688888889
183.73,71.3614444446,29.2644444445,80.5946666667,69.3271111111,42.0971111111,95.148888889,44.1314444445,71.5960555555,29.421
184.11,80.6348888888,33.4921111111,90.9524444444,77.3017777778,50.6347777778,106.984222222,63.3333333333,80.3173888889,39.8411111111
184.49,86.1111111112,38.1944444444,98.9582222223,79.8611111111,57.1178888889,121.180333333,69.4444444444,99.7396666666,44.9651111111
184.87,97.0369999999,49.8146666667,109.814777778,90.1852222222,60.9261111111,134.444333333,79.074,108.611055556,55.7407777777
185.25,106.968,68.3615555556,118.079222222,94.9152222223,69.3033333333,140.678111111,86.4406666668,110.452,59.5104444443
185.63,117.261888889,88.0952222223,139.881111111,109.920666667,81.9444444446,162.5,93.2539999999,121.825277778,67.6586666667
186.01,146.759333333,106.944333333,162.731555556,128.472222222,103.009444445,183.796333333,108.796333333,132.638666667,78.2407777777
186.39,147.392333333,95.9184444444,147.619,127.891222222,97.9591111111,160.317333333,107.256333333,121.995388889,72.5623333332
186.77,124.521,95.0191111112,140.038333333,113.984444445,89.0805555557,143.678333333,90.4214444444,109.865944445,64.7508888888
187.15,130.0,77.4073333333,169.629666667,122.222222222,72.2222222222,170.370555555,93.3332222221,118.703666667,38.5186666667
187.53,154.321,57.4072222222,207.407333333,142.592777778,41.358,208.642111111,67.901222222,121.296444445,6.17277777767
187.91,179.629888889,56.4814444443,271.296222222,182.407444444,26.8516666666,242.592666667,95.3704444443,155.555666667,9.2592222222
188.29,126.262555556,48.989888889,169.192111111,133.838444444,43.9394444445,136.868666666,44.4444444442,92.6767777779,22.2222222222
188.67,55.5554444443,-12.1211111111,119.696888889,74.7474444443,-18.6868888889,64.6465555556,-17.1716666667,32.0707222222,-37.8788888889
