wavelength,Back_ChlPhom,Belly_ChlPhom,Breast_ChlPhom,Crissum_ChlPhom,Crown_ChlPhom,DorTail_ChlPhom,Patch10_ChlPhom,Patch11_ChlPhom,Patch12_ChlPhom,Rump_ChlPhom,Throat_ChlPhom,WingTip_ChlPhom
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,122.222222222,57.4072222221,144.444555556,109.259222222,161.111,103.703777778,94.4444444444,87.0368888889,98.1481111112,103.292246914,116.666666667,90.7406666667
179.16,229.629555556,203.703666667,322.222222222,251.851888889,266.666444444,348.148222222,225.926,129.629444444,262.963,216.872419753,303.703777778,285.185111111
179.54,-81.4815555554,12.9630000001,-70.3703333334,-74.0739999999,-53.7036666667,-70.3704444445,-55.5554444444,-9.25911111113,-75.9258888888,-103.703716049,-111.111111111,-87.0372222222
179.93,31.6873333333,31.2757777778,29.6294444444,37.0371111111,46.9135555556,43.6214444444,38.2715555555,55.9671111111,26.3375555555,28.5322592592,36.214,22.6338888889
180.31,-245.029222222,-83.041111111,-141.520444444,-126.315888889,-86.5497777779,-202.339222222,-139.766222222,-59.0642222223,-166.081777778,-214.165049383,-147.368444445,-174.853777778
180.69,-237.878666667,-93.434222222,-141.414222222,-122.727111111,-92.9291111111,-188.384,-126.767666667,-55.0504444445,-158.080666667,-204.601716049,-137.373888889,-170.706777778
181.07,-165.432,-55.5555555553,-76.9547777779,-74.4856666666,-31.2755555556,-118.107111111,-78.6007777778,-28.8065555556,-96.2962222222,-140.19208642,-90.9464444443,-115.638
181.45,-131.851888889,-40.7406666667,-33.3332222222,-37.4074444444,-7.40744444443,-91.4815555558,-42.9630000001,-7.40744444447,-73.3334444445,-107.860197531,-62.9631111111,-83.3333333334
181.83,-66.3956666667,-8.94333333323,4.06511111113,1.62599999999,14.3633333334,-42.2764444445,7.04588888887,15.989,-21.4092222222,-47.7868765433,-12.7371111111,-27.6423333333
182.21,-2544.44444445,-1144.44444445,-877.777777779,-1200.0,-1111.11111111,-2155.55555556,-799.999999999,-1038.88888889,-1361.11111111,-2000.0,-1388.88888889,-1522.22222222
182.59,497.222222222,307.407333333,252.777666667,315.740666667,289.814666667,441.666555555,182.407444444,256.481444445,269.444444444,381.893111111,316.666777778,368.518444445
182.97,1925.92588889,1333.33311111,899.999888889,1296.29633333,1207.40744444,1744.44455555,659.259222222,911.111111111,1033.33333333,1422.22234568,1333.33344445,1496.29611111
183.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
183.73,5144.44444445,3366.66666667,1533.33333333,3766.66666667,3677.77777778,4511.11111111,1622.22222222,2600.0,2311.11111111,3476.54320988,3777.77777778,3588.88888889
184.11,248.989777778,192.424333333,106.060666667,200.505,213.131333333,220.707111111,104.545555555,145.959555555,119.697,169.753,188.383888889,184.343333333
184.49,161.728111111,125.103,66.2552222222,142.798444444,152.674888889,171.193333333,69.9588888889,108.230333333,82.3045555555,114.311790124,120.164666667,139.094555555
184.87,113.026666667,74.7124444443,13.410111111,108.429111111,108.812333333,129.118888889,36.3985555556,88.1227777777,49.4253333333,91.0601234567,83.1418888889,91.5710000001
185.25,121.810888889,72.4281111113,4.1152222221,107.819,120.987666667,132.921666667,28.8065555555,74.897111111,63.7858888889,92.2267283952,82.3046666668,75.7201111112
185.63,105.902777778,59.7222222222,8.33333333333,97.9166666667,104.166666667,106.944444444,46.1805555555,65.2777777779,51.0416666666,82.7546296295,69.4444444445,70.8333333333
186.01,79.6934444445,60.9195555557,23.18,72.6052222222,69.7317777778,75.0957777777,52.4905555554,62.2606666667,46.9347777778,69.5189135802,53.8313333333,56.5134444445
186.39,69.2430000001,66.1834444443,24.7986666667,67.6329999999,58.6151111111,65.7004444445,58.2931111111,60.8695555554,46.3768888889,64.7162839506,52.657,57.166
186.77,56.1182222222,58.0873333334,15.7524444444,55.9775555554,49.2265555555,53.4457777778,50.3515555555,54.7116666667,37.8341111111,55.4305061728,45.429,43.0377777778
187.15,53.125,50.9257777778,24.7684444445,52.5461111112,45.6017777778,53.9353333333,45.0232222223,55.4398888889,36.9213333333,51.8004567901,42.3611111111,42.2452222222
187.53,52.721,51.9274444443,25.7367777778,56.8026666668,43.1973333333,54.8752222222,43.6506666667,54.4217777778,39.229,52.8344814815,42.4035555556,41.043
187.91,40.7407777778,39.1694444444,15.0391111111,45.0056666667,26.4871111111,48.3727777778,32.6601111111,44.2197777778,31.0886666667,42.9480123457,34.6803333333,30.8642222222
188.29,40.2778888889,35.4798888889,6.187,44.5705555555,20.2021111111,52.6515555555,32.4494444444,44.0657777778,28.2826666667,43.6166666667,36.7424444445,31.0606666667
188.67,43.7667777778,46.748,6.36844444447,46.3414444444,25.3385555555,47.2901111111,34.4172222222,42.9538888889,29.8102222222,48.1932839506,40.7858888889,30.0813333333
189.05,49.7652222222,54.7730000001,9.8592222222,49.2956666668,27.6995555555,49.7653333333,37.8716666666,43.9751111111,30.673,43.3141851852,41.158,32.5508888889
189.43,55.105,61.5615555556,17.2672222222,55.2552222222,30.4804444444,56.0057777778,44.2942222223,52.4024444445,32.2822222222,49.7499012346,39.3394444444,48.9487777778
189.81,56.7733333333,63.6224444444,26.9406666667,57.8386666666,30.2891111111,59.2084444444,45.3576666667,66.2101111111,33.029,53.2892962963,35.9207777778,49.6195555555
190.19,51.6082222222,59.0643333333,20.9063333334,55.8482222222,33.4795555555,55.1170000001,44.2983333332,63.1577777778,34.9413333333,48.1968641975,34.2104444444,46.199
190.57,43.7643333333,44.8979999999,-4.53511111123,57.823,17.0067777778,47.8457777778,21.7687777777,57.3694444444,7.02955555556,33.8372592593,14.0588888889,23.5827777777
190.95,33.0332222222,26.125888889,-29.4296666669,62.4623333334,-8.40833333333,24.6245555553,4.50444444467,39.6395555555,-21.6216666667,19.8529753086,-12.6125555556,5.40555555543
191.33,-23.2803333333,-2.64544444443,-123.280555556,51.8517777779,-73.0160000001,-3.17466666677,-39.1534444443,2.64555555577,-98.412888889,-24.8674938272,-68.254,-46.0317777779
191.71,-145.679111111,-76.5431111113,-344.444444444,96.2963333334,-200.0,-102.469,-116.049222222,-49.3825555553,-349.382666666,-136.076790124,-245.679111111,-129.629444445
192.09,-208.333333333,-12.4999999998,-343.055555556,125.0,-94.4444444446,-111.111111111,-119.444444444,19.4444444443,-434.722222222,-138.271604938,-268.055555555,-66.6666666667
192.47,-217.460333333,30.1585555556,-326.984111111,168.253888889,-80.9523333332,-126.984222222,-204.761666667,66.6665555558,-495.238,-130.687666667,-347.618888889,-46.0316666667
192.85,-100.0,-10.4575555557,-126.143666667,79.0851111112,-49.6732222222,-35.294222222,-86.9282222222,43.791,-210.457555555,-79.448074074,-147.058777778,-30.0654444444
193.23,-32.0635555556,26.9841111111,-31.1112222221,78.4126666668,14.6033333334,25.0794444444,-12.380888889,66.0314444443,-80.635111111,-13.8624074074,-30.4763333333,26.9843333333
193.61,-105.734888889,-10.3941111111,-76.7024444443,54.1218888889,-25.0894444445,-10.3939999998,-58.7813333334,37.6345555555,-143.010555556,-67.5427407407,-82.4372222223,-29.0323333332
193.99,-177.777777778,-36.8888888889,-149.333333333,41.3333333333,-61.3333333333,-54.6666666667,-113.777777778,-0.88888888911,-221.333333333,-130.864197531,-135.555555556,-78.6666666666
194.37,-272.839555555,-59.2592222221,-206.790111111,49.3826666667,-108.642111111,-82.716,-175.308666667,-28.3951111112,-350.0,-232.578901235,-198.765444445,-93.8274444443
194.75,-178.666666667,-18.6666666667,-128.444444444,29.7777777778,-54.2222222221,-31.1111111111,-92.4444444446,16.4444444445,-224.444444444,-153.530864198,-141.777777778,-38.2222222221
195.13,-275.816888889,-68.6274444443,-216.993555556,-5.8822222222,-86.9283333333,-49.0196666668,-135.294111111,18.9542222221,-331.372666667,-250.689925926,-237.254777778,-77.7775555554
195.51,-380.158777778,-138.095222222,-321.428555556,-73.0157777778,-146.825444445,-171.428555556,-243.650777778,-7.93644444447,-442.857111111,-351.851790123,-345.238111111,-164.285444444
195.89,-198.666666667,-68.0000000001,-172.0,-41.7777777778,-76.888888889,-90.6666666668,-125.777777778,-1.18423789293e-15,-223.555555556,-188.938271605,-184.888888889,-99.1111111111
196.27,-258.641888889,-104.321111111,-233.333222222,-60.4937777779,-109.876666667,-119.135888889,-168.518444444,11.1112222221,-296.913666667,-259.670679012,-266.666777778,-156.172888889
196.65,-293.827111111,-101.234555555,-253.703777778,-91.9754444442,-112.345666667,-145.679111111,-168.518444444,-4.93833333337,-297.530888889,-265.226197531,-274.074111111,-164.197444444
197.03,783.950555556,366.666666667,669.135888888,364.197444444,395.061777778,456.790222222,449.382666666,186.419666667,729.629777779,643.62145679,734.567777778,413.580222222
197.40,356.018555556,199.537111111,324.074,214.814777778,235.185111111,237.499888889,227.777777778,145.370444444,333.333333333,295.421814815,352.314777778,234.259222222
197.78,420.833333333,220.138888889,407.638888889,251.388888889,291.666666667,289.583333333,235.416666667,122.222222222,413.194444445,379.166666667,418.055555556,255.555555556
198.16,443.589777778,218.803333333,452.991444444,247.863222222,323.931555555,329.914444444,221.367555555,95.7264444446,427.350555556,415.764444444,464.102555556,276.923222222
198.54,378.431333334,223.529333333,378.431333333,235.294,276.470666667,296.078555556,183.006444444,97.3856666668,355.555444445,354.538790123,396.078555556,278.431333333
198.92,399.382666667,241.358111111,385.802555556,254.321111111,283.950777778,344.444555556,195.061777778,140.123666667,345.679111111,349.794074074,366.666666666,280.247
199.30,318.055555556,183.333444445,299.537,204.166777778,241.666666667,292.592555555,175.0,118.055555556,281.018444444,282.098925926,284.722111111,207.407555556
199.68,256.321777778,154.406111111,246.743333333,160.536333333,218.007777778,236.781666667,146.743222222,108.046111111,237.547777778,240.059703704,246.743111111,168.199111111
200.06,234.006666667,137.373777778,226.599333333,140.067333333,204.040444444,217.171777778,145.791222222,88.8888888891,212.794666667,236.026864198,228.619666667,164.646444444
200.44,477.777777778,265.925777778,446.666555556,277.777888889,454.814888889,494.814777778,268.888888889,204.444444445,436.296333333,509.71191358,471.851888889,343.703777778
200.82,1663.88888889,955.555555557,1463.88888889,816.666666667,1575.0,1816.66666667,788.88888889,708.333333333,1569.44444444,1897.83950617,1688.88888889,1177.77777778
201.19,-348.148111111,-180.0,-305.925777778,-119.259111111,-369.629666667,-435.555555556,-167.407666667,-111.111222222,-380.740777778,-457.366160494,-379.259222222,-282.963
201.57,-130.465888889,-50.8961111111,-95.6989999998,-11.1112222222,-144.444333334,-178.853,-39.7851111112,-6.09322222223,-137.992888889,-189.526160494,-148.028666667,-102.508777778
201.95,-138.562111111,-51.6342222222,-102.941111111,-16.6666666667,-132.679666667,-169.607666667,-61.1111111112,-30.0653333334,-122.548888889,-183.297049383,-146.732111111,-106.208888889
202.33,-276.0,-158.222222222,-206.222222222,-110.222222222,-251.111111111,-291.555555555,-168.0,-116.444444445,-254.666666667,-324.888888889,-267.555555556,-211.111111111
202.71,-205.734666667,-115.412222222,-144.802888889,-78.8530000001,-184.587888889,-221.147,-131.899555555,-89.9641111111,-194.982111111,-234.249345679,-202.150555555,-166.666555555
203.09,-365.497111111,-214.035,-242.105333334,-143.859666666,-343.275,-366.081777778,-235.672444444,-160.818777778,-349.707444444,-398.115604938,-377.192888889,-321.052666667
203.47,-186.532111111,-108.080777778,-110.774666667,-63.2995555555,-169.697,-169.696888889,-110.437666667,-78.7878888889,-182.491666667,-210.699481482,-191.245666667,-176.430888889
203.85,-120.697222222,-60.1306666667,-57.0805555557,-42.0478888889,-97.8213333332,-95.8605555558,-59.6950000001,-37.2548888889,-104.139444444,-138.174802469,-114.596888889,-115.032888889
204.22,-115.637777778,-50.2056666667,-45.2675555557,-38.6831111111,-84.1564444443,-89.9176666669,-47.9424444444,-31.893,-89.3004444443,-121.993716049,-100.617333333,-101.234555556
204.60,-228.619444445,-125.252666667,-105.723888889,-104.040333333,-169.697,-171.717,-117.171777778,-72.3905555556,-176.767666667,-224.691407407,-187.542111111,-206.733777778
204.98,-328.0,-187.111111111,-185.777777778,-168.0,-248.0,-234.222222222,-197.777777778,-111.111111111,-224.888888889,-324.592592593,-260.0,-290.666666667
205.36,-480.116777778,-274.269,-288.304,-294.736777778,-342.105222222,-330.409222222,-286.549666667,-197.076111111,-317.543888889,-487.13454321,-361.403666667,-409.356666667
205.74,-1231.94444444,-759.722222221,-805.555555554,-844.444444443,-909.72222222,-843.055555557,-780.555555556,-620.833333333,-893.055555555,-1275.0,-925.0,-1066.66666667
206.12,-545.926,-334.814888889,-321.481444445,-399.259222222,-397.037,-383.703777778,-320.0,-260.740666667,-411.851666667,-602.633617284,-421.481444444,-466.666666667
206.50,-430.718888889,-252.941,-268.627555556,-324.183111111,-326.797222222,-308.496666667,-258.823555556,-210.457666667,-326.797444444,-504.212074074,-354.248333333,-353.594666667
206.87,-488.194444444,-272.222222222,-315.277777778,-355.555555556,-372.222222222,-334.722222222,-295.833333333,-231.25,-328.472222222,-566.74382716,-384.027777778,-331.944444444
207.25,-235.555555556,-127.407555556,-144.074111111,-167.407333334,-174.074111111,-153.703555555,-130.740777778,-104.074,-146.296111111,-280.164604938,-163.703666667,-139.999888889
207.63,-236.363555556,-130.976666667,-149.495,-170.707,-180.134666667,-157.912333334,-134.006666667,-106.060666667,-137.373777778,-270.07108642,-163.299666667,-144.781111111
208.01,-426.143888889,-217.647,-258.169888889,-294.771,-307.189444444,-300.653666667,-237.908555556,-202.614444445,-248.366111111,-484.168419753,-303.921444444,-273.202444444
208.39,-180.634888889,-105.714222222,-109.841222222,-137.460333333,-140.634888889,-133.968111111,-111.428555555,-100.317555555,-112.381,-204.797148148,-131.111222222,-108.253888889
208.77,-108.547111111,-54.4873333332,-63.8888888889,-74.3591111111,-70.2991111111,-78.419,-61.1112222222,-60.0427777778,-61.1113333333,-124.572530864,-68.8034444443,-39.9571111113
209.14,-87.1940000001,-42.372888889,-42.1845555555,-59.5102222223,-51.4124444444,-64.4067777779,-39.1714444444,-44.0677777778,-55.179,-100.564753087,-54.2371111112,-28.2485555556
