wavelength,Back_ChlRief,Belly_ChlRief,Breast_ChlRief,Crissum_ChlRief,Crown_ChlRief,DorTail_ChlRief,Patch10_ChlRief,Patch11_ChlRief,Patch12_ChlRief,Rump_ChlRief,Throat_ChlRief,WingTip_ChlRief
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,91.6666666667,126.666666667,110.833333333,82.5,127.5,87.5,99.1666666667,100.833333333,88.3333333333,96.6666666667,104.166666667,120.416666667
179.16,108.717933333,90.5126666666,84.6153999999,86.1538,110.256533333,86.1538666666,103.589733333,104.615466667,97.4359333333,73.8461333333,104.6154,94.6152999999
179.54,103.809466667,107.142966667,96.8254666666,96.5079333332,106.349133333,103.174666667,107.936533333,104.127,101.5872,97.4603999999,101.9048,96.1905
179.93,125.7142,141.904766667,81.9045999999,126.666666667,121.9048,108.5714,135.237933333,96.1905333333,115.238,124.762,139.047733333,107.619033333
180.31,108.083333333,110.791666667,78.0833333332,96.9166666667,125.0,98.6666666666,121.583333333,110.583333333,108.75,105.416666667,119.083333333,101.291666667
180.69,107.545733333,110.695933333,77.9488000001,97.6555999999,125.714333333,100.879,121.538533333,110.696,107.985333333,106.959666667,116.849866667,100.366333333
181.07,91.1539333334,89.2628333333,60.641,79.1025333333,106.025666667,83.3974666667,101.666666667,92.6282666665,90.5767999999,89.4231333334,99.1666666667,80.6409666667
181.45,90.4666666666,91.7666666667,59.5333333333,79.2666666666,108.6,85.8,102.333333333,92.0666666667,88.6666666667,96.0666666667,101.8,76.5333333333
181.83,96.5516666667,98.2374999999,58.6206666667,86.4366666667,117.164733333,87.7395333333,108.046,96.5518,93.0267999999,107.126333333,110.881333333,79.5019666667
182.21,93.8889333333,97.0635999999,56.5079333333,84.8412000001,114.365066667,87.9364666667,106.111066667,94.8412666667,89.3650666666,108.730133333,108.968333333,76.8253666666
182.59,106.969733333,109.697,53.2322666666,96.1616666667,127.272733333,92.9292666668,115.0506,104.040533333,94.0404000001,125.858533333,126.2626,85.9595333333
182.97,102.962933333,102.5463,52.5926,96.9444666667,119.351866667,88.8890000002,106.018466667,105.462933333,83.889,124.8148,116.759133333,88.6111999999
183.35,97.8903333333,94.5148666668,50.8016,87.9326,111.308066667,80.2531333333,95.5274666667,97.3840666667,74.9368666666,114.768066667,101.181533333,83.8398000001
183.73,96.7067999999,97.3493999999,52.8514666667,89.5582666667,113.975933333,82.8112000001,94.8595333334,96.4657333333,75.2610666667,114.698733333,98.3936666665,84.3776333334
184.11,97.5090666666,98.9011333332,62.0512666667,93.9927333333,111.501666667,89.2308666666,95.1649333332,97.3627333333,80.0,110.915733333,95.3845999999,84.5787999999
184.49,108.652533333,108.652533333,74.5392,101.1348,117.234133333,98.4396000001,102.907866667,105.1774,86.5956666667,119.432533333,102.269466667,91.4893666665
184.87,119.176933333,116.131633333,79.6708666667,110.946666667,122.633866667,105.925933333,113.004066667,114.321,90.9466000001,128.7244,113.333333333,100.329366667
185.25,197.1242,192.091466667,130.718866667,189.673133333,187.712333333,174.248466667,184.575133333,186.928066667,152.6798,209.019666667,179.6078,164.117733333
185.63,300.215066667,268.172033333,170.107466667,280.8602,250.967666667,246.881733333,260.430066667,275.0538,226.6666,294.838666667,253.3332,237.096633333
186.01,720.000199999,596.388833333,333.888733333,611.666666667,546.111133333,560.000066667,610.0,656.666666667,497.222266667,640.000066667,567.222266666,505.000033333
186.39,5040.0,3700.0,2493.33333333,4070.0,3780.0,3693.33333333,4113.33333333,4400.0,3563.33333333,4150.0,3816.66666667,3588.33333333
186.77,-1046.66666667,-739.333333333,-556.666666667,-817.999999999,-784.666666666,-784.666666668,-841.333333332,-888.0,-766.000000001,-838.666666665,-768.666666667,-711.666666667
187.15,-727.1428,-490.952333333,-394.761933333,-558.0952,-529.047666667,-531.4286,-584.761933333,-594.762,-531.904866667,-572.3808,-514.285666667,-472.1427
187.53,-309.247333333,-196.989166667,-165.5914,-227.526933333,-216.128933333,-221.7204,-241.5054,-245.591266667,-226.236533333,-243.870866667,-208.387,-179.57
187.91,-503.0304,-316.5153,-284.242466667,-374.242466667,-336.666666667,-360.606066667,-387.272733334,-412.424266666,-373.6364,-388.484866667,-337.272733333,-309.393933333
188.29,-429.066666667,-258.666666667,-248.266666667,-323.466666667,-288.266666667,-300.533333333,-320.533333333,-362.666666667,-312.266666667,-331.2,-288.8,-275.733333333
188.67,-333.958333333,-185.104166667,-187.291666666,-241.041666667,-213.125,-226.875,-233.125,-279.583333333,-244.791666667,-248.75,-212.708333334,-205.520833333
