wavelength,Back_ChrChrm,Belly_ChrChrm,Breast_ChrChrm,Crissum_ChrChrm,Crown_ChrChrm,DorTail_ChrChrm,Patch10_ChrChrm,Rump_ChrChrm,Throat_ChrChrm,WingTip_ChrChrm
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,-6.34922222233,-61.9046666666,9.52377777777,-71.4283333333,-49.2063333333,-25.3968888889,-6.3492222222,7.93644444443,16.6666666667,-55.5554444446
179.16,-233.333333333,-911.111111111,-77.777777778,-733.333333333,-500.0,-555.555555555,-511.111111111,-600.000000001,-399.999999998,-955.555555554
179.54,-411.11111111,-733.333333334,44.4444444443,-455.555555555,-344.444444445,-733.333333333,-455.555555556,-155.555555556,-333.333333333,-655.555555556
179.93,-11.1112222222,-48.1482222222,11.111,-43.2097777778,-8.642,-74.0742222222,-23.4566666667,-13.5803333333,12.9631666666,-35.8024444444
180.31,-2.7101111111,-147.967555556,46.3415555554,-84.5528888888,-39.8373333333,-79.9460000001,-54.4715555555,-12.466,-35.3658333334,-95.664111111
180.69,-6.60655555557,-191.591666667,53.4534444443,-108.708888889,-52.5526666667,-102.402222222,-66.066,-15.9159999999,-46.8468333335,-124.925
181.07,20.5555555555,-154.166666667,70.8333333333,-83.0555555557,-24.1666666667,-78.611111111,-43.6111111111,0.555555555533,-35.4166666665,-99.4444444445
181.45,21.5277777778,-190.972222222,90.6250000001,-108.680555556,-34.375,-105.555555556,-52.4305555556,5.90277777756,-45.8333333333,-100.694444444
181.83,33.6599999999,-171.568555555,82.3528888889,-99.673111111,-24.8366666666,-89.5423333334,-51.9608888889,10.1305555558,-32.8433333334,-73.8563333333
182.21,50.8771111112,-129.532111111,104.093444444,-70.7602222223,0.000111111133331,-49.4152222221,-24.5614444445,41.5204444444,0.4385,-47.3683333334
182.59,51.2345555554,-116.975444444,109.567888889,-79.3211111112,4.62955555553,-54.321,-32.7161111111,40.1235555556,4.16666666665,-63.5802222222
182.97,74.7862222222,-160.256444445,149.145111111,-111.965777778,-0.000111111100003,-75.641111111,-58.1195555557,55.5555555555,1.923,-99.1452222221
183.35,122.222222222,-206.536,258.170111111,-161.438,15.0327777778,-75.1634444443,-45.751777778,94.7712222221,14.7058333333,-141.830222222
183.73,157.142777778,-209.523777778,319.047666667,-180.952333333,41.2697777779,-95.2382222223,-59.523888889,117.460222222,-5.952333333,-120.635
184.11,98.4847777778,-124.242333333,201.01,-116.666666667,11.6161111111,-72.7273333333,-36.3635555557,70.707111111,15.9091666667,-50.000111111
184.49,71.7592222222,-113.889111111,143.981333333,-138.888888889,6.94444444443,-99.074111111,-50.463,48.611,24.3056666666,-54.6295555555
184.87,75.6412222221,-79.9145555557,136.752,-122.222111111,23.9315555555,-71.794888889,-55.1281111112,53.8461111111,48.077,-25.6409999999
