wavelength,Back_ChrSalf,Belly_ChrSalf,Breast_ChrSalf,Crissum_ChrSalf,Crown_ChrSalf,DorTail_ChrSalf,Patch10_ChrSalf,Patch11_ChrSalf,Rump_ChrSalf,Throat_ChrSalf,WingTip_ChrSalf
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,-106.666666667,-160.0,-46.6666666667,-153.333333333,-120.0,-180.0,-193.333333333,-66.6666666667,-206.666666667,-180.0,-40.0
179.16,-583.333333333,-433.333333333,-50.0,-400.0,-450.0,-650.0,-533.333333333,-333.333333333,-566.666666667,-550.0,-250.0
179.54,733.333333333,0.0,0.0,1400.0,1066.66666667,1000.0,933.333333333,666.666666667,933.333333333,966.666666667,800.0
179.93,-38.8886666667,-94.4446666667,50.0,72.222,-22.222,-50.0,0.0,-22.2223333333,22.2223333333,0.0,141.6665
180.31,394.444333333,338.888666667,58.3333333333,549.999666667,475.0,841.667,455.555666667,372.222,291.666333333,538.888666667,12.5
180.69,448.148,392.592666667,-37.037,781.481333333,574.074,1111.111,562.962666667,459.259333333,311.111333333,674.074,-88.889
181.07,520.0,433.333333333,-273.333333333,1206.66666667,900.0,1800.0,746.666666667,760.0,180.0,1180.0,-360.0
181.45,130.555333333,77.778,-111.111,505.555333333,316.666666667,700.0,208.333666667,275.0,-25.0,427.778,-262.5
181.83,-120.0,-66.6666666667,-520.0,746.666666667,413.333333333,1240.0,-113.333333333,326.666666667,-513.333333333,606.666666667,-1060.0
182.21,-408.333333333,-366.666666667,-675.0,866.666666667,366.666666667,1400.0,-441.666666667,325.0,-858.333333333,658.333333333,-1162.5
182.59,-613.333333333,-533.333333333,-520.0,640.0,220.0,840.0,-326.666666667,280.0,-733.333333333,666.666666667,-820.0
182.97,-755.555333333,-683.333333333,-555.555666667,388.889,38.8886666667,300.0,-400.0,177.777666667,-583.333333333,427.778,-808.3335
183.35,366.666666667,335.416666667,308.333333333,-47.9166666667,68.75,-87.5,270.833333333,20.8333333333,287.5,-43.75,393.75
183.73,233.333333333,194.444666667,204.444333333,11.111,66.6666666667,3.333,188.888666667,31.111,151.111,1.11133333333,236.6665
184.11,189.743666667,135.042666667,169.231,23.0766666667,71.7946666667,41.026,152.991333333,27.3503333333,124.786333333,15.385,170.5125
