wavelength,Back_CisLevf,Belly_CisLevf,Breast_CisLevf,Crissum_CisLevf,Crown_CisLevf,DorTail_CisLevf,Patch10_CisLevf,Patch11_CisLevf,Rump_CisLevf,Throat_CisLevf,WingTip_CisLevf
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,128.333333333,49.9999999998,243.333333333,123.333333333,63.3333333335,-16.6666666666,293.333333333,150.0,344.444444445,83.3333333333,63.3333333334
179.16,46.0,42.6666666667,-10.6666666667,-43.3333333334,6.66666666666,52.0,-48.0,-37.3333333334,-45.3333333333,-9.33333333332,0.0
179.54,276.666666667,340.0,366.666666667,566.666666667,153.333333333,133.333333333,666.666666667,240.0,488.888888888,333.333333333,280.0
179.93,136.666666667,-96.6666666668,93.3333333335,-111.666666667,153.333333333,83.3333333334,-63.3333333335,40.0,-68.3333333333,156.666666667,170.0
180.31,315.0,1720.0,1586.66666667,1520.0,410.0,213.333333334,1660.0,1190.0,1823.88888889,1050.0,656.666666667
180.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
181.07,4.0515337557e+14,2.47783274953e+15,2.07694414634e+15,2.04282596734e+15,6.99422669404e+14,5.92803360042e+14,1.86370552762e+15,1.45428737967e+15,2.17787709253e+15,1.0491340041e+15,9.85162418486e+14
181.45,173.333333333,837.333333332,638.666666667,563.333333333,200.0,178.666666667,557.333333333,457.333333334,681.555555556,297.333333333,241.333333333
181.83,85.0,425.333333333,324.0,270.333333333,100.0,107.333333333,251.333333333,246.666666667,333.333333333,115.333333333,116.0
182.21,164.166666667,996.666666667,843.333333334,647.499999999,301.666666667,338.333333333,603.333333333,625.0,858.888888889,360.0,374.999999999
182.59,25.6249999999,211.666666667,192.5,147.291666667,75.8333333333,92.0833333334,109.583333333,131.25,185.347222222,82.0833333334,70.4166666668
182.97,46.5151999999,141.8182,177.2726,112.5757,68.1819333334,89.6969333333,102.424266667,105.1514,145.454477778,80.303,65.7575333334
183.35,68.0248333333,120.740866667,156.79,114.444333333,78.2716666667,92.5926666669,109.135933333,112.839466667,139.753088889,69.3827333333,66.6666
183.73,56.6667666667,157.948533333,213.333266667,144.359066667,107.692333333,118.461466667,174.359,168.718,238.290588889,76.4102,69.2307333334
184.11,68.7878666667,92.1212666667,156.969733333,101.8182,86.3636000001,90.6060000001,156.969733333,139.394,173.232266667,59.697,92.4242
184.49,116.190533333,144.761933333,399.047533333,297.142633333,207.619,223.809533333,488.5714,395.238133333,553.96821111,123.809666667,247.619
184.87,88.6110333334,120.000133333,266.111133333,231.666733333,168.333333333,155.000133333,357.222133333,252.222066667,371.759322222,130.0,203.888866667
185.25,289.166666667,438.333333333,893.333333336,800.0,583.333333334,535.000000001,1181.66666667,725.000000001,1239.16666667,568.333333334,683.333333333
185.63,-803.333333333,-1130.0,-2233.33333334,-2100.0,-1600.0,-1410.0,-2746.66666667,-1543.33333333,-2707.77777778,-1523.33333333,-1866.66666667
186.01,-404.166666667,-643.333333334,-1115.0,-1137.5,-856.666666667,-663.333333334,-1465.0,-715.0,-1400.83333333,-878.333333334,-949.999999999
186.39,313.333333333,382.5,619.166666667,646.666666667,473.333333333,343.333333333,814.166666666,384.166666667,729.583333333,508.333333333,515.833333333
186.77,-1205.0,-1640.0,-2483.33333333,-2628.33333333,-1896.66666667,-1370.0,-3273.33333333,-1656.66666667,-2954.44444444,-2040.0,-2150.0
187.15,781.111033334,1226.6668,1580.0,1877.77763333,1297.77773333,984.444533332,2279.99986667,1157.77773333,2065.9259,1308.8888,1400.00006667
187.53,188.095266667,297.619,349.523733333,450.9525,307.619,268.095266667,501.428533333,267.6192,476.746088889,330.476133333,319.523866667
187.91,137.373733333,185.252533333,198.586,259.797766667,182.424266667,176.767733333,265.4546,163.434333333,255.925833333,190.303066667,189.899
188.29,119.722333333,184.074133333,169.4444,251.3888,167.777866667,157.963066667,238.8888,146.666666667,232.407433333,179.259266667,167.7778
188.67,105.640833333,166.153933333,142.222333333,231.025466667,152.6496,134.188,223.4188,124.102466667,199.287744444,157.948933333,148.034266667
189.05,78.0000000001,128.266666667,102.266666667,178.666666667,112.4,98.2666666665,170.266666667,93.9999999999,147.688888889,120.933333333,97.4666666667
189.43,62.7513,102.539666667,79.0476666665,148.465633333,85.291,80.2117333333,137.142666667,82.7513333333,117.9189,93.2275333333,76.5080666667
189.81,48.7999333333,81.8667333333,60.2666666667,122.311266667,64.1779333333,69.0664666667,110.577733333,72.3553999999,97.1258999999,75.5556,59.4666
190.19,48.1884333333,73.1883333333,56.1594666667,105.289866667,58.4058,62.6088000001,93.1883333333,72.0288666666,83.3936333333,68.4058666667,57.8260666666
190.57,47.4151,69.4558666667,50.8842,100.340266667,57.1428666667,58.9794666666,87.7550666667,72.6530666666,79.0701444445,65.9183333333,51.5646666667
190.95,40.6552333333,55.7834666667,40.6268666667,85.3845666667,47.6351333333,47.9772,74.3021333333,58.9744666667,65.7931555556,55.7265333333,43.5328
191.33,35.7102333333,49.7391333333,36.1157333333,83.7392,42.4928,43.6522,65.7390666666,53.3334,58.1353222222,50.3189333333,37.7393333333
191.71,34.8830333333,46.2574,36.4328,85.3801333333,40.0000666667,41.1110666667,63.6842,49.4736666667,53.2455444444,48.0118,34.4444666667
192.09,24.9263,34.2772666667,26.4307333333,77.7581333333,27.7876,32.5072666667,53.3924666667,39.9411333333,41.1013444445,38.879,22.6548666667
192.47,26.8377333333,34.188,27.7491333333,75.5841,30.8830666667,35.6124666667,49.2877333333,38.6323333333,43.2575000001,39.2023333333,19.6581333333
192.85,20.8773666667,30.1755333333,27.3684666667,70.6726,27.3098666667,36.5496,44.3275333333,35.0292666667,40.6920555556,36.1403333333,13.9181333333
193.23,15.797,25.5650666667,23.7682,65.5362,22.5508,34.4347333333,40.5795333333,33.913,36.2029,28.3478,10.8986
