wavelength,Back_CisLevm,Belly_CisLevm,Breast_CisLevm,Crissum_CisLevm,Crown_CisLevm,DorTail_CisLevm,Patch10_CisLevm,Patch11_CisLevm,Rump_CisLevm,Throat_CisLevm,WingTip_CisLevm
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,283.333333333,315.0,330.0,210.0,393.333333333,63.3333333334,400.0,253.333333333,490.358974359,253.333333333,100.0
179.16,-46.6666666667,-5.33333333333,-12.6666666667,-63.9999999999,-94.6666666668,-13.3333333335,-48.0,-57.3333333334,-123.928205128,-30.6666666667,-26.6666666667
179.54,426.666666667,340.0,766.666666667,939.999999999,780.000000001,533.333333333,526.666666667,493.333333333,942.666666667,573.333333333,353.333333333
179.93,-100.0,76.6666666668,-64.9999999999,-96.6666666666,-163.333333333,-23.3333333333,70.0,-80.0000000002,-158.58974359,-26.6666666667,26.6666666667
180.31,2380.0,1303.33333333,1986.66666667,2680.0,3470.0,1686.66666667,2650.0,2660.0,3322.8974359,2276.66666667,1073.33333333
180.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
181.07,3.24975654929e+15,1.83811689337e+15,2.52901001802e+15,3.93638490157e+15,4.33727350477e+15,2.61857023788e+15,3.50137811939e+15,3.76152923423e+15,4.55664683452e+15,2.95975202784e+15,1.4159044283e+15
181.45,1029.33333333,593.999999999,837.333333333,1260.0,1365.33333333,850.666666667,1097.33333333,1182.66666667,1387.12820513,918.666666667,372.000000001
181.83,516.0,312.333333333,370.333333333,609.333333333,676.666666667,438.666666666,559.333333333,581.333333333,684.743589744,452.666666667,164.666666667
182.21,1275.0,896.666666666,840.0,1611.66666667,1681.66666667,1095.0,1591.66666667,1380.0,1740.5,1141.66666667,391.666666666
182.59,304.166666667,231.666666667,182.5,384.583333333,380.416666667,281.666666667,397.5,312.083333333,426.730769231,265.833333333,105.416666667
182.97,246.363733333,193.939366667,131.666533333,306.969733334,288.787733333,224.848333333,321.818266667,252.424266667,353.149305128,202.1214,81.5150666667
183.35,218.518466667,180.8642,123.333366667,269.3828,240.4938,199.012333334,274.814666667,211.357866667,313.394143077,169.382733333,84.1975333333
183.73,370.769333333,303.846133333,168.718133333,514.8718,409.743733333,367.1794,499.4872,359.4872,569.593611282,287.692266667,134.8718
184.11,230.9092,215.454433333,133.484933333,340.302933333,279.393866667,253.6364,335.1516,223.030266667,374.342657436,194.848466667,110.302933333
184.49,645.714333333,663.809633334,403.809533333,1000.0,829.523866667,753.333466667,1001.90473333,617.142800001,1102.88636256,520.952533333,281.904666667
184.87,425.0,435.277766667,285.2779,611.6668,563.333266667,505.000066666,646.1112,413.888933333,677.918784103,345.555533333,228.888933333
185.25,1353.33333333,1371.66666667,930.833333334,1911.66666667,1805.0,1565.0,2065.0,1228.33333333,2122.84615384,1081.66666667,753.333333333
185.63,-2993.33333333,-3240.0,-2060.0,-4013.33333333,-3920.0,-3496.66666667,-4593.33333333,-2713.33333333,-4566.15384615,-2450.0,-1860.0
186.01,-1576.66666667,-1673.33333333,-1054.16666667,-2051.66666667,-1965.0,-1716.66666667,-2391.66666667,-1431.66666667,-2293.84615385,-1253.33333333,-1011.66666667
186.39,851.666666667,911.25,645.0,1039.16666667,1033.33333333,922.500000001,1262.5,875.833333333,1235.74358974,694.166666667,581.666666667
186.77,-3610.0,-3563.33333333,-2715.0,-4343.33333333,-4326.66666667,-3700.0,-5040.0,-3730.0,-4968.02564102,-2740.0,-2296.66666667
187.15,2497.7778,2481.1112,1942.22236667,2982.22226667,2897.77766667,2591.1112,3402.2222,2415.55546667,3274.11967538,1764.44446667,1644.44446667
187.53,547.1428,572.142866667,441.6666,650.4762,626.1904,600.000066666,746.666733333,559.047666667,709.523907692,391.428466667,403.8096
187.91,291.717266667,325.7575,239.191966667,327.676733333,315.555466667,303.2324,383.030266667,295.151466667,365.569588718,218.3838,222.828333333
188.29,269.259333333,310.926,210.647966666,297.222333333,274.814866667,266.666666667,337.963,274.259333333,331.310617949,199.074133333,210.7408
188.67,233.846133333,287.350433334,182.906,269.230733333,239.1452,232.307666667,298.119666667,245.812,302.190821026,183.2478,195.726533333
189.05,171.866666667,221.466666667,132.0,212.533333334,182.933333333,170.8,227.066666667,189.6,228.598974359,138.8,148.133333333
189.43,132.804266667,179.418,104.444433333,171.005466667,141.375666667,133.121866666,182.1164,151.428466667,177.479174359,110.476266667,117.3544
189.81,110.044333333,148.5335,83.5999333334,142.488933333,115.4666,107.5554,149.333266667,126.311133333,144.555249743,89.4221999999,95.9999333333
190.19,95.7970666667,130.797066667,76.4853666666,124.1304,99.9999333333,97.7535333333,128.912933333,109.202933333,123.819423077,79.5651333334,88.4056666667
190.57,91.3603999999,123.877633334,70.3401333333,120.8164,93.1972666667,94.4217333334,121.088266667,98.3672000001,114.103634872,74.2177333333,84.3538000001
190.95,76.2392666667,105.726466667,60.3132666667,101.994266667,78.6323999999,82.6781333334,100.683866667,80.9115999999,94.8311753847,61.7664666667,70.9970000001
191.33,69.2173333333,104.5506,55.7970666667,97.7970666667,74.7824666667,74.8405333333,96.1740000001,77.6231333333,88.7176179488,58.6086,65.6231999999
