wavelength,Back_CoeFlaf,Belly_CoeFlaf,Breast_CoeFlaf,Crissum_CoeFlaf,Crown_CoeFlaf,DorTail_CoeFlaf,Patch10_CoeFlaf,Patch11_CoeFlaf,Rump_CoeFlaf,Throat_CoeFlaf,WingTip_CoeFlaf
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,131.666666667,210.0,140.0,160.0,56.6666666666,181.666666667,116.666666667,133.333333333,220.0,150.0,63.3333333333
179.16,-6.66666666666,293.333333333,-166.666666667,10.0,-340.0,226.666666666,-226.666666667,-66.6666666668,242.222222222,-213.333333333,-19.9999999999
179.54,68.9583333333,70.8333333333,9.16666666666,36.25,58.3333333333,69.1666666667,45.0,49.1666666667,59.0277777779,48.3333333333,47.5
179.93,-42.7776833332,-95.5556,6.66659999994,-38.8889,-6.66666666668,-44.4444666665,24.4444666667,6.66646666666,15.1851222223,-80.0000666667,13.3333333333
180.31,120.128283333,170.769266667,69.2307333333,153.846033333,97.1794666667,203.0768,74.6153333334,120.769133333,136.068422222,134.358866667,93.5898666666
180.69,106.666666667,147.916666667,57.2916666666,136.041666667,87.9166666668,179.791666667,64.5833333334,102.291666667,123.159722222,110.833333333,74.3749999999
181.07,107.478633333,133.504266667,68.7179333333,125.470066667,95.7265333333,173.248033333,70.0854666666,105.812,122.877477778,106.1538,77.4358666667
181.45,90.0379499999,120.909133333,67.2728000001,105.7574,99.6969999999,153.787833333,67.4242666666,96.6665333334,104.267677778,96.5150666665,66.6667333333
181.83,65.5555833335,102.222133333,58.8148,85.7778333334,82.3702666666,133.481466667,50.6667333333,72.148,84.7653444444,69.6296666667,45.6295333333
182.21,54.9737833333,82.7083333333,53.4372666667,68.3332333333,70.1041333333,103.281133333,43.9581333333,59.1664666667,69.2186222222,57.1872666667,44.2706666667
182.59,49.89895,77.6768666666,50.9091333333,64.4947666667,67.7778666666,94.1919,39.8991333333,50.6061333333,60.9764555556,51.4141333333,36.7676666667
182.97,37.0976833333,67.0114666666,39.6552,46.7816333333,58.7356666667,82.9883999999,23.4483333333,37.5862,46.2836000001,34.7126,15.1724666667
183.35,42.8241166667,67.5000666667,45.4629333333,50.5555333333,59.2592666667,74.3518666666,29.9074666667,36.8518666667,47.1143222222,36.574,26.9446666667
183.73,44.3573666667,66.2651999999,47.3895333333,54.8994,58.6345333333,70.8032333333,37.3493333333,35.502,47.0013222222,35.2611333333,36.8675333333
184.11,47.3062666667,68.0619333333,47.9068666667,47.9068666667,60.3876,70.0001,42.2480666666,34.8061333333,49.1342888889,35.6588,42.2481333333
184.49,42.3484166667,67.4240666666,42.8788666667,38.4468666667,54.3182,64.1667,37.0452666667,30.8333333334,44.5833888889,28.7879333333,37.2727333333
184.87,43.0590499999,77.3839999999,50.8017333333,38.6075666667,60.0844,70.7595,40.9282,33.0802666667,48.1294,31.0548,42.5318
185.25,32.62815,66.1536666667,38.8889333333,28.2477333333,46.0684,58.0769,31.5384666667,19.0598666667,33.9601666667,17.1795333334,32.735
185.63,37.3062666667,57.3644666666,35.0386666667,28.8371333333,39.2248666667,50.3099,28.3720666667,16.5116,31.9249666667,16.2790666667,32.4032666667
186.01,54.7619833333,77.1429333333,54.359,51.9781,54.4322,68.1684666667,44.4688666666,36.1904666667,50.6105777778,36.5567333333,56.4100666667
186.39,62.6158833333,87.0884666667,63.1223333333,62.5316666667,61.6878,82.6161,50.5485333333,40.9282666667,60.8017666667,36.7088666667,65.6539333333
186.77,66.1846833333,82.8915333333,58.3132,62.5302333333,57.3494,80.2007333333,48.0320666666,37.9918666667,63.6947666667,35.0200666667,67.5501333333
187.15,70.7247500001,82.8262,60.1450666667,64.8188333333,60.0725333333,80.0363000001,56.3768666667,41.4494,71.0869666667,36.739,73.4782666667
187.53,71.0389833334,81.9914,57.9221333334,63.1168,58.6146666667,85.4544000001,53.1602,35.4978666667,70.8946111111,26.1472,73.2468666667
187.91,71.6373833335,85.2630000001,54.7368,43.0994666667,54.3858666666,90.9941333333,41.5204,25.731,72.0662666667,9.59073333333,72.0466666667
188.29,67.1739166667,76.715,54.5894,41.7872,48.0193333333,76.3768,40.2897333333,24.2512666667,64.1545888888,10.9179333333,65.4105999999
188.67,65.3488666667,72.0929999999,55.9690666667,47.0542333333,53.2557333333,70.5427666667,44.4960666667,29.9225333333,66.0076555556,18.5272,66.2016
189.05,51.2246,56.5987333334,40.3400666667,30.9863333333,40.8163333333,53.0951666667,32.8572666667,21.0203333333,52.0749111111,9.45580000001,54.6258
189.43,47.2333333333,57.3333333333,36.8666666667,28.4333333333,42.6,49.8333333333,29.4666666667,18.2,47.5777777778,11.1333333333,55.2666666667
189.81,39.7159833333,52.8031333333,35.3029333333,21.4771333333,38.8636666667,48.3334333333,21.8182,10.2272666667,44.9116777778,4.39386666666,54.8485333334
190.19,42.47615,45.4286000001,28.5714,9.80966666667,44.7619333333,50.619,14.5714666667,4.66666666665,43.1269555556,-4.6666,56.8572
190.57,38.0120333333,37.6707333333,23.2932,8.2731,39.3574666667,42.8915333333,15.6625333333,2.16866666667,36.9879222222,-0.080333333326,49.3172
190.95,41.9480833333,38.8745333333,30.3029333333,6.32023333334,45.0217333333,49.3075666667,22.1644666667,6.23393333335,40.6783333333,1.7314,57.0564000001
191.33,35.2849333333,31.1404,27.193,-5.2632,39.4736666667,47.1928666667,10.6141333333,1.22793333333,32.6314666667,-1.31579999998,55.4385333333
