wavelength,Back_ComLorf,Belly_ComLorf,Breast_ComLorf,Crissum_ComLorf,Crown_ComLorf,DorTail_ComLorf,Rump_ComLorf,Throat_ComLorf,WingTip_ComLorf
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,77.3149166666,91.6665416666,73.8425416667,67.5925833334,85.1851666667,68.5184166667,79.1665833334,70.8330833333,79.398
179.16,60.0000000001,114.166666667,109.166666667,-6.66666666657,118.333333333,76.6666666668,126.666666667,140.0,56.6666666667
179.54,42.4603333333,46.627,35.1190833333,28.1746666667,51.1905,54.3651666666,50.3965833333,43.2538333333,54.365
179.93,65.27775,70.8334166666,63.1944166666,63.8888333333,57.6389166667,82.6389166666,93.0554999999,75.6945,83.3333333333
180.31,58.969,80.8616666667,56.3911666667,46.61025,67.2316666667,62.9235833333,69.4915,64.2655,71.0099583333
180.69,60.2363333334,80.479,58.202125,45.6036666666,67.5854166667,64.56675,69.685,65.4855,69.9475
181.07,63.3458333333,81.203,61.43475,48.559,68.9223333333,66.2908333333,71.7418333334,69.7368333333,70.9585833333
181.45,67.419,83.6226666666,60.9665416667,54.3983333333,73.32175,69.3285833333,73.5531666667,69.0973333333,74.565875
181.83,74.14225,91.4215833334,65.226625,58.2720833333,78.799,74.1420833333,79.412,76.4705833334,79.1666666667
182.21,73.148,92.0370833333,67.932,58.5801666667,81.6048333334,70.8641666667,78.5184166667,75.1850833333,79.4752083333
182.59,76.9489166667,97.4124583333,73.7904166667,62.2985,90.121,75.4704166667,84.47575,81.5860833333,88.5079583334
182.97,66.4474166667,92.06875,66.630125,53.1431666667,84.2835833334,70.6140833334,82.0175,77.4123333333,83.0045416667
183.35,72.156,92.16275,69.8082083333,55.8201666667,85.7805,73.6110833333,82.5396666667,83.2009166667,82.96975
183.73,77.3809166667,99.9299583332,76.5756249999,59.0335,93.1374166667,78.6414166667,91.5967500001,89.0055833334,88.9355416667
184.11,74.0565833334,101.729333333,75.3144583333,57.783,92.6100833332,79.8740833333,90.0943333334,88.9150000001,84.86625
184.49,81.3158333334,112.719375,82.8508333333,62.6315833334,104.2105,90.3509166667,98.07025,99.6490833333,94.3860416667
184.87,81.0184166667,118.79625,85.7869166668,67.3149166666,110.000083334,92.4075,105.5555,105.463,100.324166667
185.25,78.2255833333,132.9975,87.634375,67.8764166667,126.478583333,102.553833333,119.220416667,114.24725,99.4623750001
185.63,67.1769166666,134.948916667,86.3095833333,71.2585833334,125.340083333,95.4081666666,118.197166667,116.156416667,88.6053333333
186.01,52.1367500001,130.34175,79.7008333333,72.0084999999,133.33325,82.6923333332,114.102583333,115.170916666,85.6836666667
186.39,46.2963333334,200.462916667,102.546208333,101.388916667,226.388916667,108.796416667,167.5925,194.4445,113.888791667
186.77,-14.4443333334,185.000125,76.1112083332,70.5555833332,213.333333333,73.8887499998,139.4445,150.0,79.1667083334
187.15,-5.55550000017,555.555625,261.805416667,216.666666666,683.333333334,268.055499999,395.83325,458.333333333,295.138958333
187.53,110.666666667,-3.5,51.3333333332,46.0,-61.0,37.6666666666,6.66666666665,9.99999999999,53.3333333333
187.91,119.375,62.3958333333,82.1874999999,73.5416666665,10.4166666667,78.125,59.375,62.7083333333,102.1875
188.29,127.94125,72.3040000001,90.3186666666,71.8138333333,-2.20583333333,89.2156666666,61.7648333334,67.6469999999,107.720625
188.67,132.5,93.75,86.6666666668,64.4443333333,-5.5555,96.66675,69.1665833334,73.8888333334,126.944458333
189.05,99.8106666667,81.8182083334,73.8637499999,49.4316666665,9.46958333335,72.53775,65.9092500001,66.0985833333,105.113541666
189.43,95.3333333332,76.3333333333,70.3333333333,43.1666666667,8.5,60.3333333333,65.3333333332,56.1666666667,78.0
189.81,85.2011666667,74.6407916666,68.8217083334,52.5865,13.362,50.1436666667,60.2010833334,46.8391666667,66.81025
190.19,80.7575833332,71.3635416667,50.1515416666,40.7574999999,5.30308333333,39.5455,56.6667500001,43.1816666667,67.7272083334
190.57,101.111083334,90.9259999999,71.3887916667,56.8518333333,8.88899999997,39.6296666667,70.7408333333,52.9630833333,88.6111666667
190.95,122.916666667,116.015625,81.640625,43.4895833333,-16.1458333333,38.8020833331,90.8854166666,55.7291666667,103.515625
191.33,237.719416666,231.798166666,156.578875,94.7369166665,0.87716666675,105.26325,186.842166667,130.70175,214.473666667
191.71,179.629583333,164.351958333,106.172916667,91.9753333334,-5.24683333342,92.5925833335,133.642083333,94.1358333333,145.833458333
192.09,152.0,141.166666667,72.5,46.9999999999,-42.6666666667,61.6666666667,113.666666667,57.3333333334,102.5
192.47,229.5455,275.378916667,59.4695833333,10.6060833332,-206.06075,41.6665833332,131.81825,48.4848333334,172.727208333
192.85,123.924833333,135.88725,72.4462916666,55.1075,-35.7527499999,53.2258333334,90.5914166668,61.5591666667,105.645083333
193.23,196.212,208.522708333,105.492458333,79.5454999999,-45.8331666667,84.8484166667,152.27275,72.7273333334,144.507791667
193.61,258.854166667,287.5,132.291666667,107.8125,-48.9583333335,135.416666667,226.041666666,99.4791666668,221.354166667
193.99,218.58975,216.826833333,125.000041667,106.730666667,19.5513333333,146.474416667,193.910333333,123.397416667,195.993625
194.37,141.319416667,132.725666667,97.3089583332,85.9375,34.375,102.777916667,118.75,89.0624999998,129.861083333
194.75,146.0,127.833333333,93.7500000001,91.1666666668,43.6666666666,103.5,117.166666667,97.4999999999,133.083333333
195.13,108.666833334,102.888916667,83.2221666666,81.1111666668,45.3334166667,82.2222500001,95.4445000001,80.7776666667,107.111083333
195.51,88.6446666667,90.1557916667,74.2674166667,67.7656666667,44.6885833333,75.4579166666,84.7067499999,70.055,100.366291667
195.89,94.8861666668,93.79725,82.3391250001,61.8372500001,53.5985833333,74.0530833334,92.9923333334,78.1248333333,106.53425
196.27,100.757666667,101.089,91.0037083333,70.0755,58.428,77.1780833334,95.7387500001,81.5339166667,113.399708333
196.65,103.2875,96.6360416667,93.4251249998,77.9052500001,69.2659999999,80.887,100.382333333,82.1100833333,110.168291667
197.03,140.196166667,130.784291666,124.411875,100.784333334,94.0195833332,112.156916667,139.902,111.274583333,141.127458333
197.40,137.152833333,134.201291667,129.644125,108.246583333,101.475666667,117.79525,137.6735,123.350583333,143.22925
197.78,132.087166667,133.333166667,130.218166667,109.345833333,100.389583333,118.302166667,134.890916667,125.389416667,136.40975
198.16,130.849416667,142.748416666,131.089791667,109.615416667,102.323833333,119.070333334,138.060916667,126.04175,135.2565
198.54,123.116083334,135.724583333,124.565291667,104.492666667,98.6956666668,111.811583333,134.637666666,120.724583333,124.311666667
198.92,101.691666667,117.825708333,109.242,85.9023333334,85.9022500001,97.3058333333,117.355916667,102.75675,105.388458333
199.30,100.61525,115.939541667,104.613958333,82.21475,87.1364166666,95.8614166668,113.47875,101.34225,103.607333333
199.68,98.0924166668,113.629333333,99.3724583332,80.1205833333,84.5883333334,93.6245833333,108.032083333,97.8413333333,94.07625
200.06,103.765,122.515,103.815333333,88.2528333334,90.7129166668,102.309166667,112.048,102.510083333,98.443625
200.44,102.619,121.238125,102.78575,85.7619166666,90.1905,100.95225,110.33325,100.71425,95.1189583332
200.82,95.6958333332,118.383791667,97.4817083332,80.63175,86.4469166667,95.9709166667,103.5715,97.8937500001,90.9571249999
201.19,82.4726666667,103.638458333,85.1919166667,71.2834166667,77.5430833333,83.9594166667,91.2755000001,86.8935833333,80.0270416667
201.57,84.8932499999,107.902375,85.9604166667,75.4515833333,79.064,86.3710833333,95.8127499999,88.17725,82.2865
201.95,87.9629166666,111.573958334,87.10025,79.16675,84.5118333332,88.8889166667,99.5370833332,90.9933333333,87.1841666667
202.33,85.3488333332,105.096833333,82.112375,77.1704166666,80.814,85.62025,95.2713333332,88.0231666667,85.5232916667
202.71,90.1293333334,109.547166667,86.5697083333,81.8365833333,84.2638333333,90.7765833333,100.080833334,93.0825833334,89.0170416667
203.09,97.2220833332,118.960291666,94.6548333334,92.8450000001,92.0875833335,96.4225,109.72225,101.809666667,97.769375
203.47,96.8579166668,121.220416667,95.901625,98.1785833335,95.8561666667,100.045416667,111.1565,104.280583333,97.85975
203.85,101.510416667,128.828125,101.328125,105.15625,101.458333333,101.302083333,119.21875,111.770833333,104.427083333
204.22,93.6534166667,124.365375,97.3509583334,100.22075,95.4746666665,95.52975,117.605,108.664416667,102.373125
204.60,88.5844999998,120.576416666,94.4064999999,100.856166667,95.6050000001,93.7785833334,116.838,107.419916667,99.4294583333
204.98,85.1913333334,115.427875,94.0315416667,98.4234999998,94.3131666667,92.5111666667,115.87825,103.997666666,91.7792916666
205.36,86.5107499999,119.094875,98.8007916668,98.1412500001,98.5010833333,93.8848333334,116.72675,104.856083333,90.8874583333
205.74,77.4730833334,105.967625,92.3924583334,86.9892499999,90.86025,86.1291666667,103.763416666,95.9675833332,82.042875
206.12,73.4018333334,103.253416667,90.353875,82.19175,86.6438333333,81.9634166666,99.2010833334,93.0936666667,76.027375
206.50,68.1591666666,102.052083333,91.0758333334,81.7165,87.1890833333,79.4775833333,98.8184166667,92.2885833333,70.3048333333
206.87,67.1678333334,102.662875,90.7895416667,80.5136666667,89.4109166666,75.9398333334,97.0551666668,90.47625,72.1492083333
207.25,58.0899166667,90.4197083334,77.4940833333,66.2410833334,75.1826666667,64.9634166667,82.7859166666,78.5280833334,59.0328333333
207.63,57.4560833333,87.9072083333,78.6026666667,60.27575,70.8646666667,62.0928333333,80.0750833333,73.2455833333,58.113875
208.01,53.4173333334,85.0718333333,78.2376666667,58.1535,69.9641666667,61.1510833333,77.0383333333,70.92325,51.3488333333
208.39,54.044,84.191125,76.3786666667,57.7818333333,71.1395833334,57.7206666667,76.28675,71.26225,47.5491666667
208.77,50.8804166666,79.22525,72.4472083333,52.5234166667,65.14075,55.223,73.2980833333,69.3074166667,43.2803333334
209.14,44.82325,77.3989583333,69.6655833333,50.0631666667,59.91175,53.3460833333,72.0328333333,69.63375,37.4368333334
209.52,41.2935833333,74.2847916667,64.5523333333,51.1194166667,55.9701666667,49.87575,68.6568333333,67.22625,38.4327916666
209.90,40.3118333333,75.0,62.5678333333,48.9160833334,56.6395,44.0378333334,70.8670833333,68.0216666667,40.3115416667
210.28,41.12475,75.88075,62.0258333333,50.2033333334,56.4363333333,43.5636666667,68.4960833333,65.7183333333,42.3101666666
210.66,45.57525,81.8215833333,65.6710833333,51.4013333333,56.8583333333,43.5840833333,72.1239166667,73.5989166667,47.3451666667
211.03,51.1904166667,85.1540833333,69.6777916666,58.6835833333,59.874,50.1401666667,77.7311666666,77.3109166667,53.36125
211.41,58.73025,94.4842916666,76.1112499999,68.492,72.3808333333,61.90475,89.9205833333,91.3492499999,63.650625
211.79,65.0183333333,101.694041667,78.3883333333,79.1209166666,75.91575,61.1721666666,101.831583333,104.304,64.5146666667
212.17,67.5105833333,107.594958333,79.7996249999,85.2322500001,75.5275,65.1897499999,105.801666667,106.118166667,73.7869583334
212.55,58.1373333333,98.8235833333,72.2058750001,80.5881666668,69.706,58.9214166666,94.6078333333,93.8235000001,65.049125
212.92,63.2033333333,113.2575,81.6016666667,90.1514166666,79.7619166666,64.2856666666,105.086583333,107.684,70.779375
213.30,93.14525,145.5645,107.661125,114.381833333,107.66125,77.1505000001,131.586,133.198916666,105.241916667
213.68,103.735583333,151.364875,115.732666667,122.988583333,119.10925,87.2127500002,141.522833333,143.678166667,107.399458333
214.06,92.2957499999,145.047041667,109.433958333,117.610166667,109.119583333,81.2892499999,127.201416667,136.949666667,85.9274583333
214.44,91.2878333333,123.358541667,107.954583333,117.17175,105.5555,85.7323333334,122.222166666,135.858666666,80.2396666667
214.81,83.4614999999,110.897541667,106.346166667,118.846,104.487083334,82.8205833334,112.179583333,122.051166667,78.3334166667
215.19,71.2643333334,103.017208333,99.497125,113.50575,100.143666667,74.4253333334,100.143583333,117.241333333,68.4626666667
215.57,68.1713333334,96.4120000001,100.173458333,101.27325,91.5509999998,66.0879166668,91.6666666668,104.166666667,59.0857916667
215.95,61.0329166666,97.3591250001,99.8240416668,96.7136666666,92.4882500001,62.08925,85.21125,97.6526666668,50.0000833333
216.32,67.6471666666,99.8160416667,99.7549583332,99.0195000001,95.7108333334,57.5979166667,89.8285,101.71575,45.5269583333
216.70,71.7948333334,97.8204166666,100.897333333,97.6924166667,92.3076666668,56.9231666667,90.7690833334,101.410333333,46.9229583333
217.08,73.26375,89.0625,96.7591666666,93.8655833334,86.9213333334,47.8008333332,83.6805000001,93.5186666667,58.9120833333
217.46,70.9400833333,85.149625,88.8887916667,80.3418333333,79.2735,45.2991666666,76.81625,93.4828333334,58.7607083334
217.83,75.2083333332,91.7708333334,92.8125,83.1249999999,79.4791666667,47.8125000001,82.7083333333,99.6875,68.90625
218.21,81.1273333334,101.777,105.698541666,90.1961666668,86.1520833333,52.2057499999,93.8724166667,116.544083333,72.7327916667
218.59,74.9999166666,107.711375,102.176666667,83.2090833334,79.1044166667,46.7659999999,89.4279166667,112.811,68.4080416667
218.97,87.4316666668,123.702291667,113.456208333,85.1092500001,85.3825000001,50.1367499999,100.1365,127.32225,62.500125
219.34,95.4248333332,140.3595,126.062083333,83.4968333332,87.9085833334,49.0196666667,111.437833333,143.627583333,50.9804166667
219.72,114.24725,186.559208333,148.25275,95.4300833332,101.88175,44.8925833334,140.86025,186.828,48.7903333334
220.10,149.999916667,232.007666667,190.530166667,117.42425,113.636333333,65.5301666667,196.212166667,249.242416667,67.0454999999
220.47,130.90275,229.861125,186.631958333,114.583166667,107.986,63.5416666667,185.069333333,243.402666667,75.6945416666
220.85,172.222166666,338.61125,291.38875,155.555333333,149.444416667,91.1110833334,299.999916666,368.333333333,103.333375
221.23,448.333333333,910.0,743.333333333,360.0,400.0,289.999999999,833.333333333,1023.33333333,169.166666667
221.61,338.095166667,671.428583334,558.928666668,390.476166667,320.23825,288.09525,645.237916666,736.904833334,61.3094583335
221.98,-204.629666667,-410.185083333,-326.851833333,-213.888833334,-111.111166667,-140.74075,-403.70375,-443.518583333,107.8705
222.36,-1520.83333333,-2325.0,-1870.83333333,-1420.83333333,-895.833333332,-1091.66666667,-2358.33333333,-2333.33333333,-214.583333334
222.74,-121.296416667,-194.213041667,-175.462875,-110.648083333,-66.2036666667,-77.31475,-212.5,-217.5925,8.10187500008
223.11,-133.333333333,-216.40625,-170.833333333,-123.958333333,-82.2916666667,-105.729166667,-260.416666667,-244.270833333,-4.42708333333
223.49,-64.0000000001,-99.8333333333,-86.3333333333,-51.9999999999,-37.6666666667,-56.6666666667,-159.666666667,-139.666666667,-6.0
223.87,-42.1874999999,-73.828125,-68.2291666665,-30.7291666667,-15.8854166666,-36.9791666667,-122.65625,-109.635416667,-12.2395833333
224.24,-17.857,-51.8848333333,-29.6627083333,-2.97616666668,0.198583333325,2.77775000007,-67.4603333332,-69.8412500001,8.03579166666
224.62,-2.31475,-27.6235833333,-5.40120833333,12.6544166667,14.0431666667,16.51225,-37.34575,-36.7285,27.9321666667
225.00,10.6808333333,-9.507,7.92262500001,21.4789166667,25.2346666667,24.1785,-9.15500000001,-14.9060833334,33.9787916667
