wavelength,Back_ConBicm,Belly_ConBicm,Breast_ConBicm,Crissum_ConBicm,Crown_ConBicm,DorTail_ConBicm,Patch10_ConBicm,Rump_ConBicm,Throat_ConBicm,WingTip_ConBicm
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,888.888888889,888.888888889,677.777777777,488.888888889,833.333333336,511.111111111,655.555555556,888.888888889,1055.55555556,455.555555556
179.16,-11.111,12.963,35.1852222222,48.1481111111,70.3703333334,44.4445555556,16.6667777779,3.70355555554,-48.1481111112,50.0001111112
179.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
179.93,-900.0,-588.888888889,-522.222222222,-588.888888889,-722.222222221,-333.333333333,-844.444444446,-455.555555555,-1100.0,-777.777777779
180.31,963.492111112,733.333333333,661.904666667,477.777555556,536.508,496.825444445,957.142888888,646.031777778,1374.60311111,746.031666667
180.69,793.827111111,564.197444445,506.172888889,343.21,448.148111111,387.654222222,793.827333333,509.876666667,1116.04933333,611.111
181.07,566.666777778,379.487111111,371.794888889,267.521333333,312.820555556,296.581111111,568.376222222,352.136888889,794.871555555,458.974333334
181.45,311.538555556,220.085333333,223.504333333,185.897333333,212.393333333,188.888777778,337.179444444,207.264888889,438.888666666,270.940111111
181.83,307.111111111,228.444444444,230.666666666,175.555555556,225.777777778,193.333333334,347.555555555,213.333333333,459.555555556,288.444444445
182.21,236.214111111,185.185111111,188.888888889,143.209777778,189.711777778,169.135777778,295.473111111,184.362111111,412.757222222,251.851888889
182.59,209.195444445,188.122777778,187.356333333,141.762444445,186.589888889,173.563333333,283.141555555,198.850777778,387.356333333,252.490666667
182.97,193.981555555,178.703555555,194.907444445,143.518555555,203.240555555,174.999888889,309.259333333,210.648111111,431.018555555,300.925888889
183.35,472.839333333,417.283888889,454.321,367.901333333,539.506222222,417.284,760.493777778,514.814888889,1098.76544445,754.321
183.73,198.692666667,177.124222222,197.385777778,171.241777778,299.346333333,203.268,355.555444444,226.143666667,539.869222222,358.823666667
184.11,398.611111111,337.5,359.722222222,394.444444444,688.888888889,473.611111111,745.833333333,419.444444445,1130.55555555,758.333333333
184.49,577.777555555,411.111222222,514.814888889,596.296222222,985.185000001,640.740666667,1011.11111111,562.96311111,1492.59266667,1075.92588889
184.87,1129.62988889,888.888666668,1144.44444445,1381.48155556,1937.03711111,1407.40733334,1962.963,1103.70377778,3133.33322222,2274.07422222
185.25,-240.404111111,-177.777666667,-240.404333333,-321.212,-506.060555556,-314.141555556,-487.878777778,-258.585666667,-803.030333333,-611.111111111
185.63,-64.9574444443,-35.8974444444,-72.2221111112,-98.7180000002,-175.213666667,-100.427333333,-175.641111111,-81.6238888889,-305.128222222,-240.598222222
186.01,-51.4813333333,-47.7777777778,-63.7036666667,-89.6295555557,-160.740777778,-92.9631111111,-167.037111111,-81.4814444443,-263.703666667,-223.333444445
186.39,-39.7528888889,-42.4692222222,-53.3332222222,-60.2468888889,-109.629666666,-71.1112222222,-130.617222222,-58.0247777777,-167.654333333,-155.802555556
186.77,-65.633,-60.7234444444,-84.7545555554,-95.3490000001,-136.692555555,-97.6745555558,-171.317666667,-74.1602222222,-192.764888889,-182.687333334
187.15,-112.063444445,-89.2063333333,-119.365111111,-133.968333333,-188.254,-149.841222222,-235.555555555,-115.238333334,-253.333333333,-241.587333333
187.53,-127.037111111,-101.481444445,-125.185222222,-148.148111111,-210.0,-166.666777778,-302.222222222,-133.333333333,-291.111111111,-287.037111111
187.91,-143.727666667,-124.372888889,-136.200777778,-167.383333333,-212.544888889,-195.698888889,-316.128888889,-154.121888889,-308.243888889,-320.788666667
188.29,-95.238,-83.3332222223,-101.587222222,-106.878222222,-132.275,-134.127,-225.926,-112.963,-206.613555556,-220.370333333
188.67,-45.1177777778,-44.276,-52.6935555556,-63.2996666666,-70.0337777778,-87.3737777776,-140.067333333,-61.4478888889,-124.747444444,-138.552333333
189.05,-43.4073333333,-52.2962222223,-52.4444444444,-66.5184444444,-71.5555555556,-86.963,-135.851888889,-65.9257777778,-110.963,-133.185222222
189.43,-31.7268888889,-43.3734444445,-42.8381111111,-57.6972222222,-56.6265555556,-74.2973333333,-120.615777778,-54.6185555556,-96.5194444445,-113.386888889
189.81,-31.358,-44.1974444444,-41.605,-54.8148888889,-55.5556666666,-73.5802222222,-117.036888889,-53.2097777778,-93.2099999999,-108.765444445
190.19,-31.211,-36.2046666667,-41.8228888889,-59.4257777778,-56.1797777778,-75.5304444444,-116.604111111,-55.0561111111,-98.3769999999,-107.99
190.57,-51.4404444444,-49.6573333334,-57.7502222222,-82.578888889,-74.0739999999,-92.0438888887,-134.705111111,-73.3881111112,-125.24,-132.373111111
190.95,-47.5387777778,-50.3516666667,-55.9774444444,-85.5134444444,-73.6989999999,-93.3895555553,-135.443,-74.1208888888,-126.441666667,-135.161666667
191.33,-39.0151111111,-46.4646666667,-54.1666666667,-82.7019999999,-65.6565555557,-81.0606666668,-119.318,-65.7828888889,-109.595888889,-116.540444444
191.71,-40.7814444444,-48.1073333333,-58.1196666667,-80.2197777779,-65.6897777778,-81.807,-111.843777778,-65.3234444444,-108.424888889,-114.041444444
192.09,-29.9384444445,-35.0823333333,-44.7532222222,-60.3911111111,-51.4403333333,-62.2426666667,-92.9013333333,-53.0862222222,-81.6871111112,-89.0945555557
192.47,-35.8532222222,-41.1225555556,-55.3263333333,-73.3103333333,-64.9486666667,-76.9757777778,-101.947222222,-66.2084444443,-93.4707777777,-105.498333333
192.85,-39.3463333333,-46.7972222222,-64.0522222222,-83.3985555557,-75.5555555555,-82.2223333333,-110.065333333,-74.6404444443,-105.882444444,-114.771333333
193.23,-49.3333333333,-51.7038888889,-73.0371111111,-90.9630000001,-86.2222222222,-95.111111111,-125.777777778,-83.2592222222,-121.333333333,-126.666777778
193.61,-57.2768888889,-64.4757777778,-79.3428888889,-100.782555556,-96.4006666668,-112.050111111,-133.959222222,-91.8621111111,-126.134777778,-138.341
193.99,-70.8995555556,-78.6595555556,-92.7691111111,-124.691222222,-111.287444444,-132.980666667,-146.913666667,-109.700333333,-139.682444444,-158.553888889
194.37,-64.127,-75.3968888889,-86.1906666667,-113.015777778,-97.619,-121.587444445,-126.031777778,-96.6667777779,-121.269777778,-141.587111111
194.75,-43.0015555556,-56.1327777778,-64.2136666667,-88.6001111111,-76.7677777778,-102.020222222,-100.577222222,-75.7576666666,-93.217888889,-112.554
195.13,-35.4611111111,-43.4988888889,-42.9077777778,-64.3026666667,-53.9006666667,-78.1326666667,-72.6949999999,-57.2104444445,-66.0756666668,-85.5792222222
195.51,-41.0255555555,-43.0555555555,-43.6967777778,-58.6541111111,-53.6326666667,-74.1453333333,-72.7564444446,-56.8377777778,-63.6753333333,-86.3246666667
195.89,-33.631,-39.0872222222,-40.6745555555,-54.861,-46.3294444444,-66.8652222222,-64.881,-51.8848888889,-51.9842222222,-80.0594444444
196.27,-36.6561111111,-47.0405555556,-47.975,-62.3051111111,-49.6365555556,-72.5857777778,-66.6666666667,-54.9326666666,-53.7903333333,-83.2813333332
196.65,-42.5213333333,-55.5556666667,-49.1453333333,-69.3375555555,-53.8461111111,-76.6026666667,-76.7093333333,-59.0812222222,-56.9443333333,-86.9657777779
197.03,-39.9791111111,-52.8555555556,-47.2481111111,-65.4206666667,-51.921,-72.0665555555,-72.4817777778,-58.8785555555,-53.5825555555,-82.4505555556
197.40,-39.3651111111,-51.0053333333,-49.8412222222,-66.4552222222,-49.9472222222,-72.5924444445,-73.1217777778,-62.963,-51.6402222222,-83.3862222223
197.78,-45.2222222222,-51.7777777778,-59.2222222222,-73.0000000001,-49.8888888889,-77.4444444444,-78.6666666667,-67.3333333333,-54.5555555555,-88.6666666667
198.16,-43.9955555556,-50.3927777778,-58.3614444444,-72.053888889,-43.8833333333,-75.5331111111,-76.9922222223,-64.3097777778,-49.2706666667,-86.5318888888
198.54,-48.2323333333,-57.4495555556,-64.6465555555,-82.5757777779,-46.7171111111,-81.0605555555,-88.004888889,-70.4545555555,-47.096,-94.4444444445
198.92,-38.6472222222,-42.7536666667,-56.4011111111,-74.9998888889,-41.1835555555,-67.5121111111,-78.0193333334,-61.1111111111,-32.2465555555,-80.1933333333
199.30,-42.0635555556,-48.6772222222,-62.3016666667,-83.8624444443,-45.5027777778,-71.561,-87.037,-66.9314444445,-31.2168888889,-82.4074444443
199.68,-48.0928888889,-70.9784444444,-74.9584444443,-109.618666667,-56.5505555556,-95.3566666667,-102.653333333,-83.582,-37.6451111111,-102.487666667
200.06,-76.9697777777,-101.010111111,-99.5961111111,-142.424222222,-86.8686666667,-136.161666667,-134.747444445,-121.414222222,-55.7574444444,-125.252555556
200.44,-111.111222222,-127.536222222,-134.782555556,-183.091777778,-115.700555555,-179.951777778,-178.502333333,-165.700333333,-77.0531111111,-170.773
200.82,-178.114444445,-203.703777778,-210.774444444,-273.400666667,-187.205444444,-266.330111111,-260.606,-240.740777778,-119.865333333,-260.942666667
201.19,-166.666666667,-195.098111111,-193.137333333,-253.594888889,-164.052444444,-241.83,-232.352888889,-220.261444444,-90.1962222223,-236.928222222
