wavelength,Back_ConFerm,Belly_ConFerm,Breast_ConFerm,Crissum_ConFerm,Crown_ConFerm,DorTail_ConFerm,Patch10_ConFerm,Rump_ConFerm,Throat_ConFerm,WingTip_ConFerm
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,713.333333333,420.0,920.666666668,900.0,566.666666667,626.666666666,733.333333333,933.333333334,513.333333333,986.666666667
179.16,156.1905,166.6668,172.476166667,213.3332,168.571533333,199.999933333,177.142933333,174.2856,157.142933333,219.047733333
179.54,380.0,946.666666668,821.999999999,840.0,833.333333333,846.666666668,666.666666667,906.666666666,880.0,726.666666666
179.93,3.80963333333,-51.4284666666,-68.9524,-50.4762,-48.5713999999,-53.3333333333,-25.7143333333,-46.6666666666,-101.428566667,-60.0
180.31,-947.500000001,-1378.33333333,-1746.16666667,-1753.33333333,-1401.66666667,-1391.66666667,-1323.33333333,-1540.0,-1428.33333333,-1860.0
180.69,-754.0,-1100.0,-1379.86666667,-1438.66666667,-1050.66666667,-1098.66666667,-1033.33333333,-1220.0,-1138.0,-1508.0
181.07,826.666666667,1273.33333333,1477.33333333,1537.33333333,1168.0,1276.0,1136.0,1286.66666667,1328.66666667,1598.66666667
181.45,-1453.33336667,-2175.55553334,-2602.22227333,-2553.33333333,-1980.0,-2124.4444,-1962.22213334,-2237.7778,-2321.11106667,-2564.4444
181.83,2175.0,3020.0,4067.33333333,3740.0,2953.33333333,2990.0,3020.0,3190.0,3305.0,3663.33333333
182.21,379.090966667,529.090866667,751.15158,646.6666,501.8182,506.0606,520.606066667,553.3334,556.666666667,615.757733333
182.59,460.5556,788.888933333,1176.99996,1006.6666,740.0,765.555666667,737.777733333,841.111133333,841.666866666,917.7778
182.97,-172.1212,-352.7272,-539.818153334,-475.757533333,-298.1818,-346.6668,-290.909133333,-377.575866667,-382.1212,-398.788
183.35,-432.222233333,-726.666666667,-1048.11108,-970.000000002,-677.777799999,-753.333333333,-611.111133332,-755.555533333,-851.666599999,-773.333400001
183.73,-241.794766667,-390.769266667,-552.717866667,-512.8204,-389.7436,-420.512866667,-361.025666667,-424.615533333,-451.794833333,-378.974466667
184.11,-202.0,-321.777866667,-477.288886667,-437.777733333,-347.111066667,-344.0,-315.111066667,-368.8888,-381.777733333,-318.222133333
184.49,-3456.66666667,-5386.66666667,-7966.00000001,-6999.99999999,-5819.99999999,-6306.66666667,-5120.0,-6066.66666667,-6383.33333333,-5186.66666667
184.87,-179.2593,-300.740866667,-445.77772,-377.4076,-351.8518,-366.666733334,-287.4074,-343.333333333,-357.962866667,-283.3334
185.25,-45.3846,-99.1453333334,-163.82894,-133.3334,-124.615333333,-128.0342,-92.6494666667,-121.7094,-125.384566667,-87.3505333333
185.63,-3.73333333333,-47.7333333333,-91.4933333335,-72.6666666667,-69.6000000001,-71.0666666666,-39.2,-59.4666666667,-66.2666666667,-37.6000000001
186.01,-1.17653333333,-33.9214666667,-57.1765533333,-49.0196,-43.9215333333,-52.7451333333,-20.1961333333,-37.1568666667,-47.2058666667,-25.3920666666
186.39,-1.19049999999,-23.0159333333,-36.38094,-38.0950666667,-33.2539333333,-38.8095333333,-11.4286,-27.4602666667,-30.1189333333,-21.6667333333
186.77,-4.09233333332,-14.9835333333,-27.5446533333,-30.8910666667,-31.2872,-31.1550666667,-9.175,-22.9702666667,-21.0231333333,-20.462
187.15,-21.5216,-27.7536666667,-45.1378266667,-49.2754,-54.71,-50.2174666667,-29.4926666667,-39.7825333333,-37.8622333333,-35.8696666667
187.53,-21.1340666667,-26.6666,-42.02064,-46.5978666667,-49.8968666667,-44.8796,-28.1099333333,-36.6322,-35.6701,-33.6082666667
187.91,-15.0778666667,-18.2555333333,-27.99996,-35.4517333333,-36.6978,-33.2086,-15.1401333333,-24.3612666667,-21.4642666667,-24.2366666667
188.29,-19.2727333333,-22.3635333333,-31.2605933333,-41.3938666666,-35.5758666667,-34.0607333333,-17.4546,-27.2122,-24.5454333333,-27.2122666667
188.67,-10.2272333333,-9.49486666668,-16.6716533333,-25.0,-21.1616,-18.4342,-6.66660000001,-14.394,-12.3991,-12.7272666667
189.05,-27.9880333333,-23.8438,-31.62744,-43.6636666667,-36.3363333333,-33.7538,-20.5404666667,-28.7687333333,-27.7776666667,-25.0452666667
189.43,-34.0240333333,-30.2703333333,-37.2792466667,-49.6696666667,-44.5044,-38.8588,-27.2672666667,-34.1141333333,-33.0331666666,-28.5884666667
189.81,-46.4525333333,-41.7125333333,-49.0520533334,-64.0366666667,-56.7584,-52.4159333333,-36.6972666666,-48.1956666667,-45.8410333334,-39.2048666667
190.19,-54.2574,-47.3267333333,-54.2244999999,-74.3894666667,-64.2904,-59.4059333333,-41.2541999999,-58.0198000001,-50.1320666667,-45.0164666667
190.57,-52.5430666667,-48.6598,-57.0996133333,-75.8762666667,-69.4158,-64.1236666666,-45.1546666666,-60.0686666667,-51.2027666666,-42.4054
190.95,-49.2630000001,-47.8596666667,-53.0946666667,-72.8421333333,-66.2457333333,-61.4035333333,-44.0001333333,-57.0527333334,-53.1927999999,-38.0350666667
191.33,-46.9963666667,-47.3992666667,-45.8681066666,-69.5971333334,-64.7620666667,-56.3369333333,-38.3883333333,-55.3113999999,-50.0733,-31.6481333333
191.71,-41.2056333333,-40.4964666667,-38.0781466667,-60.7091333334,-58.4398,-49.3616666667,-29.4325333333,-54.3971333333,-41.3829666667,-22.1276
192.09,-54.8689666666,-53.1836666667,-50.1573333333,-73.2584666667,-70.6366,-65.0185999999,-44.3444666666,-70.7864666668,-55.7304333335,-33.4083333332
192.47,-55.2439333333,-56.0162,-47.6828933334,-74.1463333334,-78.1300666667,-70.2439333334,-42.6017333332,-72.4390000001,-53.0488333333,-29.2682666667
192.85,-58.4577000001,-64.6767333333,-50.0300000001,-85.3730666667,-86.4676000001,-81.8905999999,-45.0746000001,-78.1093333334,-59.1045333333,-29.3532000001
193.23,-37.9730333334,-40.0,-28.2972866667,-61.5314666667,-62.6125333333,-62.7928,-28.9188666667,-59.3692666667,-35.0450666667,-10.4504000001
193.61,-14.9804333334,-11.8430666667,-2.6900866666,-36.3922,-31.6078,-38.1177333333,-5.8038666666,-32.6274666667,-8.31363333332,10.9020666667
193.99,-0.969066666666,6.12413333333,13.1859866667,-19.5348666667,-21.2403333333,-24.1860666667,5.65893333328,-19.8449333333,8.60473333333,23.6433333333
194.37,9.15816666667,13.9394,21.6767533333,-4.51180000001,-6.39726666668,-9.495,13.1987333333,-6.73400000001,16.4310666667,31.1784000001
194.75,4.73013333332,13.7778,23.21902,-4.63486666667,-2.53973333334,-8.762,14.6666666666,-2.15866666666,13.492,31.6825333334
195.13,0.326833333333,11.7648,24.2091266667,-8.03920000001,-4.31373333336,-12.353,12.8104666666,-2.74526666667,14.1829333333,30.9149333334
195.51,4.59386666667,19.1597333333,27.9102866667,1.90479999999,6.05033333332,-3.97773333334,20.3362000001,6.55453333331,23.2492666667,32.1008666667
195.89,-4.13456666667,15.9616,24.8717333333,-5.70513333332,1.2179333333,-11.9872,15.8334,5.25646666667,21.6026333334,29.2306666666
196.27,2.2222,24.8049333333,32.1919933333,2.28233333334,7.92786666664,0.72079999998,23.9037999999,13.3332,29.0692,35.9758666667
196.65,2.37279999999,25.0282666667,31.3387999999,6.89266666667,7.51406666666,0.33906666666,22.0338666666,13.2204,22.1468,35.4237333334
