wavelength,Back_ConMarm,Belly_ConMarm,Breast_ConMarm,Crissum_ConMarm,Crown_ConMarm,DorTail_ConMarm,Rump_ConMarm,Throat_ConMarm,WingTip_ConMarm
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,-233.333333333,-340.0,-106.666666667,-346.666666667,-353.333333333,6.6666666668,-386.666666667,-253.333333333,-320.0
179.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
179.54,1.33333333334,-12.0000000001,-1.3333333334,-37.3333333332,-22.6666666667,14.6666666667,1.6,26.6666666667,10.6666666667
179.93,-203.333333333,-53.3333333334,-190.0,-173.333333333,-110.0,106.666666666,-74.0000000001,-13.3333333333,39.9999999999
180.31,120.312533333,113.645666667,118.1248,132.3956,121.979133333,81.1457999999,117.395773333,88.6459333333,112.083266667
180.69,112.533266667,105.688933333,107.5556,122.8444,112.3556,77.0665999999,107.057773333,80.7999333334,105.066666667
181.07,113.3334,104.017066667,109.059866667,121.367466667,108.034266667,77.1793333333,104.239333333,79.0598666667,100.512933333
181.45,108.771933333,98.0352666666,103.859666667,111.578933333,101.192866667,77.6141333334,99.2911733333,80.2106,91.6492666666
181.83,99.5239333333,89.2856666666,95.0000000001,99.6429333334,91.8452666667,72.9166000001,94.0654733334,76.8452,83.5714666667
182.21,98.9829333333,90.2258666666,93.8982666667,98.8134666667,90.1694,76.0454000001,95.1300466667,79.3220666667,86.6102000001
182.59,104.528266667,94.9686000001,99.7485333333,101.5724,92.3901333334,76.7295333333,97.6352866668,83.7107333332,85.6602666667
182.97,107.801333333,100.0,103.971733333,105.319066667,92.4113333334,81.2056666667,98.6524466666,85.1064666667,86.3829333333
183.35,119.545533333,113.484866667,116.212133333,114.393933333,105.984933333,96.8182000001,108.742413333,96.7425333333,95.4545333333
183.73,128.3146,124.3446,121.048733333,124.644133333,109.7378,106.442,117.078653333,106.516866667,102.846466667
184.11,132.8,130.5778,125.688866667,130.577866667,110.488933333,111.377733333,122.515606667,107.111,98.9333333332
184.49,130.095266667,131.7144,124.380933333,133.3332,106.285533333,110.0,122.028486667,102.190533333,93.4284666667
184.87,123.896,131.775,124.8484,129.350666667,104.069266667,107.619066667,123.991393333,103.4632,91.9480666666
185.25,117.8862,127.154466667,118.943133333,124.308866667,101.788666667,105.0406,117.089386667,101.463466667,90.5691333332
185.63,121.351266666,133.603733333,124.684666667,133.513466667,107.927933334,109.5496,120.882786667,106.756666667,98.3784666666
186.01,119.1892,136.936933333,130.000066667,140.3604,112.3424,113.513333333,116.720693333,110.1802,102.6126
186.39,107.685333333,129.722133333,121.9446,135.3704,105.740733333,109.4444,108.25002,99.9999999999,94.8149333335
186.77,111.724133333,145.172466667,134.137866667,146.896466667,114.137933334,122.7586,119.80456,106.8966,101.1494
187.15,88.8205333333,123.076933333,113.230733333,125.846133333,100.307733333,98.359,104.67696,91.5896666667,79.0767999999
187.53,70.4526666667,95.6378666667,90.3703999999,99.8354666666,78.6009333333,73.9095333334,84.0329400001,73.9093999999,64.2798666667
187.91,53.3332666667,74.6667333333,72.8626666666,74.0392,58.4312666667,52.0784666667,64.2352799999,55.2940666666,43.6078
188.29,44.5878666667,68.0287999999,64.5161333333,61.0751333333,45.0179333333,38.6379333333,52.8316466666,47.6702666667,35.5554666667
188.67,30.8911999999,57.2937333333,53.1352666667,47.1285999999,32.4752666667,25.2144666667,39.7557933333,38.2838666666,24.1584666667
189.05,25.9690000001,53.7209333333,49.2248,46.3565999999,24.3411333333,18.7596666667,33.7131599999,37.8294,13.7209333333
189.43,14.3939333332,44.3938666666,39.1666666667,34.5455333334,14.3180666667,9.77273333332,23.3409533333,27.8030666667,1.28793333334
189.81,-5.82280000006,33.5865333333,21.9408666667,14.1774000001,-13.3335333334,-6.75099999999,3.84812666666,6.91986666672,-22.1098000001
190.19,-45.1613999999,8.70979999994,-13.9784666666,-25.3763999999,-59.7849333334,-50.5376,-32.6236533333,-32.6880666667,-70.4301333333
190.57,-59.0643333334,0.9356,-22.2221333333,-39.8830666667,-71.228,-63.6255333333,-47.8361933333,-41.0525333334,-86.6666666667
190.95,-36.1539333333,8.11960000002,-8.03426666658,-17.1795999999,-42.5640666667,-36.4957333333,-29.5983866667,-16.5812,-52.9914666666
191.33,-24.4194666666,11.0860666667,-5.1686,-14.0824666667,-39.0262,-29.9625333333,-23.4456066667,-12.0598666667,-44.12
191.71,-54.5274000001,-3.68153333332,-27.5621333333,-33.2339333333,-73.7312,-59.8009333333,-54.1690999998,-36.2188666667,-83.3831333333
192.09,-112.380933333,-37.4149333333,-67.7550000001,-70.6122666665,-129.659933333,-110.6124,-107.523806667,-81.4964666667,-145.170066667
192.47,-160.3174,-77.9364666666,-99.8411999999,-110.4762,-176.349266666,-157.7778,-154.254026667,-115.873066667,-192.2222
192.85,-298.461533333,-164.615333333,-196.923133333,-219.743466667,-319.230733333,-279.743533333,-285.71804,-202.564066667,-340.512933333
193.23,-405.4546,-236.0608,-275.151533333,-318.787866667,-414.2424,-383.333333334,-395.3939,-288.787933333,-451.212133333
193.61,-440.9524,-261.269866667,-309.841266667,-360.317466667,-443.492066667,-417.460466667,-423.333326667,-304.444333333,-479.682533333
193.99,-468.420933333,-261.754333333,-307.3684,-381.052666667,-445.614133332,-450.526266667,-423.543833333,-283.5088,-503.508800001
194.37,-308.405733333,-160.5798,-187.825866667,-253.6232,-300.869533333,-290.4348,-269.82612,-156.811533333,-333.333333333
194.75,-202.941133333,-100.9804,-120.784333333,-175.098066667,-204.705866667,-195.686266666,-178.058746667,-99.6079333333,-221.960866667
195.13,-974.074,-574.073933333,-673.333333333,-905.185199999,-957.777733335,-1008.889,-878.296246668,-605.925933334,-1086.66673333
195.51,1091.33333333,678.666666666,784.000000001,1017.33333333,1040.66666667,1084.66666666,1007.4,734.666666667,1167.33333333
195.89,7.06672782439e+15,4.1155053413e+15,4.84478141732e+15,6.6828983107e+15,6.48245400909e+15,6.64878013169e+15,6.31058368241e+15,4.59315984723e+15,7.1818766785e+15
196.27,-10466.6666667,-6026.66666667,-7173.33333333,-10240.0,-9393.33333333,-9633.33333335,-9098.66666667,-6320.0,-10580.0
196.65,555.0876,315.4386,390.8772,549.473666667,489.473733333,504.9124,474.175613333,332.631466667,562.105266667
197.03,259.674733333,152.195133333,179.0244,264.2278,223.9024,240.0,227.560973333,160.162666667,260.4878
197.40,296.036066667,183.063066667,193.8738,303.603733333,254.774933333,262.522533333,261.675666667,178.918866667,283.963866667
197.78,244.8226,158.581333333,159.574533333,243.9716,214.8936,220.851066666,219.659546667,155.177333333,239.716333333
198.16,329.411733333,224.902133333,221.176533333,329.019533333,297.058866667,311.372533333,313.686373333,218.4314,329.411733333
198.54,286.8216,197.054266667,195.5038,280.620266667,261.085133333,278.6046,285.37978,198.759733333,292.093066667
198.92,234.880933333,164.404666667,160.5952,223.333266667,211.190466667,227.5,228.666666667,162.142866667,242.380933333
199.30,233.1072,166.327533333,161.242933333,218.530866667,214.6894,220.7912,223.830546667,159.3222,236.723066666
199.68,222.513666667,161.530133333,150.710466667,203.606466667,197.267666667,208.306,206.437246667,143.169266667,219.125466667
200.06,204.343466667,155.151466667,141.4142,187.979866667,188.484933333,195.959533333,196.06054,134.646466667,202.4244
200.44,227.796666667,168.361666667,154.2372,207.909533333,215.4802,217.2882,225.130006667,152.4294,223.276733333
200.82,272.0,204.4,179.866666667,248.666666667,254.133333333,252.4,273.44,180.8,259.866666667
201.19,283.5374,212.653133333,195.782333334,265.034,272.108866667,266.2584,286.639433333,192.380866667,270.204066667
201.57,241.0168,179.547933334,170.960466667,227.7964,233.559266667,232.3164,242.079086666,163.728866667,229.0396
201.95,254.761933333,181.904866667,167.5,234.880933333,242.380866667,235.238,247.773833333,169.285733333,230.2382
202.33,228.749933333,161.041533333,146.6666,210.729133334,213.229066667,196.1458,218.604153333,149.895733333,200.312533333
202.71,296.944533333,206.6666,181.249866667,273.3334,264.722133334,239.027866667,275.347153333,184.027733333,246.8056
203.09,310.962933333,218.5186,193.629733333,295.407533333,280.296266666,252.592533333,292.859113333,194.222133333,254.074
203.47,456.049466667,315.802466667,264.444466667,449.8766,415.061733333,366.913666667,431.209846667,272.839466667,367.1606
203.85,531.944266667,380.0,319.4444,534.444466667,506.1112,441.666733333,510.666613333,333.611066667,431.388933333
204.22,553.066666667,381.066666667,344.8,544.266666667,503.466666667,467.466666667,520.426666667,340.266666667,442.666666667
204.60,901.777866668,620.0,571.111133332,894.6668,789.777800001,782.666733334,843.333419999,532.888733334,698.222333334
204.98,602.3188,426.3768,405.2174,597.1014,533.3334,534.202933333,571.68118,377.391266667,477.681133333
205.36,699.999866667,490.877066667,463.158,669.122733333,617.192933333,598.2456,661.579006667,418.947266667,557.543733333
205.74,987.619066667,711.904733334,673.333266666,929.999999999,877.142866668,852.380866667,937.857073333,624.2856,780.476133333
206.12,631.884,471.014533333,453.333333333,606.956533333,561.4492,563.478333333,612.52172,411.304333333,508.116133333
206.50,358.116,282.7534,272.753666667,347.536266667,320.724666667,342.608733333,356.56528,250.145,297.971
206.87,297.193,246.315933333,237.543866667,298.7134,279.882866667,300.9356,304.432746667,220.234,258.362533333
207.25,308.571266667,250.357066667,246.309466667,304.404666667,289.881,311.547533333,313.33324,229.1666,262.500066667
207.63,356.0282,281.5602,276.453866667,347.943333333,333.1914,364.964666667,368.7659,268.3688,296.595666667
208.01,349.481466667,268.4444,265.185133333,341.925933333,313.7778,355.999933333,361.259366667,258.5186,286.666666667
208.39,246.011,190.601133333,181.3114,242.404333333,222.841533334,249.8362,251.15842,181.7486,197.595733333
208.77,189.019533333,146.980333333,137.882333334,183.686133333,170.980333333,186.5882,191.3333,143.764666667,154.117533333
209.14,200.606066667,151.4286,141.039,196.017266667,179.913466667,195.065,199.9048,147.7056,158.095333333
209.52,266.6668,196.352266667,177.484333333,262.0126,232.201333333,260.754666667,267.886673333,196.3522,198.867866667
209.90,258.1132,179.2454,166.289333333,253.584933333,220.880466667,250.188733334,258.364753333,185.283,190.9434
210.28,272.608733333,186.956466667,173.4782,274.3478,236.956466667,260.4348,275.02894,194.347933333,196.376733333
210.66,370.444466667,245.3334,219.111133333,369.555466667,317.3334,333.777866667,369.00002,250.6668,241.111
211.03,305.2252,192.432466667,171.891866667,287.387466667,251.8918,266.666666667,298.3963,201.4414,183.963933334
211.41,259.682533333,160.793733333,145.079333333,244.920733333,209.365066667,226.3492,256.857046667,171.5872,149.047666667
211.79,289.910066667,180.900866667,169.909933333,273.873666667,234.594666667,245.945866667,290.486573333,186.846733333,160.3604
212.17,357.701133333,225.057266667,211.2644,336.091866667,302.2988,309.195466667,364.298873333,224.367866667,192.643666667
212.55,729.523733333,452.857066667,451.904733333,688.095266667,616.190533334,634.761800001,779.142933333,474.285733333,394.761866667
212.92,-4893.33333333,-2873.33333333,-3063.33333333,-4583.33333334,-4226.66666667,-4253.33333333,-5212.0,-3210.0,-2650.0
213.30,-414.603266667,-219.999933333,-247.9366,-375.873,-357.142733333,-353.015933333,-454.47622,-267.3016,-207.301533333
213.68,-1606.6666,-911.111133333,-1025.5556,-1513.3334,-1438.88906667,-1436.66673333,-1770.55564667,-1111.11113333,-936.6666
214.06,-850.0,-458.666666668,-527.333333334,-803.333333335,-753.333333333,-725.333333333,-964.933333334,-582.000000001,-462.666666668
214.44,-546.666666667,-290.833333333,-367.083333333,-535.0,-485.0,-497.916666667,-634.5,-370.416666667,-309.166666667
214.81,-746.666733334,-405.640866667,-498.974466667,-700.5128,-661.025666667,-708.205133334,-836.564120001,-507.1796,-456.923133333
215.19,-847.222133334,-476.666666667,-579.999999999,-816.111133333,-747.777733334,-810.555466668,-940.6111,-593.8888,-559.999933334
215.57,-11040.0,-6839.99999999,-7753.33333334,-10580.0,-9800.0,-10833.3333333,-12334.6666667,-8159.99999999,-7893.33333333
215.95,921.5384,618.461533333,674.871733333,877.435866668,823.076866667,924.615333333,1028.25637333,717.948733334,689.743600001
216.32,808.0,529.333199999,605.7778,748.888866667,704.444533334,799.111,906.133406667,644.888866667,593.777733334
216.70,677.037066667,454.074,506.666733333,630.740733333,591.111133333,679.9998,758.407526667,532.592666667,509.999866667
217.08,360.381066667,269.7144,278.476266667,342.666666667,322.285733334,369.9048,407.20004,291.619133333,284.571466667
217.46,262.893266667,209.182333333,210.1886,247.0442,238.3648,275.974866667,295.484393333,213.836466667,218.113333333
217.83,308.527133333,245.581333333,242.170466666,281.550333333,273.953533333,323.2558,341.782893334,237.209333333,253.333333333
218.21,454.888866667,365.111133333,351.777733333,410.000066667,401.7778,488.222333333,500.511133333,344.666733333,375.777733333
218.59,368.0,305.5,280.833333333,320.5,325.666666667,390.5,398.3,279.0,304.333333333
218.97,395.999933333,317.333333333,298.285733333,347.047666667,346.285733333,423.809666666,429.80956,301.333266667,323.238066667
219.34,1380.00006667,1033.3334,988.147933333,1105.92593333,1189.62966667,1460.74086666,1449.77786,971.111133333,1064.44453333
219.72,-11266.6666667,-8213.33333333,-7760.0,-8846.66666667,-9833.33333334,-12106.6666667,-11863.3333333,-7713.33333333,-8553.33333333
220.10,-3579.99993333,-2568.8888,-2395.55566667,-2840.00013333,-3162.22226667,-3808.88906666,-3717.11112667,-2417.77773333,-2662.22226667
220.47,2763.33333334,2031.66666667,1805.0,2170.0,2428.33333333,2910.0,2829.16666667,1851.66666667,2005.0
220.85,-1068.0,-776.000000001,-634.000000001,-796.666666667,-900.000000001,-1054.0,-1047.8,-666.000000001,-710.666666666
221.23,-319.5556,-208.888933333,-166.222266667,-223.999933333,-251.333333333,-310.888866667,-305.755546667,-177.7778,-187.111066667
221.61,-274.343466667,-174.7474,-138.181866667,-196.363533333,-215.959666667,-267.878733334,-261.99994,-154.7474,-146.262533333
221.98,-336.0918,-228.046066667,-200.459866667,-259.3104,-277.471333333,-333.5632,-333.356286667,-222.298933333,-192.183866666
222.36,-349.629733333,-236.296333333,-215.061733333,-271.851866667,-291.604866667,-353.827,-346.864153333,-231.6048,-197.777733333
222.74,-165.555533333,-102.638866667,-96.8055333333,-122.9168,-134.027733333,-165.277666667,-163.02766,-110.139066667,-84.4444666666
223.11,-109.617533333,-63.1693333333,-61.6394666667,-81.2021999999,-87.5409333333,-109.726666667,-109.431666667,-70.492,-49.7267333333
223.49,-111.803333333,-69.9453333334,-66.9944666666,-97.9235333333,-88.9617333335,-119.562866667,-119.01644,-82.1857999999,-56.7212666667
223.87,-109.948666667,-64.6154,-66.2563333334,-104.4102,-87.8973333334,-116.718066667,-116.2255,-80.6154,-59.3845333333
224.24,-128.148066667,-74.8149333334,-80.1056666668,-118.836,-100.317333333,-139.6826,-135.862293333,-91.4286666667,-77.9893999999
224.62,-97.5213999999,-57.8632,-60.1707999999,-92.3932,-81.7948000001,-113.931533333,-105.393113333,-72.9059999999,-68.2051333334
225.00,-86.4444,-52.5185333333,-57.4814,-86.9629999999,-79.3332666666,-110.1482,-95.0370600001,-67.8518666666,-65.926
225.38,-82.2222666667,-49.3056666666,-52.0138666667,-82.0834,-75.4861333334,-102.708266667,-90.6110333334,-63.9582000001,-60.9028000001
225.75,-67.0269999999,-36.5166666666,-36.0960666667,-69.9100000001,-61.1411999999,-81.1410666667,-72.3063333332,-46.4864,-48.2281333333
226.13,-62.8414666666,-36.3389333333,-30.7103333333,-62.9507999999,-55.5738,-73.8250666666,-64.6394000001,-40.273,-43.8252
226.51,-48.416,-24.4444666666,-22.1277333333,-50.5909333333,-42.5058666667,-58.7235333333,-50.89846,-31.1112,-31.3476
226.88,-40.2124666667,-18.1316,-15.5838666667,-42.4202666667,-36.0084,-49.2992666667,-41.7070066667,-23.6942666667,-23.397
227.26,-33.9234666667,-15.3472666667,-13.1248,-34.5484666667,-31.2152,-41.9443333333,-36.6560466667,-19.8262666667,-19.5138
227.64,-34.9917333333,-16.7804,-16.4554,-32.2276666667,-33.2032,-41.1708666667,-37.2000466667,-20.3900666667,-20.3252666667
228.01,-26.83,-13.0612666667,-12.1360666667,-20.8163333334,-25.0068,-30.9388,-28.4597333333,-14.0952666667,-13.4422
228.39,-22.2224,-11.8675333333,-9.76359999999,-17.234,-20.6382666667,-25.1063333333,-22.7919066667,-11.6076,-10.2601333333
228.76,-19.563,-8.91806666667,-7.40986666665,-15.8689333333,-16.8525333333,-19.9563333333,-18.81978,-8.02193333333,-6.16406666667
229.14,-17.4264,-7.49746666667,-5.95746666667,-13.0293333333,-13.5562,-16.2715333334,-16.97878,-7.67979999999,-4.15399999999
229.52,-16.8628,-8.7582,-7.56313333333,-13.4080666667,-14.099,-17.0494666667,-17.0214933333,-8.49673333333,-5.15420000001
229.89,-16.1579333333,-8.01753333333,-8.8246,-11.2632,-13.9298666667,-16.0703333333,-15.8000133334,-9.38586666667,-5.36839999999
230.27,-13.0749333333,-4.72006666667,-6.8216,-8.5444,-12.0756666667,-13.0404666667,-13.12488,-7.76913333333,-3.42819999999
230.65,-16.5776666667,-8.77006666667,-9.82186666666,-11.9965333333,-15.3474666667,-15.811,-16.26202,-10.9448,-6.75580000001
231.02,-18.6484666667,-11.0137333333,-13.3515333333,-14.8310666667,-17.2055333333,-18.1734,-19.0247666667,-12.8583333333,-9.00466666665
231.40,-22.744,-15.1828,-17.5405333333,-19.1666666667,-21.4633333333,-21.7276666667,-23.2989266667,-16.7886,-12.2560666667
231.78,-22.3162,-15.5085333333,-16.6767333333,-19.6574,-21.6515333333,-20.4632,-23.4561133333,-16.4551333333,-12.4874
232.15,-21.5308,-16.2134666667,-16.9384666667,-21.3294,-22.0544666667,-20.4229333333,-23.83084,-16.8781333333,-12.7492666667
232.53,-20.2076666667,-16.1162,-16.324,-20.187,-21.0176,-19.6260666667,-23.1255133333,-16.3656,-11.4848666667
232.90,-24.7556666667,-21.4222,-21.3556666667,-24.6222,-25.5111333333,-23.9110666667,-28.1222266667,-21.6222,-17.4222
233.28,-28.7292,-25.1558666667,-26.2349333333,-29.3764666667,-30.4318,-27.2183333333,-31.9280866667,-25.6354666667,-22.7818
233.66,-27.8304,-23.4668,-25.1636666667,-28.2424,-28.4121333333,-25.2606,-30.5551666666,-25.4303333333,-21.8181333333
234.03,-26.9371333333,-23.0748666667,-24.3540666667,-27.8720666667,-26.642,-25.5104,-30.8681466667,-24.1080666667,-20.3443333333
234.41,-31.1672666667,-27.4608,-27.4126666667,-32.6834666667,-29.988,-29.4826666667,-34.65708,-27.7496666667,-23.1769333333
234.78,-31.0336,-25.7606,-26.5970666667,-31.3821333333,-29.9418666667,-28.6644,-33.6724666667,-26.9686666667,-23.1359333333
235.16,-25.4545333333,-20.6926666667,-19.5887333333,-24.9567333333,-24.9134,-23.0521333333,-27.2814,-21.7966,-17.8138666667
235.54,-23.6418,-17.9901333333,-16.9552,-22.6468,-21.9902,-20.7164666667,-23.99004,-19.2836666667,-15.0447333333
235.91,-20.3766666667,-14.1618666667,-13.6158666667,-19.6233333333,-17.9472666667,-17.2128,-19.4803,-15.6873333333,-11.9022
236.29,-21.6854666667,-13.7640666667,-13.8201333333,-20.4494,-18.4831333333,-17.2845333333,-19.5505133333,-16.3669333333,-12.7902
236.66,-19.4022666667,-9.54719999999,-10.8695333333,-17.0653333333,-15.3623333333,-13.9673333333,-16.27358,-13.4964,-9.69213333333
237.04,-13.3670666667,-3.40073333334,-4.86520000001,-11.2120666667,-9.83153333335,-8.87213333333,-10.88222,-7.89566666665,-3.65313333332
237.41,-11.431,-2.12993333333,-3.62606666667,-9.82119999999,-8.55273333333,-7.72346666669,-9.13015333332,-6.16266666668,-1.86993333334
237.79,-12.4066,-2.6992,-4.60166666666,-11.0731333333,-10.3902666667,-8.60153333335,-9.63578666665,-6.45540000001,-2.52026666665
238.17,-14.5512,-5.15213333332,-6.60426666668,-13.7081333333,-13.1616,-9.99226666668,-11.3881066666,-8.46246666667,-4.48093333333
238.54,-12.7490666667,-2.47199999999,-5.01873333335,-11.176,-10.8313333334,-7.61046666668,-9.34546666665,-5.87273333335,-2.48686666665
238.92,-9.81473333332,-0.726599999994,-2.72086666665,-8.24800000001,-7.73500000001,-4.35893333334,-6.97146666667,-3.60399999999,0.114000000012
239.29,-12.1162,-3.59606666667,-5.11753333333,-10.5671333333,-9.419,-6.36233333332,-9.66944000001,-6.34860000001,-2.86293333334
239.67,-9.27133333333,-2.70786666668,-3.30113333335,-7.64673333333,-7.50473333335,-4.06186666667,-7.04327333333,-4.62926666667,-1.63760000001
240.04,-7.13446666667,-2.80700000001,-2.99413333333,-6.16373333333,-6.32759999999,-3.49706666668,-5.87836000001,-4.50293333334,-0.409466666666
