wavelength,Back_ConRufm,Belly_ConRufm,Breast_ConRufm,Crissum_ConRufm,Crown_ConRufm,DorTail_ConRufm,Rump_ConRufm,Throat_ConRufm,WingTip_ConRufm
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,39.9999333333,49.4443666667,53.3334,42.7778333334,57.7777333333,11.1112,80.4321814815,28.8888,31.6665666667
179.16,-99.9999333333,-32.2222666667,-36.6665333333,-47.2223333334,-27.7776666667,-75.5556666667,-46.4351555556,-48.8889333333,-69.4445666667
179.54,-105.555666667,-34.4445999999,-79.9999999999,-42.2223333333,-20.0,-88.8888,-82.0061925926,-63.3333333335,-128.3333
179.93,120.0,31.1109666666,182.222266667,33.3334,95.5557333336,115.555533333,88.2406722222,113.333333333,196.666733333
180.31,-13.3332,36.3120666667,5.81566666675,40.7800666667,15.461,4.96473333333,33.5146453704,-5.532,-35.8864
180.69,-12.2876666667,42.8758666667,4.706,40.8495666667,12.1568666667,4.05226666667,35.0381592593,-3.26786666666,-40.7844333333
181.07,-11.2728,44.4847333333,9.45466666668,43.7574333333,15.5152666667,9.81813333333,30.4932990741,9.69693333333,-40.1817666667
181.45,-6.5432,45.6788666667,6.79013333332,46.0494,15.3086,14.6914666667,29.4377055555,14.8146,-41.1727666667
181.83,11.2902,55.8601,23.3332666667,58.6559,28.3870666667,27.2043333333,44.2309231481,25.8066,-18.7097666667
182.21,1.82786666667,49.0322333333,22.5808,53.1183333333,19.8925333333,18.3871333333,39.4415037037,18.387,-20.8603333333
182.59,-0.00013333334,50.6772666667,21.1458666667,49.8959666667,14.2707333333,17.8124666667,33.9177527778,13.6458,-28.2294333333
182.97,-32.3810666667,27.3810333333,-10.9523333333,18.5715,-19.2856666667,-15.8333333333,-2.17105833334,-18.0952666667,-65.0595333333
183.35,-50.2299333333,6.55173333334,-19.6554,-3.44816666666,-34.3678666667,-34.7125333333,-19.8961648148,-36.2069333334,-79.4256333333
183.73,-60.3279333333,9.12556666668,-25.5738,-7.59566666666,-36.1749999999,-39.8908,-20.4280851852,-38.7975999999,-78.6884666667
184.11,-78.8095333333,2.79763333332,-44.881,-26.6070999999,-52.5000666667,-52.7381333333,-39.6047657407,-53.8095333334,-101.666666667
184.49,-112.575733333,-4.69699999994,-59.6968666667,-36.6665666667,-69.6968666666,-81.9696000001,-62.2895981481,-67.4243333333,-142.954533333
184.87,-109.361666667,-13.4751666666,-52.9078,-34.1844,-61.1346000001,-80.1418666667,-60.011737037,-67.6593999999,-129.8581
185.25,-381.403466667,-135.438666667,-256.1404,-203.333366667,-274.035066667,-325.964866667,-255.170600926,-294.035066667,-408.947466667
185.63,-399.629533333,-128.148166667,-246.666666667,-218.888833333,-298.148266667,-337.037066667,-249.814959259,-314.444466667,-430.000033333
186.01,1522.2222,712.777833333,1095.5554,1048.8889,1277.77773333,1337.77786667,1083.7808287,1278.88893333,1598.33323333
186.39,553.333333333,276.041666667,421.666666667,424.583333333,481.666666667,500.0,403.59375,488.333333333,636.25
186.77,319.540266667,185.747133333,242.758533333,258.850433333,289.4254,292.183933333,240.897238889,283.448333333,368.965333333
187.15,334.7224,163.4722,233.6112,264.861233333,282.499866667,282.222333333,233.105726852,284.444533333,391.6667
187.53,289.6,131.466666667,226.933333333,228.666666667,253.333333333,254.4,208.959259259,252.0,362.666666667
187.91,209.3334,113.047466667,161.1428,182.285633333,184.380866667,188.380933333,162.029086111,195.4286,270.0
188.29,325.3968,173.0157,230.158733333,267.142833333,256.507933333,286.031666667,227.857137037,298.095266667,401.269833333
188.67,3.22416791505e+15,1.55664191666e+15,1.9660600646e+15,2.7657048848e+15,2.52901001802e+15,3.06210656482e+15,2.14174499325e+15,3.31799290729e+15,4.35646498045e+15
189.05,-1913.33333333,-628.333333333,-880.000000001,-1540.0,-1336.66666667,-1720.0,-1212.87037037,-2123.33333333,-2755.0
