wavelength,Back_ConSitf,Belly_ConSitf,Breast_ConSitf,Crissum_ConSitf,Crown_ConSitf,DorTail_ConSitf,Rump_ConSitf,Throat_ConSitf,WingTip_ConSitf
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,623.333399999,332.2222,410.0,551.111066667,267.7778,604.222155555,512.222266667,395.5556,532.222266667
179.16,126.666666667,113.333333333,128.0,161.333333333,82.6666666666,120.711111111,133.333333333,82.6666666667,150.666666667
179.54,86.0318000001,127.539766667,107.777733333,121.428466667,74.9206000001,95.6930977778,110.1588,71.7461333335,114.444466667
179.93,-10.0,36.9444333333,66.6666666667,33.8889333333,26.6667333333,-26.0370311111,20.0000666667,-24.4444666667,25.0000000001
180.31,-14.1519999999,87.7661666666,54.9239333334,40.1637333333,33.6842,14.7743066669,89.8245333335,-23.7426666666,108.0
180.69,-31.0691333332,97.6415333333,61.9406666667,61.5901999999,40.1976666667,13.1926577776,100.709733333,-21.4375333334,114.474266667
181.07,30.5251333333,80.4214,65.9164,60.5462,51.9293333333,43.1666933333,85.0384000001,30.3986666667,89.0652666665
181.45,28.2988666666,68.7301000001,57.8676666667,47.4242666667,47.8077333333,37.0613777778,76.8492666666,28.242,78.1073333333
181.83,-5.44873333326,44.8877333334,31.4263333333,23.2852,27.8204666667,6.7585866668,59.3429333334,2.46799999994,66.4423333334
182.21,-35.2089999999,20.2792,5.62379999992,6.4621333334,11.2604,-15.6256577778,36.3313333333,-10.7554666667,54.1294
182.59,-140.476133333,-49.0159333334,-64.8888666668,-47.6349333334,-40.1429333334,-87.0697911112,-9.34913333332,-69.6189333333,21.0951333333
182.97,-2859.44866667,-1617.34323333,-1770.67673333,-1216.59146667,-1311.0276,-1966.21891556,-999.599000001,-1611.92986667,-663.107666666
183.35,230.933066667,171.445933333,162.678066667,118.315533333,138.361866667,173.373755556,133.230066667,145.6838,116.876733333
183.73,228.477866667,184.7381,164.6452,127.155866667,144.435,158.946942222,139.838333334,139.126733333,123.177666667
184.11,173.7824,160.842033333,138.779,105.4036,126.6666,129.95092,122.792933333,112.196533333,116.210533333
184.49,169.654266667,165.530933334,141.160533333,110.9134,132.0988,127.120955555,128.2964,118.148133333,122.666733333
184.87,194.622266667,197.9695,162.4416,138.7246,156.020533333,144.733391111,151.4034,146.223333333,143.341933333
185.25,133.955133333,136.399866667,114.027533333,105.397066667,107.612266667,103.856684444,118.5254,98.7407333333,106.957733333
185.63,117.671066667,124.4325,105.640533333,95.5862000001,91.9545333333,92.1757199999,108.497533333,91.7951999999,98.645
186.01,112.3946,120.053466667,101.679733333,91.9104,88.6385999999,86.1250311111,102.6348,88.8953333333,98.2064000001
186.39,121.222333333,127.616133333,104.893933333,98.1920000001,92.6817333334,95.6061155555,103.055533333,94.6566,101.414066667
186.77,115.460266667,122.231166667,98.5576,93.9862,86.1865333333,91.342568889,94.2955333333,90.7042666666,96.2062666665
187.15,127.5474,126.234233333,100.842133333,98.4306000001,90.3333999999,91.8941688887,93.0305999999,96.8225333334,92.6902000001
187.53,151.519333333,151.315133333,121.7914,112.052,103.8776,106.365857778,104.1836,112.052133333,102.154133333
187.91,133.579,143.568266667,115.812533333,103.137333333,92.4734666667,105.297626667,102.5738,102.4534,98.8518666667
188.29,145.2084,167.464333333,128.555333333,118.2618,96.7844666666,120.067093333,114.387066667,109.795133333,101.192066667
188.67,143.950466667,183.351666667,133.4534,128.118,88.5085333335,127.815044444,124.768066667,109.402733333,97.8878000001
189.05,144.174533333,206.696533333,147.446266666,144.784266666,91.3644000001,134.915168889,136.8348,114.337866667,108.2192
189.43,150.5,232.653866667,162.0256,167.064133333,103.2052,150.2282,156.9102,124.435866667,126.935933333
189.81,207.0588,361.0072,216.824533333,259.0374,146.631,208.741435556,221.415866667,180.5602,175.426466667
190.19,265.666733333,497.222133333,283.5556,370.722266667,187.5,280.392462222,296.111,238.999933333,233.499933333
190.57,257.783133333,489.172633333,275.2068,340.0,189.234933333,286.059377778,304.223266667,223.450333333,237.392666667
190.95,528.166733333,1176.4286,555.773733334,784.345266666,383.940466666,692.161866666,693.488,445.273800001,562.952333334
191.33,-443.383066667,-1134.45173333,-493.2782,-732.628133334,-374.534466667,-688.796288889,-661.068933335,-428.308533333,-543.757600001
191.71,-2271.18106667,-5856.16793333,-2562.04726666,-3927.45406667,-2225.3018,-3805.03237778,-3727.24406667,-2565.82680001,-3097.37526667
192.09,-49.9516666667,-214.480933333,-43.8982666667,-130.811733333,-36.6462666667,-112.587044444,-107.8066,-64.6920666666,-102.804
192.47,-62.5442666667,-302.446866667,-52.9301333334,-155.665666667,-40.4170000001,-142.766933333,-123.100466667,-79.3849333333,-136.0306
192.85,18.1438666665,-133.2339,5.9281333334,-46.7850666666,8.30020000006,-30.3566044447,-28.1724000001,-2.2395333332,-55.0709333333
193.23,41.6909999999,-51.7857999999,33.3522,-3.98119999994,27.2297999999,2.56302222212,13.9608000001,23.8337333333,-14.0061999999
193.61,40.3989333333,-38.9052333333,36.0392,10.9537999999,31.2935333334,5.62184000008,24.6077333333,24.5393333334,-12.0842
193.99,43.4919999999,-86.0022333333,23.8023333334,6.2023333332,22.8896000001,-5.76562222233,9.90799999986,15.0298666666,-39.1999333333
194.37,39.9263333332,-133.412666667,4.12140000014,-11.1678,0.74259999994,-19.7006844443,-5.74826666667,-7.5962666668,-68.8492000001
194.75,40.7144000002,-118.7938,3.16266666672,-24.2452666668,9.69460000006,-11.0350933334,0.49413333334,-6.62633333333,-57.6100666667
195.13,39.9133333333,-67.3349333333,17.6276666667,-6.33486666654,16.0923333333,6.46658222227,18.7041999999,1.13993333325,-19.2728000001
195.51,55.0340000001,-41.2934,37.9621333334,9.82426666667,30.2961333333,22.6103955556,39.6268,16.1254666666,-1.76726666668
195.89,65.7816,-51.1541333334,37.5328,9.22926666668,36.5738,28.4834222221,45.8801333334,24.3778000001,2.68966666666
196.27,95.0606666667,-104.6938,34.3982,-11.2955333333,26.6577333332,18.2840311111,44.7147333334,0.45833333326,-9.26053333325
196.65,78.6375999999,-117.110333333,16.629,-48.9304000001,12.7710000001,3.51697777774,19.1564666667,-20.9449999999,-28.4
197.03,39.9744666666,-131.5688,-2.89360000002,-71.1320000001,-14.6496000001,-37.5483999999,-7.06946666674,-49.3701333333,-58.2893333333
197.40,58.3617333333,-417.157966667,-93.5327333334,-246.908866667,-93.6465999999,-166.596395556,-99.0313333335,-213.027133333,-218.404666667
197.78,153.271666667,-564.6297,-114.320933333,-364.012333333,-114.876666667,-178.839453333,-94.5678666665,-287.160399999,-280.679000001
198.16,68.2517999999,-106.1631,-2.45686666666,-74.7365999999,5.34739999994,-20.5406533334,18.3358,-56.3636666667,-31.2028
198.54,55.1713333335,-35.8568,22.9953333333,-22.6737333333,32.2253333333,2.45788888882,31.6103333333,-16.4342,2.47186666666
198.92,66.5499333333,-27.0706333333,26.6123333333,-13.7956666667,35.2953333333,4.47917333324,39.7047333332,-13.9122000001,10.2680666667
199.30,86.9480666666,-11.2155333334,33.1948,-7.39440000006,44.5834666666,11.5126044445,47.2681333333,-2.0235333334,14.7539333333
199.68,89.8586000001,-13.9342666666,28.9645333333,-13.8486666667,49.0505333333,13.3502533333,45.4645333333,-11.2474666667,18.5050666666
200.06,67.9082000001,4.60856666667,35.5410666667,-2.02179999993,42.8574666666,12.5434755556,46.4371999999,-5.22213333333,23.5509333334
200.44,54.7364000001,18.7227333333,35.6723333334,10.6459999999,41.5167333333,22.4407377777,46.6092,13.2308666667,28.8535333333
200.82,49.5753999999,16.094,31.6785333333,9.38246666658,39.6468666667,18.33904,45.9132666667,7.72526666668,26.3833333333
201.19,55.5690000001,19.069,34.5125333333,12.2848,42.496,23.5002933334,49.2905333333,11.6266,29.5832
201.57,47.8719999999,20.5084666667,29.3824666667,11.4122666667,37.0931333333,24.69416,45.5970666667,9.98280000001,25.6635333333
201.95,35.1272000001,19.3889333333,21.2724,8.00033333333,27.736,17.1780666667,37.3672666667,2.89980000001,20.5736
202.33,23.9514,6.84103333332,12.7764666667,-0.81873333334,19.1277333333,7.15964000001,32.1608666667,-5.67426666667,11.2144666667
202.71,14.2818,3.19096666667,6.55513333332,0.76513333332,14.2528666667,5.38920444445,28.6435333333,-12.8398666667,9.25686666666
203.09,16.5625333333,4.56676666666,7.9734,4.27073333333,13.4186666667,10.1782311111,28.8966666667,-14.3608666667,8.47993333335
203.47,8.19960000002,-4.89973333333,1.03626666668,-0.783866666666,9.44520000002,4.6578488889,23.419,-25.5842666667,0.8144
203.85,13.5908,1.7364,6.9672,5.44493333333,16.0996,8.66983111111,26.0421333333,-16.661,4.55866666668
204.22,17.4565333333,1.93576666667,5.82533333332,6.23833333333,18.2103333333,9.89738666666,28.3119333333,-14.2984,5.15359999999
204.60,18.8914000001,-4.4017,-0.513466666668,1.73826666666,14.0557333333,6.54218222222,27.8672666667,-21.3355333333,1.94986666669
204.98,21.4795999999,-1.59686666667,1.41400000001,4.39533333333,14.3432,8.87564444443,29.1650666666,-21.7864666667,3.60113333332
205.36,21.3434666666,-1.53403333335,-0.937133333326,2.69526666667,11.3634666667,5.78534666667,28.9816666667,-25.9920666667,4.79960000001
205.74,20.134,-4.48663333335,-1.21266666666,-1.12346666668,9.15193333333,1.73565777778,26.6369333333,-28.1994,2.95399999999
206.12,25.0220666667,-1.84969999998,6.59086666667,4.23559999999,13.1102666667,5.00138222222,30.9751333333,-19.8412666667,6.94566666667
206.50,31.6943333334,-1.08166666668,5.49146666665,4.51900000002,17.2412,5.6616711111,33.3596666667,-18.8115333333,6.14753333335
206.87,38.8538,1.83553333334,4.12366666668,-2.89719999999,21.0948666667,6.28274222221,39.5030666667,-19.6582,2.2992
207.25,29.4452666667,-3.29966666666,5.78826666665,-1.06706666666,22.8675333333,5.38811999998,36.4688,-19.9102,6.96453333334
207.63,22.5691333333,-6.1344,1.3294,-2.72179999999,19.5856,3.8996311111,35.8234666667,-24.8758666667,3.51086666666
208.01,22.1163999999,-12.3292666667,-4.7754,-8.68519999999,11.6832,-5.0503911111,31.3986666667,-36.5778,-3.36380000002
208.39,11.5878666666,-28.6429333333,-19.9384666667,-16.8846666667,2.02653333334,-20.1246755555,22.7326666667,-54.9135333333,-11.7552
208.77,6.16613333334,-32.4437333333,-18.0701333333,-18.7795333333,0.643666666673,-19.5033466667,22.4864666666,-54.7295333333,-13.3386
209.14,12.6622666667,-28.3173666667,-10.2663333333,-14.7009333333,7.09126666667,-14.66448,28.4775333333,-47.979,-6.90653333333
209.52,16.6780000001,-20.0529666667,-0.140000000007,-5.48646666665,13.3342666667,-6.4587688889,29.409,-34.8899333333,-1.38059999999
209.90,16.5824000001,-28.4335,-4.90886666666,-8.69373333335,11.1748666667,-14.3757511112,29.8341333333,-45.4802666667,-5.38333333333
210.28,-12.4158,-73.3093000001,-41.4695999999,-44.509,-17.4648666667,-44.7240355557,9.55553333334,-96.8602000001,-35.1804666667
210.66,-59.6826666667,-101.190466667,-62.6666666667,-74.0318,-41.1111333333,-54.8127333334,4.06346666668,-137.2698,-50.8572
211.03,-188.555466667,-244.833333333,-149.694466667,-157.083266667,-126.388866667,-109.427866667,-40.1388666667,-279.3056,-114.777733333
211.41,-130.772066666,-186.924033333,-123.578066667,-121.0844,-99.7426,-87.7876355556,-31.8734000001,-217.953466667,-95.2024666667
211.79,-51.5733999998,-96.7167999999,-66.5470666667,-68.1779333333,-49.7943999999,-48.5535644445,-2.67339999998,-128.981333333,-47.2789333333
212.17,-54.9244666665,-87.6602666667,-62.2985333333,-64.4574000001,-40.5791999999,-33.8799288889,3.41573333333,-113.4616,-35.1739333333
212.55,-27.7095999999,-57.4715,-42.5245999999,-43.4593999999,-26.2644,-23.2811066667,17.5094666667,-88.4424666667,-30.5864666666
212.92,-27.5357333335,-61.9107333333,-57.3094666667,-51.9167333334,-31.8214,-36.0404,7.13093333334,-96.8690666666,-42.4524
213.30,-53.1250000001,-83.25,-87.4166666667,-71.0833333333,-55.5833333333,-62.7416666667,-10.2083333333,-125.833333333,-59.7083333334
213.68,-609.698533333,-781.095833333,-716.858466666,-508.712333333,-496.566199999,-487.299924444,-249.3516,-868.456666667,-431.214666667
214.06,-118.507266667,-163.840566667,-171.7536,-106.1738,-98.6376666666,-124.966111111,-37.8985999999,-218.289866667,-104.7102
214.44,-28.4021999999,-44.5947000001,-60.4930666667,-30.9289333333,-24.3334,-43.2495555556,6.91513333333,-82.0947333333,-36.0296
214.81,-14.9890666667,-26.0577,-44.1830666667,-18.4214666667,-13.8344,-36.2847777778,10.0722,-61.1347999999,-24.7704
215.19,-7.97306666666,-18.0463,-39.7924666667,-17.0330666667,-10.7326,-40.2296444445,15.1649333333,-53.1134,-20.0488
215.57,-15.5856666667,-28.3401333333,-55.9542,-33.1369333333,-26.765,-67.9658755555,6.12340000001,-75.9487333334,-35.5090666667
215.95,-28.3506666667,-49.1068,-79.9543999999,-54.8528666667,-48.4475333334,-101.670955556,-11.0648666667,-101.727866667,-62.4000000001
216.32,-41.8978,-68.8633333333,-102.0958,-80.4035333333,-74.8724666665,-128.71284,-30.0906000001,-127.890266667,-91.2710666667
216.70,-56.8211333333,-93.2920333333,-125.6834,-100.913733333,-91.0348,-155.614297778,-40.3038666667,-159.096533333,-113.7992
217.08,-74.8369999999,-136.975433333,-177.479866667,-156.7626,-132.623733333,-225.72724,-49.4552000001,-230.521733333,-169.8772
217.46,-72.7499999999,-185.791666667,-229.333333333,-218.75,-179.583333333,-293.277777778,-58.1666666666,-269.583333333,-212.083333333
217.83,-39.4401333333,-102.859633333,-124.407066667,-120.780866667,-82.3255333334,-159.053622222,-29.6410666666,-147.792133333,-103.927666667
218.21,-79.8412666665,-152.611733333,-182.597466667,-190.432933333,-132.4964,-226.893635556,-81.0821999999,-226.623333333,-153.0158
218.59,-144.718,-330.589733333,-386.136733333,-382.4616,-281.042733333,-480.061555556,-194.478666667,-469.487133333,-356.9572
218.97,-111.5196,-281.053833333,-286.715733334,-237.0344,-248.946066667,-324.513035556,-120.6862,-338.259933333,-183.455866667
219.34,-947.333333333,-1464.26666667,-1146.8,-646.533333333,-1299.2,-1014.59555555,-628.799999999,-1269.86666667,-302.666666667
219.72,-648.277733335,-1001.3056,-820.944466666,-491.388999999,-885.944399999,-651.100044445,-367.0556,-870.555533335,-224.666733333
220.10,196.538733333,277.104299999,186.222133333,92.0538666667,219.865333333,124.282946667,75.2322666668,178.0472,-38.8012666665
220.47,43.2933999999,50.2745666666,10.0074666667,-9.45206666674,32.7572666666,-9.18105333334,4.49259999988,0.0088666666,-54.3170666667
220.85,67.6287333334,99.0498666665,39.8752,5.53146666686,63.7922000001,10.2588755555,9.43239999993,42.7738,-49.6417333334
