wavelength,Back_ConSitm,Belly_ConSitm,Breast_ConSitm,Crissum_ConSitm,Crown_ConSitm,DorTail_ConSitm,Rump_ConSitm,Throat_ConSitm,WingTip_ConSitm
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,933.333333333,366.666666667,699.999999999,1140.0,753.333333334,486.666666667,793.333333334,733.333333334,986.666666667
179.16,184.0,170.666666667,152.0,197.333333333,148.0,149.333333333,176.0,177.333333333,179.333333333
179.54,97.7778000001,84.4443333333,76.6666666667,105.555533333,128.8888,85.5554666667,71.1111333333,70.0000666667,86.1110999999
179.93,-23.3333333333,-12.2221333333,2.22219999999,-21.1111333333,-38.3332666667,-22.7777333333,-8.33333333332,-18.3332,-26.3889
180.31,101.613933333,104.2806,92.4210666666,99.4387333334,105.7544,90.6666666667,83.0877333333,93.4737333334,106.8421
180.69,99.8114000001,102.012533333,90.3773999999,97.1697999999,106.100666667,88.6791999999,78.6791333334,94.0881333334,101.698166667
181.07,91.1503333335,103.185733333,85.4866666667,87.7878,103.362866667,86.2536666667,72.2124666667,87.8466,96.1356666667
181.45,85.1571333333,100.1886,82.7043999999,84.0251333333,103.836466667,80.566,62.893,82.8302666667,92.6101333334
181.83,82.9488666667,98.8462,79.6152,80.4487999999,101.602533333,79.5512666668,59.2308,80.4486,90.0640666667
182.21,70.0,83.4328666668,71.4924,68.5572666667,85.4228666666,68.4079333333,53.4825333333,67.3631333333,77.2638666667
182.59,67.619,81.5238,72.0477333333,67.1428,84.6666000001,68.1903333333,52.0952666667,68.4284666667,73.4999666667
182.97,67.8194,82.5063333333,78.7970000001,75.0876666666,91.3282666667,72.2808,55.1378666667,71.5289333333,74.7367666667
183.35,70.9972,86.3817333333,85.7549333333,80.285,96.1822666667,76.3532666666,55.3276666667,76.6950666666,76.8944
183.73,75.0516666666,98.6253999999,95.8762000001,91.2714666667,108.9348,84.4673333333,59.1066,85.1544666666,87.5257333333
184.11,80.2106000001,101.192933333,100.421266667,93.9648666667,116.0,89.0526000001,66.8070666667,94.1754666667,92.7368666667
184.49,79.4074000001,98.8888666666,99.1111999999,88.2962666667,117.777733333,90.2221999999,63.9999333333,93.7777999999,92.3703333332
184.87,83.2155999999,104.862733333,104.0002,85.6468666667,120.000066667,95.1372,68.2351333333,93.1765333333,99.2156333333
185.25,77.7037333333,94.1480666668,98.2223333333,77.2592000001,107.629533334,87.1850666666,61.1112,85.0371333332,86.7037000001
185.63,78.1518666667,94.3234000001,95.8416,72.4752,103.1022,90.7592000001,64.9505333333,84.4223333333,84.0263999999
186.01,77.6542666667,96.4198666667,96.3581333333,71.2344666667,103.456666667,90.5556666667,64.9999333333,85.9876,86.2653333333
186.39,91.0605333334,116.363533333,111.363533333,80.3030000001,124.469666666,107.878866667,71.8182,104.393933333,100.0
186.77,89.0277333333,113.541666667,108.055466667,77.4999333333,119.027666667,102.986133333,75.0694,98.9584000001,100.451433333
187.15,84.9505333334,111.155066667,103.894466667,69.7689333333,116.3036,99.0098666668,74.0593333333,93.9273333334,99.7359333333
187.53,90.6349333333,125.7142,117.460333333,67.8571999999,132.618933333,108.730133333,82.2222,100.714333333,112.420766667
187.91,84.5783999999,121.8474,110.843266667,58.0722,128.032066667,102.489933333,75.1805333333,99.1968000001,103.895733333
188.29,89.0627333333,141.145866667,128.542,59.7918,152.1878,117.8126,75.5209333333,109.375,116.093866667
188.67,94.9382,158.642,141.975333333,53.9506666667,163.950533333,125.926,82.2220666667,120.987666667,122.4074
189.05,91.0146000001,174.3478,159.5652,59.2753333334,182.3188,137.3914,88.1158666668,135.5072,129.782633333
189.43,95.8333333333,191.166666667,174.833333333,55.6666666666,205.0,159.5,103.833333333,157.833333333,148.666666667
189.81,128.181733333,296.3636,266.363666667,58.7878000001,325.454466667,228.484866667,136.6666,248.484866667,219.242433333
190.19,135.111133333,387.999933334,366.222266667,40.8889333333,444.888933333,305.7778,181.3334,343.999933333,277.999933333
190.57,90.4761333335,354.285733333,356.190533333,-2.38093333346,418.095066667,266.666666667,163.3334,341.904733333,267.619066667
190.95,124.0,780.0,817.333333333,-133.333333333,980.000000001,594.666666667,253.333333333,793.333333335,507.333333333
191.33,-216.000000001,-816.0,-778.666666667,75.9999999999,-1016.0,-697.333333333,-329.333333333,-884.000000001,-496.0
191.71,-1360.0,-4180.0,-3639.99999999,313.333333333,-4986.66666667,-3686.66666667,-1906.66666667,-4566.66666667,-2450.0
