wavelength,Back_ConSpam,Belly_ConSpam,Breast_ConSpam,Crissum_ConSpam,Crown_ConSpam,DorTail_ConSpam,Patch10_ConSpam,Patch11_ConSpam,Patch12_ConSpam,Rump_ConSpam,Throat_ConSpam,WingTip_ConSpam
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,41.2036666667,41.6667777778,60.1851111111,71.9907888889,31.4814444444,62.963,54.6295555556,31.0185555556,27.7777777778,44.4444444444,55.5555555556,66.6667777778
179.16,-208.333333333,-66.6666666667,-161.111111111,-173.611111111,100.0,-144.444444444,-11.1111111112,112.5,77.7777777777,-33.3333333333,-44.4444444443,-250.0
179.54,1.85183333357,51.8519999999,57.4073333333,3.5185611111,35.185111111,50.0,38.8888888889,38.4259166666,81.4814444446,62.963,87.037111111,-3.70355555554
179.93,44.9495555556,4.04055555554,71.717111111,13.6868666667,13.1314444444,15.1514444444,32.3231111111,49.2425277778,58.5858888889,70.707,55.5556666667,18.182
180.31,-4.16666666677,-30.5555555554,-13.888888889,306.805555556,-19.4444444443,188.888888889,147.222222222,-242.361111111,-438.88888889,91.6666666663,-34.7222222222,534.722222222
180.69,-24.0742222223,37.037111111,46.2964444443,459.629661111,31.4814444443,277.777777778,200.0,-284.259166667,-627.777777778,138.889111111,40.7408888888,777.777555555
181.07,-143.055555556,66.6666666667,9.99875737762e-11,565.694444446,-3.333298082e-10,291.666666667,252.777777778,-470.138888889,-1088.88888889,211.111111111,61.111111111,1069.44444445
181.45,-162.698333333,-17.4602222223,-84.1271111111,316.904755555,36.507888889,150.793666667,171.428444444,-255.952388889,-688.88888889,166.666555556,79.365,590.476111111
181.83,-133.333333333,-10.0,-37.7777777778,249.333333333,63.3333333337,144.444444445,128.888888889,-176.111111111,-482.222222222,147.777777778,134.444444444,441.111111111
182.21,-94.8412777777,-38.8888888887,10.3174444443,176.468272222,7.93655555557,85.7141111111,58.7299999999,-128.968305556,-350.000111111,140.476333333,113.492222222,342.063333333
182.59,204.166666667,122.222222222,-19.4444444444,-294.930555556,43.0555555557,-68.0555555556,-1.388888889,267.361111111,719.444444443,-215.277777778,-141.666666667,-537.5
182.97,927.777888888,762.963111111,214.814666666,-422.777738889,622.222222222,185.185,633.333444444,1076.85183333,2262.96288889,-151.851777778,-74.0742222223,-874.073999999
183.35,-699.999944445,-840.740666668,-218.518444444,430.37045,-466.666777778,-211.111111112,-744.444555557,-913.888999999,-1966.66655555,288.889,370.370222222,937.037222223
183.73,-323.148111111,-333.333333333,-70.3703333333,268.796372222,-192.592555556,-118.518333333,-379.629666667,-366.666638888,-866.666777777,290.740777778,214.815,483.333333333
184.11,-327.777833333,-258.730222222,-99.999888889,144.365116667,-134.920666667,-133.333222222,-361.904777778,-322.222111111,-707.936555557,250.793666667,133.333222222,349.206666667
184.49,-101.207611111,-75.3623333333,-21.2558888889,29.5651611111,-33.8164444444,-56.0384444443,-96.6182222222,-108.816388889,-225.120777778,81.1594444446,37.1981111111,74.3962222222
184.87,-177.777666666,-180.247,-91.9753333332,-27.9013944443,-112.963111111,-135.185444444,-186.419777778,-220.061666666,-336.419777778,45.679,-26.5431111111,5.55555555556
185.25,4350.0,5155.55555556,3122.22222222,1963.33333333,3466.66666667,3955.55555556,5122.22222222,5491.66666667,7400.00000001,1255.55555556,2388.88888889,855.555555553
185.63,4838.88888889,5700.0,3688.88888889,3004.44444444,4488.88888889,4733.33333333,6355.55555556,6105.55555556,7544.44444445,2233.33333334,3133.33333333,1833.33333333
186.01,1101.11111111,1320.0,991.111111112,924.666666667,1135.55555555,1222.22222222,1473.33333333,1406.66666667,1686.66666667,608.888888889,853.333333334,608.888888889
186.39,-1458.33333333,-1755.55555556,-1500.0,-1349.58333333,-1369.44444445,-1638.88888889,-1919.44444445,-1848.61111111,-2191.66666667,-830.555555556,-1150.0,-972.222222222
186.77,-1181.11111111,-1497.77777778,-1311.11111111,-1209.33333333,-1097.77777778,-1291.11111111,-1588.88888889,-1466.66666667,-1648.88888889,-726.666666667,-915.555555556,-813.333333333
187.15,618.888888889,753.333333333,747.777777777,636.166666667,560.0,736.666666668,783.333333333,771.666666668,841.11111111,404.444444444,453.333333333,424.444444445
187.53,290.888888889,317.777777778,315.555555555,276.844444444,241.777777778,327.555555556,333.777777778,325.111111111,362.666666667,183.555555556,204.0,184.444444444
187.91,203.846222222,222.222222222,227.350333333,194.273633333,180.911666667,237.606888889,235.327666667,224.572833333,252.991555555,144.729222222,150.997333334,144.159666667
188.29,164.814833333,189.106888889,189.542555556,164.422783333,154.684111111,201.524888889,194.335444445,180.283166667,215.904111111,125.272333333,123.093555555,121.786444444
188.67,134.587833333,165.412,163.440888889,139.829705556,132.616444444,178.673888889,168.817111111,154.480166667,178.494555555,111.111111111,104.659444444,102.150666667
189.05,127.6015,166.490444445,164.550111111,133.941683334,123.809333333,176.014333333,164.373888889,143.959555556,168.430333333,109.523777778,101.94,91.5344444444
189.43,118.935888889,154.303555555,157.902777778,124.1551,108.450777778,162.441333333,149.295666667,130.203472222,149.452111111,95.1486666665,96.4005555556,93.1141111111
189.81,119.025944444,150.989444444,154.185666666,126.346933333,102.587555555,160.882888889,139.117333333,125.456611111,148.858444444,89.4976666665,96.8034444444,85.5404444444
190.19,127.777777778,160.670333333,164.197444444,128.509605556,102.292777778,174.955777778,148.853444444,129.762,157.319333333,91.7106666667,102.821777778,82.3632222222
190.57,110.530555556,141.459666667,143.117777778,109.328622222,88.7229999999,154.229,128.358333333,111.442638889,134.660111111,80.0994444445,83.7480000001,65.0084444445
190.95,134.957277778,162.564111111,162.051222222,127.718,109.914555556,183.931666667,141.709333333,131.965944444,155.897444445,98.2906666665,104.957111111,84.2734444445
191.33,139.4265,175.985666666,169.534222222,136.164861111,108.064444444,190.860222222,150.895888889,132.302861111,155.914111111,103.225666667,115.591333333,91.577
191.71,150.943333333,202.515777778,194.339666666,162.054488889,116.981222222,206.079555555,165.618555556,149.161444445,173.794555556,120.754666667,141.509333333,108.385777778
192.09,159.541055556,220.773,221.256,197.69325,111.594222222,220.773111111,188.888888889,157.548472222,181.401,125.120666667,151.690888889,117.874222222
192.47,168.082777778,223.093555555,219.39,204.313638889,117.429222222,215.686333333,196.078333333,164.705805556,168.845333333,139.215666667,160.348555555,129.411888889
192.85,141.545777778,175.362333333,180.515333333,171.521705556,97.9066666666,174.074,162.640888889,131.642388889,142.189888889,123.027222222,135.426888889,119.645777778
193.23,146.8855,182.323333334,189.562111111,181.649694445,106.060666667,189.730444444,169.023666667,137.920944445,146.464555556,125.757777778,142.087666667,125.589111111
193.61,185.858555555,237.373888889,243.686888889,247.613677778,129.545333333,256.060444444,228.787777778,173.295611111,180.808111111,153.282666667,166.161666667,170.202
193.99,142.695444445,189.711888889,191.563777778,195.06175,95.8849999999,200.617222222,193.621555556,131.224277778,128.394888889,118.518555556,129.835444444,146.502
194.37,141.777777778,199.111111111,193.111111111,203.7,89.111111111,205.777777778,200.444444444,128.888888889,116.444444444,111.777777778,124.888888889,156.0
194.75,143.310611111,207.483,196.598666667,217.165538889,89.3424444444,217.913666667,204.988666666,130.158722222,121.315333333,108.616777778,132.199555556,165.759777778
195.13,161.666722222,280.740666667,267.777777778,310.444405555,74.0739999999,293.333333333,282.592666667,152.129638889,134.444444445,117.777888889,150.740777778,231.851888889
195.51,126.913555555,206.913666667,182.222222222,222.407405556,68.888888889,209.876444445,198.765444444,117.592583333,109.629555555,91.3578888887,110.370333333,177.530888889
195.89,131.972722222,210.430888889,190.702888889,216.882022222,84.8072222222,218.820888889,198.866333333,132.936472222,118.140555556,103.628111111,119.274444444,185.487666667
196.27,116.276777778,194.542,170.175333333,182.076016666,84.4054444446,195.906444444,171.345,121.393666667,108.771777778,106.627777778,108.382111111,163.353111111
196.65,97.9591111112,202.721222222,170.294888889,185.861766667,77.7777777777,197.732444444,169.387777778,112.188166667,101.814,99.0927777779,101.814111111,159.864111111
197.03,103.6035,251.951777778,196.396333333,209.909916667,79.5796666668,224.023888889,203.603555556,126.351333333,97.2973333332,103.303222222,113.813777778,166.066222222
197.40,134.401555556,340.598333333,247.863222222,298.995605556,101.282,292.735111111,269.230666667,172.863361111,123.504333333,127.777777778,141.025555555,223.077
197.78,160.101,411.111111111,295.454555556,356.363761111,130.808,347.474777778,297.979888889,216.919388889,136.363666667,170.707111111,197.979777778,239.393777778
198.16,359.722222223,1048.61111111,727.777777777,863.88888889,284.722222222,919.444444443,643.055555556,567.361111111,308.333333333,416.666666667,505.555555555,626.388888889
198.54,191.228111111,473.099444444,336.842111111,414.795277778,172.514777778,433.333333333,295.906444444,292.690138889,166.081666667,240.350888889,278.947333333,311.111
198.92,143.906666666,321.146888889,225.448,274.300894444,130.824333333,287.455222222,207.526777778,209.677472222,112.544666667,181.362,187.096888889,236.200777778
199.30,109.804,213.289666667,151.633888889,180.217733333,105.228777778,193.464111111,144.008888889,140.305027778,83.2243333335,130.501111111,133.769,163.180777778
199.68,101.746055556,272.063555556,193.015666667,219.84115,120.317444444,245.714444445,169.841333333,156.269833333,58.095111111,157.778,148.571444445,199.999777778
200.06,79.5866111112,211.369555556,151.421222222,177.945611111,95.6072222222,196.382333333,135.659,111.304861111,36.951,119.896555556,108.268777778,162.274
200.44,118.930222222,303.292222222,200.0,275.28795,132.510444445,288.477444444,187.242777778,153.806527778,28.395111111,146.090444444,152.675,245.267555555
200.82,110.714388889,257.936555556,159.126777778,246.944544445,110.317333333,262.301444444,156.745888889,121.527722222,-15.4762222222,126.984111111,128.174666667,237.301555555
201.19,108.858833333,194.594444444,138.738777778,207.7027,102.702888889,220.120111111,125.825888889,101.351305556,-4.80466666667,117.116888889,103.303333333,223.123222222
201.57,85.8974444446,143.803333333,109.188111111,156.335455556,79.4873333332,158.119666667,97.8631111112,75.8012777779,1.49577777778,95.2992222221,86.965888889,173.290777778
201.95,89.6513333332,142.265666667,115.468222222,162.331177778,77.559888889,159.259222222,100.217777778,78.4311944446,4.5751111111,93.8998888888,92.3746666666,175.381222222
202.33,79.9807222222,128.543888889,111.302666667,151.5996,77.5862222223,140.996111111,97.7012222222,70.641638889,8.62066666663,90.8046666668,88.5056666669,153.065111111
202.71,77.7779444446,130.786888889,120.601888889,164.328772222,73.8426666667,153.240777778,100.231333333,62.4422500001,-5.09255555557,89.5832222221,86.574,174.305555556
203.09,85.1307222223,140.196,127.124222222,200.343105556,74.8367777777,184.640444444,115.032666667,55.555638889,-32.6796666667,113.398666667,101.960777778,219.281
203.47,53.4313888889,110.457555555,107.189444444,179.5914,48.0392222223,159.477111111,94.7711111111,37.9903055556,-58.8235555555,89.8693333333,79.4118888891,190.849777778
203.85,70.7977222221,100.569888889,106.837555556,170.470116667,52.7064444445,145.299111111,98.8603333332,46.0825833333,-19.6582222222,84.0455555557,94.3021111109,179.487111111
204.22,35.1191666668,78.9683333332,92.0635555557,167.718172222,23.8094444445,141.666888889,82.1428888889,25.9920555557,-76.9841111111,76.9842222223,83.3332222222,211.904777778
204.60,14.1415555555,65.6565555557,80.1346666666,137.7441,10.4376666667,119.528444444,79.4612222222,24.9998333333,-65.3198888888,91.919111111,79.4613333336,190.572222222
204.98,4.34783333323,68.5989999999,107.246444444,171.014594445,-14.0097777778,144.927555556,93.2367777777,38.2850555554,-91.7874444447,123.671666667,92.2705555558,253.623222222
205.36,-21.2417222223,55.5555555556,89.5425555557,206.405272222,-60.7843333332,178.431333333,72.5489999999,23.85625,-164.052333334,133.986888889,94.7711111111,306.535888889
205.74,-129.012388889,-20.9877777778,7.40733333323,256.049338889,-269.135777778,211.111222222,19.7531111112,-77.1604166667,-412.345888889,119.753111111,40.7406666667,474.074111111
206.12,-76.7094444443,-34.1881111111,-11.5383333332,73.5043555556,-116.666555556,46.153888889,-1.7092222222,-63.247861111,-168.803444444,29.4872222221,-9.829,167.948555556
206.50,-68.3128333333,-34.9794444445,-12.3458888889,62.83955,-122.633888889,52.674888889,5.34977777778,-54.4238055557,-164.197555556,35.3911111109,-9.05344444446,174.074
206.87,-87.2427777777,-50.2057777778,-33.3333333333,46.8517833333,-144.444333333,25.5144444443,-13.1687777778,-77.7776666667,-186.419777778,23.0453333332,-37.4486666667,160.493777778
207.25,-61.7461666669,-29.524,9.52377777777,48.0791888889,-97.7775555556,22.5395555556,-10.7934444445,-60.2382777777,-145.079444444,13.3333333332,-6.9841111111,135.238222222
207.63,-60.8795555557,-23.1482222222,41.2036666667,88.1714444447,-138.425888889,38.8888888888,11.5741111111,-74.6527777778,-198.611111111,55.5555555557,21.2964444445,237.499888889
208.01,-137.301444445,-73.8095555557,52.381111111,117.619144444,-261.111,14.2856666667,-24.603,-135.714166667,-418.254,116.666666667,7.14277777777,387.301444444
208.39,-55.8641111113,-15.4321111111,77.7777777777,142.037233333,-161.728333333,43.8270000001,49.3826666667,-80.246861111,-291.358222222,139.506111111,51.2345555555,326.543222222
208.77,-44.4443333333,-32.2749999999,49.7355555555,101.798827778,-124.867777778,22.7512222223,4.23288888889,-95.8995833333,-275.132222222,88.8889999999,14.815,266.666555556
209.14,-74.8789999997,-56.5217777778,9.1788888889,65.579838889,-146.376777778,11.1111111111,-20.7731111111,-133.454138889,-281.642444444,45.4105555556,18.8406666667,208.212555556
209.52,-276.068166667,-171.794888889,-94.0168888888,24.1880222221,-358.974333333,-104.273444444,-140.171111111,-335.256361111,-567.521333333,-0.854666666433,-30.7692222223,258.119666667
209.90,-361.111111111,-224.074111111,-103.703777778,-19.9537722222,-412.037111111,-112.037,-208.333222222,-396.296111111,-652.777777778,-15.7406666666,-62.9629999999,232.407444445
210.28,-314.351722222,-164.814888889,-87.0369999999,-22.9629555557,-375.925888889,-70.3704444445,-187.963,-360.648111111,-613.888888889,43.5185555554,-12.962888889,268.518555556
210.66,-304.761888889,-148.412777778,-94.4443333332,-20.9524277777,-370.635,-72.2222222223,-198.412555556,-364.28575,-553.968333333,15.873,-61.9046666667,209.523555556
211.03,-319.047722222,-154.761777778,-108.730111111,-71.3491,-399.206333333,-98.412777778,-212.698222222,-377.182611111,-560.317333333,-12.698222222,-84.127111111,171.428444444
211.41,-831.746,-463.492111111,-403.174666667,-304.444488889,-1050.79366667,-411.111,-625.396777778,-904.365222221,-1247.61911111,-182.539666667,-398.412666667,82.5397777777
211.79,-3463.88888889,-2244.44444444,-2100.0,-1660.55555555,-4200.0,-2205.55555556,-2894.44444444,-3588.88888889,-4722.22222222,-1561.11111111,-2088.88888889,-561.111111111
212.17,-487.037055555,-303.703666667,-296.296222222,-211.592561111,-574.074111111,-305.185333333,-397.777777778,-484.259277778,-599.259111111,-257.037,-265.185222222,-74.8147777779
212.55,-523.703722222,-328.888777778,-328.148,-230.8889,-585.925888889,-315.555555556,-461.481555555,-499.629916667,-608.888888889,-306.666666667,-289.629777778,-95.5554444443
212.92,-575.555611111,-377.036888889,-362.222333333,-252.555594444,-662.962777778,-381.481333333,-499.259222222,-521.481333333,-631.111111111,-360.740777778,-322.963,-161.481444444
213.30,-263.793055555,-167.049888889,-135.632111111,-96.0152611112,-302.298666667,-173.946555555,-231.800777778,-221.455805556,-279.310444444,-162.452111111,-150.957888889,-49.8085555555
213.68,-151.0335,-92.2482222221,-52.7131111112,-43.9793722222,-174.160222222,-102.067222222,-126.873444445,-128.746833333,-163.307444445,-96.1239999998,-80.6203333334,-7.752
214.06,-94.1620000001,-52.1658888889,-18.8322222222,-13.7193055556,-111.299333333,-69.4915555556,-73.6345555555,-80.4614166668,-107.344444444,-56.8737777777,-38.983,3.76655555553
214.44,-103.086555555,-65.8436666667,-21.3992222222,-6.81071111109,-122.428111111,-78.3949999999,-74.4854444444,-85.2367777778,-113.168777778,-68.3128888889,-46.9136666667,0.617222222233
214.81,-132.687388889,-108.010222222,-48.0621111112,-27.9716055555,-156.847333333,-121.963666666,-101.292,-110.206666667,-149.095555555,-103.617666666,-68.9923333334,-18.8628888889
215.19,-132.945833333,-119.38,-48.3204444446,-28.2169666667,-147.028444445,-130.491111111,-100.775111111,-114.470361111,-154.005111111,-106.46,-58.1394444444,-24.5477777778
215.57,-78.2222222223,-77.7777777777,-19.5555555556,-0.677777777757,-76.2222222221,-74.888888889,-48.2222222222,-70.9444444444,-106.666666667,-66.4444444443,-18.0,10.2222222222
215.95,-73.0453333334,-73.2511111112,-13.9916666666,-5.41151111113,-65.6378888888,-65.6377777778,-43.0042222222,-75.4115555555,-101.028777778,-60.6995555554,-16.2552222222,2.67477777777
216.32,-68.5514444444,-69.4444444444,-11.7064444445,-2.58947222223,-64.2857777778,-59.9207777778,-39.0873333333,-72.4701388889,-94.4444444442,-54.7617777778,-19.8413333333,-0.198333333333
216.70,-96.949888889,-98.0392222222,-32.8975555556,-16.63415,-101.307333333,-86.9282222224,-55.7734444444,-105.500916667,-127.233111111,-80.8278888887,-45.7515555556,-33.5513333333
217.08,-78.8414444446,-76.5957777778,-13.2387777778,4.3025888889,-85.3428888888,-75.8866666667,-34.2788888889,-93.912472222,-113.475111111,-60.0474444445,-25.7684444444,-15.1298888889
217.46,-177.991388889,-162.820555555,-76.0684444442,-27.3076222221,-191.025555556,-173.931555555,-85.470111111,-207.5855,-250.0,-124.359,-76.0684444445,-63.2477777778
217.83,-1479.16666667,-1377.77777778,-811.11111111,-523.75,-1558.33333333,-1361.11111111,-891.666666666,-1570.13888889,-1886.11111111,-974.999999999,-800.000000001,-666.666666667
218.21,394.753166667,353.086444444,240.740777778,186.759061111,398.148222222,354.938222222,263.580333333,405.864138889,479.012333333,264.197666667,235.802555555,190.740555556
218.59,465.555611111,365.185111111,259.259333333,210.814766667,465.185222222,411.851888889,320.000222222,472.407361111,570.370222222,300.740777778,257.777666667,214.074111111
218.97,-3016.66666667,-2088.88888889,-1300.0,-1016.38888889,-3061.11111111,-2516.66666667,-1805.55555555,-3106.94444444,-3650.0,-1650.0,-1200.0,-838.888888888
219.34,-753.174333333,-417.460444444,-214.285777778,-131.507888889,-728.571444446,-484.127,-368.254111111,-735.714305557,-852.380777779,-231.746,-163.492222222,-47.619
219.72,-835.416666666,-436.111111111,-258.333333333,-238.819444444,-808.333333332,-512.5,-433.333333333,-722.916666667,-833.333333333,-254.166666667,-234.722222222,-173.611111111
220.10,-244.444444445,-118.222222222,-73.777777778,-62.7111111111,-243.111111111,-133.333333333,-122.666666667,-197.888888889,-253.777777778,-46.6666666666,-56.4444444446,-6.22222222223
220.47,-261.111166667,-136.111333333,-97.222111111,-79.0046333332,-253.240777778,-125.925777778,-141.203666667,-206.481472222,-290.277888889,-56.9444444445,-60.6481111111,-37.9631111111
220.85,-248.484777778,-124.747333333,-77.272666667,-78.9896722222,-235.353555556,-106.565777778,-141.919111111,-184.848277778,-290.909,-27.7777777777,-37.8788888889,-8.5858888889
221.23,-135.526277778,-71.3451111112,-32.1638888889,-42.86545,-124.854,-50.5846666667,-70.4677777778,-95.3946111111,-151.754444444,-13.1578888889,-11.1112222223,7.60255555553
221.61,-120.246888889,-74.0743333333,-30.8643333333,-48.2222722222,-107.407333333,-55.8024444444,-65.6788888889,-97.345611111,-140.0,-24.4444444445,-25.1853333333,-0.0001111111
221.98,-80.1586666666,-43.0554444445,-21.8254444444,-24.9999277778,-76.1904444444,-35.7142222222,-32.738,-68.849361111,-102.777777778,-13.6904444444,-8.1348888889,11.3094444445
222.36,-61.8686666668,-36.1953333333,-18.6868888889,-16.4814722222,-54.8822222222,-24.074,-18.8553333333,-53.367,-75.0842222222,-6.22888888887,-2.8617777778,13.973
