wavelength,Back_CorCucf,Belly_CorCucf,Breast_CorCucf,Crissum_CorCucf,Crown_CorCucf,DorTail_CorCucf,Patch10_CorCucf,Rump_CorCucf,Throat_CorCucf,WingTip_CorCucf
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,-32.2221333333,-15.5556000001,-71.1110000001,-17.7778000001,1.11106666664,-23.3333333333,11.1110666667,-47.2221666667,-40.0,-25.5554666667
179.16,-339.999999999,-686.666666667,-286.666666667,-606.666666667,-526.666666667,-466.666666667,-640.0,-240.0,-493.333333333,-406.666666666
179.54,100.952333333,101.904866667,72.3809333335,106.6666,110.476066667,99.9998666667,99.0476666667,72.8571666667,107.619,80.9523333333
179.93,158.888866667,198.8888,137.7778,173.333333333,117.777733333,176.666733334,189.999933333,157.777666667,176.6668,130.000066667
180.31,87.3503333335,125.128266667,33.1625333334,92.4786000001,78.8033333335,103.247866667,146.666466667,73.2478333334,67.8632666667,65.9830000001
180.69,87.5757333334,118.6364,28.3333333334,91.8182,72.2727999999,95.1516,141.969733333,68.1060666668,59.8483333333,66.3636
181.07,85.7575333333,113.9394,31.9695999999,89.3940000002,59.5454666667,98.9393333335,136.8182,70.6058999999,58.6363333334,61.9697333333
181.45,78.4444666667,88.8888666667,33.4445333333,66.9999999999,45.3334,79.5555999999,104.3334,63.1665666667,45.1110666667,53.4444
181.83,66.9795333333,73.4376666667,18.9586,50.7293333334,28.2293333333,62.3961333334,88.4375333333,51.3543666667,33.5418666667,38.0210666667
182.21,53.5757333333,56.8484666667,0.242466666674,33.5757333334,12.485,49.8181999999,79.3939999999,37.7575333333,17.091,22.1817333333
182.59,55.2221999999,44.3333333333,-0.777799999993,28.0,8.33326666666,39.4445333333,67.5555333333,29.8334666667,16.4446,13.6666
182.97,70.3702666667,50.7408,4.44433333333,26.9136,8.39513333332,51.2344666667,64.8147999999,27.1605666667,16.2963333333,15.9259333333
183.35,72.0261333333,53.8562,7.97386666668,35.0326666666,11.7648666667,58.3005333334,67.1894666665,28.5619666667,15.9476666667,18.0392666667
183.73,84.4047333334,59.5238,26.6667333333,48.0951333333,27.2618666666,68.6904,74.5238666667,43.0356,33.4524666667,33.2144
184.11,73.0435333333,38.2608,1.01453333334,27.2463333333,2.60866666667,44.6376666667,56.8116000001,15.7971,10.0,6.2318
184.49,40.4762666667,1.9048,-22.5,-2.0238,-19.4048,15.2381333333,26.7856666667,-6.90479999998,-7.85726666666,-20.8333333333
184.87,36.6120000001,-0.874333333328,-19.6721333333,-9.50826666668,-17.4863333333,17.0492666667,19.4535333333,-6.55739999998,-2.51360000002,-25.6829333333
185.25,38.6021999999,-2.5806,-18.2795333333,-9.56986666667,-11.8279333333,17.2044,21.3978,-7.90316666668,-1.93553333335,-27.2043333334
185.63,15.8518666667,-43.1112,-48.1480666666,-35.8517999999,-42.8148666666,-4.00000000001,6.07420000002,-42.5184333334,-29.7779333333,-71.5556
186.01,16.5590666667,-59.9998666667,-66.4515333334,-62.5806000001,-50.5376666666,6.45166666666,12.9032666666,-50.9678333334,-52.2580666667,-92.9032666667
186.39,34.2592666666,-34.4444,-42.9629333334,-42.4073333333,-20.1852666667,29.0740666667,22.4074666667,-30.6482,-36.1110666667,-57.9628666667
186.77,42.8203333333,-0.000133333346,-9.7436,-8.71793333333,5.38466666668,39.2307333333,34.4870666666,-1.47433333335,-4.35899999999,-13.5898666667
187.15,49.8808666666,5.11913333333,-2.38093333333,7.26186666668,19.2857333333,44.8808,39.2857333333,13.75,7.02386666667,1.90466666666
187.53,55.0476666667,14.5713333333,10.0,17.1429333333,28.5714666667,49.1428666667,42.9525333333,26.1905,20.0952,20.0952
187.91,41.3333333333,-10.6666666667,-22.6666666667,-6.93333333333,17.3333333333,34.0,30.6666666667,13.0,-1.59999999998,9.06666666667
188.29,59.3495333333,-2.92679999998,-21.3007333333,0.65039999998,29.7561333333,53.1707333333,48.9430666666,33.4146333333,4.87800000001,28.2926666667
