wavelength,Back_CorCucm,Belly_CorCucm,Breast_CorCucm,Crissum_CorCucm,Crown_CorCucm,DorTail_CorCucm,Patch10_CorCucm,Rump_CorCucm,Throat_CorCucm,WingTip_CorCucm
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,-66.6665333334,-44.4444666667,-48.8889666667,-35.5555333333,-66.6667333333,-62.2222666667,-116.6666,-11.1111333334,-14.4444666667,15.1852666667
179.16,-306.666666667,-266.666666667,-560.0,-400.0,-300.0,-206.666666666,-80.0,-353.333333334,-513.333333333,-431.111111111
179.54,64.7619333333,69.5237999999,112.8571,106.666533333,14.2855333333,62.8572000001,57.1428666667,81.9047333333,87.6190666667,95.5555111112
179.93,100.0,138.888933333,163.3334,180.000066666,98.8889333335,148.889,108.889,137.777733333,134.4444,138.148044444
180.31,30.7692666667,76.0684666666,66.4957666666,76.7520666667,-2.22226666666,47.8632666666,-4.61539999992,55.0427333334,65.6409333333,72.7635999999
180.69,29.5454666666,75.1514,61.5909333333,73.7877333333,-5.00006666666,41.9698000001,-5.60586666666,47.4244000001,60.4545333333,68.5858222222
181.07,29.5455333333,71.2121333334,60.5303666667,74.8484,-7.57580000001,40.1516000001,-3.03026666674,35.606,51.8183333335,54.4443111111
181.45,29.7777333334,59.111,51.0555666667,62.1110666665,-0.444266666687,41.0000666667,4.44453333332,31.7777333333,42.8888666667,43.0740666667
181.83,18.9585999999,53.3335333334,36.2501666667,43.9585333333,-5.93720000001,33.2294,-6.354,16.2501333333,32.8126666667,28.8891111111
182.21,4.84853333333,43.6364666666,14.0607,25.6971333333,-26.4241333333,15.5150666667,-30.5454666666,-4.12120000002,18.5454666667,12.0807555555
182.59,7.00020000007,38.8889333333,7.77766666668,20.3333333333,-24.2222666667,11.1113333334,-24.9999333334,-7.88900000008,14.7776,9.07413333332
182.97,13.3333333333,38.6420666667,4.1358,19.6298,-28.6420666667,9.75313333334,-24.9382666666,-9.87653333342,19.8765333333,17.7778666667
183.35,22.4837333334,42.4836666667,4.77136666666,19.7384666667,-27.9738,10.3266666667,-27.7123333333,-6.0130666666,32.8104666667,22.9629555555
183.73,41.0716000001,63.5714666667,25.7143666667,38.6905333333,-7.61906666667,24.7620000001,-3.45246666666,13.8093999999,50.3570666666,34.6032
184.11,20.8696000001,42.6086666667,-2.89859999992,22.4636666667,-37.1016,4.6376666668,-30.4349333333,-10.5798,30.4349333333,15.1208
184.49,-2.0237333334,14.4049333333,-20.9524,-2.14286666666,-36.4286666667,-10.1188666667,-35.8334666666,-31.5475999999,2.73813333331,-6.19042222219
184.87,-0.65586666658,15.1911333333,-18.3606333333,-2.40440000001,-30.0546666667,-7.8689333334,-34.0984666666,-25.1366,6.44806666665,-2.04004444444
185.25,0.86026666668,20.1076666667,-20.0000333333,-4.94613333333,-28.7096666667,-5.4838,-29.5698666666,-17.5269333333,12.7956,7.41926666668
185.63,-29.0369333335,8.44446666668,-65.3331999999,-36.7407333333,-59.7036666666,-36.2962666668,-65.0371333332,-49.9259999999,-9.92593333333,-12.6418666667
186.01,-27.0966666667,4.94613333334,-98.8172,-54.6236000001,-82.3656666666,-50.1073999999,-94.1933333333,-66.8816000001,-9.67746666671,-8.88893333326
186.39,-5.92593333348,21.1111333333,-65.5555666667,-35.5555333333,-51.6668,-28.7036666667,-67.5926666665,-46.8519333333,14.9998666668,12.6543333334
186.77,23.3333333333,39.6154,-16.8589666667,-7.30773333333,-14.2308666667,6.79480000014,-23.0769333333,-9.2307333334,27.3076666667,36.1110666667
187.15,36.0714000001,54.881,0.89293333332,-3.92853333334,2.61893333334,12.5001333334,-9.28573333338,2.97620000001,32.2618666667,37.7380666667
187.53,43.1428666667,55.4286,14.8570666667,9.71426666666,16.7619333333,24.4761333333,7.71426666668,12.9523333333,36.1904,44.3173555556
187.91,37.0666666667,44.8,-10.9333333333,-19.6,-10.4,2.80000000001,-10.9333333334,-13.6000000001,15.6,40.0888888889
188.29,65.6910666667,63.7397999999,4.06503333332,-24.3902,-1.46333333331,17.3983333335,-5.5284,-7.8048666666,27.8049333333,63.3062888888
188.67,70.1150000001,73.7930000001,-22.0690666666,-47.5861999999,-30.5746666667,9.65513333346,-23.9082666667,-28.0461333333,2.0690666666,64.5210444445
189.05,75.1852000001,82.2222000001,-63.3332333334,-122.962933333,-78.8888666667,-3.70366666668,-51.111,-85.1852,-33.7036,52.8394888887
189.43,1406.66666667,993.333333334,-803.333333333,-2653.33333333,-1513.33333333,-340.000000001,-793.333333332,-1900.0,-906.666666667,355.555555556
189.81,128.055466667,91.3889999999,44.4445333333,-33.6110666666,-13.8888666667,41.3887999999,28.0555333332,-13.6110666667,22.7777333333,69.4444
190.19,79.0850000001,66.0130666667,49.4117333333,11.5032,15.817,41.0457999999,42.3530000001,22.8757333333,34.1178,53.2461555556
190.57,86.3277999999,77.9661333334,63.6158666667,29.9434666667,30.9604666667,59.2089999999,62.4860666667,44.6328,42.0339333333,66.0640444444
190.95,97.4842666667,87.7987333334,74.7798333335,37.4841333333,45.4088666666,68.4277333333,69.4341333333,50.6920000001,59.1194,76.3103777777
191.33,112.564066667,88.9744,87.9487000001,59.3590666667,54.4871333333,91.4103333334,81.9231333333,57.5641999999,71.0255333333,93.3761555555
191.71,114.487,87.0512666665,82.6282666668,65.8974666667,51.1538000001,96.9230666667,87.4358666666,57.8204666668,68.7177999999,94.4872888889
192.09,101.7778,83.8222666667,84.7555666667,76.7111333333,67.2889333333,98.8444666666,82.0444,67.5554666666,73.3333333334,85.6888444444
192.47,96.6666666666,80.1666666667,78.6666666667,72.0833333334,65.2499999999,91.0833333333,80.0833333333,63.1666666667,66.8333333333,78.5555555556
192.85,111.6666,86.9606666667,94.3136333333,76.1764000001,75.2940000001,106.5686,90.7842666668,76.1764,83.1371999999,96.0458
193.23,116.0336,87.5948666666,97.4682666667,81.4344666666,81.5187999999,107.763733333,97.9745999999,83.2067333333,88.7763333334,100.759444445
193.61,93.9584,73.1945333333,77.0485999999,70.4860666668,67.3610666667,90.3471999999,79.9998666667,69.2361333333,70.5555333333,87.2221333333
193.99,103.2,75.4666666666,77.3777666666,69.5110666666,71.1999333333,100.9778,89.7778666666,68.9777333333,76.0889333333,98.9925555555
194.37,108.620733333,66.0919333333,67.3562666666,65.5172000001,70.5746666667,103.218333333,92.1837333334,55.8619333334,69.3104,98.5057555556
194.75,91.4124000001,44.7457333333,49.0960333333,50.0563999999,59.0961333333,86.6667333333,77.0620666667,34.2372666667,55.5931333333,81.0921777777
195.13,77.3562666667,37.0114666667,39.8851333334,40.2297999999,45.9771333333,75.2873333333,74.1379333333,26.0919333333,40.4597333333,75.6322222222
195.51,57.5124666667,33.7312666667,25.1741666667,30.2486666667,38.7064,59.5024666667,66.7662666667,21.7911333333,33.3333333333,64.7098222222
