wavelength,Back_CreDenm,Belly_CreDenm,Breast_CreDenm,Crissum_CreDenm,Crown_CreDenm,DorTail_CreDenm,Patch10_CreDenm,Rump_CreDenm,Throat_CreDenm,WingTip_CreDenm
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,-66.6666666667,-63.889,-92.7082083332,-51.3888333333,-61.1111666667,-62.84725,-79.1666666666,-45.139,-52.7776666666,-57.6389166667
179.16,1291.66666667,958.333333335,1183.33333333,1200.0,991.666666666,1337.5,1033.33333333,1050.0,1125.0,1066.66666667
179.54,-22.2223333333,-15.7405833334,-28.7035416667,6.48158333334,-54.6296666667,-79.6297083334,-21.2963333333,-19.9075416667,-24.0740833333,-8.33341666667
179.93,-45.8333333334,-51.6666666667,-72.4999999999,-13.3333333333,-74.1666666667,-80.8333333332,-91.6666666668,-70.4166666666,-71.6666666668,-29.1666666667
180.31,-14.6491666667,-10.3509166667,-35.4824583334,5.26299999999,-14.649,-37.631625,-18.1579166667,-15.2191666667,-11.5790833333,-9.82449999999
180.69,-23.3695,-22.9166666667,-43.6594166667,0.543666666657,-22.1920833333,-49.2752916667,-27.9890833333,-26.4945416666,-20.74275,-18.93125
181.07,-21.96075,-28.4313333334,-40.8334166667,1.17649999999,-24.50975,-55.735375,-30.9803333333,-27.5000416666,-24.8039166667,-20.3920833333
181.45,-5.35091666667,-16.1404166667,-20.219375,17.9823333333,-10.9648333333,-33.903375,-18.3333333333,-13.9034166667,-6.92983333332,-2.80700000002
181.83,-19.1983333333,-35.4431666667,-38.2385833333,7.70033333334,-21.3079166667,-47.4157916667,-35.3374166667,-31.170875,-18.3545,-19.1983333333
182.21,-9.46516666667,-26.4403333333,-24.434125,17.90125,-3.39499999999,-37.6544583333,-18.5185833333,-21.707875,-3.90950000001,-8.95066666667
182.59,-17.06825,-30.9238333333,-27.710875,11.3454166667,-4.41758333332,-37.6505833333,-21.4860833333,-27.8614166667,-11.2449166667,-15.9638333333
182.97,-24.2116666667,-43.4684166666,-30.1800833333,8.78366666668,-10.5855,-47.9730416667,-32.6576666667,-40.9910833333,-18.4685833333,-27.7028333333
183.35,-19.1666666666,-46.4285833334,-27.85725,16.1905,-9.2855,-46.4882083334,-33.6905833333,-39.4644166667,-12.0238333333,-26.3095
183.73,-23.5118333334,-58.7797500001,-32.8124583333,16.0715833333,-15.3274166667,-53.4969166666,-43.1547500001,-51.4880416666,-18.30375,-29.0179166666
184.11,-17.9166666667,-48.0555,-27.77775,15.41675,-13.8889166667,-43.8194583333,-37.3610833333,-45.8333333333,-13.3333333333,-19.7220833334
184.49,-1.10300000001,-36.0294166667,-10.2942916667,25.36775,0.98025,-27.6346666667,-18.6274166667,-29.6569166667,1.10291666665,-4.16675
184.87,3.52116666666,-24.2956666667,-3.93204166666,27.93425,5.28166666665,-21.4201666667,-10.21125,-20.774625,8.3335,-0.586666666675
185.25,3.33325000002,-16.4285833333,1.78562500001,28.6905,11.9046666667,-16.3689583334,0.35725,-19.1070416666,14.52375,5.59516666665
185.63,12.7451666667,-4.70591666665,2.10791666667,25.6863333333,22.647,-8.38241666666,15.196,-1.86274999998,16.3725833333,8.23533333332
186.01,35.4165,25.3085833333,30.2085,45.0615833334,43.82725,18.788625,38.3485833333,26.890375,34.5679166667,31.25
186.39,36.1109166666,30.3969166667,32.5,42.9365,44.5238333333,25.5953333333,41.9046666667,34.285625,38.1745,26.9048333333
186.77,40.1960833333,37.9900833333,37.1731666667,45.9966666667,45.58825,29.7385,46.3235833334,39.5016666667,43.464,29.7385833333
187.15,45.2044166666,46.9340833333,42.649375,47.7200833333,51.4151666667,39.4259583333,54.6383333333,45.2830833333,45.3615833333,34.4339166667
187.53,54.4804166667,58.15425,56.048375,59.94625,59.9461666667,50.08975,71.0575,58.7814583334,52.7776666666,41.03925
187.91,45.65225,51.44925,52.5815416667,51.1775833333,56.7029166667,46.557875,62.5905833333,50.634,44.4746666666,29.25725
188.29,45.4980833334,53.6399166667,61.2549166667,54.8851666667,64.3678333333,51.5803333334,69.34875,57.0404166668,52.1071666667,30.843
188.67,53.5156666667,68.8801666666,86.0677083333,67.448,81.1199166666,74.0884999999,87.6301666668,76.2369166667,66.7969999999,37.3698333333
189.05,64.8551666666,80.6762499998,94.9877500001,77.29475,96.1353333332,88.4059166667,91.0629166669,87.3793333333,73.1884166667,53.2608333333
189.43,83.0601666666,100.27325,116.256791667,104.508333333,116.25675,112.841625,112.295,104.644708333,95.4918333335,67.2130833332
189.81,142.283916667,159.876416667,232.098875,195.679083333,198.765416667,228.240791667,185.802416667,176.2345,175.000083333,99.6914166668
190.19,135.784416666,122.549,254.902041667,215.686083333,215.686416667,287.5,173.529666667,166.421666667,184.804083333,66.6665833333
190.57,340.277666667,272.22225,661.805541666,577.777666667,494.444416668,756.944333333,362.499833334,374.305458333,398.611083333,197.222166667
