wavelength,Back_CyaCaef,Belly_CyaCaef,Breast_CyaCaef,Crissum_CyaCaef,Crown_CyaCaef,DorTail_CyaCaef,Patch10_CyaCaef,Rump_CyaCaef,Throat_CyaCaef,WingTip_CyaCaef
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,-20.0000000001,2.22213333331,-55.5556000001,-23.3333333333,15.5555666667,1.42108547152e-15,1.11113333342,-32.2224000001,-136.6666,-29.9999333333
179.16,223.333333333,146.666666667,253.333333333,183.333333333,141.666666667,263.333333333,170.0,286.666666667,386.666666667,193.333333333
179.54,4.44446666667,-23.3333999999,8.88900000006,20.0,-14.4444333333,11.1111333333,-12.2222666667,-26.6666666667,34.4444000001,-16.6667333333
179.93,73.3333333334,-33.3333333334,3.3333333332,60.0,83.3333333336,113.333333333,36.6666666667,6.66666666666,150.0,50.0
180.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
180.69,119.999933333,-0.95246666666,143.809533333,110.476266667,11.9048666665,67.1428000001,113.809466667,89.5237999999,281.9046,72.3811333332
181.07,71.7460666668,-13.9682000001,71.4286666668,64.1268666666,-7.7778333332,37.7778,68.5714,38.7300666667,139.365133333,48.2538666667
181.45,0.95233333326,-119.047533333,-6.66673333326,-4.28573333332,-103.333366667,-60.4762000001,-10.9524,-47.6190666665,75.7143333334,-40.4763333333
181.83,59.9999333326,-198.0952,4.76200000007,3.8096,-208.571366666,-136.190466667,6.66666666674,-17.1428666667,168.571466667,-5.71439999914
182.21,65.7143999999,-73.3333333332,19.5237999998,42.8571333334,-70.4763333334,-63.8094666667,37.619,33.8095333335,90.9523333335,37.1428666667
182.59,73.0666666666,-19.7333333334,50.4000000002,60.0,-12.4,-24.0,41.3333333335,53.3333333333,75.7333333334,39.4666666667
182.97,80.7143333333,8.80966666667,66.1904666667,84.2857333333,31.3096,-8.57133333326,47.1428666669,74.0474666667,96.4285333334,64.7618000001
183.35,54.0952666666,3.80953333335,48.1904666668,75.4285333333,37.2381333333,-6.09526666672,30.2858000001,67.0475333333,75.238,58.0950666666
183.73,41.9608666667,-15.6861333334,23.3332000001,73.9216,18.1372999999,-30.3920666667,3.9215333334,46.0783333333,68.2352666668,54.1176666667
184.11,82.4243333333,-26.0606666667,31.2121333334,119.090866667,35.6060999999,-58.1817333334,3.93946666674,76.0605333333,89.6970000001,101.8182
184.49,116.444466667,-29.7777333333,16.4444000001,177.777666666,51.1109999999,-70.6666666667,0.88880000014,136.4444,100.444466667,171.555533333
184.87,-636.666666667,410.000000001,113.333333334,-1030.0,-151.666666667,683.333333333,370.0,-733.333333333,-576.666666666,-1176.66666667
185.25,-59.6078666665,78.4314,28.6275999999,-96.8627333335,-13.9216666668,110.980266667,66.6667333334,-72.9412666666,-51.7647333335,-102.745133333
