wavelength,Back_CyaCaem,Belly_CyaCaem,Breast_CyaCaem,Crissum_CyaCaem,Crown_CyaCaem,DorTail_CyaCaem,Patch10_CyaCaem,Rump_CyaCaem,Throat_CyaCaem,WingTip_CyaCaem
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,-22.2222,-4.44446666666,-22.2224,-7.77786666666,18.8888000001,7.7778,-33.3332666667,-17.7778,36.6666,9.99993333334
179.16,173.333333333,126.666666667,256.666666667,266.666666667,60.0,126.666666667,23.3333333333,190.0,-3.33333333334,150.0
179.54,-8.88893333334,-26.6667333333,7.77773333333,5.55553333332,-36.6667333333,-23.3333333333,5.55553333332,4.44446666666,-27.7778666666,-29.9999333334
179.93,90.0,-50.0,110.0,43.3333333333,-163.333333333,29.9999999999,-10.0,3.33333333334,-126.666666667,40.0000000001
180.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
180.69,1.4285333334,-17.619,45.2381333333,80.4762666665,-131.9048,-28.5713333333,-13.8094666668,-0.476066666794,-35.7143333334,26.6666666667
181.07,-28.5714,-29.2061999999,1.9048,37.7776666667,-105.714266667,-48.5714,-35.8730666666,-21.5874000002,-24.1269333335,-12.3809333333
181.45,-138.0954,-138.0952,-100.000066667,-69.0476000001,-269.047533333,-186.666666667,-144.2856,-153.333333333,-131.4286,-126.666666667
181.83,-263.809466667,-274.2858,-195.238066667,-149.5238,-523.809533334,-371.428466666,-316.190466667,-309.523733333,-228.571266667,-264.762
182.21,-116.666733333,-101.428666667,-93.8095333333,-54.2857333335,-233.333266667,-161.428666667,-137.619066667,-140.0,-63.8094666667,-111.428533333
182.59,-32.5333333332,-32.0,-31.9999999999,-7.99999999994,-98.1333333333,-57.8666666667,-51.7333333333,-61.3333333333,-5.06666666666,-38.9333333334
182.97,-4.28573333332,0.95233333326,-2.85726666665,14.762,-64.2858,-26.1904,-26.4284666666,-34.0476,22.6189333333,-22.6189333333
183.35,-11.6190666666,6.47613333334,-7.61913333334,8.38093333332,-59.4285333333,-16.3808,-23.8093333333,-30.2857333333,8.7618,-15.0476666667
183.73,-26.0784666666,-13.9218,-24.1175999999,-16.6666,-77.0587999999,-35.2940666667,-54.5098,-60.9803333333,-15.0980666667,-36.0784666666
184.11,-42.7274000001,-26.9698,-37.5757333334,-44.8484666668,-123.636333334,-66.6667333334,-88.7878666667,-108.181733333,-50.3031333333,-67.8787333333
184.49,-60.0000000001,-12.4444666668,-48.0002,-69.7777999999,-159.5556,-99.1110666667,-119.555666667,-162.6668,-58.6668,-110.222066666
184.87,806.666666667,313.333333334,623.333333334,729.999999999,1503.33333333,859.999999999,1163.33333333,1563.33333333,673.333333332,996.666666667
185.25,101.176533333,63.5293333333,102.745133333,123.921533333,194.509866667,98.4312666669,158.039333333,220.0,90.196,125.8824
185.63,66.2221999998,2.22213333334,53.7777333333,82.2222666668,147.999866667,33.7776666666,106.2222,200.888866667,19.1110666666,89.7778666666
186.01,66.6666000006,404.444600001,88.8890666662,-8.888866666,-337.777666667,300.0,-148.888933333,-746.666600001,191.111,-80.0
186.39,143.333333334,-115.0,63.3333333333,180.0,308.333333333,-35.0000000001,291.666666667,721.666666667,60.0,196.666666667
186.77,70.6171333334,28.1481333333,49.1357333333,72.3457333334,84.9381999999,37.0370666667,97.2839333333,153.3334,57.7777999999,97.2840000001
187.15,78.7387333334,49.9098666666,65.2251333333,81.8017333333,80.5405333334,57.1172,105.2254,142.522333333,69.7296666667,98.3783999999
187.53,86.4444666667,50.2222666667,56.4443999999,87.3333333333,69.7776666666,53.7775999999,114.888933333,164.666733333,68.2222666668,104.2222
187.91,215.238,38.0952000002,140.952266667,249.523666667,174.2858,81.9047999999,339.047666667,567.619066667,160.952333333,308.5714
188.29,-11.5150666666,41.8181333333,-10.0000666667,-15.7576,-3.93946666667,35.7576666667,-47.2728000001,-128.484933333,16.0605333334,-35.7576666666
188.67,29.2157333334,54.3136666667,21.3725333333,25.4901333333,25.6863333333,58.0392666667,-6.47053333334,-42.7450666667,34.5098,4.50993333332
189.05,48.6179333333,58.2114666667,36.0975333333,39.3494666667,41.7886,67.9675333332,14.4714,-13.6584666667,43.7398666667,13.4958666667
189.43,46.7879333334,57.9393999999,45.8182666667,47.5152666666,48.3635333333,68.1212666667,22.1818,9.93940000002,44.0,30.0606666667
189.81,42.9293333333,47.1716666666,38.7879333333,46.8686666668,45.3535333334,61.9192666667,20.6060666667,18.1817333333,42.6262666667,29.697
190.19,34.4260666667,44.2624,32.1312,42.1856666667,42.5136,59.5628,19.9999333334,15.4099333333,39.4534666667,27.6502666667
190.57,39.3826666666,52.8396,32.8396,51.2345333333,44.6913333333,68.5185999999,19.6295333333,20.1234666667,44.5678666666,30.3703333334
