wavelength,Back_CyaCysm,Belly_CyaCysm,Breast_CyaCysm,Crissum_CyaCysm,Crown_CyaCysm,DorTail_CyaCysm,Patch10_CyaCysm,Rump_CyaCysm,Throat_CyaCysm,WingTip_CyaCysm
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,-420.0,-356.666666667,-380.0,-453.333333333,-256.666666667,-506.666666667,-536.666666667,-583.333333333,-406.666666667,-253.333333333
179.16,526.666666667,133.333333333,606.666666667,680.000000001,306.666666667,573.333333333,413.333333333,796.666666667,153.333333333,160.0
179.54,-39.9999333333,25.9259333333,-30.3703333333,-14.0742666667,-1.48146666666,-2.22226666666,-29.6295333333,-42.5926,34.8147333333,-4.44446666667
179.93,261.333333333,210.666666667,274.666666667,293.333333333,218.666666667,225.333333333,254.666666667,289.333333333,168.0,168.0
180.31,-178.2456,-123.333333333,-195.0878,-191.403666667,-118.947333333,-177.7194,-182.982333333,-200.0876,-87.8946666666,-94.035
180.69,-156.592466667,-110.2222,-170.962933333,-167.555533333,-105.3334,-158.814733333,-157.4814,-176.518533333,-70.9630000001,-82.5185333333
181.07,-124.444466667,-87.9738666667,-146.013066667,-133.987,-90.5882666666,-126.7974,-121.568533333,-142.548933333,-45.2286666667,-62.0916
181.45,-96.5517333334,-74.8276666666,-119.885066667,-103.448333333,-71.6091333334,-105.8622,-95.5172666667,-112.298766667,-38.0458666666,-44.138
181.83,-113.333466667,-100.2338,-140.5848,-123.625666667,-88.4210666666,-127.719333333,-110.8772,-122.631566667,-57.6608000001,-62.5728666667
182.21,-98.8888666665,-84.2222,-126.666666666,-105.111133333,-72.4444,-117.8888,-92.6666000001,-100.7777,-48.2222,-53.1112000001
182.59,-117.9312,-103.218333333,-142.873466667,-121.954,-83.5633333333,-137.471266667,-108.505866667,-113.390933333,-62.6438000001,-71.3793333333
182.97,-125.696866667,-104.969733333,-153.939266667,-129.212,-83.2727333333,-136.363666667,-118.1818,-117.030133333,-62.1817333333,-78.0606000001
183.35,-66.5042,-49.3494666667,-81.6259333333,-63.5771333333,-38.5366,-69.5122666667,-57.7236666667,-57.1545666667,-20.3252,-29.2682666667
183.73,-65.9999999999,-51.1666666667,-81.5833333333,-66.3333333333,-41.5,-72.0833333333,-58.9166666667,-57.4583333333,-16.8333333333,-31.0
184.11,-66.6665333333,-50.4065333333,-83.3333333333,-67.4796666667,-44.2276666667,-77.6421333334,-61.9512,-59.0244666667,-18.374,-29.0244
184.49,-55.5796666667,-42.174,-68.9131333334,-55.4347333333,-36.0146666667,-64.5652666667,-52.8986,-46.8116333333,-15.0724,-21.4493333333
184.87,-69.6296000001,-57.1192,-86.9135333334,-71.0288,-51.5227333333,-81.0700666667,-70.8642666666,-59.0123333333,-30.0410666667,-31.8518666667
185.25,-89.9047999999,-72.0952,-108.381066667,-92.0000666667,-65.6190666666,-102.762,-91.8096666667,-69.2857333334,-43.7142,-45.0475333333
185.63,-91.4911333334,-70.7017333334,-101.754466667,-88.3334,-64.6492,-98.5087333333,-89.9122666667,-67.0174333333,-39.6491333333,-47.5438
186.01,-60.3065333334,-42.2222,-67.5862,-52.1072,-41.226,-66.8965333333,-60.2298666667,-41.2643333333,-19.6168666667,-22.1455333334
186.39,-55.797,-43.4783333333,-62.8986,-47.1740666667,-46.1594666667,-63.9857333333,-60.6521333333,-39.3116,-21.1593333333,-23.3334
186.77,-33.6735333333,-22.7210666667,-45.1020666667,-28.7076,-31.7687333333,-42.5169333333,-39.7278,-18.8094,-4.69379999998,-4.6938
187.15,-36.434,-25.1938666666,-48.8372,-30.0,-35.1163333333,-47.6746,-42.1705333333,-21.1627,-5.73646666666,-3.87593333334
187.53,-34.3333333334,-26.9166666667,-51.5,-31.3333333333,-37.75,-50.1666666667,-44.0,-19.5416666667,-7.83333333332,-4.0
187.91,-35.8975333333,-25.8119333333,-49.2306666666,-28.6326,-40.0854666667,-48.9742,-42.5641333333,-12.8631666667,-9.57259999999,-1.53853333331
188.29,-19.6490666667,-10.3508,-34.2104666667,-9.99986666666,-28.0702666667,-27.8071333333,-26.4035333333,3.46486666666,6.05260000002,8.24573333334
188.67,-29.4046666667,-11.6666666667,-49.1664666667,-9.52373333333,-42.6190666667,-41.1902666667,-32.1428666667,3.86906666665,10.1190666667,6.66653333334
189.05,-23.2748,1.16966666666,-37.1929333333,0.935866666672,-33.5672666667,-35.5556,-20.4678,14.3860333334,22.807,15.7893333333
189.43,-28.7356666667,-3.21846666667,-35.0575333333,4.25299999999,-38.9656,-32.2988,-22.1840666667,10.1724,19.3103999999,10.9196
189.81,-43.6602666667,-11.6340666667,-50.3267333334,-4.05233333334,-57.3855333333,-43.5293333333,-45.3595333333,8.62763333333,7.84313333327,0.5228666666
190.19,-146.4,-88.0,-170.933333333,-91.7333333331,-178.133333333,-150.666666667,-168.0,-37.1999999999,-32.5333333331,-62.1333333334
190.57,-156.363733333,-76.9696666667,-171.515066667,-94.5455333333,-172.424133333,-130.909133333,-156.0606,-26.9696333334,-6.36353333334,-43.0304
190.95,-193.0436,-104.058,-187.536266667,-119.710066667,-197.391133333,-148.9854,-182.029,-67.1014999999,-36.2319333335,-73.0433999999
191.33,-459.394,-270.302933333,-414.5456,-285.454533333,-472.727333333,-367.8788,-396.969666667,-174.848366667,-149.697,-230.909133333
191.71,885.714266667,537.143,777.142866667,533.333466666,837.142866667,713.333466667,711.428466667,391.428466667,314.285733333,556.190333333
192.09,296.0606,192.7274,264.242466667,184.242333333,282.424266667,234.545466667,255.151533333,150.909066667,113.939466667,203.636466667
192.47,202.962933333,156.2962,184.2592,131.851866667,193.333333333,172.037,179.074066667,107.5,96.2963333333,145.185266667
192.85,168.787866667,140.4546,151.363666667,118.181866667,164.090933333,144.545266667,155.606066667,87.6515999999,93.1817999999,131.2122
193.23,199.2382,158.857066666,179.4284,132.761933333,184.0,153.523666667,180.761866667,94.1904666667,125.904733333,159.238133334
193.61,508.148,380.000066667,439.259266667,262.962933333,434.074066667,324.444533333,428.1482,118.148166667,282.962933333,417.777733333
193.99,481.666666667,340.833333333,404.166666667,207.5,385.0,228.333333333,349.166666667,76.2499999999,241.666666667,385.833333333
194.37,552.222133333,320.0,406.666599999,120.000066667,395.555466667,164.4446,328.888866667,17.2222000002,274.444466667,446.666533333
194.75,301.666666667,137.5,223.333333333,-1.66666666652,221.666666667,24.9999999998,208.333333333,-53.75,155.833333333,300.833333333
195.13,112.666666667,36.6666666666,94.6666666665,-130.0,99.9999999999,-79.3333333331,66.6666666667,-145.333333333,79.3333333333,168.0
195.51,74.2856666666,116.190533333,67.6190000001,350.476133333,8.5714,286.666733333,53.3333333333,380.0001,24.7619333333,-13.3332666666
195.89,168.333333333,192.5,170.833333333,388.333333333,34.9999999999,404.166666667,133.333333333,406.25,53.3333333333,77.5000000001
196.27,125.714266666,144.761733333,121.904866667,254.2856,58.5714000001,267.142933333,124.285666667,242.857133333,42.3809333333,70.9522666666
196.65,92.4637999999,108.695666667,91.8841333333,170.145,55.0724666666,201.159333333,77.1014000001,146.086866667,24.3478,54.4925999999
197.03,71.2820666666,84.4445333333,76.9230666666,124.786266667,62.3932666667,150.598333333,63.9315333333,101.196566667,39.6580666666,66.4958000001
197.40,120.555533333,135.8332,141.3888,209.166666667,95.2777333332,255.555533333,112.222266667,178.1944,97.7777333335,115.8332
197.78,953.333333332,1180.0,1213.33333333,2026.66666667,509.999999999,2603.33333333,850.0,1673.33333333,740.0,1080.0
198.16,-380.0,-494.666666666,-492.000000001,-831.999999999,-198.666666667,-1184.0,-373.333333333,-736.000000001,-276.0,-376.000000001
198.54,-154.4446,-207.777666667,-181.111133333,-342.222266667,-55.5555333333,-511.1112,-155.0,-313.611,-79.9999999999,-163.333266667
198.92,-81.1763999999,-110.1962,-112.549133333,-223.529333333,-17.2548666667,-331.764666667,-116.4706,-221.568533333,-24.3138666667,-108.235333333
199.30,-51.7776666666,-65.9998666665,-67.1110666667,-134.000133333,-25.7778,-205.555533334,-69.7777333335,-129.555533333,-14.4444,-73.5556666668
199.68,-23.6036,-39.6396,-32.7927333334,-101.441266667,-12.2523333333,-170.09,-43.2432,-95.8557999999,-3.24319999994,-40.0
200.06,-59.0476666667,-71.6666000001,-62.8571333333,-158.333333333,-52.3810000001,-247.619,-75.7142666667,-148.6905,-21.4285333331,-75.4762
200.44,-53.6937333334,-66.1261333333,-62.3424,-135.6756,-47.7477999999,-201.621666667,-65.5855333334,-125.045,-29.9099333333,-60.5405333333
200.82,-61.6666666667,-80.3333333334,-65.6666666666,-130.666666667,-44.6666666667,-189.833333333,-76.8333333334,-134.583333333,-45.0,-66.4999999999
201.19,-43.9744,-57.0514666667,-33.2050666666,-88.8461333334,-25.0000666667,-138.205133333,-58.2051333334,-97.5640333334,-28.2050666667,-38.2052
201.57,-51.0638,-64.539,-31.4892666666,-99.0070000001,-35.6027333333,-155.1772,-60.2838000001,-105.1774,-29.9290666667,-40.8509999999
201.95,-53.1971999999,-67.7550666667,-35.3741333333,-106.2584,-46.6666666667,-155.510133333,-62.8570666667,-116.4626,-37.5509333333,-43.2651333333
202.33,-51.3333333333,-62.9333333333,-34.8000000001,-99.9999999999,-38.8,-138.933333333,-56.1333333333,-107.2,-32.1333333334,-42.8000000001
202.71,-112.291666667,-123.333333333,-88.3333333333,-178.125,-96.0416666667,-239.375,-116.666666667,-188.4375,-83.1249999999,-88.3333333333
203.09,-468.889,-494.444333333,-380.555466667,-640.000133333,-432.7778,-796.666733334,-447.222266667,-644.7221,-394.444466667,-371.111
203.47,1051.11113333,1133.33326667,908.888866665,1438.8888,1010.00006667,1697.77766667,1075.55553333,1423.33326667,960.000000001,827.777733333
203.85,1373.33333333,1496.0,1298.66666667,1888.0,1330.66666667,2174.66666667,1437.33333333,1854.0,1321.33333333,1120.0
204.22,954.285733333,1082.85713333,916.190400001,1339.0476,919.047733333,1565.71426667,1091.42853333,1339.0476,960.000133334,769.523733332
204.60,437.142866667,500.4762,396.1904,607.619066667,401.9048,737.618866667,516.190466667,615.000100001,396.1904,356.666666667
204.98,735.5556,791.111000001,659.259133333,959.259133333,648.148133333,1145.18513333,845.185266667,951.851933334,607.407333333,568.147999999
205.36,908.571466666,982.857133332,892.381,1265.7142,840.000066667,1475.23813333,1080.95233333,1212.3809,744.761933333,782.857266667
205.74,3033.33333333,3243.33333333,2916.66666667,4340.0,2603.33333333,4913.33333333,3586.66666667,4053.33333334,2333.33333333,2700.0
206.12,1015.5556,1076.6668,968.888933333,1383.33333333,778.888933333,1632.22226667,1122.22226667,1212.77776667,702.2222,882.222266666
206.50,2166.6668,2224.44433333,2048.8888,2957.77766667,1695.5556,3315.5554,2291.11106667,2495.55563333,1653.3332,1886.66666667
206.87,-459.444466667,-477.222266667,-436.666666667,-710.0,-369.444333333,-767.222133333,-527.777866667,-566.944499999,-374.444533334,-413.333333333
207.25,-143.571466667,-154.523666667,-133.3334,-264.999933333,-108.809466667,-292.6192,-178.095266667,-191.428633333,-102.380866667,-121.1904
207.63,-52.4445333333,-60.0000666666,-51.2590666666,-126.963066667,-26.2221333333,-148.148,-73.4816000001,-83.1852333333,-33.037,-47.8519999999
208.01,-61.6260666667,-76.9105999999,-59.5124,-145.2032,-31.2196,-164.552733333,-92.0324666666,-94.5528666667,-44.3902666665,-57.0732000001
208.39,-42.7672666667,-52.0752666667,-45.5345333333,-109.1824,-16.6037333333,-118.8678,-58.4906,-68.1132333333,-25.1571333333,-45.5344666667
208.77,-61.9230666666,-72.0513333333,-64.7436000001,-135.128133333,-36.0256666667,-129.358866667,-73.0769999999,-86.6025333335,-48.7178666667,-64.1025999999
209.14,-92.7777333334,-122.962933333,-102.592533333,-216.6666,-70.9258666666,-210.925933333,-119.814866667,-145.092566667,-93.5184666666,-120.925933333
209.52,-78.2906666668,-112.478666667,-80.1709999999,-188.718,-50.7692,-184.2734,-94.3589999999,-119.3164,-86.4958000001,-96.7522000001
209.90,-170.144933333,-222.318866667,-171.014533333,-347.246466667,-113.913133333,-357.391333333,-195.0724,-208.840533333,-189.275466667,-210.724533333
210.28,-90.3509333333,-117.543933333,-80.8771333334,-194.736866667,-56.8420666667,-200.701666667,-111.052666667,-110.5264,-113.333266667,-115.789466667
210.66,-62.8571333333,-90.9522666667,-50.6349333333,-151.269866667,-34.4443333334,-163.968333333,-95.5554000001,-75.9521999999,-85.0794000001,-90.1585999999
211.03,-122.2988,-159.310333333,-92.1839333334,-233.333466667,-71.2644666665,-265.976933333,-160.689666667,-125.8621,-158.850533333,-164.367866667
211.41,-152.8204,-188.9744,-124.102666667,-263.3334,-89.7436,-300.512733333,-189.487266667,-145.640966667,-197.1794,-212.051333334
211.79,-111.176466667,-131.7648,-83.9215333333,-183.921666667,-61.5686666667,-213.529466667,-128.627466667,-89.2156333333,-136.078333333,-141.568666666
212.17,-83.4919999999,-97.7777999999,-53.0158666667,-133.3334,-43.9682666666,-159.0476,-93.9682666667,-58.8888333333,-94.6032,-107.777666667
212.55,-174.4,-192.266666667,-109.333333333,-242.4,-111.466666667,-288.266666667,-179.2,-123.733333333,-184.266666667,-201.066666667
212.92,-116.8628,-123.921533333,-76.2744,-163.7254,-74.7060000001,-219.607933333,-121.3726,-68.6275333333,-123.333333333,-141.1766
213.30,-69.2198666666,-69.9289999999,-41.9858,-102.269466667,-42.1277333334,-137.163066667,-67.8013333333,-28.6523666666,-75.7448000001,-83.8299333333
213.68,-143.678066667,-138.620733333,-107.126333333,-199.080666667,-93.1034,-245.2874,-151.034466667,-81.7241666667,-153.793066667,-155.4024
214.06,-64.7058666668,-61.0457333333,-44.7060000001,-94.7713333335,-35.8168666667,-114.117733333,-69.6732666667,-34.3790666667,-66.1439333334,-56.8628000001
