wavelength,Back_CyaNitm,Belly_CyaNitm,Breast_CyaNitm,Crissum_CyaNitm,Crown_CyaNitm,DorTail_CyaNitm,Patch10_CyaNitm,Rump_CyaNitm,Throat_CyaNitm,WingTip_CyaNitm
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,44.1666666667,63.3333333333,76.6666666666,18.3333333333,60.8333333333,71.6666666667,62.4999999999,55.8333333333,41.6666666667,68.3333333333
179.16,141.666666667,139.583333333,142.708333333,175.0,125.0,139.583333333,112.5,110.416666667,126.041666667,129.166666667
179.54,-266.666666667,-187.5,-120.833333333,-170.833333333,-170.833333333,-337.5,-79.1666666665,-204.166666667,-20.8333333333,-100.0
179.93,-95.8333333333,-33.3333333334,-39.5833333334,-14.5833333333,-29.1666666667,-47.9166666667,-2.08333333325,20.8333333333,22.9166666666,25.0
180.31,-14.8718333333,13.9743333333,31.923,-8.20500000002,28.4616666667,6.79483333334,26.1538333332,41.4101666666,20.5128333333,36.7948333333
180.69,-9.11108333334,21.6665833333,37.77775,0.444500000017,34.4445,14.4445,34.2222499999,47.0,24.5555833333,41.22225
181.07,-8.09174999999,26.3284166667,40.0965,5.31391666666,42.2704166667,15.7005833334,42.0290833333,58.57475,33.5749166667,45.169
181.45,9.59916666668,43.0379166667,55.1686666667,25.211,56.1179166667,33.0168333334,54.8523333332,68.7762499999,45.6750833333,58.96625
181.83,13.7061666667,47.1490833333,55.9210833334,27.4125,60.08775,40.8991666667,54.6053333333,75.1094999999,43.4210833333,62.3903333333
182.21,12.171,50.7676666667,56.4693333332,26.2061666667,65.8991666668,42.8726666667,55.0437499999,72.0395833334,41.9955833333,58.5525833334
182.59,5.78416666667,42.4510833333,42.2549166667,25.9805833333,56.3726666667,36.2745833333,45.9805,57.255,36.4706666667,49.804
182.97,4.71891666658,40.1606666667,35.9438333333,25.2008333333,52.6104166666,34.8393333333,44.77925,55.0201666668,36.3454166667,47.4899166667
183.35,-4.65350000008,32.5759166667,23.16025,14.06925,43.1819166667,27.3808333334,36.90475,46.4285833333,28.2469166667,39.5020833333
183.73,-55.6666666667,14.3333333333,-10.6666666667,-25.8333333333,23.5,3.50000000002,11.5,23.5000000001,14.8333333333,16.5
184.11,-60.1666666668,19.8333333333,-16.8333333333,-26.0,20.1666666667,1.83333333333,14.8333333333,15.4999999999,26.6666666667,8.83333333335
184.49,-119.086,12.6344166666,-58.3332500002,-65.3228333333,11.5593333334,-14.2474166666,2.68808333335,-4.56991666665,14.7848333333,-5.10758333334
184.87,-216.666666667,-30.4166666666,-141.666666667,-148.75,-28.3333333333,-50.8333333333,-36.25,-46.2499999999,-7.08333333332,-57.0833333333
