wavelength,Back_CyiCyim,Belly_CyiCyim,Breast_CyiCyim,Crissum_CyiCyim,Crown_CyiCyim,DorTail_CyiCyim,Patch10_CyiCyim,Rump_CyiCyim,Throat_CyiCyim,WingTip_CyiCyim
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,-250.0,-308.333333333,-316.666666667,-254.166666667,-250.0,-200.0,-466.666666667,-391.666666666,-225.0,-233.333333334
179.16,-233.333333333,-81.666666667,-350.0,-516.666666667,-216.666666667,-150.0,-566.666666667,-566.666666667,-66.6666666668,-333.333333334
179.54,45.8333333333,-5.41666666665,18.75,4.16666666665,25.0,56.25,14.5833333333,-4.16666666668,50.0,66.6666666667
179.93,81.6666666667,-2.0,30.0,38.3333333333,45.0,51.6666666665,6.66666666667,5.0,81.6666666669,36.6666666667
180.31,-18.9656666667,-65.4598833333,-38.5056666667,-91.6665833334,-23.5631666667,51.1495,-114.9425,-91.954,31.0344999998,-22.9885
180.69,-34.8958333333,-84.3750000001,-60.4166666667,-107.03125,-30.7291666667,33.3333333333,-132.291666667,-106.25,19.7916666665,-56.2500000002
181.07,-44.0476666667,-117.142883333,-58.3331666665,-146.428416667,-38.0953333333,32.738,-151.1905,-122.023833333,22.0238333335,-71.4284999999
181.45,-14.5833333333,-89.8437499999,-30.2083333335,-107.552083333,-13.0208333333,57.8125,-101.041666667,-77.6041666667,53.6458333332,-34.8958333333
181.83,-45.8333333333,-163.166666667,-65.8333333335,-196.25,-28.3333333334,59.1666666667,-205.0,-146.666666667,62.5000000001,-95.0000000001
182.21,-102.083333333,-220.208333333,-81.25,-301.5625,-70.8333333335,36.4583333332,-290.625,-216.666666667,47.916666667,-125.0
182.59,-122.916666667,-261.770833334,-117.708333334,-294.791666666,-89.5833333335,-27.0833333335,-300.0,-229.166666667,43.75,-157.291666667
182.97,-816.666666667,-1353.75,-887.5,-1466.66666666,-604.166666667,-566.666666667,-1475.0,-1191.66666666,-108.333333333,-904.166666669
183.35,929.166666669,1565.0,1212.5,1700.0,770.833333335,708.333333331,1683.33333333,1133.33333334,179.166666667,920.833333333
183.73,1741.66666667,3380.0,2300.0,3329.16666666,1641.66666666,1658.33333333,3416.66666666,2358.33333333,491.666666667,1675.0
184.11,2916.66666666,7091.66666666,4066.66666666,6166.66666666,3133.33333334,3333.33333334,6650.00000002,4983.33333334,1233.33333334,2866.66666666
184.49,-96.4911666665,-366.491066666,-127.193166667,-278.5085,-147.3685,-138.596666666,-338.596166667,-237.719333334,-30.7018333331,-144.737
184.87,-177.777833333,-766.66665,-255.555666667,-600.0,-331.481333334,-287.037166667,-692.592333335,-505.5555,-61.111,-222.222166667
185.25,-36.1111666667,-476.805633333,-118.055666666,-386.111166667,-165.2775,-170.833333334,-415.277833333,-329.166666667,23.6111666668,-51.3888333333
185.63,-236.111166667,-1144.16656667,-269.444166666,-905.555583335,-416.666833333,-522.222333333,-972.2225,-769.444500001,-136.111166667,-191.666666666
186.01,-82.1430000001,-468.095366667,-57.1426666665,-326.1905,-160.714333334,-201.1905,-369.0475,-295.238,-34.5236666668,-40.4763333333
186.39,-733.3335,-2492.2223,-566.666666666,-1619.4445,-911.111166667,-1200.0,-2005.55566666,-1505.55533333,-444.444499999,-555.5555
186.77,-916.666666669,-3483.33333334,-791.666666667,-2354.16666666,-1333.33333334,-1391.66666667,-2816.66666666,-1941.66666667,-558.333333335,-641.666666665
187.15,-64.5833333335,-767.916666667,-168.75,-466.666666665,-275.0,-241.666666667,-566.666666666,-327.083333334,-43.75,-118.75
187.53,-750.0,-5903.33333334,-733.333333335,-3225.0,-2133.33333334,-2000.0,-3883.33333334,-2833.33333334,-583.333333334,-1233.33333333
187.91,488.889,1157.77766666,366.666833333,841.666916665,575.0,572.222333334,794.4445,741.6665,333.333333333,463.888833333
188.29,316.666666666,627.0,188.333333334,455.833333333,281.666666667,336.666666667,450.0,396.666666667,143.333333333,270.0
188.67,158.620666667,238.563216667,111.494,190.229916667,111.494166667,155.172333333,179.885166667,171.839166667,59.1956666667,79.3105
189.05,228.070166667,330.614033334,125.439,240.351166666,120.1755,215.789666667,243.859666667,223.684166667,42.1051666667,75.4384999999
189.43,283.333333333,341.574216666,141.666666666,231.481583333,135.185166667,212.037,266.666666667,208.333333333,36.1113333334,87.037
189.81,364.4445,399.222333333,202.222166667,277.222333333,177.777833334,268.889,343.333333333,261.111166667,78.8886666668,144.4445
190.19,337.5,361.333333334,231.666666667,288.333333334,175.833333333,255.0,303.333333333,244.166666666,121.666666667,178.333333333
190.57,382.291666666,384.6875,243.75,340.625,178.125,305.208333333,298.958333334,276.041666667,135.416666667,209.375
190.95,526.923,450.641116667,308.974166667,464.743583333,212.8205,421.795,317.948666667,375.641,179.487166667,253.846166666
191.33,1479.16666667,1251.66666667,633.333333334,1375.0,379.166666667,1141.66666666,770.833333333,1062.5,375.0,600.0
191.71,-1279.16666667,-1099.58333333,-337.5,-1331.25,-237.5,-1116.66666666,-666.666666666,-941.666666666,-158.333333333,-391.666666667
