wavelength,Back_DacAlbm,Belly_DacAlbm,Breast_DacAlbm,Crissum_DacAlbm,Crown_DacAlbm,DorTail_DacAlbm,Patch10_DacAlbm,Rump_DacAlbm,Throat_DacAlbm,WingTip_DacAlbm
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,201.666666667,163.333333333,161.666666667,173.333333333,153.333333333,176.666666667,170.0,115.0,223.333333333,185.0
179.16,30.5555,41.6665833333,38.8890000001,41.6667083334,50.0000833333,16.6666666667,16.66675,59.722,20.8333333333,54.1665833333
179.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
179.93,133.333333333,118.333333333,120.0,94.9999999999,76.6666666666,136.666666667,110.0,113.333333333,161.666666667,86.6666666667
180.31,306.81825,273.484833333,236.363666667,159.8485,175.757583333,306.818166667,201.51525,155.303,397.727333333,225.757583333
180.69,177.314833334,169.907333333,142.129583333,75.6943333334,97.2223333334,182.407416667,122.22225,81.4814166668,250.925833334,131.944416667
181.07,182.575666667,203.787833334,140.151416667,20.0756666666,83.3333333332,193.939333333,126.515166667,37.8786666665,322.72725,129.545583333
181.45,162.5,190.104166667,121.875,29.1666666665,99.4791666666,153.645833333,122.916666667,46.3541666666,266.145833333,139.0625
181.83,185.119083333,217.857166667,157.14275,7.44049999993,138.690416667,155.952416667,145.237916667,50.0000833334,307.738083333,169.642833333
182.21,679.166666665,916.666666668,425.0,-543.749999999,445.833333333,158.333333332,329.166666667,-491.666666667,1337.5,512.499999999
182.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
182.97,-33.3333333325,-1025.0,241.666666667,2458.33333333,441.666666665,666.666666665,241.666666666,2916.66666666,-1133.33333333,475.0
183.35,275.0,-858.333333332,350.000000001,2570.83333334,575.0,799.999999997,258.333333333,3050.0,-808.333333333,566.666666667
183.73,71.3541666667,-13.5416666666,62.5000000002,205.729166667,70.3125,106.25,42.1874999999,225.520833333,-7.8125,67.1875
184.11,77.8645833333,16.1458333333,57.0312500001,123.958333333,52.6041666666,83.0729166666,44.7916666667,142.1875,27.8645833333,56.7708333332
184.49,70.3125,7.55208333318,60.1562500001,114.713541667,43.7499999999,73.1770833332,27.34375,142.708333333,34.8958333334,50.2604166665
184.87,38.1311666666,-21.7171666666,29.0402499999,64.6464166667,4.29283333335,38.88875,-3.03033333332,102.27275,9.84841666682,18.1817499998
185.25,29.4643333333,-38.6904166667,11.3095,55.5060416667,-17.5595833333,29.7618333333,-12.7975000001,97.0238333332,0.892750000075,4.46424999975
185.63,54.6568333333,-2.20591666666,29.41175,66.0539583333,3.6765,43.1373333333,18.1373333335,89.7059166666,20.5881666667,25.7355000002
186.01,50.0001666667,-4.16666666651,29.6568333333,57.7207083333,6.61758333317,22.0586666668,20.58825,88.7255833334,0.73525,19.6077499997
186.39,46.06475,-12.96275,19.4445,53.8195,-1.15733333332,-6.24991666675,0.463,68.0554999999,-10.4167500001,1.15741666682
186.77,58.3333333334,2.89858333343,36.7754166667,60.0542916667,15.5796666667,3.62316666675,15.57975,64.4926666667,7.4275,10.3261666666
187.15,38.8889166666,0.438666666657,24.5615,45.2485,4.53216666665,-0.292499999975,4.67849999992,42.9823333333,-1.1695,2.3390833335
187.53,33.0508333332,0.988750000018,17.3728333333,41.666625,-1.41241666667,-0.706166666675,0.14116666665,42.9378333334,-7.90966666665,3.38999999992
187.91,37.1526666667,1.56258333335,15.9723333333,49.1319583333,-3.29858333333,-1.56241666668,-6.42358333325,47.9168333332,-7.46525,7.9860833334
188.29,30.0,-1.29625000002,10.37025,46.6667083333,-6.66666666665,-5.5555,-20.3704166666,42.9628333333,-15.9259166667,2.77774999993
188.67,30.0000833334,2.96291666665,2.03691666668,46.9445416667,-6.66674999997,-3.51858333342,-17.5925833333,45.5556666665,-15.1850833332,-2.59266666668
189.05,52.9411666666,35.621,28.2680833333,75.73525,27.7777500001,24.5098333333,5.71899999985,78.1044999999,13.5619999999,19.6078333333
189.43,60.8209166668,44.2785833333,39.801,80.0372916668,44.9005833333,32.0895833332,19.2785833334,79.6020000001,27.23875,32.3383333334
189.81,48.205,38.4615833333,26.923,69.294875,40.6410833333,22.6921666667,7.56416666668,74.6153333333,19.6154166667,23.4615833333
190.19,47.3956666667,34.1144166667,19.0103333333,66.9268333333,33.5935833333,18.6195833333,-4.16683333335,73.5675833332,19.2708333333,13.4112500001
190.57,45.0000000001,33.75,9.16675,62.0834166666,28.33325,11.5279166666,-10.2778333333,69.8610000002,13.3334166666,6.38883333325
190.95,29.24525,22.1698333333,-14.77975,51.5722916667,8.01883333333,-2.8302500001,-24.5283333333,61.0064166667,-2.98741666657,-11.6353333334
191.33,34.5454166668,20.303,-8.33316666666,53.6364583333,11.0605,-1.51516666658,-18.3333333333,55.9091666667,-2.72725000017,-10.7574999999
191.71,29.1668333333,12.5000833333,-14.9999166667,42.9166666667,6.94441666668,-13.3333333333,-27.9165833333,39.5834166666,-10.6944999999,-18.47225
192.09,13.4614999999,1.02558333334,-20.76925,27.5642083333,-7.56408333334,-30.3846666668,-40.2565833332,26.1536666667,-23.3332499999,-31.5384166668
192.47,16.4250833334,7.24625,-21.6181666667,27.1135,-5.91766666666,-32.7294999999,-37.5604166666,23.0676666667,-22.1015,-32.2463333334
192.85,20.0,16.5556666666,-12.889,30.7221666667,3.00008333334,-27.6667499999,-32.4446666667,25.66675,-15.6666666668,-25.4444166667
193.23,17.1246666667,14.92675,-8.33333333332,29.89925,2.10633333332,-21.8864166668,-23.3515833333,19.9633333334,-10.3480833333,-17.5825
193.61,8.74483333333,9.25941666665,-19.6501666667,19.958875,-10.6994166666,-37.7571666666,-35.0821666667,12.0370833333,-20.9875833333,-29.8352499999
193.99,22.2973333333,16.1036666667,-16.3288333334,26.5202916667,-6.64416666668,-37.3874166667,-31.9818333333,20.8333333333,-11.5991666668,-28.6035833334
194.37,27.7411666668,21.7104166667,-9.32016666666,29.6600833334,-3.83766666665,-30.0439166667,-25.10975,22.9166666667,-0.6579166667,-18.421
194.75,26.2659166666,20.1476666667,-9.59933333335,28.3757083333,-5.06333333332,-30.2740833334,-25.5273333333,24.6835,-4.64149999998,-20.67525
195.13,33.8710833333,27.6880833333,-0.268750000025,34.7670416667,9.94616666668,-17.1145833333,-16.3083333333,27.0608333333,7.79575,-9.67725000002
195.51,36.4486666667,33.1775833333,2.49200000001,34.8130416667,16.8223333333,-9.26783333333,-12.7725,28.4269166666,12.6168333333,-2.25866666665
195.89,43.0084166667,41.9491666667,10.0988333333,39.6537916667,24.0819166667,5.50825000001,-1.483,35.4520833333,24.36425,6.00291666666
196.27,45.15675,42.2364166667,8.547,41.0613333333,24.78625,8.33341666669,0.42725,36.82325,27.7065,6.98008333333
196.65,42.3203333333,34.23225,0.980249999983,40.9723333334,19.5260833333,2.28766666665,-7.76141666665,35.7025833333,26.71575,0.65366666665
197.03,40.9795,25.6873333333,-8.16150000001,36.25425,11.512,-2.57741666665,-14.1751666667,29.2954166667,21.3916666667,-8.93466666667
197.40,36.5035833333,19.0216666667,-19.56525,27.3550416667,3.26083333334,-11.6849166667,-24.27525,19.5653333334,15.6703333333,-16.75725
197.78,35.0659166667,21.6171666667,-15.759,26.608875,5.11541666665,-5.77549999998,-21.5346666667,15.1814166666,19.802,-13.03625
198.16,28.6035833333,16.967,-16.066,22.0720833334,2.62758333333,-8.93383333334,-22.6725833333,7.95808333335,15.8409166667,-14.7898333333
198.54,30.4861666667,17.7779166667,-13.8194166667,18.95825,5.76383333335,-5.34725000001,-19.6528333333,8.88883333335,13.6805,-14.58325
198.92,31.339,17.3788333333,-15.4558333333,18.12675,5.98291666667,-3.13391666667,-20.8689166667,7.05133333335,15.5981666667,-14.3875
199.30,30.3241666667,18.4414166667,-17.9011666667,17.592625,-2.00608333334,-5.09249999999,-23.8425833333,3.62658333332,13.6574166667,-19.9846666667
199.68,27.0833333333,15.6251666667,-25.2605,12.9340833333,-11.02425,-11.2845833333,-31.59725,0.08675,11.1110833333,-30.5556666667
200.06,19.663,9.64416666667,-32.4905833333,5.94570833334,-21.62925,-22.7528333334,-40.5430833333,-8.98875000001,2.24708333333,-39.8875833334
200.44,29.6099166667,19.5920833334,-22.1631666667,10.4609166667,-13.65225,-14.98225,-31.29425,-3.98933333332,7.35808333332,-32.9785
200.82,35.4739166667,28.2874166667,-10.0153333334,11.6590416667,-6.03991666667,-4.74008333334,-19.3425833333,-0.152833333308,12.5381666666,-23.08875
201.19,27.42425,21.96975,-18.5605,1.7425,-12.1969166667,-13.9394166667,-28.1818333333,-10.7575,0.22733333335,-29.3939166667
201.57,21.5079166667,16.58725,-27.77775,-5.95225,-17.61925,-22.6983333333,-38.0950833333,-17.3016666667,-5.23824999998,-37.9363333333
201.95,13.6666666666,6.33333333333,-40.25,-12.7916666667,-27.4166666666,-33.0,-50.5,-24.75,-16.3333333333,-49.9166666667
