wavelength,Back_DacBerm,Belly_DacBerm,Breast_DacBerm,Crissum_DacBerm,Crown_DacBerm,DorTail_DacBerm,Rump_DacBerm,Throat_DacBerm,WingTip_DacBerm
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,-137.5,-108.333333333,-22.2222222222,-34.7222222222,-52.7777777778,22.2222222223,-118.055555555,-48.6111111111,-40.2777777778
179.16,-78.7878888888,-56.5656666667,-5.05055555554,-30.3031111111,-10.1011111111,-22.2222222222,-61.616,-49.495,-10.1011111111
179.54,-26.1905555556,-3.17466666668,29.3651111111,11.1111111111,2.38088888889,-7.14277777777,-5.55566666667,-26.984,11.9047777778
179.93,-73.0158888889,-54.7618888889,-46.8253333333,-53.9683333333,-27.7777777778,-31.7461111111,-80.9524444444,-60.3173333333,-49.9998888889
180.31,-45.2752222222,-34.0602222222,1.45377777778,-14.3302222222,-5.50366666664,-5.91888888887,-48.598,-39.5638888889,-5.91900000001
180.69,-43.5097777778,-30.4257777778,6.33444444445,-8.61888888887,-1.3501111111,-4.7768888889,-47.975,-38.9406666667,-3.42677777779
181.07,-45.5667777778,-30.3032222222,9.31544444446,-7.6318888889,0.89788888889,-6.73399999999,-47.0258888889,-42.8732222222,-2.02022222222
181.45,-48.689,-33.5831111111,11.6104444444,-6.86644444443,0.74899999999,-8.2397777778,-53.3083333334,-45.9425555556,-4.869
181.83,-63.2714444444,-51.543111111,9.1048888889,-14.8148888889,-4.784,-16.8208888889,-68.826888889,-57.5618888889,-8.64199999999
182.21,-38.1578888889,-31.579,27.6314444444,5.11688888889,10.234,-2.77788888888,-44.8831111111,-34.3566666667,12.7192222222
182.59,-25.1208888889,-11.9163333333,45.2496666667,21.4171111111,24.6375555557,15.9417777778,-25.7647777778,-22.8663333333,32.045
182.97,-27.7776666667,-2.10722222223,57.6628888889,34.4827777778,35.4405555555,14.1761111111,-29.3104444444,-19.7317777778,33.3333333334
183.35,-38.0247777779,17.0371111111,82.4692222222,51.8518888889,45.6788888889,24.9382222222,-21.7282222222,-13.8271111111,48.3951111112
183.73,-81.0700000001,6.99588888867,110.288222222,73.2508888888,66.6664444443,28.8065555554,-32.9218888888,-35.391,64.6091111111
184.11,-78.4722222222,-5.55555555556,76.0416666668,49.6527777779,49.6527777777,11.1111111111,-28.4722222222,-23.2638888889,44.7916666667
184.49,-70.2777777777,-11.1111111111,51.6666666668,22.2222222222,42.7777777778,0.833333333333,-15.0,-26.6666666667,42.7777777777
184.87,-65.2264444443,-20.3703333333,31.8931111111,-7.40744444443,28.1892222221,-11.5227777778,-17.6954444444,-30.4526666667,27.1605555556
185.25,-49.9024444446,-3.31366666667,33.1384444444,-3.70377777777,37.232,-12.0856666667,-5.8478888889,-24.1713333333,28.4601111111
185.63,-70.5215555555,-13.6054444444,15.1927777778,-25.8502222222,33.5598888889,-32.1995555556,-16.78,-42.1767777778,23.1294444444
186.01,-63.3333333333,6.00000000003,21.5555555556,-20.0,53.7777777777,-13.3333333333,-8.22222222223,-26.8888888889,27.7777777778
186.39,-124.183,-29.7385555556,2.94122222222,-62.0915555557,51.6339999999,-45.7518888889,-39.5424444444,-67.9737777778,8.49677777777
186.77,-407.407333333,-224.444555555,-120.740777778,-257.037111111,-11.851888889,-265.925888889,-214.814888889,-296.296333333,-105.926111111
187.15,-1387.037,-907.407444446,-633.333444444,-1024.07422222,-361.111111111,-972.222222222,-851.85188889,-1064.81477778,-501.851777779
187.53,-733.333333333,-495.959666667,-372.727333333,-583.838444444,-189.898888889,-517.171666667,-483.838444445,-567.676777778,-253.535111111
187.91,-519.841333333,-339.682555556,-225.396888889,-410.317555556,-111.904666667,-370.634888889,-336.507888889,-392.857222222,-151.587333333
188.29,4.94002800035e+15,3.47578948514e+15,2.47356797715e+15,4.23634055857e+15,1.43580669939e+15,3.67481219594e+15,3.68902810386e+15,3.92359058445e+15,1.91203961452e+15
188.67,362.820444444,288.034222222,227.350444444,327.350444444,164.102555555,303.846222222,312.393111111,291.880333333,194.871777778
189.05,266.666666667,210.416666666,167.708333333,232.638888889,124.652777778,229.861111111,231.597222222,208.333333333,142.013888889
189.43,237.777777778,208.333333333,171.388888889,236.388888889,137.222222222,216.111111111,219.444444444,185.833333334,143.888888889
189.81,173.015888889,155.753888889,129.563444445,175.595111111,105.158666667,159.920555556,161.706222222,132.936555556,111.507888889
190.19,163.218222222,154.214555556,126.053666666,175.287333333,111.494333333,165.517222222,158.429222222,129.693444444,118.390777778
190.57,142.618,133.181111111,113.850888889,157.991,102.587555556,150.837222222,136.225222222,116.742777778,110.045666667
190.95,127.648555556,114.857888889,104.392555555,139.922333333,91.7311111111,131.007888889,119.38,100.258333333,98.8373333332
191.33,105.269222222,97.4800000001,92.669,123.825888889,79.0375555554,110.080444444,100.801888889,86.9415555555,91.0652222224
191.71,100.952333333,97.5661111111,90.2645555556,117.354666667,76.1904444444,108.783,93.9683333333,85.82,89.4181111113
192.09,99.3295555554,93.4865555557,89.8466666667,113.026777778,75.4788888889,106.034555556,91.6666666666,85.6322222222,89.1761111112
192.47,81.9225555555,78.2186666667,78.9242222222,97.0017777778,63.3156666666,96.208,76.9842222222,71.4285555555,74.515
192.85,77.6053333333,71.2316666667,73.2126666667,88.1135555556,62.0156666667,90.783888889,70.5425555556,67.3558888889,72.782
193.23,70.1838888889,64.7482222222,68.9848888889,79.5364444444,54.996,81.0553333332,62.5897777778,59.5522222222,64.8281111111
193.61,68.8596666667,60.7454444445,65.4971111111,69.9561111111,53.1434444445,78.3624444444,58.6257777778,59.3566666667,60.0876666667
193.99,72.674888889,61.893,67.9011111111,74.4856666667,58.1893333333,82.7982222221,57.7777777778,62.0576666667,61.646
194.37,66.8137777778,58.4253333333,67.4025555555,66.5931111111,54.4517777778,76.306111111,54.0837777778,59.9706666667,58.131
194.75,64.0175555555,53.0536666667,65.563,59.0874444444,50.4046666667,71.7439999999,50.4046666667,55.3346666667,55.1875555556
195.13,57.277,48.435,62.3631111111,58.3725555556,47.8873333333,69.014,46.4788888889,52.1908888889,52.6606666667
195.51,49.4152222222,39.9854444445,54.24,50.3655555556,37.7924444445,61.6230000001,35.0146666667,42.7633333333,43.7136666667
195.89,41.8753333333,33.3332222222,46.5638888889,47.0778888889,32.8196666667,54.3353333334,28.1952222222,36.2876666666,37.3153333333
196.27,33.571,25.0742222222,41.1763333333,42.3647777778,26.3814444444,45.6326666666,22.2816666667,27.2131111111,29.5901111111
196.65,38.6852222222,27.865,44.2116666667,44.3862222222,29.552,46.015,26.0035555555,30.2502222222,33.8568888889
197.03,37.3308888889,25.2204444444,43.9154444445,44.5618888889,26.3962222222,46.267,23.3392222222,28.16,32.6867777778
197.40,38.978,28.4015555555,48.1876666667,50.3861111111,30.9566666667,51.3962222222,28.9364444444,30.0653333333,38.2648888889
197.78,31.79,22.2838888889,43.7654444444,47.3456666667,26.2345555556,44.8765555555,22.3456666667,22.531,35.8026666667
198.16,26.108,15.6647777778,41.8335555556,41.6515555555,22.8903333334,39.8301111111,18.0935555555,18.1542222222,32.3011111111
198.54,27.948,11.1791111111,45.3306666667,44.9217777778,27.062,42.4675555556,17.7914444444,18.6775555555,33.7424444444
198.92,27.1913333333,9.45466666667,44.7205555556,44.7205555556,28.9164444444,41.4078888889,17.3223333333,18.3574444444,33.4712222222
199.30,31.9276666667,14.7924444444,49.2637777778,45.6492222222,32.1285555555,44.98,20.5487777778,20.1472222222,37.2155555556
199.68,34.6183333333,17.3846666667,53.7415555556,50.4156666667,39.6068888889,51.3227777778,27.362,23.8851111111,44.0665555556
200.06,44.4443333333,24.1831111111,64.8692222222,59.7222222222,50.6535555555,59.7221111111,40.6862222222,30.2288888889,57.6798888889
200.44,50.9641111111,32.507,76.5841111111,72.8191111111,65.5645555556,73.737111111,47.7501111111,37.7412222222,71.5335555557
200.82,42.8135555556,26.2997777778,73.7002222222,69.7246666668,65.2395555556,73.4966666667,40.0611111111,33.2313333333,72.0692222221
201.19,32.5855555555,18.376,67.6281111111,65.0641111111,63.9957777778,65.8119999999,33.5468888889,22.1152222222,68.3761111111
