wavelength,Back_DacCaym,Belly_DacCaym,Breast_DacCaym,Crissum_DacCaym,Crown_DacCaym,DorTail_DacCaym,Rump_DacCaym,Throat_DacCaym,WingTip_DacCaym
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,290.0,336.666666667,376.666666667,146.666666667,403.333333333,243.333333333,226.666666667,283.333333333,336.666666667
179.16,106.666666667,183.333333333,200.0,86.6666666665,160.0,135.0,140.0,113.333333333,126.666666666
179.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
179.93,473.333333333,576.666666666,476.666666667,213.333333333,533.333333333,300.0,476.666666667,393.333333333,460.0
180.31,191.4894,208.510733333,206.382966667,100.5674,210.354533333,147.092466667,170.071066667,155.8866,175.035466667
180.69,206.811466667,228.4058,220.869666667,106.521866667,230.289933333,154.7826,183.333266667,167.1014,188.260866667
181.07,225.926066667,244.4444,237.703633333,125.3334,244.7408,164.2964,202.518466667,173.185133333,200.444466667
181.45,258.833333333,266.333333333,266.75,139.833333333,278.166666667,183.666666667,223.833333333,194.166666667,218.5
181.83,225.2,226.0,231.133333333,131.333333333,245.2,165.733333333,190.533333333,173.333333333,190.266666667
182.21,180.634866667,176.402266667,186.6138,110.052933333,193.227466667,138.3068,154.920666667,137.989333333,153.6508
182.59,185.197733333,185.197866667,199.717533333,123.8418,211.4124,147.796666667,166.7798,150.1694,167.1186
182.97,195.512866667,196.4102,214.871666667,134.999933333,229.4872,158.589733334,177.948733333,159.743533333,178.077133334
183.35,218.166666667,212.666666667,243.333333333,139.833333333,259.666666667,164.833333333,190.333333333,167.0,190.166666667
183.73,221.8018,208.468333333,250.000033333,133.873933333,259.2792,162.522666667,189.1892,164.324466667,186.8468
184.11,267.526933333,244.731066667,297.3119,160.215,316.344066667,200.8602,221.7204,199.784933333,223.4408
184.49,216.333333333,197.333333333,237.333333333,137.333333333,252.0,168.166666667,184.0,169.333333333,180.666666667
184.87,227.7192,201.052533333,260.1754,150.350866667,267.368333333,185.789466667,201.929933333,178.772,192.982466667
185.25,253.076933333,215.8974,306.1538,142.0512,318.718,208.4614,218.9744,186.666533333,206.666733333
185.63,256.533333333,211.2,304.133333333,143.466666667,318.933333333,202.133333333,222.133333333,182.666666667,210.933333333
186.01,203.1112,165.333266667,246.8888,127.777733333,256.6666,148.666533333,180.888866667,140.888866667,163.5556
186.39,264.8484,212.7272,323.6364,169.090933333,356.969666667,189.090933333,224.545466667,187.575866667,203.030266667
186.77,171.7648,136.078466667,216.2745,110.980466667,232.548866667,115.490133333,134.117666667,118.235266667,116.274466667
187.15,148.2828,118.181866667,193.232266667,89.2928666667,212.5252,83.2324000001,107.272666667,84.4443333334,93.3333999999
