wavelength,Back_DacFlaf,Belly_DacFlaf,Breast_DacFlaf,Crissum_DacFlaf,Crown_DacFlaf,DorTail_DacFlaf,Patch10_DacFlaf,Rump_DacFlaf,Throat_DacFlaf,WingTip_DacFlaf
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,147.272666667,81.2121999999,111.515,110.303,138.787933333,102.4242,112.727266667,135.757466667,106.060666667,140.606133333
179.16,56.6666666667,69.1666000001,58.6110666667,48.6111333333,66.6666666666,65.5555333333,53.0556,53.6111333333,65.2777333333,67.7778
179.54,-50.0,21.6666666667,8.33333333327,-86.6666666667,-16.6666666666,-53.3333333333,-61.6666666667,-113.333333333,-96.6666666668,-130.0
179.93,66.6667333334,60.8889333333,31.1112,39.1112666667,50.2221999999,79.1110666667,53.7776,40.4445333333,46.6666666667,56.0
180.31,74.7722,66.7625333333,59.5683333333,74.4366,73.9088666667,70.1199333333,64.6522666667,67.7698,78.9447333333,81.4388000001
180.69,75.8898,66.0652666666,59.2480666667,75.2882666667,75.0376666666,68.822,64.0601333333,67.5688,80.3507999999,80.9022666667
181.07,70.3762666666,65.0537333333,56.5052666667,74.7311333333,71.9355333333,66.344,60.4301333333,65.1612666667,77.5807333333,75.1612666666
181.45,77.3457333333,65.1236,57.9012000001,82.6543333334,73.7037999999,67.5308,67.4692,67.9012666667,80.8643333333,77.2838666667
181.83,73.2343333334,63.5555333334,57.7776666667,74.0246666667,74.3210666668,63.7530666667,64.642,63.4072666667,74.6667333334,71.2098666667
182.21,80.0519333333,72.8125999999,65.6249333333,83.5415999999,83.8540666667,67.8646666667,71.0937333333,69.0104666667,82.8123333333,78.1770000001
182.59,81.0303999999,74.4848666666,67.7575999999,87.0908,85.8182666666,66.2424,74.1212,67.6364,84.0001333332,76.6667333334
182.97,83.2155333333,75.1371999999,72.7842666667,95.6079333333,96.9410666667,67.2942,81.0980666667,70.1175333333,87.1373333335,80.3921333334
183.35,97.5956666667,86.4480000001,87.9780666667,120.5464,123.278666667,85.6831333333,96.3935333333,82.5137333333,107.541,88.7431333335
183.73,107.407266667,103.555666667,106.518533333,142.370466667,140.888866667,99.7038,122.6666,97.1851333333,121.185066667,101.629533333
184.11,115.714333333,113.095133333,125.118933333,141.190466667,143.2142,111.5476,130.595266667,105.357066667,126.666733333,108.214266667
184.49,99.0196666667,98.4313999999,108.725533333,123.529533333,124.607733333,94.2157333333,115.4902,90.1960000002,110.7844,95.9804666666
184.87,105.432066667,108.148,111.687133333,126.5844,126.337533333,100.4114,119.424,98.4362000001,109.0536,101.810733333
185.25,105.2898,107.173866667,111.884066667,124.347933333,123.8406,99.058,121.376866667,97.9710666667,112.608733333,101.5942
185.63,95.0478000001,103.111,105.015733333,114.476133333,120.0002,94.2857333333,112.444466667,93.0158666667,106.666666667,96.9524666666
186.01,95.3788666665,110.000066667,116.288,127.5,125.3788,101.894066667,120.833333333,94.2424,110.454466667,98.6363333334
186.39,83.3332666667,92.9546666667,109.166666666,118.030333333,113.0302,94.3182000001,112.348466667,86.9697333333,102.6514,87.6515333334
186.77,78.8434666666,91.6326666666,98.4353333335,109.932,102.993133333,90.1360000001,104.285733333,84.9659333333,96.7346,81.5645999999
187.15,76.3829999999,88.8652666666,94.1133999999,107.021266667,99.2198666667,87.3049333333,100.6384,81.2765999999,93.6169333334,79.7873333333
187.53,71.3150666666,82.9359333333,87.9510666667,93.7614666666,91.2538666666,77.1255333333,93.3332666667,77.6758666667,85.1377333334,77.5533999999
187.91,72.0,83.2533333333,83.3066666667,85.7599999999,87.5733333334,70.6133333333,86.3999999999,72.2133333334,82.3466666666,75.2
188.29,75.7143333333,91.9046000001,93.6733999999,95.2379999999,94.1496000001,71.4964666667,94.8980000001,77.5510000001,87.3468666667,85.9183333334
188.67,82.7349333332,101.111066667,102.649733333,104.7008,98.5471333333,77.0084666667,106.5812,86.1537999999,93.5895999999,92.6494666665
189.05,65.4902666667,86.1961333333,90.9804,85.5686000001,84.7058666667,64.4705333333,94.8234666666,71.6861333333,83.2941333333,75.9215333333
189.43,55.2492,81.0728666666,82.2988,73.7931333335,70.9578000001,56.1686666667,84.1378666667,59.2337333333,70.9578000001,66.9732
189.81,57.4863333333,94.3169333333,101.202133333,88.7433333334,72.4591333333,61.8579333333,89.6176666667,56.5027333333,79.0164666667,70.2731999999
190.19,57.3134666667,89.4525999999,91.7412666665,84.2786666667,69.1542666667,49.3532,84.3780666667,55.1244,77.6119333333,68.1593333333
190.57,74.5096666665,121.307133333,121.3072,106.7974,92.6798666667,60.2615333334,118.169933333,74.5097999999,106.274533333,90.0653333335
190.95,93.0158666667,176.190333333,218.412666667,180.317533333,120.634933333,34.6032,195.2382,84.1270666666,147.3016,128.888866667
191.33,111.960866667,185.686266667,209.215666666,163.725466667,128.627466667,90.0000000001,191.764733333,118.039266667,165.490066667,129.804
191.71,140.000066667,270.1754,304.2106,243.157933333,155.0876,97.1931333333,287.0176,137.543866666,226.666666667,165.614133334
192.09,117.037066667,232.592533334,302.592533333,261.111066667,148.148266667,101.111133333,278.888866667,126.6666,214.8148,131.852
192.47,79.7221333333,175.2778,202.499933333,203.333333333,100.8334,68.0555333334,202.500133333,81.6665999999,153.055466667,77.7777333333
192.85,85.3969333333,216.825333333,238.4126,240.952466667,141.9048,86.9840000001,240.634866667,100.952266667,186.6666,87.9364666667
193.23,-68.5713333333,-439.047533334,-585.714199999,-556.190533334,-188.571333333,-58.0952,-491.4286,-85.7143333332,-369.523866667,-158.0952
193.61,39.1999999999,-66.3999999999,-122.133333333,-118.933333333,-16.2666666667,31.4666666667,-94.6666666665,21.3333333333,-57.8666666667,-26.1333333335
193.99,26.9230666667,-65.1279999999,-129.230666667,-115.640933333,-21.2819999999,27.9487333333,-114.8718,-8.97433333334,-54.6153333333,-34.1026000001
194.37,27.9069333333,-20.3102000001,-60.3100666668,-48.3721333334,8.83726666667,24.6510666667,-57.6743999999,12.2482,-26.8217333334,-1.55040000005
194.75,69.5237333333,-47.3016,-120.317533333,-106.031666667,33.6508666665,60.0,-103.492133333,27.9364666666,-26.3490666667,7.3016
195.13,162.857133333,-256.190333334,-477.142933333,-345.714399999,-51.4285333333,1.9047999998,-473.333333334,-4.76199999994,-102.857066666,-99.0476000001
195.51,76.7677333333,-1.01013333334,-61.4140666668,-38.1818,38.1817333334,53.3332666667,-54.7474,51.3130666667,24.6463333334,17.1717333333
195.89,54.9998000001,-5.60600000007,-49.6970000001,-27.5757333333,34.6969333333,38.7879333333,-42.8788,46.3635333333,20.4545333333,14.3938666667
196.27,61.9999999999,-8.16666666666,-52.1666666666,-15.5000000001,35.8333333334,49.5000000001,-44.8333333333,43.9999999999,20.5,15.8333333332
196.65,66.1904666667,-0.634999999926,-39.0476666667,8.57133333326,40.7935999999,53.3333333334,-27.3016000001,43.4920666667,27.6190666666,22.8572666667
197.03,63.5293999999,-0.196200000134,-62.1568000001,-7.84313333328,41.3725333333,51.7647333333,-51.5686000001,36.6667333333,10.3922666668,6.4705333334
197.40,60.0001333333,-37.9710666667,-103.4782,-50.4348000001,26.6666,48.6955333333,-100.289933333,19.7101333334,-11.0145333334,-15.6522000001
197.78,43.5294666668,-77.6472666667,-158.039266667,-115.294133333,11.3725333334,34.1176666667,-184.7058,-15.6862666668,-40.3922666665,-25.8823333334
198.16,58.6666666669,-49.3333333333,-89.3333333332,-83.6666666666,19.3333333334,50.0000000001,-129.666666667,8.66666666666,-38.6666666667,3.99999999994
198.54,69.7436,-16.1539333334,-48.2050666667,-51.7949333334,45.8973333333,61.2820666667,-76.4103333333,30.7692666667,-1.53839999987,19.4872000001
198.92,36.6666666667,-13.7037999999,-29.0740000001,-44.4445333334,34.4444666666,33.1481333334,-64.6296666666,17.4073333334,-15.7406,4.81486666673
199.30,24.1380666667,-27.1264666666,-37.4713333334,-66.8966666668,46.4367999999,43.9080666667,-85.0575333333,9.19526666667,-46.8966666666,-5.74713333322
199.68,78.9743333333,-29.7435333334,-36.9231333335,-123.589733333,112.8204,111.282133333,-167.1794,20.5127333334,-44.1025333333,19.4871333333
200.06,391.111066667,-8.88886666674,-146.666666667,-493.333266667,497.777800001,404.444399999,-651.111133333,-17.7776,-220.000000001,82.2222666673
200.44,74.0739333335,34.8148,28.1481333333,-18.0247333333,106.666666667,82.4692666667,-37.7776666666,43.4567333333,15.5557333334,32.0986666666
200.82,83.3333333332,43.8095333333,-16.6666,-100.952466667,170.9524,93.3334000001,-141.904866667,16.6668000002,-51.4285333331,18.0951333333
201.19,113.809533333,88.8095333333,63.5714666667,31.1904666667,159.999933333,109.0478,5.0000666666,94.0476,55.7142666667,89.7619333333
201.57,108.823533333,104.5098,81.5686,54.7057999999,168.235266667,110.980466667,16.6666666667,95.2941999999,73.3332,103.5294
201.95,75.4386666666,78.3625333333,68.304,62.5730666666,124.912266667,80.8186666666,41.9882666667,81.1696666667,58.0116,86.0818
202.33,83.2052666667,92.3076666666,74.8717333332,73.8462666666,148.718,92.0513333334,41.1538666667,97.6921999999,75.0001333333,88.8461333333
202.71,86.6665333333,94.2342666666,82.3423333333,79.8198,185.405466667,105.045133333,34.0540666667,102.8828,89.3693333332,96.9369999999
