wavelength,Back_DacNigf,Belly_DacNigf,Breast_DacNigf,Crissum_DacNigf,Crown_DacNigf,DorTail_DacNigf,Rump_DacNigf,Throat_DacNigf,WingTip_DacNigf
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
179.16,113.333333333,110.0,133.333333333,136.666666667,76.6666666667,156.666666667,160.0,93.3333333333,106.666666667
179.54,-155.555333333,-188.889,-94.4443333333,-188.888666667,-22.2223333333,-144.444666667,-99.9996666667,-138.889,-133.333
179.93,-47.619,66.6666666667,14.2856666667,14.286,133.333333333,61.905,-95.2383333333,-47.619,85.7143333333
180.31,-797.436,-630.769,-507.692333333,-623.076666667,-361.538333333,-623.077,-646.154,-479.487333333,-592.307666667
180.69,-668.75,-537.5,-418.75,-487.5,-320.833333333,-522.916666667,-541.666666667,-389.583333333,-477.083333333
181.07,-455.555333333,-317.460333333,-238.095333333,-347.619,-146.031666667,-309.523666667,-342.857,-204.761666667,-347.619
181.45,-221.666666667,-148.333333333,-106.666666667,-164.166666667,-54.1666666667,-147.5,-154.166666667,-89.1666666667,-168.333333333
181.83,-206.666666667,-141.666666667,-111.666666667,-146.666666667,-70.8333333333,-145.833333333,-150.0,-75.8333333333,-160.833333333
182.21,-215.0,-162.5,-118.333333333,-158.333333333,-100.0,-175.0,-138.333333333,-65.0,-182.5
182.59,-166.666666667,-124.666666667,-98.0,-110.666666667,-85.3333333333,-134.0,-90.6666666667,-37.3333333333,-142.0
182.97,-282.828333333,-206.060333333,-180.808,-172.727333333,-144.444333333,-215.151666667,-143.434333333,-67.6766666667,-214.141333333
183.35,-335.802333333,-290.123333333,-216.049333333,-214.815,-145.679,-216.049333333,-151.852,-61.7283333333,-260.494
183.73,-128.104666667,-94.1173333333,-66.6666666667,-64.052,-42.4836666667,-51.634,-42.4836666667,15.686,-102.614333333
184.11,-114.881,-80.9523333333,-48.8096666667,-56.5473333333,-39.881,-41.6666666667,-41.6666666667,22.024,-92.2616666667
184.49,-172.357666667,-157.723333333,-103.252333333,-104.878,-57.7233333333,-85.3656666667,-78.0486666667,11.382,-156.097666667
184.87,-245.454333333,-195.959333333,-154.545666667,-174.747333333,-97.9796666667,-117.171666667,-120.202,1.01033333333,-220.202
185.25,-236.458333333,-230.208333333,-189.583333333,-165.625,-141.666666667,-116.666666667,-111.458333333,-11.4583333333,-214.583333333
185.63,-362.121,-369.697,-325.757666667,-253.030333333,-234.848666667,-146.969666667,-160.606,-18.182,-350.0
186.01,-496.296333333,-448.148,-433.333333333,-353.704,-270.370333333,-190.740666667,-194.444666667,-18.5186666667,-462.963333333
186.39,3266.66666667,3011.11133333,3088.88866667,2333.33366667,1811.111,1333.33333333,1166.66666667,277.778,3088.88866667
186.77,507.407666667,496.296,483.333,357.407333333,305.555333333,201.851666667,183.333333333,51.852,492.592666667
187.15,-811.111,-729.63,-740.740666667,-592.592666667,-462.963,-251.852,-229.629666667,40.7406666667,-807.407
187.53,-7733.33333333,-6266.66666667,-7533.33333333,-5666.66666667,-5066.66666667,-3633.33333333,-2766.66666667,-433.333333333,-8100.0
187.91,430.158666667,379.365333333,430.158666667,306.349,293.650666667,261.905,204.762,119.047666667,482.54
188.29,380.555666667,347.222333333,408.333333333,294.444333333,252.777666667,277.777666667,202.777666667,131.944333333,411.111
188.67,474.074333333,409.259333333,537.037,364.815,322.222333333,375.926,283.333333333,138.888666667,531.481333333
189.05,6600.0,6500.0,8133.33333333,4266.66666667,3800.0,4966.66666667,3033.33333333,1166.66666667,8133.33333333
189.43,1047.619,1085.71433333,1209.52366667,704.761666667,704.761666667,895.238,547.619,328.571333333,1209.524
189.81,1061.905,1119.04766667,1138.09533333,761.904666667,790.476333333,942.857,552.381,400.0,1228.57166667
190.19,659.259,774.074,811.111,488.888666667,540.741,674.074,344.444333333,233.333333333,851.852
190.57,1383.33333333,1708.33333333,1541.66666667,833.333333333,1216.66666667,1375.0,816.666666667,441.666666667,1775.0
190.95,820.833333333,1012.5,933.333333333,579.166666667,741.666666667,920.833333333,629.166666667,416.666666667,970.833333333
191.33,352.631666667,443.859666667,426.315666667,247.368333333,347.368666667,421.052666667,271.929666667,226.315666667,421.052333333
191.71,314.035,426.315666667,392.982333333,219.298333333,349.122666667,384.210333333,242.105333333,182.456333333,375.438666667
192.09,326.666666667,457.778,497.777666667,277.777666667,446.666666667,428.889,273.333,122.222,366.666666667
192.47,220.833333333,375.0,435.416666667,200.0,404.166666667,329.166666667,189.583333333,97.9166666667,270.833333333
192.85,296.296333333,603.703666667,640.740666667,181.481333333,737.037333333,470.370333333,159.259333333,148.148333333,262.963
193.23,163.157666667,375.438333333,347.368333333,159.649,373.684333333,322.807,157.894666667,163.158,207.017666667
193.61,178.333333333,321.666666667,335.0,163.333333333,308.333333333,298.333333333,106.666666667,153.333333333,223.333333333
193.99,131.111,219.999666667,219.999666667,93.333,215.555333333,195.555333333,71.111,103.333333333,140.0
194.37,186.956666667,298.551,253.623,108.695666667,304.348,217.391333333,79.7103333333,146.376666667,195.652
194.75,206.666666667,456.666666667,500.0,150.0,663.333333333,353.333333333,33.3333333333,260.0,286.666666667
195.13,75.5556666667,206.667,286.666666667,-24.4443333333,355.555666667,108.889,-93.3333333333,48.8886666667,148.889
195.51,3.03033333333,281.818333333,327.272666667,-39.3943333333,439.394,36.364,-151.515,-87.8786666667,154.545666667
195.89,9.52366666667,153.968666667,158.73,-19.0476666667,220.635,11.111,-69.8413333333,-34.9206666667,82.5396666667
196.27,-18.5183333333,99.9996666667,83.9506666667,-51.8516666667,148.148333333,12.3453333333,-81.4813333333,-3.704,74.074
196.65,14.2856666667,78.095,62.857,-35.2383333333,119.047333333,24.762,-43.8093333333,12.3806666667,83.8096666667
197.03,13.5803333333,56.7903333333,51.8516666667,-15.4323333333,82.716,25.3086666667,-12.3456666667,25.926,85.8023333333
197.40,24.4896666667,33.333,56.4623333333,-29.932,119.728,14.2856666667,-23.8096666667,28.5713333333,81.633
197.78,19.54,35.0573333333,56.8963333333,-35.0573333333,114.367666667,16.0916666667,1.18423789293e-15,39.0806666667,73.563
198.16,-15.0793333333,18.254,54.762,-78.5716666667,136.507666667,-19.8413333333,-1.58766666667,26.984,64.286
198.54,-14.5833333333,10.9376666667,50.0003333333,-38.5413333333,94.7916666667,-7.29166666667,13.0206666667,26.5626666667,49.4793333333
198.92,11.8143333333,32.4896666667,61.6033333333,-13.9243333333,89.8733333333,11.3923333333,32.0676666667,43.4596666667,63.2913333333
199.30,11.2553333333,44.5886666667,70.5626666667,-2.16433333333,99.1343333333,17.749,34.199,65.368,70.996
199.68,10.1306666667,37.2546666667,56.863,-5.55533333333,73.5293333333,20.2613333333,28.4313333333,58.8236666667,58.1703333333
200.06,8.602,39.068,62.724,0.358666666667,85.3046666667,27.5986666667,34.4086666667,63.4406666667,58.0646666667
200.44,11.565,50.0,58.5036666667,9.86433333333,80.9523333333,32.313,44.5576666667,66.3266666667,57.483
200.82,7.326,60.0733333333,58.2413333333,7.32566666667,83.1503333333,35.531,44.3223333333,62.6376666667,59.707
201.19,-3.25166666667,38.6183333333,49.187,13.4143333333,73.9836666667,23.5773333333,39.0243333333,60.9756666667,49.187
201.57,-14.286,26.7396666667,33.6996666667,17.9486666667,56.7766666667,16.4833333333,32.2346666667,50.183,40.6593333333
201.95,-15.2776666667,12.5,16.6666666667,18.403,37.5,10.4166666667,25.0,36.8056666667,23.6113333333
202.33,-9.804,10.4573333333,16.34,20.5883333333,39.5426666667,24.837,24.183,48.6926666667,27.7776666667
