wavelength,Back_DacVenf,Belly_DacVenf,Breast_DacVenf,Crissum_DacVenf,Crown_DacVenf,DorTail_DacVenf,Patch10_DacVenf,Patch11_DacVenf,Rump_DacVenf,Throat_DacVenf,WingTip_DacVenf
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,83.3334166667,83.8889166667,93.1793884616,84.4443333333,108.055541667,91.1110833334,77.2220833333,98.3333333333,72.22225,83.611125,83.0555833334
179.16,347.222166667,302.77775,319.017132692,266.666666667,354.166666667,222.222333333,225.000166667,425.000083333,250.0,308.333416667,369.444458333
179.54,169.4445,211.111166667,133.65378718,25.0001666667,116.666583334,86.1111666666,19.4444166666,161.111083333,-5.55558333325,191.666708333,129.166708333
179.93,-27.77775,-69.4445,-13.9458660257,20.3703333333,-7.40754166665,-47.22225,-6.48141666667,-75.9259166667,32.4075,-42.1294583333,-19.9073750001
180.31,90.1202499999,93.4707500001,93.0246403846,86.6839166667,103.049833333,93.6425833334,65.9793333333,116.409083333,56.701,83.0755416666,98.1099166667
180.69,83.106,85.0000833333,85.4115711538,75.7576666666,94.2045416668,85.6816666667,60.3028333333,104.999916667,48.71225,75.1515416667,94.4317083334
181.07,88.3511666668,90.3226666668,86.9657237178,74.6413333333,94.3098750001,89.8747500001,59.5879166667,110.394333333,44.9820833334,77.0609166667,100.134583333
181.45,81.6849999999,86.8130833334,81.3432929487,66.7580000001,92.5824583334,90.2015000001,56.8681666667,103.022083333,36.6300833333,70.6959166667,94.4595000001
181.83,75.6472499999,80.2588333332,78.5877634615,63.2684999999,88.673125,85.7605000001,56.39175,97.8153333332,37.055,60.1537916667,92.1116250001
182.21,69.6637499999,72.807,78.1495429487,64.5468333332,84.7587499999,78.1433333332,56.1403333333,88.7427499999,40.4970833333,53.3990416666,91.7762916666
182.59,64.2974166666,68.8725,73.5449134615,59.3136666668,82.6798333333,77.1240833334,51.87925,84.0685833333,35.37575,46.6503333333,89.0114166666
182.97,65.3226666666,68.19,71.1944820513,51.7026666667,87.4103749999,80.0179166667,54.3011666666,81.8100833333,35.48375,42.8315,87.2758333333
183.35,65.0343333334,63.6598333334,67.7140935897,47.5086666667,83.0755416667,78.866,54.2095833333,73.6253333333,35.3093333333,40.8935416667,84.4502916668
183.73,63.7036666668,62.6850833334,65.4828820513,42.6851666667,83.9814166667,81.1111666666,56.4815,76.2960833333,37.9629166667,37.9166666667,90.9722916668
184.11,61.1110833333,55.2469166667,61.3706358974,34.0533333333,77.7263750001,76.5431666666,55.1439166667,69.3416666667,30.04125,36.6255416667,95.9360416668
184.49,58.1896666666,50.7184166667,55.3403282051,23.9944166667,77.1550416668,76.72425,49.8563333333,61.2069166667,14.9425833333,29.956875,106.681125
184.87,68.8033333332,63.4615,67.5345192308,35.6837499999,107.264875,99.7863333332,60.4700833333,82.9060833333,20.513,36.324875,144.871666667
185.25,52.6315833333,45.4679166666,57.2974692308,41.0819166667,85.7456666667,77.9240000001,49.1228333334,65.93575,24.41525,32.163625,109.502916667
185.63,43.5605,31.06075,45.7809820513,38.1315,61.363625,62.2475833334,33.712,48.9899166667,16.1615833333,22.664125,90.9090833333
186.01,30.8333333333,20.6666666667,33.8371794872,27.3333333333,49.4166666667,60.8333333333,24.3333333333,32.8333333333,1.33333333332,6.75,91.9166666667
186.39,5.99425000001,0.292416666675,0.0719230769325,1.31575000001,23.7573333333,29.6785,-2.19291666668,3.50866666667,-15.93575,-16.374,47.7340833334
186.77,-1.41016666667,-5.38458333333,-12.1125294872,-5.25625000001,11.9872916667,14.6155,-7.69233333333,-14.1025,-25.1281666666,-24.7435833333,36.6025416667
187.15,9.90750000001,6.01841666666,1.0219967949,7.12966666667,15.370375,18.7036666667,6.11108333333,-0.00016666665,-6.66666666667,-8.28695833333,38.5647916667
187.53,0.456583333325,5.82191666667,-5.87983974357,-2.85391666666,8.048,17.80825,0.342583333325,-11.6438333333,-11.6438333333,-15.1256666667,42.7512916667
187.91,9.25916666668,15.7405833333,10.8902153846,5.32408333333,16.9560833333,31.0185,10.6480833333,-2.43041666668,-4.51391666668,-2.02529166667,50.8100833334
188.29,-0.57475,16.954,11.8192782051,-2.87366666667,13.9367916667,35.4884166667,11.2068333333,-5.17249999997,-6.03441666665,-7.32745833333,59.410875
188.67,3.93091666667,22.6415833333,18.2826442308,-6.60366666668,14.9370833333,37.8930833333,23.8993333333,1.41525,0.943333333342,-13.8362916667,59.1195
189.05,12.2023333333,20.387,22.198824359,-13.6904166667,15.4762083333,41.5179999999,35.119,-5.65466666665,6.69641666668,-10.342375,54.241125
189.43,8.95833333333,18.1250000001,16.1778846154,-44.5833333333,5.2083333333,46.875,47.0833333333,-30.8333333333,2.91666666667,-21.7708333333,68.0208333334
189.81,-27.5000000001,-8.3333333335,-9.64102564107,-163.75,-29.5833333333,34.1666666667,79.5833333334,-102.5,-4.58333333326,-90.6249999999,85.2083333333
190.19,-1.04166666675,-22.9166666667,-10.2443910256,-185.9375,-25.7812500001,57.8125000001,113.020833333,-117.708333333,38.0208333333,-86.9791666666,121.614583333
190.57,131.944416667,61.1110833333,93.6859147438,-154.166666667,69.7915833333,194.444333333,245.139,-27.7778333333,154.166666667,27.0834166665,300.347208333
190.95,-654.166666666,-112.500000001,-492.788461537,1120.83333333,-250.0,-858.333333333,-1179.16666667,287.500000001,-979.166666668,-110.416666668,-1722.91666667
191.33,5.43483333335,51.0868333334,13.7959448716,156.521666667,23.913,-3.26083333342,-41.6666666667,86.232,-30.43475,69.9274583333,-96.3769583334
191.71,0.0,65.5795833333,12.6171250001,133.695666667,24.8189583333,9.78258333335,-39.4928333332,77.1740833333,-36.9565833334,86.7753333333,-74.09425
192.09,28.7036666667,92.5926666668,56.7283,143.21,61.265375,55.5556666666,-6.79008333325,110.185333333,-3.39499999997,127.623375,-7.716
192.47,-48.1481666667,187.962916667,95.5055839745,317.592416667,112.036958333,67.5925,-116.66675,250.925833334,-99.0741666665,265.740791667,-49.074125
192.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
193.23,-12.1795833332,-146.15375,-116.35601859,-210.2565,-124.038458333,-79.4871666667,38.4614166666,-214.1025,61.5384999999,-218.589625,0.640916666675
