wavelength,Back_DacVenm,Belly_DacVenm,Breast_DacVenm,Crissum_DacVenm,Crown_DacVenm,DorTail_DacVenm,Patch10_DacVenm,Patch11_DacVenm,Rump_DacVenm,Throat_DacVenm,WingTip_DacVenm
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,78.2221333333,92.8888000001,86.1196666667,94.2223333334,102.666533333,100.666566667,95.1110666666,84.4444666667,113.333333333,99.5555333334,78.0001333333
179.16,222.2222,337.777733333,205.640964102,360.0,335.5556,356.666766667,317.777866667,191.111133333,382.222266667,393.3334,242.2221
179.54,100.000133333,153.333266667,90.4273282051,202.2222,184.444466667,53.3332666666,184.444533333,64.4443999999,195.555666667,197.7778,48.8888
179.93,-13.3333333333,-43.7036,15.840425641,-34.8148666667,-12.5924666667,-6.29636666667,-29.6296,-8.88899999999,-35.5556666667,-16.2963333333,2.963
180.31,88.9346,96.7011333334,75.7228461539,111.958866667,99.1064666667,100.1375,94.3641333332,78.5567333333,110.309333333,107.628933333,80.8247333333
180.69,81.8181333333,88.4849333333,68.9323641026,103.939333333,93.0302666666,90.4849666667,87.7575333333,72.0607333333,100.060533333,97.7575333333,77.5453333333
181.07,86.9534,90.1790666667,66.4902615385,110.465933333,93.9068000001,94.1217000001,86.6666,72.4731999999,102.437333333,104.372666667,79.1756333333
181.45,85.6411333333,81.7582666666,64.6267948718,108.571466667,88.6448,87.9854333333,80.4395333333,72.0879333333,99.9999333333,99.3407333333,75.0549666667
181.83,80.7768666667,74.8866666666,65.1132871795,99.3527333333,84.4013333334,86.2782999999,74.7572666666,69.7088,93.5922,90.2912,68.5114333333
182.21,77.1345333333,71.4034,66.1763435897,93.6842666667,83.9766666667,84.1520000001,69.1813999999,67.4854666667,89.4737333333,87.7778666667,66.6372666667
182.59,70.3921333333,66.7974000001,60.5277692308,88.1045333333,85.0326666667,81.7645999999,65.6209999999,63.2026,85.0980666667,87.2548666667,62.7122666667
182.97,71.5411333333,65.8782,59.520225641,86.3798666665,86.0215333333,81.5772333333,64.086,65.448,86.5231999999,86.2364666667,64.2292333333
183.35,66.8040666667,61.0996666667,56.383974359,81.3059333334,84.8109333334,77.3196333334,58.2817333333,61.7871333333,83.4364000001,80.2748666667,66.6665333333
183.73,62.7407333333,59.7777333333,54.3987948718,82.7406666667,90.2223333333,74.4814,57.3334000001,63.2592666667,81.1111333333,75.4074666666,64.7035666667
184.11,60.1645333333,53.4155999999,53.4537846154,83.21,89.4650000001,73.2099666666,56.1317999999,58.7654666667,76.0495333333,70.6173333333,55.1028
184.49,61.9540666667,45.4023333333,50.2741897437,91.4942666666,103.5632,82.8735999999,50.3447333334,60.5747333333,82.1838,67.8159999999,51.839
184.87,74.1880666666,47.5213333333,63.7474769232,119.658133333,137.265066667,114.273533333,58.1196666667,79.4871333334,114.017,93.5043333333,53.4189333333
185.25,57.4268,42.3391999999,55.2856051282,95.4387333333,109.3568,91.4035666667,53.0993999999,68.0702666667,91.5788666667,67.1345333335,44.6199333333
