wavelength,Back_DelCasf,Belly_DelCasf,Breast_DelCasf,Crissum_DelCasf,Crown_DelCasf,DorTail_DelCasf,Patch10_DelCasf,Patch11_DelCasf,Rump_DelCasf,Throat_DelCasf,WingTip_DelCasf
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,-86.6666666667,-20.0,-53.3333333334,180.0,300.0,273.333333333,340.0,433.333333334,333.333333334,-106.666666666,173.333333333
179.16,6.66666666674,-6.6666666668,-16.6666666668,86.6666666669,89.9999999999,200.0,96.6666666666,240.0,29.9999999998,33.3333333333,130.0
179.54,22.4241333333,46.6668,29.0909333333,26.0605333333,36.3637333333,76.9697333333,43.6364,62.4240666667,49.0908666667,30.9091333333,47.2726666667
179.93,-68.8888666666,-2.2222,-95.5556666667,-24.4444666667,-35.5554666667,133.333333333,11.1110666668,75.5556000001,26.6667333334,-46.6666666668,55.5555333333
180.31,-7.21313333334,-1.6394,-7.86879999999,0.87433333332,18.1421333333,49.3988,20.3279333333,56.7214,8.96166666668,-20.5464,30.7104666667
180.69,3.03026666666,7.70566666666,0.43286666668,9.00413333336,20.9523333333,51.9480666667,25.1949333334,59.2208666667,16.1905333333,-8.9178,35.3246
181.07,10.2778,15.0695333333,8.4722,16.1806666667,23.0556,53.3332666667,26.4583333333,54.1666666667,18.9582,5.9722,37.4305333333
181.45,10.679,18.9505333333,11.4814666667,16.9135333333,23.3333333333,49.5062,25.9259333334,51.6666666667,21.9136,9.75299999999,35.9258666667
181.83,10.5555333333,17.4306,13.3334,17.361,25.0,52.4306,26.7360666667,58.5418,23.9583333333,10.2778,38.125
182.21,10.5072,16.6666,14.0578666667,17.1013333333,25.145,52.3187333333,25.1448666667,61.9566,22.4638,8.47819999999,36.2319333333
182.59,7.87146666667,12.6104666667,13.3334,12.6906666667,20.3213333333,53.8956,20.8031333333,64.5782,20.1606,3.93559999999,32.7712
182.97,9.90986666666,12.7928,12.2522666667,16.0359333333,20.4504666667,60.5404666667,20.9908666667,72.9729333333,19.2791333333,2.52260000001,34.8648666667
183.35,15.2,18.2220666667,13.0667333333,24.4444666666,27.3777333333,65.9554666667,25.9555333334,77.0666,25.689,8.08879999999,36.6221999999
183.73,13.224,13.3333333333,10.9289333334,24.9179999999,31.3661333333,78.2513999999,29.1802666667,83.3878666667,23.7158666667,6.55733333333,40.4372
184.11,11.9299333333,-1.57906666668,6.31580000002,24.2106000001,39.2983333334,122.105266667,35.0876666666,124.736733333,21.5790666667,-1.40339999999,45.7894
184.49,25.4263333333,10.6977333333,28.2170666667,40.3100666667,46.6665333333,117.519533333,43.8759333333,130.077533333,33.1782666666,17.8294666667,49.4574666667
184.87,8.6666666666,-7.33326666674,31.5556,44.0000666666,48.4443999999,143.111066667,28.6667333333,161.555466667,22.6667333334,0.66666666668,44.8888666667
185.25,-33.3334000001,-135.5556,72.2221333334,88.8888666667,145.555533333,584.444466667,-17.7778,728.888933333,13.3333999999,-177.777866667,86.6666
185.63,101.481466667,-42.2223333336,122.963,151.851866667,176.296333333,481.481266667,56.2964666668,558.518533333,60.7406666666,-55.5555333334,156.2964
186.01,45.7143333332,-19.3651333334,33.3332666666,71.4285999999,80.9523333333,205.3968,13.6508,220.952466667,13.6508666666,-28.254,58.0951333332
186.39,34.3750000001,-26.0416666666,12.9166666667,46.4583333333,53.1250000001,121.458333333,9.58333333328,126.041666667,8.75000000013,-21.0416666667,36.2500000001
186.77,22.2222,-49.6296666669,-19.2591333332,38.5186666665,44.9383333333,116.049466667,2.2222666666,116.0494,1.23473333346,-47.6543333333,20.2469333333
187.15,32.4137333334,-18.1610666667,-3.21839999999,52.4138666667,58.1608666666,121.839066667,24.5976666666,129.884866667,39.3103999999,-14.7126,37.4713999998
187.53,51.1111333333,-4.889,9.11106666666,71.5555333332,70.4446000001,134.666666667,35.1111333333,134.888933333,58.0000000001,5.77779999999,53.3333333331
187.91,53.1884666667,18.2608,16.2317333333,62.1740000001,55.7971333333,102.1738,37.6812,100.7246,58.5506666667,22.8986666667,48.4058666667
188.29,39.5434,18.7214666666,14.3378,48.8584,41.3698666667,67.6711333333,27.0319333333,66.6668000001,46.0274,24.6574,38.9954
188.67,33.633,18.5767333333,10.487,44.045,36.4045333334,57.8278666667,25.8427333333,51.4607333333,42.4718666667,24.3446,38.4268
189.05,42.1359333333,25.2428,15.6633333333,48.7378666667,41.9417333334,57.3462666667,35.2102,53.2038,48.2200666667,31.6505333334,43.8834666667
189.43,41.1111333333,22.1111333333,15.5000666667,44.1666,36.9999333333,48.3888666667,33.5,44.5556,42.8334,30.3888666667,39.0554666667
