wavelength,Back_DelCasm,Belly_DelCasm,Breast_DelCasm,Crissum_DelCasm,Crown_DelCasm,DorTail_DelCasm,Patch10_DelCasm,Patch11_DelCasm,Rump_DelCasm,Throat_DelCasm,WingTip_DelCasm
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,-106.666666667,33.3333333332,-13.3333333332,13.3333333333,226.666666667,306.666666667,-39.9999999998,613.333333333,146.666666667,126.666666667,-120.0
179.16,96.6666666666,70.0000000001,-33.3333333331,46.6666666667,123.333333333,110.0,93.3333333334,320.0,36.6666666666,110.0,-120.0
179.54,53.3332666667,38.1818666667,38.1818666667,44.8484666667,43.0302666667,46.6667333333,21.8182666667,84.8484666667,40.0000666667,52.1212,7.27286666665
179.93,20.0000000001,8.8888,2.22213333334,-11.1110666667,-42.2222666667,22.2221999999,-2.2224,77.7778666667,-40.0000000001,-37.7777333333,-77.7778000001
180.31,0.76500000002,-0.9836,-9.94540000001,-9.50813333334,19.7814666667,16.9398666667,16.6120666667,48.6339333333,-0.109333333326,20.6556666666,-21.7486
180.69,11.8614666667,8.57140000001,-1.47186666669,0.952399999986,25.9739333333,25.5411333333,21.2988,49.7837333333,11.9481333333,26.6665333333,-11.4286
181.07,21.7360666667,16.0416666666,7.22226666667,9.7222,30.2083333333,29.7916666667,29.1666666667,44.0972,19.3748666667,30.9028,-2.36100000001
181.45,22.4690666667,17.5925333333,10.0617333333,11.9753333333,28.5802666667,29.6296,29.5678,37.5926,21.5432,30.1235333333,2.59253333333
181.83,22.6389333333,17.8472,8.88886666667,9.44446666667,29.5832,30.4166666667,35.6944,37.0138,25.4166666667,31.8056,3.33333333333
182.21,22.5362666666,13.9854666667,7.82613333334,4.85506666667,29.9275333333,30.3622,35.507,35.3624,26.1593333333,34.6377333333,3.11599999999
182.59,20.6426666667,5.46179999999,5.14046666666,-1.52613333332,25.6226,30.763,31.3252,31.0844,22.49,34.8594,-2.81120000001
182.97,21.1711333333,4.86473333333,5.67573333333,2.61253333336,25.8558666667,37.7476,31.2612666667,30.5405333333,25.1352666667,37.6576666667,-6.21626666666
183.35,26.1334,12.1777333333,10.7556666666,9.95553333334,31.4666,46.2222,32.3556,32.8,29.4222666667,44.2666666667,3.28886666666
183.73,29.1802,12.4591333333,8.63386666665,6.8852,29.5082,51.2568,34.0983333334,34.0982,30.4918666667,47.6503333333,-2.29506666665
184.11,38.7719333333,3.50880000002,8.24573333332,-1.92980000001,25.9648666666,79.2983333335,41.4034666667,38.4211333333,43.5087333333,61.2280666667,-13.6841333333
184.49,55.8141333333,20.0000666667,23.7208666667,15.9689333333,33.7984666666,82.6356666665,40.6201333333,50.2325333333,47.7519333333,61.7055333334,1.24033333334
184.87,49.111,4.44453333334,11.7778,-9.55566666674,19.7778,81.5553999999,27.3333333334,44.8888,26.4445333333,57.1112666666,-15.9999333334
185.25,88.8889333334,-97.7777333335,-34.4443333333,-190.000133333,-62.2222666665,237.777666667,-52.2220666666,97.7778,-25.5554666667,120.0,-142.2222
185.63,128.148133333,0.740733333406,70.3704000002,-49.6296000001,41.4814666667,231.8518,28.1481333333,139.999933333,52.5925333333,168.148066667,-7.4074
186.01,40.6350666668,6.34913333327,32.0634666667,-14.9205999999,14.2855999999,96.5079999999,8.88880000006,46.0316666667,7.93653333333,71.746,-6.0317333332
186.39,15.0,13.125,20.0,0.62499999998,9.1666666666,69.5833333335,4.58333333334,22.7083333333,-3.54166666665,44.5833333333,6.87500000006
186.77,-14.0740666666,12.0987999999,17.7778,-11.1112000001,-20.7407333333,58.0247333333,-9.87653333334,4.19753333328,-33.0864666666,25.9260666667,0.24686666654
187.15,12.4138,49.6551999999,54.4828000001,8.0458666666,5.7471333334,67.5861333333,8.27586666668,21.6092,-12.1839333333,47.8160666666,36.0919333333
187.53,41.5556,77.3333333333,70.6665999999,23.3333333333,21.3334000001,82.2223333333,24.2222666667,35.1112,17.5555333333,64.2222,60.2221999999
187.91,42.6086,64.3479333333,60.145,33.1884666667,32.6088666667,69.2753333334,35.0724,36.232,35.5072,57.6810666667,56.6666
188.29,34.4291333333,49.3150666667,46.3015333333,30.959,29.1324,47.1232666667,31.9634666667,31.5981333333,26.3015333333,47.306,41.0959333333
188.67,27.1910666667,47.1910666667,41.1984,31.4607333333,29.9626666667,41.2734666667,31.3108666667,27.3409333333,25.7678,46.1424,37.0037333334
189.05,32.8802,53.9159333333,49.7087333333,40.3882666667,36.2459333333,48.5436666667,40.1941333333,32.1683333333,35.1456666667,54.9513333333,43.3655333333
189.43,30.5556,48.9444,45.2222666667,39.4999333333,33.2777333333,44.5555333333,40.0556,27.8889333333,34.7778666667,52.7777333333,40.3889333333
189.81,30.6895333333,51.8964666667,45.1724,41.3218666667,32.3563333333,43.1034666667,40.4022666667,26.4368666667,36.6090666667,53.5059333333,40.9196
190.19,36.8504666667,55.3806666667,49.1863333333,45.4593333333,33.7007333333,47.2441333333,42.0998,31.6536666667,42.2046666667,53.1232666666,45.4068
190.57,45.3716,62.1582666667,56.1150666667,52.1822666667,41.4868,51.6547333333,49.7841333333,39.7121333333,51.4627333333,59.0886666666,51.5107333333
190.95,50.7856,66.4542666667,59.4056666667,56.0934666667,49.2993333334,56.3481333333,54.1826666667,45.4778,58.5988,62.7602,55.5839333333
191.33,53.9203333333,71.5304,63.1026666667,60.629,56.6456666667,60.8386,60.7548,51.6981333334,65.6184,67.2536666667,60.1258
191.71,53.5468,71.8376,64.0171333333,61.2393333333,59.0171333333,61.0256,63.3332666666,52.3504,66.5812,67.0513333333,62.2222
192.09,54.3225333333,72.3440666667,65.5053333333,59.0969333333,58.9248666667,60.1290666667,62.8387333333,51.6989333333,65.7204,67.3118,61.8493333333
192.47,56.3964,76.3062666667,68.7838,61.8467333333,61.7116,61.9369333333,64.9099333333,52.4324666666,69.8198,68.6485333333,64.7747333333
192.85,56.2646666667,75.3663333333,68.2743333333,58.4869333333,60.6619333333,59.6218,66.7612666667,50.3546666667,70.6856,67.1868,65.4847333333
193.23,55.0617333333,71.358,65.1852666666,54.2224,59.8022666667,56.5926,64.8888,47.3088,69.7282666667,62.6174,63.3580666667
193.61,56.0100666667,71.8687333333,66.9696666667,53.6869333333,60.8586,57.1214,64.7475333333,50.9090666667,69.9999333333,62.8283333333,65.3536666667
193.99,54.9578666667,74.4537333333,71.4285333334,50.9244,62.2969333333,58.4872666667,65.3781333333,50.8124666667,70.8684666667,62.8572,67.6750666667
194.37,55.8075333333,77.4570666667,73.4706666666,49.2096,66.3917333333,56.8384666666,66.3916666667,50.5155333333,69.2096,67.7665999999,73.4708666667
