wavelength,Back_DigAlbm,Belly_DigAlbm,Breast_DigAlbm,Crissum_DigAlbm,Crown_DigAlbm,DorTail_DigAlbm,Patch10_DigAlbm,Rump_DigAlbm,Throat_DigAlbm,WingTip_DigAlbm
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,-113.333333333,-216.666666667,-313.333333333,-230.0,-120.0,-186.666666667,-290.0,-106.666666667,-243.333333333,-276.666666667
179.16,3.5527136788e-16,-33.3334,1.48139999998,-26.6667333333,-20.0000666667,4.44453333333,-50.3705333334,0.000133333354,-26.6666666667,-13.3334
179.54,-14.0740666667,-64.4444666666,-30.3703333333,-62.2221333333,-50.3704,-50.3704,-85.9258666667,-14.0741333333,-25.9258,-40.0000666667
179.93,-29.5238000001,-64.7618666666,-36.1904666667,-41.9047333334,-6.66660000002,-30.4762666667,-51.4286,-37.1428666667,-13.3333333334,-52.3808666667
180.31,-63.5897333334,-116.282066667,-83.4614666666,-113.077,-88.4614666667,-87.6924666667,-123.4614,-76.5384666667,-111.5384,-115.8974
180.69,-82.9486,-138.846,-102.435933333,-138.974266667,-106.4102,-108.333333333,-144.102666667,-98.4616,-135.3846,-138.461666667
181.07,-91.9231999999,-148.846266667,-107.435933333,-150.8974,-120.384666667,-117.9486,-153.2052,-109.230866667,-145.769133333,-148.717933333
181.45,-109.71,-173.043533333,-132.898533333,-180.7246,-150.000066667,-151.014466667,-179.4202,-137.246466667,-177.246333333,-172.753666667
181.83,-199.569933333,-273.763533333,-230.3226,-292.903133333,-241.290266667,-245.806466667,-286.666666667,-252.258133333,-312.043,-288.602066667
182.21,-171.481466667,-222.777666667,-195.370466667,-247.4074,-205.370266667,-213.3334,-240.740666667,-212.963,-269.4444,-241.111066667
182.59,-207.047533333,-253.5238,-228.9524,-267.619066667,-236.380866666,-247.619,-269.523866667,-246.285733333,-297.1428,-269.142933333
182.97,-244.166666667,-281.666666667,-262.708333333,-296.875,-271.25,-277.708333333,-308.541666667,-281.666666666,-324.166666667,-295.625
183.35,-323.3332,-363.076866667,-353.589666667,-401.0256,-358.717933333,-376.410266667,-399.230933334,-368.2052,-425.641133333,-405.128333333
183.73,-380.289933333,-393.043333333,-401.739133333,-454.782533333,-403.768066667,-429.855066667,-447.536133333,-423.768133333,-486.087,-458.550666667
184.11,-301.190533333,-296.9048,-317.142733333,-364.047466667,-313.571333333,-332.618933333,-348.3332,-350.7142,-382.619066667,-358.5714
184.49,-178.9148,-170.697533333,-189.9224,-215.658933333,-175.968866667,-200.465266667,-205.891533333,-205.271466666,-227.596933333,-213.953466667
184.87,-142.133333333,-135.466666667,-158.4,-168.4,-144.8,-161.466666667,-168.533333333,-165.2,-185.066666667,-170.666666667
185.25,-124.7058,-110.3268,-136.339933333,-146.405133333,-123.006533333,-140.3922,-145.098133333,-151.2418,-166.143933333,-148.6274
185.63,-137.066666667,-110.933333333,-145.333333333,-147.866666667,-118.533333333,-140.933333333,-145.466666667,-157.733333333,-171.866666667,-160.933333333
186.01,-100.2942,-80.1961333334,-106.372533333,-105.9804,-89.7058666666,-103.8236,-103.333466667,-110.9804,-119.313733333,-117.157
186.39,-100.098133333,-81.1765333334,-114.215666667,-108.627533333,-93.8235333333,-108.333333333,-107.549066667,-117.745066667,-125.686266667,-119.313666667
186.77,-74.3109333333,-57.1555333334,-89.2444666667,-88.8888000001,-64.5334,-83.6443333335,-81.8666000001,-92.0888666666,-100.888933333,-90.4000000001
187.15,-38.5439333333,-28.0459333333,-54.1762666667,-54.3296666667,-29.0421333333,-49.9618,-49.2720666667,-57.4712666666,-64.8275333333,-53.0268
187.53,-36.6275333333,-24.0,-48.4704666667,-49.804,-26.7451333333,-44.4706666667,-48.5490666667,-54.6665333334,-60.3135333333,-45.1763333333
187.91,-24.6666666667,-11.2592,-31.3332,-37.037,-14.0000666667,-31.926,-36.5926,-42.0,-45.7778,-34.1481333333
188.29,-38.0248666667,-21.8929333333,-41.8106666667,-50.2882666667,-22.963,-48.9711333333,-52.4280666667,-52.5926,-58.8477333333,-48.4774
188.67,-69.6175333333,-44.9180000001,-77.7049333334,-85.4646,-47.2130666667,-82.5136666666,-85.7923999999,-85.0273333333,-91.9124666668,-84.2623333333
189.05,-86.0377333333,-49.1823999999,-88.3019333333,-99.371,-51.6982,-94.5913333334,-101.509533333,-90.8174666667,-103.018866667,-103.2704
189.43,-69.2755333333,-36.5217333333,-71.8840666667,-74.1063333333,-39.8068,-73.5265333333,-79.5168666668,-65.9903333333,-78.1641333333,-82.0290666667
189.81,-67.0422000001,-35.2112,-70.2347333333,-73.6151333333,-41.8778,-71.6431999999,-79.0611333334,-64.7886666667,-74.5540666667,-76.5257333333
190.19,-51.1416,-18.4476,-56.6208666667,-57.0776,-24.7489333333,-54.0638666666,-65.6621333333,-52.1462666667,-56.2556666667,-57.7169333334
190.57,-83.9999333334,-38.0,-80.4444666666,-88.2221999999,-47.4444,-74.8889333333,-95.7778,-82.2221999999,-84.2222666666,-87.2223333335
190.95,-166.833333333,-91.9999999999,-150.833333333,-164.333333333,-112.166666667,-141.5,-181.666666667,-166.5,-169.0,-170.5
191.33,-452.631466667,-262.456066667,-393.684333333,-427.7194,-329.1228,-364.210466667,-461.7544,-428.0702,-442.807066667,-444.5614
191.71,-325.866666667,-170.133333333,-265.066666667,-291.466666666,-223.466666667,-234.133333333,-319.466666667,-296.0,-303.2,-301.333333333
192.09,-277.7778,-145.777733333,-230.222133333,-251.555533334,-194.6666,-196.2222,-272.222133333,-247.777733333,-249.111133333,-242.000066667
192.47,-172.4786,-61.7094666667,-133.1624,-144.102533333,-107.008533333,-97.7777333331,-161.538466667,-144.102466667,-140.342,-134.871666667
192.85,-151.111266667,-44.8888,-104.4444,-112.2962,-91.5556,-72.1480666666,-134.814733333,-123.555533333,-114.8148,-102.370466667
193.23,-178.461466667,-42.5640666667,-112.991533333,-125.812,-101.025533333,-80.0000666667,-145.470066667,-153.846066667,-124.2734,-104.786266667
193.61,-542.8572,-142.857066667,-339.523933334,-373.3334,-290.9522,-255.714133333,-439.047666667,-475.7144,-379.0476,-304.285733333
193.99,-477.142866667,-71.9046666667,-268.5714,-298.571333333,-207.619133333,-191.904866667,-390.476133333,-398.5714,-316.1904,-254.285733333
194.37,-434.666533333,-46.2222,-221.777733334,-254.2222,-160.444533333,-160.000066667,-347.999866667,-320.000066667,-276.0,-212.444533333
194.75,-267.368333333,46.6667333333,-92.2806666667,-114.386066667,-56.4912,-64.5614000001,-204.2106,-171.929866667,-136.842133333,-94.7368666666
195.13,-125.5172,88.9656000001,-11.9539333333,-16.3218666667,11.9540666667,-2.98839999998,-86.4368,-54.9425333334,-23.9079333333,-4.36766666668
195.51,-80.8770666667,74.3859333333,1.40346666667,-0.35086666666,11.2280666667,5.26313333334,-59.4736666667,-33.1579333333,-3.68413333334,11.7544
195.89,-89.5239333333,70.8570666667,-14.2857333333,1.71433333332,6.2856,-6.09520000001,-65.5239333332,-45.5237333334,-14.6667333333,8.00013333327
196.27,-106.666666667,64.8274666667,-29.8849999999,8.04593333334,0.229866666672,-17.0114666667,-87.1263333333,-75.1724666666,-29.4253333334,-3.90813333342
196.65,-217.460266667,15.2379999999,-133.9682,-67.3014000001,-76.1904666668,-96.5080666667,-203.492066667,-189.523666667,-128.8888,-75.5555333333
197.03,-295.2382,60.9523333334,-172.857133333,-80.0000000001,-67.6190666666,-120.476333333,-281.428666667,-256.190333333,-170.476266667,-88.5714666667
197.40,-155.942,44.9275999999,-95.3622666667,-27.2463999999,-33.0434666666,-51.5942,-155.362266667,-128.985533333,-92.4636666668,-39.4202666666
197.78,-92.0833333335,41.875,-52.0833333334,-9.7916666666,-27.7083333334,-20.2083333333,-91.2499999999,-76.2500000001,-55.6250000001,-8.95833333328
198.16,-102.424266667,27.0707333333,-54.1414666667,-13.7374,-37.3736666667,-17.1716666667,-94.1413999999,-85.4544666668,-57.3737999999,-9.495
198.54,-149.854933333,37.6810666667,-66.0869999999,-15.9419333335,-61.1594000001,-27.8261333333,-136.231933333,-138.261,-77.6812,-19.7101333333
198.92,-136.944466667,28.6111333334,-71.9444666666,-12.5000666667,-56.9443999999,-17.4999333333,-123.3334,-131.388933333,-60.8334,-13.3334
199.30,-114.615266667,36.1539333333,-63.3334666666,-4.10246666668,-46.6666666667,18.4614666667,-93.5897999999,-114.871933334,-49.4871999999,-1.5384666666
199.68,-85.0573999999,44.5977333333,-53.3332666666,13.7929999999,-21.839,30.8045999999,-66.2069333333,-93.3334666666,-36.3218,5.28740000014
200.06,-93.3332666667,37.4710666667,-71.4942000001,0.91946666674,-32.1838000001,21.1493333333,-79.0803333333,-104.1378,-36.3218666665,-14.2527999999
200.44,-71.6049333333,68.8889333334,-45.1853333334,32.3457333334,-16.5432666667,60.4938000001,-53.0864666666,-85.4322,-12.3455333333,17.5308666667
200.82,-91.3724666667,117.254933333,-40.0,89.8039333333,-8.62739999992,140.784266667,-51.3725999999,-101.1766,23.1374000001,52.1568666667
201.19,-147.222266666,107.7778,-78.8889999998,97.7778666667,-77.2222666667,190.000066667,-93.8889333333,-170.0,19.9999999999,34.4443333333
201.57,-13.3333333333,166.666666667,45.3332666667,160.0,21.7777333332,246.222266667,0.88880000006,-48.889,96.0000666666,102.666733333
201.95,78.5184,347.4074,172.5926,349.629666667,154.8148,516.296266667,65.1852666666,2.96299999993,272.592666667,255.555533333
202.33,-466.666666666,-2846.66666667,-1206.66666667,-2853.33333333,-900.000000001,-4206.66666667,-253.333333334,273.333333333,-2460.0,-1760.0
202.71,1820.0,3826.66666667,2100.0,3793.33333333,1793.33333333,5606.66666667,1420.0,1093.33333333,3806.66666667,2973.33333333
203.09,218.1818,398.7878,255.757733333,402.4242,253.333266667,585.454533333,172.727333333,173.939466667,389.697,341.818266667
203.47,249.333333333,418.666666666,301.333333333,474.666666667,302.0,634.666666666,160.0,216.0,471.333333333,389.999999999
203.85,159.394,249.090866667,194.242466667,270.3032,193.9394,353.939466667,126.060666667,155.757666666,283.939333333,238.788
204.22,229.473666667,331.929733333,288.771933333,363.5088,275.087666667,474.0352,200.701733333,243.5088,390.5262,327.017466667
204.60,396.0,595.333333333,480.666666667,634.0,508.666666667,856.666666667,328.666666667,441.333333333,708.666666666,564.666666667
204.98,234.0,316.0,264.333333333,322.0,276.333333333,441.0,185.0,248.666666667,382.0,311.0
205.36,151.238066667,198.095266667,160.952333334,201.142866667,179.0476,264.190533333,120.952466667,161.9048,232.381066666,200.190466667
205.74,138.596533333,186.491266667,146.491133333,189.6492,167.8946,245.614133333,117.017533333,148.2456,218.7718,195.789466667
206.12,108.4616,139.487133333,108.3334,142.0512,125.384733333,180.3846,93.8462,114.358933333,164.4872,144.1026
206.50,105.464533333,126.1202,100.4372,128.306066667,116.7214,165.792266667,91.5847333333,109.071066667,147.322466667,136.721333333
206.87,81.8889333333,103.999933333,78.0,105.999933333,97.4444000001,140.5556,73.8888666666,89.8888666667,127.333333333,118.2222
207.25,90.0681333333,110.068066667,87.3469333334,115.782266667,100.0002,156.870666667,82.9931999999,107.2108,142.857266667,134.0136
207.63,95.4386666667,115.087733333,86.6667333333,114.210533333,92.1053333334,170.175533333,92.9824666667,119.298266667,148.2456,151.403466667
208.01,134.202866667,147.246333333,113.3334,146.666666667,114.4928,242.6088,124.057933333,178.550733333,201.4494,224.347733333
208.39,162.608666667,160.289933333,122.3188,162.608666667,132.463666667,253.043333333,136.521533333,203.1886,220.869666667,255.362333333
208.77,115.315266667,109.369266667,90.0901333333,115.4956,94.2343333333,164.3242,103.423533333,139.6396,150.630666667,175.3154
209.14,141.7142,130.8572,112.5714,144.761866667,126.095333333,193.142866667,126.4762,162.0952,169.714266667,204.380933334
209.52,169.425266667,153.103533333,130.344733333,160.689666667,150.804533333,223.218333333,140.689666667,187.816,187.356333333,228.5058
209.90,173.043533333,126.956466667,122.6086,152.7536,142.318866667,225.797066667,134.4928,180.579733333,181.159533333,226.956466667
210.28,229.0196,150.588066667,171.372533333,207.450933333,177.646933333,299.6078,165.490133334,255.686333333,245.4902,301.568733333
210.66,531.428466667,300.9524,404.761933333,463.809533333,425.7142,661.904733333,362.857266667,610.476199999,581.9048,723.809466667
211.03,-342.666666667,-142.666666667,-240.666666667,-252.666666666,-234.666666667,-430.0,-188.666666667,-363.333333333,-323.333333333,-406.666666667
211.41,-396.0,-208.0,-298.0,-315.333333334,-334.666666667,-477.333333333,-224.0,-400.0,-413.333333333,-440.666666667
211.79,881.111133334,582.222133333,713.3334,752.222266667,863.333400001,1035.55566667,545.555533334,856.666799999,942.2222,944.444333334
212.17,670.476200001,407.618933333,526.6666,606.666666667,679.999999999,831.428666666,397.142866667,631.428599999,794.285666665,733.333333332
212.55,312.7778,155.555533333,245.0,269.999933333,308.888933333,415.5556,134.4444,290.555466667,376.666666667,366.6668
212.92,328.484933333,163.636333333,290.909,273.3334,340.606066667,460.0,136.3636,323.6364,411.515066667,407.272666667
213.30,278.787733333,138.787933333,252.121266667,230.303,280.6062,401.818133333,118.7878,298.787866667,367.272733334,354.545266667
213.68,3280.0,1640.0,3060.0,2800.0,3180.0,4540.0,1473.33333333,3513.33333334,4686.66666667,4286.66666667
214.06,-464.444466666,-232.222133333,-368.888933333,-353.3334,-424.4444,-655.555533333,-111.111,-522.2222,-669.999999999,-667.777800001
214.44,-331.428666666,-154.285733333,-197.1428,-211.4286,-300.0,-499.0476,-1.90466666666,-319.047533333,-519.999933333,-492.381
214.81,-505.333333334,-296.0,-233.333333333,-301.333333333,-381.333333333,-741.333333333,-67.9999999999,-470.666666667,-722.666666667,-662.666666667
215.19,378.333333333,275.833333334,195.0,272.5,309.166666667,490.0,113.333333333,368.333333333,504.166666667,524.999999999
215.57,260.666666667,186.666666667,122.0,193.333333333,168.0,374.666666667,66.0,240.0,329.333333333,406.0
215.95,261.333333333,201.333333333,127.333333333,250.0,174.666666667,409.333333333,100.666666667,298.0,340.666666667,396.666666667
216.32,330.4762,301.9048,145.714266667,309.523733333,200.0,493.333333333,111.428533333,429.523666667,411.428533333,507.619066666
216.70,417.142866667,384.761933333,197.142866667,422.857133333,322.857133333,540.9524,240.9524,493.3334,482.8572,537.142866666
217.08,628.333333333,463.333333333,101.666666667,616.666666667,433.333333333,775.0,248.333333333,695.000000001,670.000000001,743.333333335
217.46,528.000000001,348.0,110.666666667,524.0,373.333333333,618.666666667,214.666666667,574.666666667,568.000000001,624.000000001
217.83,157.4602,118.730066667,69.5238666667,172.6984,128.571466667,174.285866667,91.1111333333,172.381,166.3492,182.222133333
218.21,183.333333334,144.7222,98.0555333333,198.8888,153.055533333,199.999933333,125.000133333,197.222266667,208.333333333,194.1666
218.59,235.5556,193.015866667,149.841333333,265.396866666,211.746066667,254.603066667,186.666666666,260.9524,269.841266667,258.730266667
218.97,184.4444,151.604933333,137.777866667,209.8764,181.975466667,203.703733333,152.839533333,205.432133334,204.4444,206.666733334
219.34,172.2222,140.4444,139.333333333,206.4444,170.6666,197.777666667,146.666733333,190.666866667,188.4446,183.999933333
219.72,226.333333333,189.333333333,159.0,272.333333333,234.666666666,261.0,185.333333333,265.333333333,263.0,231.333333333
220.10,263.589666667,204.615466667,174.359,322.051333333,284.615466667,298.461533333,178.974333333,287.692333333,317.435866667,289.230733333
220.47,167.368466667,123.1578,111.929933333,201.754266667,186.666666667,216.842266667,107.719266667,172.6316,194.736866667,172.6316
