wavelength,Back_DigBarf,Belly_DigBarf,Breast_DigBarf,Crissum_DigBarf,Crown_DigBarf,DorTail_DigBarf,Rump_DigBarf,Throat_DigBarf,WingTip_DigBarf
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,97.7777777777,2.22222222223,71.1111111111,68.8888888889,106.666666667,79.9999999999,42.2222222222,95.5555555554,17.7777777778
179.16,42.5924444444,37.6544444444,27.1604444444,15.432,35.8025555555,37.6543333334,1.85199999998,16.0494444445,24.6912222222
179.54,1.852,53.7037777778,35.1851111112,1.85166666667,14.8147777778,-12.963,12.9631111111,27.7777777778,29.6295555555
179.93,121.296333333,105.555555556,81.4813333332,59.2593333333,105.555555555,72.2221111112,30.5555555555,72.2222222222,47.2223333334
180.31,143.055555556,40.9722222223,125.0,-108.333333333,113.194444445,-2.08333333333,-129.166666667,39.5833333333,-102.777777778
180.69,130.409222222,49.1228888889,111.111222222,-87.1344444446,101.754444444,11.6957777779,-118.713333333,47.9532222223,-102.339333333
181.07,143.386333333,94.7090000001,157.143,-20.1061111112,138.095333333,50.7934444443,-66.1375555556,93.650888889,-33.3332222222
181.45,-388.888777778,-266.666555556,-544.444333332,59.2593333323,-451.852,-109.259333333,212.962777778,-359.259333333,190.740777778
181.83,-244.444555556,-125.252444444,-301.010111111,55.5555555557,-247.474666667,-80.8082222221,156.565777778,-176.767777778,165.656555555
182.21,-23.569,14.1414444444,-54.2087777779,67.0034444444,-28.9562222223,29.9662222222,92.256,-6.06055555557,91.9193333332
182.59,0.813,13.5501111111,-14.0922222222,69.3766666667,-4.06522222224,53.6584444445,91.3281111112,22.2224444443,104.607
182.97,-45.299222222,-77.7777777778,-138.461555556,105.982888889,-129.059777778,36.7521111109,234.188,-25.6409999998,226.495777778
183.35,-13.1944444444,-29.1666666667,-51.3888888888,40.9722222223,-44.0972222222,13.1944444444,91.6666666666,-19.4444444444,91.3194444445
183.73,25.0505555556,11.3132222222,-4.04022222221,45.4543333332,-7.8788888889,26.2626666667,73.7374444446,15.1514444444,72.5252222221
184.11,29.4118888889,38.9977777778,-3.05011111109,52.7232222223,0.871444444467,32.4618888889,96.7322222222,24.6187777778,83.6601111112
184.49,41.4595555556,49.4196666666,16.0861111111,53.067888889,17.9103333333,45.6052222222,83.2504444444,36.9816666667,87.2305555557
184.87,42.618,42.1613333333,12.3286666666,48.8582222221,14.3074444445,43.9877777778,75.6467777777,36.073,77.9298888888
185.25,57.7061111111,60.4538888889,37.515,67.0252222223,43.2496666666,60.8123333333,86.4993333332,55.436,93.7873333333
185.63,67.6884444444,68.8377777777,44.572,83.3972222221,50.9578888889,68.5824444444,100.766333333,72.1584444446,102.682111111
186.01,70.696,69.9634444444,43.5897777778,73.26,45.6653333333,67.6434444445,90.7204444445,68.9865555557,94.0171111111
186.39,81.6046666667,80.3703333332,47.9012222222,76.2962222222,54.6913333333,68.1481111111,95.0616666665,74.321,105.432
186.77,78.7652222222,82.2222222222,41.6048888889,70.246888889,47.1604444445,56.1726666667,89.6295555557,68.5184444443,96.9134444444
187.15,69.9744444443,71.7557777777,43.4266666667,64.0372222221,47.1586666666,57.4215555555,72.2647777779,60.1355555555,79.3044444445
187.53,76.4133333333,72.612111111,45.614,58.577111111,46.2963333333,52.2416666667,77.1927777779,61.5011111111,84.307888889
187.91,74.0022222221,73.1392222222,43.0421111111,55.2320000001,45.631,45.0915555555,76.0517777778,57.6052222222,83.8188888889
188.29,83.2769999999,68.5744444443,49.8315555555,58.5859999999,47.2502222222,48.5971111111,74.9721111112,62.1772222222,86.7563333332
188.67,76.9841111112,60.771,44.7846666667,56.9159999999,44.6712222222,42.6304444445,68.7074444445,51.8142222222,75.0565555555
189.05,74.9720000001,63.0752222222,47.9236666667,55.8924444446,46.9135555556,41.6386666667,64.8707777778,51.0663333333,74.074
189.43,73.3538888889,59.7735555556,48.7654444445,59.0534444444,42.0783333333,39.0945555555,63.2715555556,52.9834444444,67.5926666667
189.81,70.8452222221,55.9354444444,51.1871111111,52.9913333333,42.1652222222,38.0815555555,56.4102222222,46.5335555556,65.6221111111
190.19,68.8712222223,54.0564444445,52.6455555555,55.2026666667,45.5026666667,37.6542222222,58.1128888889,47.5308888889,64.6385555556
190.57,63.1672222222,46.3692222222,47.3315555556,49.8687777777,40.7698888889,36.3954444445,50.4812222222,42.5195555555,55.2056666667
190.95,69.8652222222,50.4208888889,52.3568888889,52.1044444445,49.0738888889,40.8248888889,53.5353333333,48.5692222222,60.606
191.33,80.7017777779,52.729,59.5517777778,56.6276666666,57.6023333333,44.1518888889,57.5047777778,57.2125555555,63.9376666667
191.71,80.8888888889,56.8888888889,61.6888888889,61.688888889,58.3111111111,50.7555555555,62.5777777778,61.5111111111,67.5555555556
192.09,88.509111111,58.9743333333,69.7056666666,70.7503333332,60.7787777778,53.4663333333,70.7503333333,71.7001111111,72.9345555555
192.47,73.6798888889,49.0151111111,62.0173333333,58.6285555555,53.5854444444,44.6806666666,61.8597777778,61.1504444445,65.2481111111
192.85,75.7793333333,52.1983333333,62.9896666667,59.7123333332,53.3173333333,45.0838888889,62.1904444445,64.3484444444,63.4693333334
193.23,80.851,53.8217777778,66.9032222222,60.8352222221,53.822,49.9605555556,65.0905555556,69.5035555556,67.297
193.61,78.2716666667,50.9465555556,66.5844444444,55.4733333333,53.251,48.9712222222,58.6007777778,68.7243333333,63.8682222222
193.99,79.1366666667,51.079,66.5864444444,58.9128888889,54.2766666667,51.319,59.5522222222,70.7435555555,65.1478888889
194.37,81.4815555556,56.6951111111,68.2337777778,63.9601111111,59.0456666667,59.1166666666,61.8947777778,74.2163333333,69.4444444445
194.75,78.8685555556,56.2371111111,69.1207777778,63.122,57.7368888889,54.533,59.9181111111,73.8241111111,67.7573333333
195.13,73.206,54.0506666667,64.8725555555,62.8471111111,55.2661111111,56.1341111111,58.7385555556,72.1063333334,63.5416666667
195.51,69.7191111111,51.4651111111,62.7595555556,60.6226666667,47.3748888889,52.2587777778,53.9683333333,69.7191111111,63.492
195.89,73.6257777778,54.0936666667,64.5614444445,63.1578888889,51.4034444445,56.3742222222,54.2105555555,72.4561111111,62.5144444444
196.27,69.6867777778,50.9402222222,63.248,57.6637777778,51.4527777778,55.4984444445,49.5726666667,67.5212222222,60.3987777778
196.65,76.3581111111,56.1112222222,69.9381111111,64.8763333333,55.679,61.9136666667,52.4692222222,74.753,62.7161111111
197.03,73.1857777778,53.9683333333,70.1247777778,62.8682222222,55.839,60.034,51.4173333333,74.5464444445,65.8163333333
197.40,70.3875555556,55.6073333333,69.4573333333,63.5142222222,57.881,59.38,53.1781111111,72.6617777778,62.8423333333
197.78,72.7598888889,56.2723333333,72.0943333333,62.7238888889,57.45,59.5493333333,55.197,70.7631111111,66.257
198.16,74.0575555556,59.7717777778,76.4881111111,61.9047777778,59.375,61.3095555556,56.8452222222,73.4126666667,68.5517777778
198.54,73.144,58.5947777778,76.9805555556,61.385,58.4952222222,58.1962222222,56.4026666667,72.5957777778,66.8658888889
