wavelength,Back_DigBarm,Belly_DigBarm,Breast_DigBarm,Crissum_DigBarm,Crown_DigBarm,DorTail_DigBarm,Rump_DigBarm,Throat_DigBarm,WingTip_DigBarm
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,21.6666666667,-59.9999999999,48.3333333333,-28.3333333334,86.6666666668,6.66666666667,-6.66666666667,35.0,68.3333333332
179.16,27.31475,30.5554166667,18.5185,22.2223333333,39.81475,9.72225000001,40.74075,44.9073333333,14.8148333333
179.54,47.2223333332,-6.94433333332,5.55541666667,-37.5000833332,-25.0000833333,-8.33341666658,88.1945,81.9445,24.9999166667
179.93,68.7499166666,50.6945833334,44.4445,40.2778333333,70.8334166667,61.1111666668,81.2500833333,97.2222500001,71.5278333334
180.31,-49.4791666665,-48.9583333333,-8.8541666665,-193.75,-9.89583333343,-167.1875,32.0312499998,120.833333333,3.12499999991
180.69,-46.4912500001,-56.14025,23.2456666665,-176.754333333,-13.5965833332,-158.333333334,25.8774166666,110.526416666,17.1052500001
181.07,3.17466666668,33.3333333334,73.4128333334,-103.17475,15.4761666667,-109.9205,82.9364583333,140.47625,76.1905
181.45,69.4444166665,-77.7779166665,-259.722166667,449.999916667,34.7224166665,429.166583334,-207.63875,-416.666750001,-309.722166667
181.83,64.3939166665,-67.42425,-150.757583333,228.0305,6.81816666675,268.939333333,-46.5907083333,-196.969666667,-132.576
182.21,67.9292499999,23.4848333333,-13.3839166667,121.969666667,53.2828333333,140.656666667,38.8889166667,-1.51516666657,11.86875
182.59,77.6422499999,40.8535833333,13.8211666667,121.748166667,64.6340833334,138.414666667,57.3169166667,13.4146666666,30.6911666667
182.97,127.564083333,-3.20508333332,-70.5127499998,264.102583334,99.3588333334,328.205083333,54.1665000001,-37.8205833333,29.4871666666
183.35,63.8020833334,7.55208333332,-31.25,96.3541666668,41.1458333334,145.3125,23.5677083334,-4.42708333325,31.5104166667
183.73,69.2425000001,35.4545833333,7.57575,82.57575,55.0000000001,105.605916667,42.3484166667,27.4241666667,48.03025
184.11,82.8431666668,42.9739166667,17.1568333333,99.0195833334,57.6796666668,127.124166667,63.3170416666,37.5819166667,59.804
184.49,72.1393333333,53.8555833333,24.6268333333,87.0646666667,61.8159166667,109.577083333,62.7487916666,49.005,60.1989166667
184.87,68.2648333334,44.6346666667,27.8539166667,76.0275,56.9636666667,100.799083333,57.6483333333,46.91775,62.5571666666
185.25,84.22925,68.9068333333,53.0465,89.2473333334,70.878,107.706166666,73.1631666667,63.5303333334,83.5125
185.63,95.3064166667,82.9502500001,64.2719166667,101.915583333,84.2911666667,118.007583333,86.7817083332,71.7431666667,104.501916667
186.01,94.0474166667,80.8609166667,59.707,97.7104999999,78.8463333334,110.2565,82.1427916667,70.6044166667,97.9854166667
186.39,101.66675,83.7963333333,60.18525,106.944416666,81.9445000001,117.222333333,86.9445,73.1481666667,102.129666667
186.77,95.4629166667,74.4444999999,53.1480833333,100.185083333,76.4815833334,109.4445,79.5832916667,70.7408333333,96.9445000002
187.15,82.7608333332,69.0204166667,53.5623333333,85.1145833333,68.3844166667,91.8576666666,73.6642916667,64.8218333333,79.7710833333
187.53,85.9648333333,71.8567500001,50.3653333333,89.4735833333,69.225,93.1285833334,77.7046250001,60.3070833333,81.9445
187.91,85.7604999999,68.8511666667,43.8510833333,90.8576666667,65.5340833333,89.9676666665,76.0517916667,57.92875,83.6569166666
188.29,90.6564999999,71.9698333333,44.781,94.2759999999,70.53875,90.5725000001,78.1566666666,57.6600833333,87.87875
188.67,85.9693333333,65.9865,43.7075,91.83675,63.6055,84.86375,74.1920833332,51.2754166667,86.4795833333
189.05,85.9428333333,66.4140833333,42.1716666667,91.9192499999,60.94275,83.6699166667,75.042125,52.6093333334,84.4276666666
189.43,77.5464166667,59.4136666667,39.9690833334,86.6512499999,58.179,76.8517500001,71.4891666666,48.37975,83.0246666667
189.81,73.6466666667,55.4843333333,37.2505833333,75.7123333333,51.852,72.5070833332,67.2720833333,48.0771666667,74.9286666667
190.19,72.222,58.3995,38.426,74.6691666667,56.9445,72.2220833333,68.0225,49.2064166667,73.7435833333
190.57,68.5695833333,52.6246666667,35.3673333333,67.3885,50.9185833333,66.6009999999,63.4185833333,43.6351666667,67.9790833333
190.95,76.1995,59.9748333333,42.1085,70.707,55.8081666667,70.7702500001,71.2437083333,50.6943333333,69.6338333333
191.33,84.6491666667,67.69,44.9561666667,75.14625,60.0145833333,74.3421666666,79.3494166668,55.3361666667,78.9473333333
191.71,84.1333333334,69.0,51.5333333333,75.6666666667,65.2666666667,77.0666666667,82.1666666666,62.0666666666,80.5333333334
192.09,90.0996666666,73.2905833333,55.62675,79.9858333333,72.3646666667,82.5498333333,91.6667083332,68.5184166667,84.8290833333
192.47,75.6501666667,62.7659166667,48.5223333333,67.4349166667,61.584,71.5130833334,77.2753333333,61.5249166667,69.4444166667
192.85,75.89925,61.3909166667,49.7603333333,65.2279166667,60.5515833334,71.64275,79.4964166666,62.17025,68.7649166666
193.23,77.1276666667,66.9624166667,52.896,67.435,63.2979166667,70.39,80.4667916667,64.8935,72.7541666667
193.61,77.0370833333,67.4690833333,50.4320833333,63.6419166667,62.3458333333,63.8888333333,82.6235,67.1605,69.9380833333
193.99,77.0981666667,69.4843333333,52.21825,66.3668333333,63.9088333333,64.988,84.6223333333,68.3454166667,75.06
194.37,78.9528333333,70.4594166667,58.5470833334,71.2071666666,62.3930833333,67.7883333333,83.8675833333,72.6495833333,79.1134166667
194.75,75.1534166667,70.0919166667,61.2475,69.5809166667,63.7526666667,66.2064166667,84.6880833333,71.42125,79.8568333333
195.13,69.9218333333,66.36275,59.8089166667,67.4914166667,61.67525,63.8020833333,76.28025,68.7933333333,77.08325
195.51,67.674,62.0878333333,57.4634166666,66.8498333333,58.8369166666,61.7673333333,72.710625,66.3004166667,76.28225
195.89,70.5264166666,63.9474166667,60.2194166667,68.4210833333,59.5175833333,65.2631666666,73.004375,68.81575,80.1315833333
196.27,67.8204166667,61.7521666667,60.0,65.4700833333,54.23075,64.0170833334,69.1024583334,65.3418333333,78.37625
196.65,73.5185833333,66.0645833333,64.0279166667,70.4630833333,58.9351666667,67.5463333333,75.6018333333,71.2963333333,88.4260000001
197.03,70.9183333333,64.4131666666,61.64975,69.4304166667,59.694,65.17875,70.471875,71.5986666667,86.7771666667
197.40,70.3488333333,62.7130833333,63.3333333333,69.5735833334,58.75975,66.7055833334,70.6007916667,69.5349166667,83.5659166666
197.78,69.9691666667,62.1353333333,62.7496666667,68.9708333333,57.75725,67.3963333334,68.3949166667,69.3164166666,80.9908333333
198.16,72.3215,62.76025,66.704,69.6056666666,60.45375,68.71275,68.563875,70.759,80.28275
198.54,71.0013333333,62.2943333333,66.0314166667,67.7129166667,61.734,68.6845833334,68.2547083334,70.329,79.2975
198.92,71.4286666667,61.756,63.1696666667,65.811,58.817,66.5178333333,64.5647916667,71.0565,77.6785833333
199.30,73.316,61.4421666667,63.38525,65.7599166666,57.3400833333,67.7029166667,65.069125,72.4094166667,80.65625
199.68,77.6401666667,64.934,68.6055833333,68.15175,63.4489166666,69.8845,70.44125,77.3514166667,83.3745833334
200.06,78.9495833334,66.1458333333,69.184,69.2708333333,65.1909166667,67.57825,72.3957916666,78.1684166667,81.2933333333
200.44,78.24075,66.4140833333,69.739,71.29625,68.729,68.47625,72.1590833333,79.3350833333,80.13475
200.82,75.8290833333,65.6715833334,70.1078333333,69.6930833334,67.66175,68.2006666666,70.626,78.15075,76.6169166666
201.19,75.1294166667,63.9896666667,68.3506666667,69.3866666667,65.37125,67.8755833333,71.54575,76.3385,73.2295833333
201.57,71.6015833333,59.3575,66.34075,67.6443333333,64.0130833333,63.9665833333,67.76075,75.69825,71.27575
201.95,62.7031666666,50.45725,58.1300833333,64.4308333333,54.6239166667,58.6888333334,60.4421666666,67.5305833333,66.8698333333
202.33,59.16675,49.4444166666,55.8334166667,64.6666666667,51.66675,56.3889166666,60.0833333333,70.5555833334,65.6666666667
202.71,61.9318333333,51.1363333334,59.02775,68.7501666667,50.8206666667,57.5126666667,63.4470833333,73.7375,66.4771666667
203.09,68.07925,59.8871666667,70.1272500001,81.0028333332,61.1581666667,68.7146666667,77.1186666666,87.2879999999,80.64975
