wavelength,Back_DigCaef,Belly_DigCaef,Breast_DigCaef,Crissum_DigCaef,Crown_DigCaef,DorTail_DigCaef,Rump_DigCaef,Throat_DigCaef,WingTip_DigCaef
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
179.16,-22.5,-35.8333333333,-14.1666666667,-26.6666666666,5.83333333333,-11.6666666667,-4.16666666668,-14.1666666667,-26.6666666667
179.54,-38.5416666667,-49.9999999999,-39.5833333333,-64.5833333334,-25.0,-3.12500000001,-29.1666666667,-35.4166666667,-62.5000000002
179.93,210.416666667,316.666666667,260.416666667,268.75,208.333333333,191.666666666,245.833333333,252.083333333,268.75
180.31,-431.666583333,-567.777833333,-429.444333333,-506.111083333,-315.000083334,-296.111083333,-407.777666667,-347.222166667,-528.333166667
180.69,-318.560583333,-415.151416667,-316.288,-367.803083334,-225.378833334,-216.287833334,-298.863666667,-246.212166667,-400.37875
181.07,-221.839083333,-311.494166667,-244.252916667,-277.586333333,-155.45975,-165.804833333,-218.678166667,-199.425333333,-299.7125
181.45,-253.0,-365.0,-294.0,-328.666666666,-190.666666666,-197.333333333,-262.333333333,-242.0,-363.0
181.83,-260.666666667,-381.0,-308.0,-323.666666666,-201.0,-216.0,-265.666666667,-256.0,-369.0
182.21,-213.172,-309.139833334,-252.688166667,-267.204333333,-164.785083333,-179.032166666,-222.8495,-209.94625,-309.677416667
182.59,-219.72225,-312.5,-260.555583333,-268.33325,-172.777916667,-191.9445,-231.944416667,-226.666666667,-326.111166667
182.97,-258.666666667,-358.333333334,-302.0,-310.333333333,-199.333333333,-224.333333333,-266.666666667,-261.666666667,-374.333333333
183.35,-261.217916667,-348.397416667,-305.128166667,-297.436,-201.28225,-229.16675,-258.974416667,-271.15375,-371.153916666
183.73,-334.058083334,-430.0725,-402.174083333,-372.82625,-272.826166667,-308.33325,-333.695666667,-355.797083333,-473.5505
184.11,6.13594125367e+15,7.55397806816e+15,7.34073944944e+15,6.60506621486e+15,5.09107202194e+15,5.62416856874e+15,6.17858897742e+15,6.6477139386e+15,8.28432033729e+15
184.49,-2841.66658333,-3780.55558333,-3705.55558333,-3147.22225,-2550.0,-2722.22225,-3086.11108333,-3333.33341667,-4050.0
184.87,606.111083334,811.666750001,794.444333334,678.888916667,572.777833333,583.889083333,663.888833333,735.555583333,840.555416666
185.25,379.938333333,464.506166667,465.432083333,394.4445,351.23475,340.1235,401.851833333,429.320916667,494.444416666
185.63,335.353416667,404.545416667,391.919166667,343.686833333,307.828333333,286.363416667,346.71725,371.969666667,428.787916666
186.01,214.465416667,256.91825,251.257916666,218.39625,201.886666667,179.874166667,222.79875,234.90575,274.6855
186.39,190.9605,224.293666667,220.76275,183.333416667,178.672416667,158.050833334,196.186416667,206.779666667,236.299416667
186.77,179.798,210.227166667,210.858666666,170.707083334,168.43425,144.4445,187.7525,184.722166667,219.82325
187.15,171.82025,200.657916667,200.767583333,159.101,164.25425,138.815833333,183.991083333,174.671,215.789416667
187.53,200.94075,242.473,237.903333334,188.844166667,193.81725,164.91925,220.698916667,212.09675,264.784916667
187.91,206.172833333,261.419833333,249.382666667,199.84575,206.9445,171.75925,237.191416667,222.530833333,280.555666667
188.29,265.170833333,339.7435,313.461583333,255.982833333,270.085416667,225.641,307.47875,275.0,361.32475
188.67,227.721083334,281.972833333,260.034,222.789166667,228.571416666,199.659833333,257.142916667,232.993166667,304.591833333
189.05,255.555583333,321.367583333,303.418833333,247.22225,260.042583333,234.40175,300.641083333,260.256416667,351.068416667
189.43,221.31775,284.1085,269.767333334,211.0465,225.77525,209.302416667,260.465166667,227.519416667,313.372
189.81,200.8865,254.432583333,251.950416667,181.7375,206.56025,205.319083334,243.2625,205.496416667,284.92925
190.19,238.75,310.625,303.958333333,214.583333333,248.958333333,257.916666667,300.0,252.291666666,348.75
190.57,236.041666667,310.625,305.208333334,215.833333334,254.791666666,260.208333334,302.291666666,256.666666666,358.75
190.95,235.416666667,302.5,300.416666666,204.791666667,253.125,261.666666667,301.875,263.958333333,361.25
191.33,234.756,291.66675,302.23575,204.4715,247.764333333,269.308916667,291.260166667,269.51225,344.105583333
191.71,244.444416667,300.2315,315.972083333,196.527916667,259.02775,273.148333333,299.305583334,275.925916666,356.25
192.09,262.380833333,300.952416667,316.90475,184.52375,262.380916667,278.809416667,302.857166667,282.143,356.904833333
192.47,311.904833333,348.21425,385.416666667,205.654833333,308.33325,333.630916666,362.202333334,353.869083333,431.845166667
192.85,487.5,546.296416667,603.70375,313.425833334,490.74075,537.036916667,575.926,568.0555,679.166749999
193.23,662.179583333,753.205166666,803.846166667,457.692333333,669.87175,730.769166667,764.743333334,798.076916667,957.692333334
193.61,1459.72216667,1690.27783333,1794.44433333,1080.55558333,1555.55558333,1647.22225,1719.44441667,1812.50008333,2134.72216667
193.99,-1471.66666667,-1898.33333333,-2013.33333333,-1106.66666667,-1646.66666666,-1726.66666667,-1846.66666667,-2001.66666667,-2313.33333334
194.37,1671.66666667,2043.33333333,2221.66666666,1375.0,1763.33333333,1906.66666667,2045.0,2260.0,2471.66666666
194.75,8133.33333333,9866.66666668,10883.3333333,6641.66666667,8000.00000001,9350.0,9574.99999999,11008.3333333,11916.6666667
195.13,-989.285583332,-1239.28575,-1371.42866667,-839.285833333,-1002.38108333,-1208.33333333,-1195.23791667,-1401.1905,-1486.90483333
195.51,-301.852,-414.81475,-447.685083333,-233.333333333,-336.574166667,-392.129666666,-392.129666667,-458.796333333,-510.648083333
195.89,964.285666666,1220.23808334,1373.8095,821.428583333,1078.5715,1290.47608333,1261.90466666,1391.66658333,1509.52375
196.27,453.645833333,582.291666666,656.770833333,408.854166667,502.083333333,603.645833333,586.979166667,652.083333333,702.083333333
196.65,274.074166666,373.14825,404.938333333,270.061666667,314.814833334,377.77775,354.321,403.086416667,420.987583333
197.03,271.839166667,360.344833333,389.0805,258.620666667,307.47125,369.54025,342.816166667,391.37925,403.735583333
197.40,241.279,296.7055,316.66675,224.031,260.271416667,315.504,295.542666666,325.775166667,321.31775
197.78,214.0,256.166666667,272.833333334,196.833333334,234.166666667,287.166666667,265.0,286.166666667,274.833333333
198.16,216.530083333,234.699416667,250.95625,197.95075,221.584666667,275.683083333,253.278583333,268.989166667,257.2405
198.54,270.265166667,286.7425,310.984916667,242.0455,274.053083333,350.757583333,312.310666667,328.598333334,313.6365
198.92,280.303083333,292.613666667,316.287833333,251.704583333,289.015166667,358.9015,315.1515,333.143916667,317.235
199.30,283.6735,300.68025,317.176833333,256.80275,285.71425,350.68025,307.652833333,329.591916667,314.115666667
199.68,247.97975,258.45975,268.939416666,233.964583334,244.570666667,297.601083334,264.26775,284.091,264.646583333
200.06,255.593666667,266.324,271.575166667,246.575333333,252.169083333,297.831083333,263.698666667,288.470333333,268.607333334
200.44,275.603833333,284.661916667,290.096666666,269.927416667,275.120916667,326.811666667,285.628083333,312.560333333,289.0095
200.82,282.26175,285.119,290.47625,270.83325,280.595166667,333.571416667,291.78575,314.761916667,297.5
201.19,226.685416667,227.809,231.55425,225.187166666,225.0935,267.322083333,232.584166667,253.277083334,237.3595
201.57,209.229333333,207.974916667,214.785,205.466,209.139666667,243.279583333,210.75275,232.078833334,217.742
201.95,186.620666667,186.773666667,192.736916667,182.798083334,180.581,213.073583334,185.321,204.663666667,193.272166667
202.33,180.70975,181.79025,188.348833333,175.84875,178.317833334,205.092583333,177.546416667,196.83625,184.4135
202.71,160.872333333,161.197916667,169.1405,155.2735,162.304583334,182.2265,160.351416667,176.69275,164.453166667
