wavelength,Back_DigCarm,Belly_DigCarm,Breast_DigCarm,Crissum_DigCarm,Crown_DigCarm,DorTail_DigCarm,Patch10_DigCarm,Rump_DigCarm,Throat_DigCarm,WingTip_DigCarm
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,7.27280000001,38.1818666667,47.2727333333,7.27266666666,15.7574666667,45.3197703704,13.3334,39.9999333333,15.7575333333,21.2121333333
179.16,120.0,248.8888,157.777666667,155.555533333,246.6666,232.716044445,146.666666667,162.222133333,148.888866667,157.777866667
179.54,184.444466667,68.8888666666,104.4444,164.4444,62.2222,141.975344444,184.444533333,146.6668,186.666666667,177.7778
179.93,243.333333333,10.0000000001,136.666666667,246.666666667,183.333333333,216.851851852,280.0,150.0,356.666666667,290.0
180.31,49.3333333334,223.0,156.0,33.3333333333,106.333333333,209.851851852,82.6666666665,148.0,120.666666667,58.0
180.69,56.5078666666,246.984133333,167.936533333,47.619,121.2698,233.086322222,93.9682666666,165.0794,140.9522,66.9840666667
181.07,43.7500000001,180.0,118.75,55.625,101.25,177.939814815,82.0833333334,125.0,117.5,59.375
181.45,39.7435999999,204.871933333,144.615533333,53.5897333333,108.2052,206.367633333,88.7179999999,149.230733333,142.0514,56.9231333334
181.83,59.5556,206.888866667,154.222066667,76.4443333333,111.5556,197.172903704,105.555466667,162.000066667,162.444466666,67.5556
182.21,83.7333333333,258.133333333,193.333333333,109.866666667,150.4,261.288888889,147.466666666,212.0,234.133333333,96.7999999999
182.59,75.9258666667,341.481333333,245.1852,120.370266667,176.666733333,346.604981481,180.370333333,267.037,288.5186,95.1850666667
182.97,22.2223333333,442.222266667,275.555466667,122.222266667,199.444466667,456.975266667,196.666733333,330.0,356.6668,71.6667333335
183.35,286.666666666,-701.333333333,-315.999999999,10.6666666668,-160.0,-775.703703703,-146.666666667,-549.333333333,-484.0,100.000000001
183.73,588.888933334,-924.444399999,-315.555466666,179.999999999,-64.4443999998,-1013.70368148,-77.7777333346,-782.222266666,-586.666666666,311.111000001
184.11,100.8696,-82.0291333333,-11.3042666668,55.9420666667,18.8406000001,-97.1174777777,21.1593333333,-52.4637333333,-29.5653333334,85.5074
184.49,96.6667333334,-30.8887333333,3.33340000006,61.3333333333,35.5555333333,-48.5060555556,36.2222666667,-20.0000666667,2.44446666666,91.1110666666
184.87,111.5386,-18.9743999999,11.5384666666,81.0256000001,47.9485999999,-45.5555777776,44.6151999998,-26.4103333333,16.6666666667,109.487066667
185.25,64.6259333333,15.2380666666,21.3604,65.8504,40.2722000001,1.3909037037,37.6871333333,-2.85719999998,25.1702,73.1973333334
185.63,63.3334,31.4705333333,34.4117333333,61.6667333333,47.2548666667,19.1611259259,44.0196,11.7646666667,34.6077333333,68.7256000001
186.01,72.4543333334,53.5530666666,51.5750666667,67.5457333333,59.7802666667,34.8230259259,55.3114,31.1354666667,51.4285333334,70.2564666667
186.39,72.5730666666,59.9414666666,54.5613999999,66.5498666667,63.2162666667,43.3560222222,56.9006,39.2396666667,55.5555333334,69.1813333332
186.77,76.2711999999,67.4575999999,59.4349333333,70.3956666667,68.2485333333,51.0515555556,61.4124666667,47.4012666667,57.0622666667,72.5987999999
187.15,71.0257333333,64.9231999999,57.2307333334,65.8974,65.2819333333,50.8290851852,57.0257333333,45.3844,51.6409333333,68.6154666667
187.53,67.8571333333,64.2857333335,53.6667333334,62.5237333333,62.7142,50.7513444444,53.7144,46.8571333333,48.9047333334,67.9048666667
187.91,69.0769333333,67.8462,54.9228666667,61.7948666667,64.2050666667,51.3049296296,52.7179999999,46.7178666667,46.8718,69.4360666667
188.29,67.5254,68.5858666666,54.7475333333,57.2726666667,64.4949333333,52.1941407407,52.0202,46.4141333333,45.2020666666,66.1111333333
188.67,64.6848,66.7567333333,56.7566666667,55.6756,62.6576,49.927562963,50.4505333334,45.0900666667,42.7475999999,62.1622
189.05,66.3528666667,68.745,58.8235333333,55.6077333333,64.4706,54.8822962963,52.0392,49.0588666667,45.2549333333,63.3333333333
