wavelength,Back_DigCyam,Belly_DigCyam,Breast_DigCyam,Crissum_DigCyam,Crown_DigCyam,DorTail_DigCyam,Patch10_DigCyam,Rump_DigCyam,Throat_DigCyam,WingTip_DigCyam
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,109.333333333,78.6666666667,42.6666666667,93.3333333333,77.3333333334,85.3333333334,68.0000000001,136.0,118.666666667,50.6666666666
179.16,87.6190000001,75.2380666667,71.4285333333,79.0476000001,69.5239333333,76.6666666667,75.7142000001,90.9523333334,93.3333333334,70.4761333333
179.54,540.0,200.0,320.0,226.666666667,233.333333333,13.3333333332,440.0,500.0,300.0,266.666666667
179.93,211.666666667,193.333333333,200.0,226.666666667,251.666666666,210.0,253.333333333,245.0,230.0,210.0
180.31,135.000066667,96.9696,94.5455333334,122.727133333,117.2728,132.878866667,118.181866667,146.969733333,118.636333333,115.1514
180.69,127.6,94.4,89.2,120.666666667,115.866666667,126.266666667,113.333333333,140.533333333,115.2,108.8
181.07,129.937133333,96.1006000001,99.2452666666,127.044,119.371,127.9246,113.0818,139.999933333,118.490466666,114.591066667
181.45,148.484933333,106.515133333,113.787933333,143.333266667,132.727266667,145.4546,128.030133333,158.3334,130.909,131.3636
181.83,114.2222,88.0000666666,94.4443333333,116.777866667,108.000066667,121.7778,101.111133333,121.444466667,104.000066667,104.8888
182.21,107.979733333,87.0705999999,93.0303333333,108.383933333,102.1212,113.6364,93.5354666668,112.828133333,95.1516000001,99.899
182.59,96.4285333333,80.8332666666,84.2857333333,102.619133333,90.3572000001,109.285733333,85.8333333334,106.785666667,87.7382000001,85.5952666668
182.97,79.6826,70.2645333334,71.2168666666,86.0318666667,76.9311333334,95.3438666668,74.8148,94.7089333333,71.3227333333,65.5027333333
183.35,70.2283999999,70.2282,61.9180000001,80.1827333333,73.9724666666,83.927,67.4885999999,86.0274,70.0457333333,59.4520666667
183.73,69.6969333333,68.7446,58.5282,78.0086666666,71.4285333333,76.7965999999,62.5108666666,78.9609333333,69.8700666666,53.0735333333
184.11,62.6829333333,60.0813333333,47.8862666667,66.9105333333,62.4390666667,64.8782000001,53.5770666666,66.0975333333,62.4390666667,45.8536
184.49,62.7027333333,56.4864,43.1531333333,66.1262666667,60.9008666667,56.3063333333,49.1891999999,61.9820666667,57.7477333333,43.9638666667
184.87,69.1804666666,61.4208666667,45.2459333333,69.7267333333,63.7158666667,58.2513333333,46.9945333333,64.3716666667,59.8907333333,44.2622
185.25,65.5757333333,59.2727333333,37.5757333334,62.0606666666,62.7878666667,53.4546000001,43.7575333333,56.9696666667,52.2424,39.5151333333
185.63,60.6348666667,57.8837333333,35.873,64.0210666667,64.4444666666,52.6983333334,41.4815333333,54.0740666667,50.3703333333,40.3174
186.01,82.4390666667,77.0732,37.3982,96.7479999999,91.5447333333,69.9187999999,54.1461333333,74.9593333333,72.3577333333,59.3496666666
186.39,122.580733333,114.838866667,60.6452,152.258,138.279533333,108.172066667,81.5054666667,107.311733333,119.784933333,93.5483999999
186.77,170.133333333,155.733333333,94.1333333334,210.666666667,196.533333333,148.266666667,112.266666667,144.8,161.066666667,139.466666667
187.15,368.484866667,357.575666667,229.697133333,494.545466667,437.5758,311.515133333,230.909066667,300.0,388.484866667,334.545466667
187.53,1203.33333333,1113.33333333,815.0,1513.33333333,1258.33333333,978.333333333,776.666666667,918.333333335,1153.33333333,1051.66666667
187.91,-842.2222,-780.0,-544.444400001,-1013.3334,-918.888933335,-701.111133333,-587.777866667,-658.889000001,-782.222266666,-752.222266667
188.29,-1015.5556,-971.111066667,-745.555533333,-1221.11113333,-1131.11106667,-925.555733335,-773.333399999,-849.999933334,-943.333333331,-921.111066667
188.67,-741.666666667,-749.166666666,-560.0,-904.999999999,-860.0,-736.666666667,-551.666666667,-594.166666667,-710.833333334,-716.666666667
