wavelength,Back_DigGlaf,Belly_DigGlaf,Breast_DigGlaf,Crissum_DigGlaf,Crown_DigGlaf,DorTail_DigGlaf,Patch10_DigGlaf,Rump_DigGlaf,Throat_DigGlaf,WingTip_DigGlaf
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,66.6666666667,84.4444444445,82.2222222223,53.3333333333,46.6666666665,60.0,77.7777777778,77.7777777779,93.3333333333,137.777777778
179.16,73.8096666667,77.7777777778,59.5237777778,53.9682222222,46.8255555555,72.2222222222,84.127111111,69.8411111111,71.4286666667,98.4125555557
179.54,-200.0,433.333333333,477.777777778,244.444444444,44.4444444443,400.0,266.666666667,255.555555556,644.444444444,722.222222222
179.93,158.333333333,252.777777778,208.333333333,130.555555556,172.222222222,219.444444445,205.555555556,266.666666667,266.666666667,302.777777778
180.31,86.8687777778,140.656555556,103.535333333,95.4544444446,85.606,114.141444444,97.7272222221,104.545555555,167.929222222,164.646333333
180.69,86.6666666667,136.666666667,96.6666666668,91.111111111,82.888888889,115.555555556,98.6666666668,96.4444444444,162.222222222,157.555555555
181.07,87.4213333335,138.574555556,101.677111111,92.0335555556,87.0019999999,120.544888889,105.450666667,95.5974444446,166.876333334,150.524111111
181.45,90.6565555556,153.535333333,123.232222222,110.858555556,102.272777778,135.858444445,112.373666667,99.2423333331,198.99,163.636444445
181.83,84.2593333333,122.407333334,101.666666667,92.5925555557,86.8518888888,105.370444444,89.4445555557,84.2592222222,155.740777778,122.592666666
182.21,83.8382222222,111.952888889,97.6429999999,95.7912222222,84.3435555556,99.8315555557,77.4411111111,70.0336666668,143.602777778,109.595888889
182.59,75.5949999999,103.77,91.4682222221,89.0873333335,73.412888889,90.4762222221,64.8807777779,49.6031111111,142.658888889,101.785666667
182.97,67.0194444443,83.9507777779,79.0123333333,74.4267777779,66.6666666666,79.8942222223,44.7971111112,42.8571111111,124.691444445,84.1266666666
183.35,63.1658888888,70.3196666665,69.1019999999,66.2101111111,58.4473333333,72.7548888888,33.0288888889,42.0092222222,108.980222222,74.277111111
183.73,69.4084444446,62.482111111,67.5325555556,62.3377777777,52.5253333333,72.1502222223,23.9537777778,38.8166666667,104.473222222,67.5325555557
184.11,54.6072222222,53.2518888889,59.3496666668,51.355,37.6695555556,58.8075555556,14.7697777778,28.9972222222,90.3794444446,58.1301111111
184.49,51.8017777778,52.4025555556,57.807888889,44.8947777778,34.0841111111,49.2492222222,4.9551111111,24.7747777778,90.5405555557,54.6546666667
184.87,54.4626666667,53.7341111112,65.2094444443,44.4444444444,33.5154444444,48.634,-14.2075555556,23.4973333333,105.100111111,53.1876666667
185.25,59.596,49.4947777778,60.606,41.4142222222,30.9092222222,47.474888889,-37.5756666667,21.0101111111,107.474666667,50.505
185.63,62.7866666667,60.8466666667,61.5519999999,42.5044444444,32.9805555556,51.8517777778,-30.3351111111,29.9824444444,102.998333333,50.4407777778
186.01,88.6179999999,88.0757777777,85.9078888889,50.4065555556,46.6124444445,79.9457777779,-59.3496666665,35.2303333333,142.276444444,74.2546666666
186.39,132.258,147.311777778,136.559,78.853,82.7957777778,121.505444444,-56.631111111,81.7203333336,210.752777778,120.071666667
