wavelength,Back_DigGlom,Belly_DigGlom,Breast_DigGlom,Crissum_DigGlom,Crown_DigGlom,DorTail_DigGlom,Patch10_DigGlom,Rump_DigGlom,Throat_DigGlom,WingTip_DigGlom
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,10.0000000001,-150.0,-63.0,29.1666666667,-146.666666667,4.99999999994,-220.0,-19.9999999999,-23.3333333333,-73.3333333334
179.16,46.6666666667,-1.25,44.2,41.6666666667,18.0,37.3333333333,-18.6666666667,24.0,11.0,34.6666666667
179.54,100.833333333,48.4375,82.5000000001,93.75,72.4999999999,105.0,30.8333333333,82.5,90.0,138.333333333
179.93,523.333333333,400.0,396.333333333,479.166666667,496.666666667,651.666666667,223.333333333,463.333333333,450.0,580.0
180.31,119.809733333,40.4760833333,74.4762066667,102.143,26.2857999999,109.809533333,-14.2856,75.8096000002,82.5715333333,134.476133333
180.69,151.034466666,35.7759583332,83.4482333333,122.413833333,13.3332666667,134.022966667,-33.1034666667,88.0459333333,104.7127,174.7126
181.07,166.4,41.8333333332,98.5066666667,144.333333333,9.33333333333,155.333333333,-35.2000000001,101.066666667,122.933333333,219.2
181.45,250.4762,38.9880833333,116.856993333,219.642916667,-50.4762666665,229.0478,-87.6192,146.666666667,176.666633333,360.476266667
181.83,456.666733333,-48.6110416667,180.222246667,454.166666667,-205.555599999,422.7778,-231.111066667,234.4444,262.2222,676.666666667
182.21,-138.888933333,379.861041667,128.111173333,-137.500083334,594.444466667,-39.4444333332,509.999933334,92.2222666669,47.2222333333,-323.333333333
182.59,63.8094666665,471.428541667,222.47624,-121.428416667,673.333266667,105.238066667,548.571466667,210.4762,177.6191,-88.5714666665
182.97,77.6190000001,275.0,146.380913333,-36.3092500001,388.571466667,89.0475333334,311.9048,138.095266667,135.7143,30.4760666666
183.35,70.3702666667,212.037083333,121.3703,-44.9074166668,305.555733333,56.2962333333,236.666533333,105.185066667,108.889,40.0000000001
183.73,96.0785333335,234.31375,126.274593333,-50.4903333333,314.509733333,75.6863,254.902,95.2941999999,102.353,58.4312666666
184.11,83.7037333335,171.990875,92.2777666667,32.4075,193.1482,73.9816,167.5926,88.7038,93.3333333333,81.2962666667
184.49,101.739133333,232.971,100.69576,7.24641666668,261.449333333,77.8260333333,222.3188,88.6956,117.681133333,104.0578
