wavelength,Back_DigGlsf,Belly_DigGlsf,Breast_DigGlsf,Crissum_DigGlsf,Crown_DigGlsf,DorTail_DigGlsf,Patch10_DigGlsf,Rump_DigGlsf,Throat_DigGlsf,WingTip_DigGlsf
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,123.055555556,106.666666666,150.0,133.333333333,116.666666667,135.0,94.9999999998,96.6666666667,142.777777778,122.5
179.16,101.7095,79.4873333332,106.410333333,103.846,69.2308333334,110.256333333,61.5385,48.7181666667,89.5298888888,109.615583333
179.54,61.6401666667,75.3968333334,63.492,71.4285,61.1113333334,98.4126666666,51.5873333333,47.619,75.7938055555,83.7305
179.93,-211.111111111,400.0,116.666666667,-66.6666666667,216.666666667,500.0,-116.666666667,-433.333333333,213.888888889,-133.333333334
180.31,77.5861388889,128.352666667,125.095833333,104.406166667,99.6168333331,141.570833333,78.5438333333,81.8006666667,139.942555556,112.64375
180.69,82.9218055555,145.473333333,137.654166667,116.255166667,108.641833333,157.407666667,83.7446666667,90.7408333331,159.430833333,129.423666666
181.07,89.3098333335,171.212166667,160.606166667,135.353666667,130.303,184.596,94.6968333333,107.575833333,185.563916667,161.995166666
181.45,93.4523611114,173.095,157.142666667,134.523833333,134.285666666,179.047666666,103.095166667,115.238,187.897027778,164.047666666
181.83,101.282,187.692333333,171.282166667,143.846166666,153.3335,183.589666667,116.923166667,133.589833333,203.162472222,171.923416667
182.21,99.9627500002,177.555333333,163.5555,140.444666667,140.888833334,166.4445,115.777666667,133.111166667,189.407277777,165.666666667
182.59,90.8306111112,158.064833333,140.1435,127.777833334,118.458833333,135.484,105.197,112.544833333,153.883,140.77075
182.97,84.3927222224,152.233833334,133.848833334,121.134,113.917666667,125.945166667,102.2335,106.013666667,143.470694444,130.669833334
183.35,89.5671666665,159.689833334,135.658833334,122.480833333,113.566,120.155333334,105.426666667,108.139333333,144.444555556,139.437833334
183.73,75.2551111112,131.122333333,112.245,100.509833333,93.8775000002,99.8303333333,90.306,90.6463333333,121.173472222,120.493166667
184.11,73.3558333334,126.3605,111.2245,95.0678333335,96.0885,95.0683333333,84.5238333333,83.6735,112.896861111,122.788916667
184.49,75.8754722222,126.8115,112.318833333,98.0071666665,95.8333333331,89.855,85.3261666666,79.8913333333,112.68125,129.800916667
184.87,74.6632777778,123.9055,114.31,95.2864999999,95.1176666666,83.5015,83.8383333333,75.4208333334,103.90025,122.3905
185.25,69.0330555555,116.203833334,103.240833333,85.8024999998,83.7965,72.5306666667,80.7098333333,62.6545,97.5820555555,110.648
185.63,61.5113888888,112.913,96.8470000002,77.3273333333,79.4295,70.2703333334,73.5738333333,54.5043333334,86.8871666667,104.579666667
186.01,55.7460277779,116.666833333,95.5881666667,67.4835,72.3855,63.562,68.3006666667,42.3203333333,81.97175,109.0685
186.39,50.6481666666,114.259166667,93.1483333333,56.6666666667,70.0,49.0738333334,60.1851666667,34.074,81.9136944445,117.5
186.77,54.715,125.219333334,109.649333333,56.1403333334,80.7015,50.6581666667,66.4471666667,35.5263333333,95.9793611111,139.912333333
187.15,61.0713888889,140.7145,113.8095,64.9998333335,88.5715,50.0,69.2856666667,38.8096666667,106.825388889,157.738
187.53,56.5873333333,143.5715,110.476166667,59.0475,86.4285,43.5716666667,61.6668333333,30.9525,94.8411388889,158.333166667
187.91,63.4171111111,181.760833333,131.4465,69.4968333331,94.9686666668,43.7108333333,55.975,22.6413333333,112.683527778,201.887
188.29,61.8333333333,176.333333333,128.0,65.3333333332,87.3333333333,34.3333333333,56.6666666667,12.6666666667,104.222222222,210.0
188.67,49.5806111111,155.660166667,110.063166667,57.5471666668,77.6726666667,24.5281666666,53.1446666666,-3.77366666667,93.7630555556,190.566
189.05,42.1441388889,121.615,84.1146666665,43.4895,61.4583333333,11.4583333333,41.146,-5.72933333335,72.8297777777,160.156416666
189.43,26.1831388888,122.839333333,77.469,25.0,48.1481666666,-1.85216666667,19.1356666667,-18.8271666667,67.0269166666,161.88275
189.81,-20.3704444445,167.777833334,87.7778333335,-8.333333333,30.0,-82.778,-25.0,-85.5555,68.4257777779,246.388916666
190.19,-30.9524722221,155.952333333,64.881,-18.452333333,1.7856666667,-105.952333333,-36.9048333333,-123.214333334,50.0992222222,237.499916666
190.57,-30.8004444445,125.980166666,52.451,-8.82366666665,-8.3333333333,-49.5098333334,-20.588,-109.804,25.4085,188.235083333
190.95,-21.6328333333,132.323166667,38.384,-11.616,-20.7068333333,-42.9295,-34.3433333333,-117.171666667,18.5185833334,193.434416666
191.33,-17.8361944445,92.5438333331,21.0526666667,-28.9473333333,-31.579,-48.2458333333,-31.1401666666,-115.351,4.60513888885,158.113833333
191.71,-32.31,62.2806666667,2.193,-48.2456666667,-47.8071666666,-58.3331666667,-51.7545,-135.087666667,-10.1606944445,126.97375
192.09,-61.6096388889,32.906,-18.8033333334,-79.9146666665,-52.1366666667,-111.965833333,-63.6753333333,-156.8375,-39.1024722222,101.068416666
192.47,-204.762083333,16.6668333333,-90.4763333332,-208.73,-162.6985,-310.3175,-175.396666666,-361.904833333,-147.222111111,84.52375
192.85,-248.830166667,0.87733333335,-115.7895,-253.5085,-196.491166666,-362.2805,-194.736833333,-399.122666666,-188.011888888,67.1054166667
193.23,-1077.77777778,-106.666666666,-656.666666667,-1043.33333333,-773.333333333,-1380.0,-780.0,-1653.33333334,-815.555555555,143.333333333
193.61,-330.555555556,-33.3333333333,-201.041666667,-319.791666667,-239.583333334,-444.791666666,-244.791666666,-532.291666667,-301.041666666,77.6041666667
193.99,-164.777777778,16.0,-111.333333334,-178.0,-134.0,-236.0,-119.333333333,-306.666666667,-170.777777778,81.0
194.37,-261.2745,27.451,-168.6275,-274.509666667,-178.4315,-375.490166667,-182.353,-449.0195,-268.300694444,128.4315
194.75,-229.01225,63.8889999999,-176.851666666,-259.259333333,-153.703833333,-381.481333334,-176.851666666,-411.111,-262.03725,132.40725
195.13,-237.280694444,39.4736666669,-170.175333333,-264.035,-147.3685,-369.2985,-187.719333333,-407.894833334,-276.023305555,116.228
195.51,-317.013888889,18.75,-205.208333333,-344.791666667,-215.625,-460.416666666,-283.333333333,-509.375,-348.090277777,127.083333333
195.89,-317.1875,65.625,-190.625,-317.708333333,-212.5,-457.291666666,-260.416666666,-510.416666667,-325.0,184.375
