wavelength,Back_DigHumf,Belly_DigHumf,Breast_DigHumf,Crissum_DigHumf,Crown_DigHumf,DorTail_DigHumf,Rump_DigHumf,Throat_DigHumf,WingTip_DigHumf
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
179.16,-7.03693333333,-0.74080000006,26.8518333333,-20.0,20.0000666667,4.81483333333,18.5184666667,25.5556333333,-17.7778
179.54,33.0951333333,37.1427333333,34.5235833333,16.1904666666,26.6666,41.1904333333,41.9049333333,34.7619,19.5239333333
179.93,-345.0,-383.333333333,-291.666666667,-460.0,-246.666666667,-241.666666667,-326.666666667,-336.666666667,-166.666666667
180.31,-179.333333333,-83.9999999998,-19.1666666667,-334.666666667,-66.0,65.9999999999,79.3333333336,-58.9999999999,-94.6666666668
180.69,-392.857133333,-179.999933333,-65.4761666667,-592.380933333,-169.523866667,16.1906000001,55.2380666666,-214.761833333,-208.5714
181.07,-421.111033333,-194.074066667,-143.518416667,-537.0372,-195.555533333,-56.2963000001,-23.7035999999,-265.1849,-195.5556
181.45,2578.33333333,1453.33333333,1366.66666667,2936.66666667,1533.33333333,806.666666667,813.333333334,1971.66666667,1426.66666667
181.83,505.454533333,292.727266667,271.969833333,563.6364,279.999933333,191.818233333,165.454533333,381.818166667,314.545466667
182.21,333.111233333,149.333333334,146.111166667,360.444466667,144.889066667,94.2220999999,79.5556000001,253.7779,213.7778
182.59,1059.16666667,426.666666667,425.0,1196.66666667,340.0,203.333333333,133.333333333,861.666666667,681.666666667
182.97,-4833.33333333,-2006.66666667,-2225.0,-5440.0,-1513.33333333,-1543.33333333,-1226.66666667,-4040.0,-3386.66666667
183.35,600.740833334,207.407266667,276.852,631.851866667,182.222133333,242.592633334,154.074066667,545.925933333,414.814666667
183.73,-1627.7778,-464.444400001,-727.777833332,-1726.6666,-440.000066667,-771.111166667,-411.111199999,-1635.5556,-1217.77786667
184.11,-398.333366667,-118.888866667,-227.777916667,-446.666666667,-108.333266666,-213.611166667,-102.2222,-427.2222,-322.777733333
184.49,-303.166666667,-135.333333334,-182.5,-320.666666667,-113.0,-189.333333333,-121.333333333,-305.333333333,-263.0
184.87,-397.646933333,-205.882266667,-269.607833333,-429.019666667,-163.1374,-262.352866667,-186.666733333,-372.549,-354.902066667
185.25,-1215.33333333,-655.999999999,-891.666666667,-1340.0,-493.333333333,-839.333333334,-549.333333333,-1182.0,-1216.0
185.63,-315.952366667,-118.0952,-242.857166667,-387.142933333,-82.8571333334,-209.523766667,-73.8096666668,-339.5238,-330.476266667
186.01,1891.1111,877.777733334,1561.11108333,2160.0,880.000066667,1335.55563333,706.666666666,2061.11116667,1822.22226667
186.39,564.285633333,349.047533334,504.16675,620.0,368.571333333,446.190566666,291.9048,582.857133333,527.619133333
186.77,514.166666667,325.833333333,441.666666667,540.833333333,348.333333333,402.083333333,257.083333333,515.0,473.333333333
187.15,523.958333333,347.916666667,444.270833333,518.75,379.166666667,425.208333333,266.25,537.5,487.083333333
187.53,517.777766667,372.963066666,444.907416667,502.962866667,393.7038,430.926033333,310.740666667,525.0,484.4444
187.91,330.208333333,247.291666667,286.458333333,320.625,268.333333333,268.645833333,212.291666667,318.958333333,294.583333333
188.29,269.593566667,201.3008,221.544833333,251.707266667,214.146266667,210.8941,176.260133333,250.0812,230.731666667
188.67,163.8711,123.1184,139.78475,152.580733334,133.548466667,131.2367,101.505533333,155.752566667,137.634533333
189.05,159.5237,117.857266666,135.5655,146.0714,136.666666666,132.0835,88.8095333333,156.4286,138.571466667
189.43,167.2989,128.0458,137.212583333,155.632133333,143.7932,139.1953,95.2874000001,162.471233333,145.172333333
189.81,161.3115,129.399,127.86875,153.224133333,133.0054,130.2732,93.8798666666,153.934466667,140.765
190.19,228.0,189.0,192.5,230.166666667,191.333333333,192.416666667,135.833333333,224.666666667,201.166666667
190.57,227.0475,192.190466667,195.0,237.333266667,187.238066667,195.809433333,127.238133333,237.904966667,202.476133333
190.95,173.9007,153.333333333,164.184333333,195.744666667,149.5036,170.7802,112.0566,193.616933333,170.638333333
191.33,191.0525,171.929866667,175.438666667,224.736933333,161.403466667,184.7368,109.122733333,210.8772,187.894666667
191.71,160.720866667,149.5496,155.630583333,203.603733333,144.864866667,161.081066667,81.2611999999,185.4956,167.207133333
192.09,154.411833333,142.941133333,152.941083333,199.019666667,136.078266667,150.4901,65.2941999999,192.352933333,162.156666667
192.47,137.878833333,131.9696,135.7955,182.8788,132.727266667,144.7727,79.3939333333,179.242266667,156.212066667
192.85,252.361166667,243.055533333,259.72225,349.444466667,249.166666667,262.222266667,166.9444,332.777733333,306.944533333
193.23,328.125,361.25,390.625,485.0,346.25,351.041666667,244.583333334,483.958333333,416.25
193.61,-648.333366667,-795.555733334,-926.388833332,-1105.5554,-761.111066668,-753.888833333,-556.666666667,-1108.88893333,-896.666600001
193.99,961.333333332,1077.33333333,1206.66666667,1429.33333333,1102.66666667,1109.33333333,889.333333333,1428.0,1222.66666667
194.37,397.272733333,475.1516,451.515166666,589.091,472.727266667,457.5757,399.999933334,605.7576,506.060466666
194.75,185.333333333,234.333333333,209.166666667,277.0,243.666666667,215.5,191.0,296.0,254.0
195.13,254.375,323.75,266.145833333,344.166666667,323.75,263.958333333,246.666666667,375.208333333,305.416666667
195.51,163.541666667,195.0,172.135416667,207.083333333,202.083333333,165.9375,160.833333333,223.541666667,175.416666667
195.89,325.476233333,380.4762,326.19025,394.761866667,380.476133333,323.571433333,287.142933334,465.0,319.523666667
196.27,402.333333333,512.666666666,404.999999999,528.0,513.333333334,442.0,379.333333334,600.0,418.000000001
196.65,-398.0,-662.666666666,-421.666666667,-589.333333334,-649.333333334,-448.666666666,-366.666666667,-792.666666667,-367.999999999
197.03,-156.25,-332.5,-120.833333333,-225.833333333,-295.833333333,-219.583333333,-146.666666667,-427.5,-121.666666667
197.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
197.78,149.4444,184.814866667,76.3889166666,157.4074,190.3704,147.592533333,107.777733333,243.3333,130.740666667
198.16,96.7948,121.025666667,58.9744166666,113.0768,136.666733333,109.359,66.1538,175.641,101.281933333
198.54,74.0741666667,84.6296666667,61.111,73.8888666667,104.814733333,83.3333,42.5925999999,132.1295,75.1852666667
198.92,91.8056666667,101.666666667,86.8057500001,83.0555333333,129.999933333,97.6388999999,51.3889333333,164.5833,89.7222666668
199.30,91.1493999999,93.5631333334,92.2413333334,77.7011333333,123.218266667,87.1264333333,69.6551333333,151.7242,89.8850000001
199.68,59.2858666667,68.8094666668,73.8095,45.7143999999,94.7618666667,45.5951,65.9523333335,135.2381,77.3811333334
200.06,70.1448666667,98.8406666667,119.565083333,65.2173333331,133.3332,58.6955666667,106.666733333,164.2028,103.478133333
200.44,76.5713666667,93.7142000001,114.761916667,74.2857333333,125.142866667,71.5237666666,107.238066667,135.904733333,104.190466667
200.82,104.222266667,116.8888,154.444583333,94.8889999999,154.888866667,98.1111666667,123.5556,155.111166667,120.6666
201.19,103.636366667,109.494866667,148.989916667,84.6464666666,146.464733333,79.1919333333,107.0708,137.9799,95.9596666667
201.57,94.8385666666,106.4516,161.559166667,75.699,155.913866667,74.6236333333,117.634333333,141.397933333,78.7096666667
201.95,104.3591,121.5384,197.7565,78.9742666665,180.512933333,84.3590333335,162.8206,168.3334,75.1284
202.33,129.710133333,154.4928,239.855166667,82.3190666667,219.130466667,95.9420666667,205.217266666,198.840666667,78.8406666667
202.71,561.333333333,645.333333334,930.000000001,309.333333332,888.000000001,384.666666667,969.333333334,867.333333333,234.666666668
