wavelength,Back_DigLaff,Belly_DigLaff,Breast_DigLaff,Crissum_DigLaff,Crown_DigLaff,DorTail_DigLaff,Patch10_DigLaff,Rump_DigLaff,Throat_DigLaff,WingTip_DigLaff
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,24.8889733333,7.7778,37.2223333333,22.2221333333,34.4444666667,13.3334,15.0000666667,31.6668,25.0,13.3332666667
179.16,-337.333333333,-793.333333333,-533.333333333,-653.333333333,-420.0,-420.0,-786.666666667,-553.333333333,-513.333333333,-606.666666667
179.54,-581.333333333,-986.666666666,-620.000000001,-773.333333332,-1113.33333334,-973.333333333,-866.666666666,-873.333333334,-1060.0,-886.666666667
179.93,3.55556,-33.3333333333,0.000133333340001,-8.88900000001,-53.7038,-11.8518666667,-25.1851333333,-19.9999999999,3.7036,-31.1111333333
180.31,8.2962133334,-129.629466667,17.0370000001,-87.4075333333,-197.2222,-100.370466667,-89.9999333334,-98.1480666667,-134.814733333,-132.962933333
180.69,8.94446666666,-104.4444,17.5000666667,-70.8334666665,-158.888866666,-83.0555333334,-65.0000666667,-76.9444666666,-113.611,-103.055533333
181.07,-34.5833333333,-204.583333333,-34.1666666666,-163.333333333,-303.125,-154.166666667,-137.083333333,-167.5,-245.833333333,-195.0
181.45,13.7544133333,-122.456133333,21.7544666668,-71.579,-228.2456,-91.2281333332,-58.9474666667,-87.0175333333,-160.000066667,-117.543866667
181.83,36.7110800001,-123.555666667,60.4444666665,-64.8889333333,-235.111166667,-63.5556666668,-44.0000666666,-75.5556666666,-151.1112,-88.0000000001
182.21,35.1111999998,-341.111066667,67.7778,-207.777733333,-600.555466667,-245.555533333,-165.555466667,-246.6668,-434.444466667,-268.888866667
182.59,39.1112000002,418.888866667,-7.7777333334,247.777733333,596.666566666,271.111133333,195.555666667,285.555666666,452.2222,291.111066667
182.97,64.444373334,706.666733333,-2.2222666668,464.444399999,1097.77773333,453.333333333,240.000000001,475.555533333,811.111066667,542.222200001
183.35,64.0533333334,145.066666667,63.1999999999,119.733333333,195.866666667,121.333333333,92.2666666667,115.2,145.066666667,117.066666667
183.73,69.9047466667,179.365066667,85.0792666666,141.587333333,229.6825,139.682533333,116.190533333,129.5238,166.984266667,145.3968
184.11,63.8787199999,270.303,147.2728,221.212133333,359.090866667,209.696933333,186.060666666,187.272733333,288.484866667,208.4848
184.49,50.9841866667,157.7778,124.126933333,153.968266667,198.095266667,135.238266667,116.825466667,126.666666667,155.873,125.079333333
184.87,40.5925866667,94.3703333333,87.4074000001,91.5555333333,117.407466667,86.5185999999,77.4815999999,84.2963333334,87.4074666667,80.7408666665
185.25,23.19064,64.4048000001,65.0000666667,69.7619333333,86.5476,73.3333333334,58.4524666667,62.3809999999,55.0000666666,58.8094666667
185.63,33.7711733333,68.5571333334,76.1194666667,77.7114,85.5222999999,76.7163333333,62.4876,68.8557333333,58.1094666667,61.5918666667
186.01,24.2918133333,56.7707333333,74.5833999999,71.7710666667,82.7604,73.9584666667,47.6042666666,62.9166666667,48.5417333333,59.3750666667
186.39,3.34505333334,44.2103999999,69.0057999999,61.8714666667,78.5380333333,61.9884,27.1346,50.1753333334,37.4268666667,39.0642666667
186.77,15.5046933333,45.6191999999,67.6190666666,61.7143333333,78.5715333333,63.9999999999,29.7142,51.1428666667,39.1429333334,35.8094666667
187.15,15.2950133333,39.3103333333,62.5289333333,56.7815333333,72.2222,55.4022666667,27.8161333333,46.5902,31.8773333333,29.6552666667
187.53,1.03333333332,26.5833333333,56.75,47.9166666667,63.5416666667,40.6666666667,12.6666666667,34.7499999999,22.5833333333,18.8333333333
187.91,13.8039733333,36.4707333333,68.3138,57.5685999999,70.5098333333,48.2354,18.2746,44.3921999999,29.0196666667,25.4118
188.29,13.90044,40.0765999999,69.7317333333,58.3906666667,69.5019000001,46.1302,14.7126666667,45.7471333333,29.4254666667,25.0575333333
188.67,11.2697466667,38.6507333333,68.8888,54.1268,69.2063666667,45.3176000001,6.58733333333,39.7619333333,26.7461333333,20.635
189.05,-22.0266666667,13.0666666666,71.2000000001,40.8,63.0666666667,25.2,-42.0,20.7999999999,1.19998588843e-10,-18.2666666667
189.43,-9.6854533334,22.0126000001,78.3648666666,47.7986000001,71.0062666666,23.3962666667,-38.1131333333,27.9245333333,14.5912000001,-9.0566
189.81,-19.52952,-2.0915333332,66.1438,42.0913333333,61.6993,8.2352,-56.2091333333,20.6535333333,10.3267333333,-22.2221333333
190.19,-26.47152,-7.64226666672,78.3742,48.9431333334,71.3007333333,2.60146666672,-72.3577999999,18.3739999999,20.8130666667,-39.5122
190.57,-8.50666666666,-2.26666666654,65.6000000001,49.8666666668,52.4,-4.40000000006,-57.6,24.0000000001,21.6,-31.2
190.95,-100.28976,-108.695533333,66.0868666667,23.7680666666,15.3622,-122.608666667,-213.333333333,-21.1592666666,-31.5941333335,-143.188333333
191.33,-1105.77772,-1251.11106667,62.2222666674,-273.333266665,-370.0001,-1402.2222,-2159.99993333,-508.889,-599.999933334,-1546.66666667
191.71,371.151493333,432.121333334,51.5150666666,167.2728,193.939433333,466.666666667,709.697,212.1212,244.2424,553.333333333
192.09,241.666573333,276.944533333,107.222266667,151.111,178.0556,296.3888,409.722133333,186.111266667,186.389,334.722266667
192.47,190.262586667,226.464666667,109.090733333,134.3434,155.959633333,234.7474,333.3334,162.0202,161.818133333,268.0808
192.85,233.747093333,278.390733333,127.816066667,165.517333333,185.172333333,283.907866667,396.551666667,202.069066667,199.770133333,329.195466667
193.23,405.882346667,474.117533333,225.097866667,260.3922,305.294233333,488.6274,683.1372,380.392066667,337.647066667,561.9608
193.61,299.999933333,339.506133333,180.246866667,210.617266667,227.530766667,344.4444,467.160666667,298.2716,251.111266667,403.209866667
193.99,364.60604,382.7272,209.696866667,247.8788,271.363666667,415.1516,569.090866667,377.878733333,301.818333333,484.2424
194.37,536.916666667,554.583333333,317.916666666,379.583333333,420.0,603.333333333,822.083333333,557.083333333,455.0,701.25
194.75,743.393986665,790.302933334,427.878733333,526.060600001,544.545466667,795.7576,1170.30306667,793.939333333,612.727133334,982.424200001
195.13,-1413.06666667,-1482.66666667,-746.666666667,-969.333333333,-1001.33333333,-1421.33333333,-2373.33333333,-1518.66666667,-1117.33333333,-1985.33333333
195.51,-506.051173333,-529.743533333,-260.000133333,-357.9488,-360.2564,-515.384533333,-863.589733333,-547.692333333,-381.5384,-716.923
