wavelength,Back_DigMajm,Belly_DigMajm,Breast_DigMajm,Crissum_DigMajm,Crown_DigMajm,DorTail_DigMajm,Patch10_DigMajm,Patch11_DigMajm,Rump_DigMajm,Throat_DigMajm,WingTip_DigMajm
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,168.014492754,244.0,118.666666667,126.666666666,185.333333333,36.6666666667,100.0,186.666666667,134.444444444,158.666666667,82.6666666667
179.16,384.420289855,163.333333333,-143.333333333,-20.0,-39.9999999999,-396.666666667,-146.666666667,-126.666666667,45.5555555556,13.3333333334,-286.666666667
179.54,462.282608696,486.666666667,843.333333333,566.666666667,700.0,939.999999999,646.666666667,653.333333333,395.555555555,546.666666667,940.0
179.93,127.620887681,-74.4443666666,86.6667000001,44.4446666666,-2.22220000014,84.4444666666,-73.3333333333,-104.444466667,6.66656666667,-55.5555999999,6.6665333332
180.31,11.9031945652,-77.6470666666,-103.333433333,-112.549,-76.0783999998,-259.019566667,-140.784533333,-100.784333333,-63.9215888889,-63.1373333334,-186.666766667
180.69,-13.7478971015,-123.333433333,-140.0,-160.3704,-98.8889333335,-281.851766667,-172.777766667,-110.740733333,-104.197622222,-88.8888666668,-223.148166667
181.07,-319.529165217,-782.777733333,-620.000166666,-755.555533335,-616.666733333,-1040.55563333,-797.7777,-662.222266666,-611.111111111,-552.222266667,-903.888866667
181.45,1.1685708087e+15,3.12394576425e+15,2.03003165022e+15,2.67401227875e+15,2.20915208994e+15,3.51417243651e+15,3.06210656482e+15,2.43518502579e+15,2.24824583671e+15,1.99164869885e+15,3.30093381779e+15
181.83,-122.995240217,-382.777866667,-204.1666,-324.999933333,-238.8888,-385.2778,-387.7778,-282.2222,-271.203777778,-229.999933333,-381.666766667
182.21,2911.23188406,5066.66666667,3576.66666667,5020.0,3926.66666667,5956.66666667,5570.0,4080.0,4184.44444445,3706.66666667,6213.33333333
182.59,305.319456159,523.333266667,361.8181,507.878866667,415.1516,591.212066667,555.757533333,404.848533333,447.676833333,408.484866666,625.757533333
182.97,171.351902174,353.958333333,235.0,336.666666667,258.75,351.041666667,327.916666667,262.916666667,267.708333333,261.666666667,382.5
183.35,193.521097464,473.939466667,308.788,437.575866667,317.575666667,393.3334,416.3637,315.151533333,324.545444444,333.3334,501.2122
183.73,208.651373551,531.8519,388.148166667,517.037133333,332.592466666,451.111066667,494.444533333,363.703533333,354.814744445,349.629466667,555.5557
184.11,104.614691667,229.122766667,190.877233333,239.298,161.052666667,210.877266667,232.2806,157.193066667,164.795311111,143.859533333,263.333233333
184.49,57.0852336957,105.9649,89.4736333332,111.579066666,72.6315333333,105.175533333,123.596533333,68.5965333333,79.1520444445,68.0701333333,140.4385
184.87,30.1227913043,61.2925,51.0202333333,70.8844,51.0205333333,69.3198000001,89.3198666667,46.9388666667,40.4989555556,43.2653333334,94.4898666667
185.25,8.04994673913,36.0742666667,34.8148999999,51.8518,31.4074666667,49.5557,79.6296666667,22.6668,14.4445555555,19.2592,80.6667
