wavelength,Back_DigMysf,Belly_DigMysf,Breast_DigMysf,Crissum_DigMysf,Crown_DigMysf,DorTail_DigMysf,Patch10_DigMysf,Patch11_DigMysf,Patch12_DigMysf,Rump_DigMysf,Throat_DigMysf,WingTip_DigMysf
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,62.8573333333,72.3809333334,90.4761333334,97.1428000001,55.2380666667,80.0,79.9999333333,62.8571333333,59.0476666667,69.5239925926,51.4285666666,62.8570666667
179.16,129.999933333,67.7778666668,122.222266667,112.222266667,111.111133333,81.1111333334,107.7778,104.444466667,76.1111666667,151.975355556,126.111233333,116.666733333
179.54,68.0,52.0000000001,89.3333333333,24.0000000001,87.9999999999,16.0,74.6666666667,75.9999999999,20.6666666666,70.5185185186,68.6666666667,70.6666666667
179.93,243.333333333,253.333333333,240.0,100.0,60.0,96.6666666668,190.0,183.333333334,99.9999999999,161.111111111,158.333333333,136.666666667
180.31,28.1720666666,36.6668,60.1075333334,12.7958,6.45153333332,18.387,19.4624,37.5268666667,3.33326666666,33.1899703704,39.0320999999,20.5376
180.69,23.7144,34.7618666667,52.4762666667,7.4286,3.80953333334,8.00006666666,13.1428,30.3809333333,-1.90476666667,26.4973851852,32.1428333333,18.0
181.07,4.04753333334,25.3571333333,46.4286,-20.0,-14.7619333333,-12.262,-7.02373333333,18.4522666666,-20.9523333333,10.8465703704,24.7619333333,0.11906666664
181.45,-25.6,8.93333333333,23.2,-52.3999999999,-48.6666666667,-42.8000000001,-36.6666666667,-9.33333333332,-47.9333333333,-16.162962963,-2.26666666661,-27.0666666667
181.83,-46.5277333333,-8.19453333333,1.9446,-74.9999333333,-77.7778666667,-60.5556,-64.9999333333,-28.6110666667,-64.8612333333,-34.1667333333,-22.9860666666,-50.1388
182.21,-53.7256,-17.3856666667,-6.01306666666,-79.3464000001,-81.1763333333,-61.8300666667,-65.4902666667,-32.8104666667,-66.1438333333,-41.4234222222,-29.3464666667,-58.8236
182.59,-95.8333333334,-57.0,-39.9999999999,-132.5,-125.666666667,-108.166666667,-102.333333333,-67.6666666667,-112.0,-88.1666666668,-61.9166666667,-105.833333333
182.97,-107.6422,-72.8454666666,-64.2275999999,-147.804866667,-149.7562,-126.666733333,-117.886266667,-80.4878,-124.065033333,-105.402096296,-77.2358666666,-119.186933333
183.35,-139.753,-97.0368000001,-92.8394666666,-214.074,-214.074133333,-180.9876,-163.209866667,-117.284,-164.938233333,-139.808014815,-117.283966667,-167.160533334
183.73,-187.5362,-136.5216,-148.985466667,-277.971133333,-271.884133333,-238.550733334,-226.666666667,-171.884066667,-220.434766667,-170.595874074,-188.260933333,-220.0
184.11,-107.842933333,-85.0980666668,-84.1176666668,-161.9608,-159.607933333,-139.803866667,-145.294133333,-106.274666667,-134.215633333,-90.6534888888,-117.2549,-132.156866667
184.49,-140.952333333,-124.761933334,-125.476266667,-210.476133333,-205.238133333,-194.523933333,-188.8094,-140.4762,-168.571466667,-120.158733333,-171.071366667,-182.142866667
184.87,-200.302933333,-206.666733333,-190.606,-302.424133333,-303.636266667,-265.4546,-285.757666667,-204.848533334,-239.545466667,-188.3164,-244.394066667,-278.484866667
185.25,-104.952466667,-134.0954,-120.5714,-175.238133333,-179.238066667,-159.047533333,-175.809466667,-123.047733333,-150.095433333,-112.719562963,-147.3334,-161.333466667
185.63,-102.222266667,-140.1852,-123.333333333,-166.851933333,-170.000133333,-155.370333333,-172.963,-123.518533333,-157.314833333,-126.069955556,-145.370333333,-160.925933333
186.01,-100.430133333,-143.0108,-123.4408,-173.548266667,-178.064533333,-170.537733333,-167.741933333,-129.032333333,-174.946266667,-131.708548148,-153.440766667,-168.602
186.39,-168.405733333,-220.579733333,-195.072466667,-260.869533333,-274.492866667,-261.739133333,-264.9274,-199.710066667,-278.695633333,-200.418688889,-226.956566666,-253.913
186.77,-404.848533333,-503.636466667,-465.454533333,-572.1212,-610.303066667,-551.515133333,-603.636466667,-444.8484,-647.272766666,-420.269444445,-523.9394,-564.8484
187.15,-644.166666667,-730.000000001,-695.0,-825.000000001,-866.666666667,-817.499999999,-860.000000001,-668.333333333,-985.833333334,-621.481481482,-812.083333334,-829.999999999
187.53,-477.436,-548.205,-482.5642,-595.897466667,-607.692333333,-573.8462,-627.179466667,-488.717866667,-694.102566667,-473.903074074,-564.358933333,-605.641
187.91,-482.564066667,-554.359,-475.384533333,-609.743533333,-603.5898,-567.692333333,-615.8974,-506.153933333,-711.025433333,-504.615251852,-548.718133333,-616.923
188.29,-603.333333333,-716.666666667,-650.0,-809.333333333,-792.0,-739.333333334,-780.000000001,-695.333333333,-951.000000001,-705.629629629,-714.666666667,-824.666666667
188.67,-307.451066667,-367.451,-331.764733333,-414.117533333,-405.490133333,-363.921533334,-407.843133333,-368.2352,-516.4706,-373.812666667,-357.2549,-424.313733333
189.05,-712.5,-782.5,-754.166666667,-892.499999999,-856.666666665,-805.0,-843.333333333,-831.666666667,-1160.83333333,-818.796296295,-800.833333333,-940.833333334
189.43,3060.0,3043.33333333,3150.0,3750.0,3733.33333334,3310.0,3383.33333333,3526.66666667,4690.0,3384.44444444,3280.0,4180.0
189.81,-1284.0,-1217.33333333,-1285.33333333,-1620.0,-1573.33333333,-1284.0,-1404.0,-1394.66666667,-1885.33333333,-1344.59259259,-1305.33333333,-1684.0
190.19,1034.16666667,1025.0,1049.16666667,1260.83333334,1247.5,994.166666667,1180.0,1126.66666667,1427.08333333,1106.94444444,1059.16666667,1305.0
190.57,2997.77766667,3051.11106667,3037.77773333,3566.66666667,3546.66666667,2904.4444,3506.66673333,3288.8888,4059.99993333,3245.18505926,3151.11116667,3708.8888
190.95,-418.666666667,-425.333333334,-409.666666667,-511.666666667,-510.333333333,-422.0,-510.0,-480.0,-564.333333333,-475.111111111,-446.333333333,-537.333333334
191.33,-430.666666667,-451.333333333,-442.666666667,-537.0,-537.333333333,-450.0,-548.333333333,-514.333333333,-583.333333333,-519.925925926,-466.166666667,-576.0
191.71,-10193.3333333,-10580.0,-10586.6666667,-12226.6666667,-12546.6666667,-10786.6666667,-12626.6666667,-11813.3333333,-13120.0,-11908.8888889,-11113.3333333,-13120.0
192.09,3686.66666667,3800.0,3891.11113333,4284.44453333,4526.6666,3888.88893333,4466.66673333,4186.66666667,4612.22226667,4223.95058518,3939.99996667,4731.11106667
192.47,2831.66666667,2903.33333333,2918.33333333,3253.33333333,3528.33333333,2928.33333333,3401.66666667,3153.33333333,3476.66666667,3194.07407407,3005.0,3606.66666667
192.85,-2345.33333334,-2382.66666667,-2368.0,-2652.0,-2992.0,-2401.33333333,-2754.66666666,-2646.66666667,-2797.33333333,-2611.11111111,-2452.66666667,-2918.66666667
193.23,-395.061666667,-420.9876,-403.950733333,-454.567866667,-535.0616,-399.259266667,-469.876533333,-460.4938,-476.790166667,-445.404814815,-419.012233333,-504.938266667
193.61,-585.0,-647.666666667,-599.333333334,-672.666666667,-786.333333333,-606.666666667,-694.333333334,-674.333333333,-714.5,-659.703703704,-644.0,-717.666666666
193.99,-777.777666667,-880.4444,-817.777866666,-900.000066667,-1045.33333333,-840.444399999,-927.555466666,-932.444399999,-958.222166667,-899.061792594,-884.444566667,-979.555599999
194.37,-450.666666667,-506.4,-464.266666667,-512.533333333,-603.2,-485.866666667,-536.266666667,-547.466666667,-544.533333333,-508.237037037,-506.0,-567.466666667
194.75,-553.684133333,-630.526333333,-593.333333333,-643.5088,-755.7894,-617.193,-678.947466667,-716.140266667,-695.263066667,-640.467881481,-635.438633334,-721.052666666
195.13,-801.025600001,-945.128066667,-909.743600001,-942.564066668,-1119.4872,-908.204999999,-993.846333333,-1062.0512,-1032.82043333,-960.227837039,-936.153833335,-1051.28193333
195.51,-2130.66666667,-2549.33333333,-2420.0,-2480.0,-2936.0,-2385.33333333,-2588.0,-2818.66666667,-2704.0,-2470.51851852,-2426.0,-2748.0
195.89,-1010.0,-1212.66666667,-1164.0,-1172.0,-1352.0,-1086.66666667,-1200.0,-1341.33333333,-1302.0,-1157.7037037,-1114.66666667,-1266.66666667
196.27,-784.999933333,-1001.1112,-919.444600001,-942.222266667,-1085.55566667,-836.110933333,-948.888933334,-1075.5556,-1034.16666667,-927.592570371,-875.277699999,-968.888866667
196.65,-2356.66666667,-3013.33333333,-2778.33333333,-2760.0,-3160.0,-2450.0,-2795.0,-3208.33333333,-3043.33333333,-2750.37037037,-2571.66666667,-2735.0
197.03,1993.33333333,2506.66666667,2373.33333333,2273.33333333,2490.66666667,2036.0,2377.33333333,2624.0,2587.33333333,2312.88888889,2132.66666667,2298.66666667
197.40,640.7844,741.960866666,734.117666667,699.607866667,727.450933333,627.450933333,725.882466667,800.784400001,780.196100001,726.710288889,655.098033333,692.549066666
197.78,768.000000001,843.999999999,854.6666,801.7778,833.777866667,722.222133334,827.555466667,934.666666665,899.111133332,843.210007407,756.888966667,816.889066667
198.16,352.2522,375.135133333,380.901066667,359.459466667,382.882933333,324.144066666,369.909933333,408.107933333,399.819833333,373.673651852,339.549533333,366.306466667
198.54,319.5122,338.536533333,352.0324,327.317066667,338.374066667,292.5204,333.170666667,366.016266667,362.357766667,345.456155556,310.487733333,329.918666667
198.92,305.000066666,321.363666667,336.212,312.575733333,315.1516,273.333266667,304.3938,342.575733333,337.803066667,326.633014815,294.469733333,310.757533333
199.30,285.972266666,300.833333333,317.6388,285.416733333,290.555533333,250.694333333,275.833466667,313.888933333,314.722233334,302.777755556,273.125033333,290.277733333
199.68,298.865333333,305.957466667,328.0852,289.220066667,292.765933333,251.6312,277.163133333,316.028333333,321.134833333,317.525703704,283.475133334,299.5744
200.06,256.723133333,256.723133333,283.9548,245.197666667,253.107266667,220.113,239.435066667,272.655333333,271.1298,273.936051852,244.237366667,259.209066667
