wavelength,Back_DigPluf,Belly_DigPluf,Breast_DigPluf,Crissum_DigPluf,Crown_DigPluf,DorTail_DigPluf,Rump_DigPluf,Throat_DigPluf,WingTip_DigPluf
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
179.16,187.5,262.5,120.833333333,283.333333333,229.166666666,279.166666667,166.666666667,291.666666667,95.8333333334
179.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
179.93,78.1250000001,65.625,11.4583333334,98.9583333333,77.0833333333,96.8749999999,62.5,39.5833333333,3.125
180.31,111.282166667,103.076916667,54.4873333334,92.1795833334,91.2820833333,116.66675,96.6665833333,103.333333333,81.1539166667
180.69,123.924833333,111.021583333,51.07525,94.3550000001,94.0859999999,131.4515,106.317166667,112.6345,86.5591666666
181.07,126.04175,110.67725,51.0417499999,87.7604166666,94.7917499999,124.0885,109.635666667,110.286833333,89.8439166665
181.45,123.333333333,108.66675,55.3332499999,82.7778333333,94.5555833335,119.666666667,110.66675,103.77775,91.3332500002
181.83,132.575666667,115.5845,61.5800833333,84.8483333333,98.5930833333,126.190416667,119.58875,108.0085,94.8050833332
182.21,167.647166667,145.58825,66.0130833333,84.4770833334,120.58825,157.843083333,153.431333333,132.516166666,117.646916667
182.59,214.864833333,184.009,75.4505833333,92.1170000001,147.74775,195.495333334,192.792916667,154.72975,141.666666667
182.97,232.353083333,211.519666667,84.0687499999,108.823416667,171.568583333,223.28425,210.784333333,162.255,139.705916667
183.35,223.19825,204.729666667,83.5585000001,107.207166667,175.22525,209.23425,205.405333333,146.396333333,137.162166667
183.73,235.057416667,217.528666667,51.1493333334,101.724,195.977,217.528666667,218.1035,132.18375,132.184
184.11,247.666666666,240.333333334,29.0,93.6666666666,219.666666666,216.333333333,215.0,140.0,113.666666667
184.49,488.1945,440.277833333,33.3334166668,162.5,435.416583333,397.9165,411.111083334,261.111083333,172.22225
184.87,222.435916667,222.435916667,39.1025833333,93.2690833332,225.641,182.692333333,191.025583334,116.666666667,86.859
185.25,220.07575,221.969583333,15.53025,84.4696666666,230.302916667,175.37875,189.394,96.2120833333,48.8636666666
185.63,214.351916667,223.611083333,-21.29625,58.3333333333,222.22225,143.5185,166.203666667,64.815,-5.09258333333
186.01,177.777916667,220.238,7.53983333342,70.2381666668,206.745833333,128.174583333,163.888916666,65.0794166667,22.6190833333
186.39,145.71425,179.523833333,47.857,101.190333333,153.3335,106.428583333,132.143,77.6190833334,57.3808333335
186.77,150.4065,187.398333333,65.4471666667,120.5285,143.292666667,113.414833333,134.349666667,84.7560000001,79.065
187.15,160.526333333,202.631666667,69.0788333334,128.947416667,134.64925,100.657916667,140.57025,80.9210833332,87.0615000002
187.53,174.754916667,227.451,83.0883333333,136.519666667,139.950916667,106.372416667,155.882416667,89.2155833334,101.960666667
187.91,163.759666667,207.1705,93.7985,130.039,127.907083333,112.79075,161.821833333,98.0620833333,110.0775
188.29,146.8955,187.58175,93.7909166666,130.5555,109.96725,107.679666667,147.38575,91.1765833333,110.130666667
188.67,126.900416667,181.432833333,88.4503333333,123.538,99.8538333332,101.1695,140.64325,77.9240000001,109.2105
189.05,187.990083333,285.539166667,120.83325,179.901916667,135.049083334,130.637333333,219.117583333,106.1275,160.78425
189.43,180.5555,293.518583333,133.796333333,176.620416667,136.342583333,135.185083333,214.5835,101.620416667,163.426
189.81,182.323166667,326.010083333,136.616166667,186.363583333,134.848416667,136.111083333,226.767666667,96.7171666668,183.585833334
190.19,149.074,289.583333333,109.490666667,155.324083333,104.398166667,106.250083333,181.713,75.0000833334,150.6945
190.57,133.783666667,269.144083333,103.378333333,129.504583333,94.14425,85.1350833335,167.11725,69.3693333332,137.612666667
190.95,128.448333333,300.862083333,110.057416667,120.402333333,99.4251666667,74.7126666666,194.252916666,66.6665833333,137.069
191.33,116.357916667,315.74075,116.97525,114.814666667,108.641916667,81.7900833334,202.777833333,66.97525,136.7285
191.71,137.681,364.130416667,119.565333333,124.999916667,135.144916667,91.6666666667,228.26075,78.9852499999,155.0725
192.09,153.645833333,493.75,129.6875,136.458333333,133.854166667,95.8333333333,257.8125,64.5833333332,181.770833333
192.47,9.70235715178e+14,4.63260899169e+15,8.90271233155e+14,6.02399097885e+14,7.836519238e+14,2.61217307932e+14,2.15371004907e+15,-1.70590894978e+14,1.39138198715e+15
192.85,322.916666666,1629.16666667,335.416666667,152.083333334,197.916666668,-85.4166666667,670.833333333,-197.916666665,356.250000001
193.23,114.285666667,473.214249999,140.47625,88.0952500002,65.4761666668,2.38108333357,202.380916667,-51.7858333335,130.357166667
193.61,-255.555500002,-1827.77783333,-283.333250002,-94.444333335,-2.77775000075,408.333416666,-641.666583333,530.555500001,-336.111083334
193.99,-39.035,-267.982583333,-31.5789166667,1.31575,-10.9648333333,71.4912499998,-104.385833333,96.9299166665,-41.2281666667
194.37,-34.72225,-158.61125,-15.8334166665,-10.8335,-11.3889166666,45.2776666666,-63.8890833332,79.4443333335,-31.1111666665
194.75,-20.6017499998,-128.703666667,-6.4815,-5.32408333325,0.925916666575,31.0184166667,-39.58325,78.9353333333,-19.6757500001
195.13,-46.6666666665,-221.333333333,-23.6666666666,-36.0,-20.6666666667,8.66666666685,-67.3333333333,92.3333333335,-63.6666666665
195.51,-16.9642500001,-177.381083333,6.25008333317,-4.76183333325,4.76191666672,30.6548333335,-30.65475,102.380916667,-46.1309166668
195.89,41.1458333332,-123.177083333,29.1666666667,13.28125,52.8645833333,66.9270833333,7.03125,124.21875,-3.64583333342
196.27,49.7313333332,-129.301083333,18.01075,4.56991666675,50.8064999999,75.2686666665,1.61291666667,118.817166667,-6.98908333343
196.65,43.3824166667,-114.705833333,15.6863333333,-7.1078333335,41.4215,72.0588333334,8.08833333333,93.6275000001,-5.39208333342
197.03,48.2805000001,-42.0634999999,35.71425,13.3598333333,42.19575,62.0369999999,31.7460833333,68.6509166666,12.6984166667
197.40,52.4854166666,-51.7543333333,38.0115000001,16.5204166666,39.766,64.6199166668,35.088,64.4736666665,0.438583333425
197.78,66.9048333335,-106.904583333,28.8093333332,-11.1903333333,39.5239166667,61.1904166667,30.238,62.8570833334,-37.1429166667
198.16,100.362416667,-166.666666667,3.9855,-45.2898333333,56.5217499999,69.5651666665,49.6375833334,61.23175,-83.6955833333
198.54,191.66675,-237.222416667,-1.11108333332,-42.7779166668,122.777666667,100.0,89.4444166668,68.8889166668,-132.777833333
198.92,-2733.33333334,3983.33333333,666.666666667,1091.66666667,-1425.0,-974.999999998,-483.333333333,-291.66666667,2899.99999999
199.30,-745.833333335,893.75,260.416666667,358.333333332,-441.666666667,-306.249999999,-122.916666666,-20.8333333317,770.833333333
199.68,-368.5185,360.185083332,106.481416667,127.777583333,-230.5555,-160.185083333,-76.8518333334,7.4074166665,347.222250001
200.06,-223.484666667,370.454583333,175.757416667,146.212,-69.6969999999,-53.03025,52.2726666665,104.545333333,381.818250001
200.44,1063.88883333,-988.888833334,-427.777833335,-205.555666667,466.666833333,461.111083333,124.999999999,-136.111166667,-1188.88891667
200.82,1045.83333333,-579.166666666,-195.833333334,116.666666665,568.750000001,481.249999999,268.75,64.5833333325,-708.333333333
201.19,-853.333333333,451.666666668,308.333333332,-161.666666665,-450.0,-270.0,-143.333333334,14.9999999992,571.666666666
201.57,1264.58333333,-333.333333333,-297.916666667,270.833333333,749.999999999,518.749999999,400.000000001,183.333333333,-514.583333335
201.95,434.848416666,-104.5455,-103.787916667,98.48475,273.484916667,193.939416667,154.5455,68.1818333332,-193.9395
