wavelength,Back_DigPlum,Belly_DigPlum,Breast_DigPlum,Crissum_DigPlum,Crown_DigPlum,DorTail_DigPlum,Rump_DigPlum,Throat_DigPlum,WingTip_DigPlum
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
179.16,146.666666667,190.0,183.333333333,213.333333333,133.333333333,89.9999999999,380.0,256.666666667,236.666666667
179.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
179.93,49.4444444445,72.5000000001,95.8333333334,51.6666666667,41.6666666667,30.8333333333,64.9999999999,67.5,52.5
180.31,104.068466667,109.128266667,94.9744000001,89.8462000001,80.5128666665,93.3332666667,111.3846,92.7179333334,89.9487333333
180.69,111.684533333,122.473266667,99.3548,97.4193999999,85.5914000001,96.5591333333,116.5592,97.8494666667,97.3118666667
181.07,118.125088889,124.166666667,96.4584666667,101.979333333,93.3334666665,92.0835333333,112.604333333,99.3752,92.5002666666
181.45,120.207288889,117.5112,96.9777333335,103.377733333,96.9778,94.3111333333,102.6668,97.1556,92.5332666667
181.83,128.831066667,121.039,102.251066667,110.4762,103.723066667,100.519533333,106.060533333,104.934933333,98.1817333333
182.21,170.762577778,150.9804,115.816933333,144.5752,128.6274,126.013133333,131.372533333,123.660133333,116.731933333
182.59,220.180244444,187.207133333,138.7388,180.5404,153.1532,151.3514,160.3604,155.495466667,138.018066667
182.97,239.934555556,200.9804,154.1176,190.0,163.529466667,167.2548,169.4118,178.431266667,149.215666667
183.35,225.2852,198.7386,154.594466667,179.819866667,156.576533333,171.891933333,166.8468,178.017933333,141.8016
183.73,246.207022222,210.3448,152.643733333,175.172333333,146.6668,168.735533333,164.367733333,184.367866666,125.057466666
184.11,253.066666667,210.4,151.466666667,186.666666667,146.133333333,171.466666667,158.933333333,189.6,118.933333333
184.49,477.407355556,383.888933333,270.555466667,341.6666,251.6666,318.333333333,286.666666667,347.2222,216.666666667
184.87,231.453,178.461733333,143.076933333,167.692333333,119.230733333,168.9744,145.384666667,176.1538,112.564066667
185.25,210.707022222,166.666666667,135.151533333,165.454666667,85.1514666666,167.575733333,124.8486,157.2726,109.090866667
185.63,197.901244444,181.481466667,116.2962,155.1852,43.7035999999,158.5184,125.185266667,135.555466667,90.3704
186.01,224.444377778,218.0952,150.793666667,195.873,87.3015999999,197.142866667,174.9208,172.063466667,145.079466667
186.39,204.063355555,197.3334,162.476133333,181.523733333,117.1428,188.190466667,171.428466667,174.666666667,164.1904
186.77,220.650488889,212.0326,183.252,209.593466667,151.5448,208.943,196.260066667,192.845666667,193.170933333
187.15,258.537933333,246.3158,218.245533333,258.5966,177.193066667,249.1228,233.5088,224.912333333,225.087666667
187.53,324.575111111,291.176466667,267.451,325.2942,219.2158,306.274466667,294.3138,276.0784,281.5686
187.91,309.198977778,271.3178,261.0854,315.5038,230.542666667,296.434,291.4728,263.721,278.294733333
188.29,295.511911111,264.052266667,248.366,294.901866667,227.843066667,288.104466667,278.300666667,253.987,272.941133333
188.67,287.485577778,255.789466667,242.3392,289.239733334,229.8246,285.1462,273.801266667,249.707666667,268.304133333
189.05,492.026088889,421.764733333,402.745133333,490.0,392.549,479.607866667,463.529466667,416.862733333,442.156866667
189.43,519.691155555,432.407333334,413.518466667,500.370333333,411.851866667,490.925866667,488.518466667,435.5556,458.8888
189.81,590.101066667,474.949466667,462.222333333,559.3938,467.6768,561.010066667,548.686866667,502.0202,517.9798
190.19,535.802444444,424.444466667,411.851933333,499.444466667,416.6668,510.3704,483.703666667,443.888933333,460.185266667
190.57,508.708755555,406.306333333,389.009066667,474.234266667,404.864933333,493.513533333,456.576533333,423.2432,431.531466667
190.95,626.206755555,485.287466667,467.1264,563.678333333,488.046,598.620733333,542.528666667,504.827733333,519.080466667
191.33,674.567933333,519.999866667,500.2468,596.2962,523.2098,636.049466667,583.703866666,532.839466667,563.4568
191.71,773.333222222,602.318733333,584.057866667,679.710066667,620.869533333,739.130333334,664.927466667,613.913066667,655.652133333
192.09,1043.05555555,819.999999999,775.416666666,945.416666668,838.750000001,1011.25,889.166666667,806.249999999,880.0
192.47,1.00492253049e+16,7.60835391594e+15,7.45055733809e+15,9.28867423145e+15,7.92394707164e+15,9.40382308556e+15,8.28645272347e+15,7.59129482643e+15,8.20968682072e+15
192.85,3901.11111111,2840.0,2926.66666667,3533.33333333,2930.0,3593.33333333,3176.66666667,2843.33333333,3055.0
193.23,1157.14295556,858.095200001,890.952466666,1053.33346667,875.714133333,1070.00013333,948.571466667,854.285599999,927.619
193.61,-5054.81482222,-3637.77786667,-3908.889,-4686.66666667,-3720.0,-4737.7778,-3991.11106667,-3666.6666,-3940.00006667
193.99,-780.8188,-570.175466667,-610.175466667,-736.842066667,-581.7544,-739.649066667,-612.631733333,-563.508733333,-597.544
194.37,-489.111133333,-350.222133333,-380.0,-463.3334,-375.111133333,-453.555666667,-384.0,-359.777933333,-362.666733333
194.75,-406.234422222,-277.407466667,-304.8148,-377.962933333,-293.703666667,-373.7036,-307.777666667,-292.037066667,-286.111066667
195.13,-608.444444445,-434.133333333,-458.4,-576.266666667,-447.466666667,-563.733333333,-467.733333333,-454.666666667,-426.933333333
195.51,-518.254044445,-357.857066667,-377.619133333,-485.7144,-375.952333333,-469.0476,-396.428533333,-375.4762,-351.4286
195.89,-420.694444444,-271.875,-302.083333333,-402.083333333,-294.791666667,-384.375,-313.541666667,-296.666666667,-274.166666667
196.27,-442.4372,-293.9786,-321.5054,-409.032333333,-310.752666667,-399.139866667,-329.677466667,-324.516066667,-293.548333333
196.65,-406.274511111,-275.8824,-291.176533333,-366.666666667,-285.490266667,-376.078466667,-313.725333334,-292.9412,-278.039133333
197.03,-195.202822222,-126.455,-124.127066666,-171.005266667,-131.322733334,-175.661466667,-140.529066667,-133.968333333,-125.185266667
197.40,-215.009577778,-137.426933333,-137.5438,-186.1988,-148.421,-197.192933333,-153.684133333,-149.473666667,-132.7486
197.78,-379.746088889,-263.4286,-258.095333333,-324.571533333,-283.809466667,-357.3332,-281.523866667,-275.809466667,-244.380866666
198.16,-603.574933333,-424.637733333,-411.0146,-506.087,-449.854933333,-565.507266667,-446.9564,-434.2028,-378.840533333
198.54,-926.962911111,-677.7778,-628.444466667,-787.555600001,-676.888866667,-877.777866667,-683.5554,-654.222200001,-579.999933333
198.92,14348.8888889,10873.3333333,10353.3333333,12693.3333334,10680.0,13746.6666667,11133.3333333,10426.6666667,9539.99999999
199.30,3513.33333333,2683.33333333,2596.66666667,3216.66666667,2661.66666667,3453.33333333,2780.0,2646.66666666,2383.33333333
199.68,1519.25928889,1117.77773333,1128.88873333,1441.48153333,1137.03706667,1537.77786667,1168.14806667,1186.66653333,1053.3334
200.06,1311.71724444,1013.93926667,981.818199999,1279.39386667,994.545399999,1323.63633333,1036.96953333,1070.303,941.818133333
200.44,-4560.74075556,-3362.22226667,-3344.44453333,-4393.33333333,-3337.77773333,-4562.22233333,-3508.88886667,-3693.33333333,-3188.88893333
200.82,-3195.0,-2286.66666667,-2308.33333333,-3138.33333333,-2306.66666667,-3198.33333333,-2383.33333333,-2700.0,-2196.66666667
201.19,2560.0,1897.33333333,1890.66666667,2570.66666667,1949.33333333,2562.66666666,2010.66666667,2232.0,1841.33333333
201.57,-2950.0,-2163.33333334,-2103.33333333,-3050.0,-2171.66666667,-3003.33333333,-2328.33333333,-2568.33333333,-2185.0
201.95,-1059.59606667,-756.363599999,-739.394000001,-1101.81813333,-774.545533333,-1083.03026667,-823.0302,-950.909266667,-787.272666667
